gene,score,validation,label
A1CF,0.24955958,False,-1
AAMDC,0.9214943,False,-1
ABCB1,0.04384533,False,-1
ABCF2,0.023847358,False,-1
ABCG2,0.011075252,False,0
ABHD3,0.08062975,False,-1
ACSBG1,0.18400037,False,-1
ACTB,0.2037247,False,-1
ACTG1,0.25698534,False,-1
ACTN2,0.08062977,False,-1
ACVR1,0.37569624,False,-1
ADAMTS2,0.08062975,False,-1
ADAP1,0.18171044,False,-1
ADCY2,0.35823435,False,1
ADD3,0.18256496,False,1
ADGRG6,0.023851655,False,-1
ADGRL2,0.4181409,False,-1
ADGRV1,0.08062977,False,-1
ADK,0.2952543,False,-1
ADNP,0.33564982,False,-1
ADNP2,0.35914376,False,-1
ADRA1A,0.5123681,False,-1
ADRM1,0.2569854,False,-1
ADTRP,0.08062977,False,-1
AFF1,0.26635906,False,0
AFF4,0.3310656,False,-1
AGAP2,0.22234994,False,-1
AGGF1,0.13607772,False,-1
AGO2,0.26121506,False,-1
AHCTF1,0.24873559,True,0
AHR,0.2711357,False,-1
AIMP2,0.21685843,False,-1
AK5,0.30113316,False,-1
AKAP13,0.4804288,False,-1
AKR1E2,0.23561856,False,-1
ALCAM,0.6219797,False,-1
ALK,0.9214605,False,-1
ALX1,0.1947128,False,-1
ALX4,0.058179915,False,-1
AMOTL1,0.21942516,False,-1
ANKRD30A,0.48042884,False,0
ANKRD30BL,0.31587696,False,-1
ANKRD34B,0.4804288,False,-1
ANKRD50,0.5072208,False,-1
ANO10,0.30550128,False,-1
ANO2,0.19762182,False,0
ANO6,0.6219797,False,-1
ANOS1,0.08062975,False,-1
ANXA11,0.4181409,False,-1
ANXA3,0.15968163,False,-1
ANXA4,0.15613252,False,-1
AP1S1,0.20218556,False,-1
AP2M1,0.20864975,False,-1
APEX2,0.21685871,False,-1
AR,0.18341163,False,-1
ARAP2,0.32153776,False,-1
ARC,0.18744324,False,-1
ARF3,0.18400013,False,-1
ARFGAP1,0.24359967,False,-1
ARHGAP10,0.18888521,False,-1
ARHGAP12,0.28746602,False,-1
ARHGAP20,0.24982047,False,-1
ARHGAP24,0.21681435,False,0
ARHGAP26,0.6219797,False,-1
ARHGAP42,0.4013632,False,-1
ARHGDIA,0.21061756,False,-1
ARHGDIG,0.24359968,False,-1
ARHGEF10,0.6219797,False,-1
ARHGEF28,0.307281,False,-1
ARHGEF6,0.20332351,False,-1
ARID2,0.32566652,False,-1
ARID3A,0.1384845,False,-1
ARID3C,0.24359977,False,-1
ARID5A,0.12011102,False,-1
ARID5B,0.41581506,False,-1
ARL4A,0.16221364,False,-1
ARL4D,0.1360745,False,-1
ARL6IP1,0.25698534,False,-1
ARL6IP5,0.18400039,False,-1
ARMC3,0.12661856,False,-1
ARMC4,0.1840003,False,-1
ARMCX4,0.25667757,False,-1
ARNT2,0.6219797,False,-1
ARNTL,0.37578803,False,-1
ARPC5L,0.1903019,False,-1
ARPP21,0.3841576,False,-1
ASAP1,0.3047768,False,-1
ASAP2,0.4117705,False,-1
ASIC2,0.18341139,False,-1
ASXL2,0.10127047,False,-1
ATF2,0.3506315,False,-1
ATF3,0.18341148,False,-1
ATF4,0.12011087,False,-1
ATF5,0.120111674,False,-1
ATG10,0.34611535,False,-1
ATP10A,0.1491627,False,-1
ATP12A,0.26446918,False,-1
ATP1A1,0.20435241,False,-1
ATP1A2,0.2168599,False,-1
ATP1A3,0.2435996,False,-1
ATP1B1,0.18400037,False,-1
ATP2C2,0.08062975,False,-1
ATP6V0C,0.20864975,False,-1
ATP8B1,0.42513713,False,-1
ATR,0.08062975,False,-1
ATRNL1,0.3310656,False,-1
ATXN1,0.35417008,False,-1
AVEN,0.43241808,False,-1
AVPR1A,0.19471245,False,-1
B3GNT5,0.2750596,False,-1
B4GAT1,0.1496665,False,-1
BAALC,0.08062975,False,-1
BACH1,0.37805843,False,-1
BACH2,0.3704442,False,-1
BAIAP3,0.24359968,False,-1
BANP,0.13607772,False,-1
BATF,0.1834118,False,-1
BAZ2B,0.37097415,False,-1
BBX,0.31903997,False,-1
BCAR3,0.10127049,False,-1
BCL11A,0.16855629,False,-1
BCL11B,0.13339852,False,-1
BCL6,0.1746739,False,-1
BCLAF1,0.2270905,False,-1
BEND6,0.23026937,False,-1
BEND7,0.25698534,False,-1
BEST3,0.28126687,False,-1
BEX1,0.20576148,False,-1
BEX3,0.18400021,False,-1
BHLHE22,0.12011099,False,-1
BHLHE40,0.1924897,False,1
BHLHE41,0.19882534,False,-1
BICC1,0.41814083,False,-1
BIRC3,0.14521971,False,-1
BMP2K,0.2952543,False,-1
BMP5,0.17660853,False,-1
BMPER,0.29523873,False,-1
BMT2,0.13607775,False,-1
BOLL,0.1685566,False,-1
BRF1,0.4804288,False,-1
BRINP1,0.6219797,False,-1
BRINP3,0.38661036,False,-1
BSX,0.16225663,False,-1
BTBD11,0.7570875,False,-1
BTC,0.6219797,False,-1
BUB1,0.12011113,False,-1
BVES,0.24060573,False,-1
C10orf90,0.2741493,False,-1
C16orf87,0.22709054,False,-1
C17orf53,0.12985867,False,-1
C18orf25,0.6219797,False,-1
C19orf71,0.24359968,False,-1
C1GALT1,0.34617767,False,-1
C1QL3,0.21819027,False,-1
C1QTNF4,0.18400046,False,-1
C21orf91,0.27505982,False,-1
C2orf88,0.26697543,False,-1
C3orf67,0.6219797,False,-1
C3orf80,0.15543781,False,-1
C4orf3,0.12011151,False,-1
C4orf36,0.12982042,False,-1
C4orf48,0.18333764,False,-1
C5orf66,0.19638646,False,-1
C8orf88,0.2952543,False,-1
CA8,0.16855615,False,-1
CACHD1,0.29736257,False,-1
CACNA1D,0.24823499,False,1
CACNA1E,0.043813992,False,0
CACNB2,0.41177043,False,-1
CACNG5,0.27425766,False,-1
CALM1,0.23234537,False,-1
CALM2,0.22425051,False,-1
CALM3,0.21685766,False,-1
CALN1,0.26010853,False,-1
CALY,0.22151516,False,-1
CAMK2D,0.49208722,False,1
