gene,score,validation,label
A2M,0.01964949,False,0
ABCA6,0.02091853,False,-1
ABCB11,0.00021964761,False,-1
ABCC4,0.75923824,False,-1
ABL1,0.41072583,False,-1
ACAT2,0.020918522,False,-1
ACER3,0.020918544,False,-1
ACO1,0.17234455,False,-1
ACTA2,0.75923836,False,-1
ACTB,0.00031151442,False,-1
ACTG1,0.00014220875,False,-1
ACVR1,0.17391121,False,-1
ADAD2,3.6902204e-09,False,-1
ADAM28,0.00023962927,False,0
ADAMTS16,0.4353659,False,-1
ADAMTS3,0.17234454,False,-1
ADAMTSL1,0.17234454,False,-1
ADARB1,0.75923836,False,-1
ADCY2,0.18316592,True,1
ADCYAP1,0.0010482654,False,-1
ADD3,0.37117273,False,1
ADD3-AS1,0.07439518,False,-1
ADGRF5,1.5754622e-05,False,-1
ADGRL2,0.1745469,False,-1
ADGRL3,0.18389095,False,-1
ADNP,0.25031003,False,-1
ADNP2,0.16157691,False,-1
ADTRP,0.17234454,False,-1
AFF1,0.11394806,True,0
AFF4,0.18316592,False,-1
AGBL3,0.75923836,False,-1
AHCTF1,0.3148657,True,0
AHR,0.28501788,False,-1
AHRR,0.4353659,False,-1
AIG1,0.43536583,False,-1
AIRE,0.26154166,False,-1
AKAP13,0.28641808,False,-1
AKAP7,0.17234455,False,-1
AKR1C8P,3.6854795e-09,False,-1
ALDH1A2,0.41072583,False,-1
AMPD3,0.01802945,False,-1
ANGPT4,0.0010859155,False,-1
ANKRD28,0.3219539,False,-1
ANKRD29,0.020918528,False,-1
ANKRD30A,0.18748835,True,0
ANKRD30B,0.086520754,False,-1
ANKRD30BL,0.11394806,False,-1
ANKRD44,0.15230341,False,-1
ANLN,0.75923836,False,-1
ANO10,0.26666564,False,-1
ANO4,0.5133635,False,-1
ANTXR1,0.019647866,False,0
ANXA11,0.17234454,False,-1
ANXA4,0.38172233,False,-1
APBA1,0.13278642,False,-1
APBB1IP,0.017592816,False,0
APBB2,0.24293222,False,-1
APCDD1,0.75923836,False,-1
ARAP2,0.21949093,False,-1
ARHGAP12,0.091335155,False,-1
ARHGAP20,0.75923836,False,-1
ARHGAP24,0.0064532305,False,0
ARHGAP26,0.5738712,False,-1
ARHGAP29,0.29079953,False,-1
ARHGAP42,0.75923836,False,-1
ARHGAP6,0.40943307,False,-1
ARHGEF26,0.75923836,False,-1
ARHGEF28,0.09133512,False,-1
ARHGEF7,0.17234454,False,-1
ARID2,0.26300123,False,-1
ARID3A,0.17234454,False,-1
ARID3B,0.17234454,False,-1
ARID5B,0.57387114,False,-1
ARNT,0.17234454,False,-1
ARNT2,0.3817223,False,-1
ARNTL,0.28488275,False,-1
ARNTL2,0.75923836,False,-1
ARRDC3-AS1,0.08614478,False,-1
ARSG,0.25155678,False,-1
ASAP1,0.5738712,False,-1
ASAP2,0.57387114,False,-1
ASCC1,0.17234454,False,-1
ASH2L,0.17234454,False,-1
ASPM,0.51336354,False,-1
ASXL2,0.17234454,False,-1
ATAD2B,0.17234455,False,-1
ATF2,0.13925262,False,-1
ATG10,0.1703739,False,-1
ATG5,0.35695612,False,-1
ATOH8,0.020918522,False,-1
ATP13A5-AS1,0.0019042388,False,-1
ATP1A1-AS1,0.17234454,False,-1
ATP1B3,0.26643866,False,-1
ATP2B2,0.057433184,False,-1
ATP8B1,0.3817223,False,-1
ATRNL1,0.26922777,False,-1
ATXN1,0.16157691,False,-1
AUTS2,0.09942636,True,0
AVEN,0.5410811,False,-1
AXL,0.0031488847,False,-1
B3GNTL1,0.17234455,False,-1
BACH1,0.21708326,False,-1
BACH2,0.24904576,False,-1
BARX2,0.0014473266,False,-1
