gene,score,validation,label
ABI3BP,0.31679732,False,-1
ABL1,0.09615137,False,-1
ACAN,0.00019838217,False,-1
ACTB,0.1840762,False,-1
ACTG1,0.19992924,False,-1
ACTN2,0.2588986,False,-1
ACVR1,0.25204936,False,-1
ADAM28,0.00019838517,False,0
ADAMTS1,0.20288275,False,-1
ADAMTS3,0.19218136,False,-1
ADAMTS4,0.0001983816,False,-1
ADAMTSL1,0.096151344,False,-1
ADAMTSL4-AS1,0.096151344,False,-1
ADARB2,0.27572015,False,-1
ADCY1,0.1175529,False,-1
ADCY2,0.21393535,False,1
ADCY7,0.20355882,False,-1
ADD3-AS1,0.16894136,False,-1
ADGRA1,0.096151344,False,-1
ADGRL3,0.21832697,False,-1
ADGRV1,0.096151344,False,-1
ADNP,0.21577647,False,-1
ADNP2,0.18584685,False,-1
AFF4,0.18584687,False,-1
AGAP1,0.20288275,False,-1
AHCTF1,0.21832697,False,0
AHI1,0.19925196,False,-1
AHR,0.22269768,False,-1
AKAP14,0.26596507,False,-1
ALCAM,0.20288275,False,-1
ALDH1A2,0.24087943,False,-1
ALK,0.31679764,False,-1
ALX4,0.27572352,False,-1
AMMECR1,0.19218136,False,-1
AMOT,0.21585798,False,-1
ANGPT4,0.27210486,False,-1
ANKRD28,0.20189112,False,-1
ANKRD30A,0.04301047,False,0
ANKRD30BL,0.22269768,False,-1
ANKRD6,0.17405528,False,-1
ANKS1B,0.21393535,False,-1
ANLN,0.2030429,False,-1
ANO10,0.17405526,False,-1
ANO6,0.20288275,False,-1
ANXA1,0.24421296,False,-1
ANXA11,0.13251574,False,-1
ANXA4,0.20288275,False,-1
AP1S1,0.16958477,False,-1
APBB1IP,0.019731807,False,0
APBB2,0.22245981,False,-1
APCDD1,4.1460644e-06,False,-1
APLP1,0.12911052,False,-1
APOLD1,0.09615137,False,-1
AQP4,0.0430058,False,-1
ARFGAP1,0.24625237,False,-1
ARHGAP12,0.21832697,False,-1
ARHGAP15,0.00019838104,False,-1
ARHGAP20,0.25889835,False,-1
ARHGAP24,0.27064872,False,0
ARHGAP26,0.20288275,False,-1
ARHGAP42,0.22798647,False,-1
ARHGAP6,0.096151344,False,-1
ARHGDIG,0.17070091,False,-1
ARHGEF28,0.2143453,False,-1
ARHGEF3,0.20288275,False,-1
ARID2,0.21616353,False,-1
ARID3A,0.21727325,False,-1
ARID3B,0.15971068,False,-1
ARID5B,0.20813148,False,-1
ARNT2,0.21832697,False,-1
ARNTL,0.22665049,False,-1
ARPP19,0.12911063,False,-1
ARSB,0.11173874,False,-1
ARX,0.00019838198,False,-1
ASAP1,0.20288275,False,-1
ASAP2,0.20288275,False,-1
ASCC1,0.116819486,False,-1
ASS1,0.3167976,False,-1
ASXL3,0.21832697,False,-1
ATF2,0.2065883,False,-1
ATF4,0.12911054,False,-1
ATG10,0.21525374,False,-1
ATP10A,0.0961514,False,-1
ATP1B3,0.21956255,False,-1
ATP6V0C,0.19427532,False,-1
ATP8B1,0.24357928,False,-1
ATP8B3,0.106212616,False,-1
ATRNL1,0.21393535,False,-1
ATXN1,0.20314673,False,-1
AVEN,0.14718115,False,-1
B2M,0.12911056,False,-1
B3GNTL1,0.19218136,False,-1
B4GALT6,0.21486485,False,-1
B4GAT1,0.24421291,False,-1
BACH1,0.06611824,False,-1
BACH2,0.18588434,False,-1
BAG3,0.043005686,False,-1
BANK1,0.31679767,False,-1
BATF,0.20355447,False,-1
BAZ1A,0.26770476,False,-1
BBX,0.21393535,False,-1
BCAT1,0.116819486,False,-1
BCHE,4.146642e-06,False,-1
BCL11A,0.22820671,False,-1
BCL11B,0.14592105,False,-1
BCL2L12,0.043005884,False,-1
BCL3,0.00019838104,False,-1
BCL6,0.32456017,False,-1
BCLAF1,0.22245981,False,-1
BEND6,0.21616353,False,-1
BEX1,0.23100242,False,-1
BGN,0.10640539,False,-1
BHLHE40,0.19665734,False,1
BHLHE41,0.17836142,False,-1
BICC1,0.20288275,False,-1
BMP4,0.17008276,False,-1
BMPR1B,0.18768796,False,-1
BNC2,0.0047302996,False,0
BRD1,0.15971068,False,-1
BRINP3,0.2221382,False,-1
BST2,0.00019838141,False,-1
BTBD9,0.15971062,False,-1
C12orf75,0.15971062,False,-1
