gene,score,validation,label
ACTB,0.19677448,False,-1
ACTC1,0.000542872,False,-1
ACTG1,0.6245338,False,-1
ACVR1,0.06729328,False,-1
ADAMTS3,0.24988404,False,-1
ADARB2,0.0068225716,False,-1
ADCY2,0.24988404,False,1
ADCY8,0.41660768,False,-1
ADD3-AS1,0.24988404,False,-1
ADGRL2,0.2345248,False,-1
ADNP,0.1204564,False,-1
ADNP2,0.14174438,False,-1
AFF1,0.14174438,False,0
AFF2,0.24988404,False,-1
AFF4,0.14174438,False,-1
AGAP2,0.0036221053,False,-1
AGMO,0.007025427,False,-1
AHCTF1,0.0032930654,False,0
AHDC1,0.067293264,False,-1
AHR,0.1204564,False,-1
AKAP13,0.067293294,False,-1
ALDH1A3,0.5894157,False,-1
ALK,2.6278732e-08,False,-1
ALX1,0.0011231803,False,-1
ANK1,0.031601798,False,-1
ANKRD28,0.1204564,False,-1
ANKRD30A,0.2345248,False,0
ANKRD30B,0.24988407,False,-1
ANO1,1.2490827e-07,False,-1
ANO10,0.12045643,False,-1
ANO2,0.00702735,False,0
ANO6,0.067293294,False,-1
ANXA11,1.248979e-07,False,-1
AP1S1,0.6245338,False,-1
AP2M1,0.6454221,False,-1
APEX2,0.7962106,False,-1
AR,0.0011186512,False,-1
ARC,0.03738424,False,-1
AREG,9.998491e-07,False,-1
ARF1,0.62453365,False,-1
ARFGAP1,0.46125868,False,-1
ARHGAP12,0.14174438,False,-1
ARHGAP20,0.067293294,False,-1
ARHGAP24,2.855524e-07,False,0
ARHGAP26,0.06729328,False,-1
ARHGDIA,0.6454222,False,-1
ARHGDIG,0.79621065,False,-1
ARHGEF10,0.06729328,False,-1
ARHGEF28,0.24268766,False,-1
ARHGEF40,0.32586718,False,-1
ARID3A,0.06729328,False,-1
ARID3B,1.249054e-07,False,-1
ARID5A,0.26266238,False,-1
ARID5B,0.067293264,False,-1
ARL4D,9.998645e-07,False,-1
ARL6IP1,0.7962105,False,-1
ARL6IP5,0.5894114,False,-1
ARNTL,0.14174438,False,-1
ARPP19,0.58941895,False,-1
ARSJ,0.2626551,False,-1
ARX,0.32600975,False,-1
ASAP2,0.067293264,False,-1
ASCL1,0.2626589,False,-1
ASPA,0.052459847,False,-1
ASXL3,0.24988404,False,-1
ATF2,0.19538172,False,-1
ATF4,0.196776,False,-1
ATF7,1.2489862e-07,False,-1
ATP1A1,0.41078427,False,-1
ATP1A3,0.17934893,False,-1
ATP1B1,0.64542234,False,-1
ATP6V0C,0.6542956,False,-1
ATP6V1B2,0.58940685,False,-1
ATP6V1G1,0.4893679,False,-1
ATRNL1,0.14118883,False,-1
ATXN1,0.14118887,False,-1
ATXN7L3B,0.5894235,False,-1
BAALC-AS1,0.0011181042,False,-1
BACE2,1.249079e-07,False,-1
BACH1,0.005941866,False,-1
BACH2,0.1204564,False,-1
BAG3,2.0835232e-07,False,-1
BAZ1A,0.2345248,False,-1
BBX,0.11505596,False,-1
BCAM,0.17934842,False,-1
BCL11A,0.067293294,False,-1
BCL11B,0.067293294,False,-1
BCL3,0.17934985,False,-1
BCL6,0.3779779,False,-1
BCLAF1,0.14174438,False,-1
BEND6,0.1204564,False,-1
BEX3,0.17934853,False,-1
BEX5,0.58941203,False,-1
BHLHE22,9.9975e-07,False,-1
BHLHE40,0.6730291,False,1
BHLHE41,0.7474177,False,-1
BICC1,0.067293294,False,-1
BPTF,0.06729328,False,-1
BRCA1,1.2490909e-07,False,-1
BRINP2,0.24988404,False,-1
BRINP3,0.24988404,False,-1
BTBD11,0.15949027,False,-1
BVES,0.26053548,False,-1
C12orf50,1.2490909e-07,False,-1
C1QTNF9,0.00012147735,False,-1
C3orf67,0.11505596,False,-1
C4orf48,0.6245337,False,-1
CA2,0.05205344,False,-1
CA3,0.067293294,False,-1
CA8,0.5894184,False,-1
CACHD1,0.2345248,False,-1
CACNG4,0.09061981,False,-1
CADPS2,0.14174438,False,-1
CALB1,0.00054243434,False,-1
CALM1,0.64542234,False,-1
CALM3,0.7962105,False,-1
CALY,0.7962106,False,-1
CAMK2D,0.26053548,True,1
CAMK2N1,0.6730289,False,-1
CAPNS1,0.6245338,False,-1
CARD11,2.6263349e-08,False,-1
CARF,1.2491124e-07,False,-1
CASD1,0.2345248,False,-1
CASP4,2.854914e-07,False,-1
CBFA2T2,0.067293294,False,-1
CBLN2,0.23452474,False,0
CBLN4,0.26265556,False,-1
CBX6,0.7962105,False,-1
CBX7,0.2626603,False,-1
CCDC68,0.8888061,False,-1
CCK,0.7962106,False,-1
CCND2-AS1,0.06729328,False,-1
CCNI,0.48936158,False,-1
CCSER1,0.14174438,False,-1
CD163,2.856761e-07,False,-1
CD36,0.0001215142,False,-1
CD63,0.40054306,False,-1
CD81,0.62453365,False,-1
CDC14B,0.2345248,False,-1
CDH11,0.24988402,False,0
CDH2,0.14118886,False,-1
CDH8,0.25498682,True,0
CDK14,0.1552989,False,-1
CDK5R1,0.6245338,False,-1
CDKN1C,0.17934984,False,-1
CDKN2A,0.18385103,False,-1
CDKN2D,0.62453365,False,-1
CDS1,0.12045638,False,-1
CDYL2,0.10741917,False,-1
CEBPA,0.26597714,False,-1
CEBPB,0.7962106,False,-1
CELF5,0.067293264,False,-1
CEP112,0.24988404,False,-1
CFAP46,0.5894185,False,-1
CFL1,0.6245337,False,-1
CFL2,0.17934972,False,-1
CHAMP1,0.06729328,False,-1
CHD1,0.06729328,False,-1
CHD2,0.067293294,False,-1
CHD7,0.0572803,False,-1
CHGA,0.3889368,False,-1
CHRDL1,0.067293294,False,-1
CHRM2,0.2605355,False,-1
CHST3,3.1703807e-05,False,-1
CHST8,1.0001658e-06,False,-1
CHST9,0.013769503,False,-1
CKB,0.6245338,False,-1
