gene,score,validation,label
A2M,0.047533818,False,0
AADACL2-AS1,0.01176066,False,0
ABCA1,0.06723805,True,0
ABCB1,0.01833035,False,0
ABCC3,0.010999032,False,0
ABCC4,0.006228904,False,0
ABHD3,0.14398566,False,0
ABI1,0.03424463,False,0
ABL1,0.034946486,False,0
ABRACL,0.03485903,False,0
ACAT2,0.027357025,False,0
ACO1,0.06844264,False,0
ACTA2,0.049808644,True,0
ACTB,0.009199013,True,0
ACTG1,0.0121951895,False,0
ACTRT3,0.0037327132,True,0
ACVR1C,0.013129066,False,0
ACVRL1,0.016187152,False,0
ADAL,0.00880996,False,0
ADAM28,0.009865312,True,0
ADAMTS3,0.064661935,False,0
ADAMTS7,0.011451516,True,0
ADAMTS9,0.032239243,False,0
ADAMTSL1,0.011655801,False,0
ADCY2,0.021482542,False,1
ADCY7,0.00874803,True,0
ADD3,0.0271536,False,1
ADD3-AS1,0.03424463,True,0
ADGRF5,0.01676957,True,0
ADGRL2,0.018647242,False,0
ADGRL3,0.02783614,False,0
ADGRL3-AS1,0.011655784,False,0
ADGRL4,0.03680684,False,0
ADGRV1,0.051675696,False,0
ADNP,0.018647242,False,0
ADNP2,0.01587908,True,0
ADRA1A,0.14398566,True,0
AFF2,0.14398566,False,0
AFF4,0.020248292,True,0
AGAP2,0.015886953,False,0
AGRN,0.070083015,False,0
AHCTF1,0.06857518,False,0
AHDC1,0.07008347,False,0
AHR,0.02155546,True,0
AIPL1,0.0031723634,False,0
AK5,0.026943019,False,0
AKAP13,0.020434817,False,0
AKR1A1,0.015887184,False,0
ALCAM,0.1000951,False,0
ALOX12-AS1,0.030019576,True,0
ALOX5,0.010999021,False,0
ALPK1,0.01176066,False,0
AMOTL1,0.049808644,False,0
AMPD3,0.010999011,False,0
ANK1,0.051675677,False,0
ANKFN1,0.08708227,True,1
ANKH,0.034293238,False,0
ANKRD29,0.06844266,True,0
ANKRD30B,0.030714037,True,0
ANKRD31,0.0050799455,False,0
ANKRD34B,0.07866224,False,0
ANKRD50,0.0458039,False,0
ANO10,0.02307124,False,0
ANO6,0.04980863,True,0
ANOS1,0.03001959,True,0
ANXA11,0.094997354,True,0
ANXA4,0.04980863,False,0
AOAH,0.006228912,False,0
AP1S2,0.019326067,False,0
AP2M1,0.010761985,True,0
APBB1IP,0.006228904,False,0
APCDD1,0.059025615,False,0
APOD,0.006544099,False,0
ARG1,0.01259645,False,0
ARHGAP15,0.0062289094,False,0
ARHGAP18,0.011760683,False,0
ARHGAP20,0.06564007,False,0
ARHGAP22,0.010999021,False,0
ARHGAP24,0.013277148,False,0
ARHGAP42,0.14398566,False,0
ARHGAP8,0.03397652,False,0
ARHGEF11,0.03424463,True,0
ARHGEF26,0.14398566,False,0
ARHGEF28,0.043822862,False,0
ARHGEF6,0.021661274,False,0
ARID3B,0.069322534,False,0
ARID5A,0.006544093,False,0
ARID5B,0.049808644,True,0
ARL6IP1,0.030019546,False,0
ARL6IP5,0.008809873,False,0
ARNT2,0.049808644,False,0
ARNTL,0.023310883,False,0
ARNTL2,0.07866229,False,0
ARSB,0.04980863,False,0
ARSG,0.04980863,False,0
ART3,0.01628976,False,0
ASB7,0.02223105,True,0
ASCL2,0.022323567,False,0
ASIC4,0.10933314,False,0
ASPSCR1,0.03001959,False,0
ASXL3,0.038291994,True,0
ATF2,0.027922168,False,0
ATF3,0.022323687,True,0
ATF5,0.015471564,True,0
ATF7,0.011760677,False,0
ATG10,0.02020064,False,0
ATOH8,0.011760677,False,0
ATP10A,0.02426428,False,0
ATP10D,0.051675703,True,0
ATP1B1,0.017017337,False,0
ATP1B3,0.061653294,False,0
ATP2B4,0.046936233,True,0
ATP6V0C,0.0125964265,False,0
ATP8B1,0.02223105,False,0
ATRNL1,0.02223105,False,0
ATXN8OS,0.0013777234,False,0
B3GALT2,0.04472299,True,0
B3GALT5-AS1,0.08374867,True,0
B3GAT2,0.07066734,True,0
B3GLCT,0.05475435,False,1
B4GALT6,0.0487686,False,0
BACE2,0.018330736,True,0
BACH1,0.018647242,True,0
BACH2,0.019326067,False,0
BARX2,0.021817474,False,0
BATF,0.016630897,False,0
BAZ1A,0.14398566,True,0
BBX,0.019326067,True,0
BCAS1,0.006544087,False,0
BCAT1,0.03424463,False,0
BCL11A,0.0395282,False,0
BCL11B,0.03715439,False,0
BCL6,0.0058469083,False,0
BCLAF1,0.02020064,True,0
BCOR,0.017017297,False,0
BEND6,0.02020064,False,0
BEX1,0.04470782,False,0
BEX3,0.0223235,True,0
BICC1,0.020486249,True,0
BLNK,0.0062289094,False,0
BMP2K,0.02594989,False,0
BMP7,0.0038805853,False,0
BMPER,0.056412082,False,0
BMPR1B,0.07008342,False,0
BNC1,0.004500274,False,0
BNC2,0.011084071,False,1
BPTF,0.030019568,False,0
BRF1,0.049808644,False,0
BRINP1,0.043822862,False,0
BRINP3,0.08614107,False,0
BTBD16,0.022323528,False,0
BTF3,0.016289812,False,0
BZW2,0.14398566,False,0
C12orf42,0.049808644,False,0
C12orf57,0.008809944,False,0
C14orf39,0.036810797,False,0
C16orf87,0.023310883,True,0
C16orf95,0.0038805802,False,0
C18orf25,0.0700835,False,0
C18orf32,0.016289819,False,0
C19orf33,0.07223264,False,0
C1GALT1,0.026934948,True,0
C1QA,0.008773513,True,0
C1QC,0.010999021,False,0
C1QTNF9B,0.04980863,False,0
C1orf100,0.0038805783,False,0
C2orf88,0.034533333,False,0
C3,0.011760672,False,0
C3orf67,0.03087165,True,0
C5orf34,0.02374426,False,0
C8orf34-AS1,0.017472912,False,0
C8orf86,0.0038805853,False,0
C9orf135,0.032240026,False,0
CA2,0.049808644,False,0
CA3-AS1,0.03424463,True,0
CACHD1,0.045986854,False,0
CACNA2D1,0.053258017,False,0
CACYBP,0.016289819,False,0
CADM1,0.029961148,False,0
CADM2,0.05225809,False,1
CALCR,0.1043715,False,0
CALD1,0.0738139,False,0
CALM1,0.019929217,False,0
CALN1,0.045803886,False,0
CALR,0.008809944,False,0
CAMK1G,0.022323538,False,0
CAMK2D,0.027645472,False,0
CAMK2N2,0.003880589,False,0
CARD11,0.011760649,False,0
CARF,0.03424463,False,0
CASC15,0.02020064,True,0
CASC2,0.04980863,True,0
CBLN2,0.07866147,False,0
CBX6,0.051675677,False,0
CCDC125,0.051675677,False,0
CCDC15,0.03139067,False,0
CCDC178,0.14398566,False,0
CCDC25,0.0038805783,True,0
CCDC3,0.14398566,False,0
CCDC68,0.006543982,False,0
CCDC83,0.040565375,False,0
CCK,0.016289819,False,0
CCM2,0.051675662,False,0
CCND2,0.020914199,False,0
CCND2-AS1,0.027547412,True,0
CCNI,0.023310883,True,0
CCNJL,0.034244616,False,0
CCNT2,0.030894842,False,0
CCT2,0.01701729,False,0
CD14,0.008809969,False,0
CD163L1,0.0045005325,False,0
CD22,0.006544099,True,0
CD24,0.069322586,False,0
CD2AP,0.044542152,False,0
CD302,0.016289804,False,0
CD36,0.017223058,True,0
CD58,0.021579714,False,0
CD59,0.01452946,True,0
CD69,0.0112047,False,0
CD74,0.013470366,False,0
CD81,0.015471564,False,0
CD84,0.040595397,True,0
CD86,0.012787329,False,0
CD9,0.04059475,False,0
CD99L2,0.023414498,False,0
CDC14B,0.021902764,False,0
CDCA7L,0.14398566,False,0
CDH11,0.061540164,False,0
CDH2,0.027645472,True,0
CDH20,0.0221831,False,0
CDH4,0.03424463,False,0
CDH6,0.021143401,False,0
CDH7,0.0765874,False,0
CDH8,0.023599295,True,0
CDH9,0.026087832,False,0
CDK14,0.022260858,False,0
CDK18,0.03397547,False,0
CDK19,0.028280068,False,0
CDK2AP1,0.0031733946,False,0
CDK6,0.07008337,True,0
CDKN1B,0.02641941,True,0
CDKN2A,0.06857518,True,0
CDKN2B-AS1,0.028691513,False,0
CDON,0.023310883,True,0
CDYL2,0.042216953,False,0
CEBPD,0.0144426115,False,0
CELF5,0.06932252,False,0
CELF6,0.022323906,False,0
CEMIP,0.043822855,False,0
CEP112,0.04850768,False,0
CEP162,0.036811,False,0
CERS2,0.008809952,False,0
CERS3,0.01176066,False,0
CERS5,0.051675703,False,0
CES5A,0.03001959,True,0
CFAP47,0.007944,False,0
CFAP70,0.01443571,False,0
CFI,0.01833078,False,0
CFL1,0.019858895,False,0
CFL2,0.04980863,False,0
CGGBP1,0.027969837,False,0
CHD1,0.021482542,False,0
CHD7,0.010999021,True,0
CHGA,0.031893406,True,0
CHGB,0.017887425,False,0
CHMP3,0.022323566,False,0
CHODL,0.06553565,False,0
CHRDL1,0.017263347,False,0
CHRM2,0.07866229,False,0
CHST15,0.0045007356,False,0
CHST9,0.049278636,False,0
CHSY3,0.14398566,True,0
CITED2,0.0050799553,False,0
CKB,0.00880996,False,0
CLCN4,0.016289819,False,0
CLDN10,0.011655779,False,0
CLDN11,0.008108662,True,0
CLDN16,0.016289819,False,0
CLEC2L,0.028250393,False,0
CLIC4,0.03424463,False,0
CLMP,0.07381403,False,0
CLOCK,0.03151398,False,0
CLU,0.012142445,True,0
CNKSR2,0.04361772,False,0
CNOT4,0.023255715,False,0
CNR1,0.03895925,False,0
CNTN4,0.06868953,False,0
CNTNAP3,0.07866218,False,0
CNTNAP5,0.04058262,False,0
COBLL1,0.052920364,True,0
COCH,0.0682585,False,0
COL19A1,0.07866142,False,0
