gene,score,validation,label
ABCA1,0.041794382,False,0
ABCA8,0.04391873,False,0
ABCB4,0.032719392,True,0
ABCC9,0.0139070805,False,0
ABCF2,0.027251048,False,0
ABHD17C,0.040389586,True,0
ABHD3,0.030860234,True,0
ABL1,0.043224618,False,0
ACBD7,0.023518244,False,0
ACSBG1,9.542738e-05,True,0
ACTB,0.023523128,True,0
ACTG1,0.006791279,False,0
ACVR1,0.04238536,True,0
ACVR1C,0.040944207,True,0
ADAM10,0.024489723,False,0
ADAMTS2,0.0383179,False,1
ADAMTS3,0.03465056,False,0
ADAMTS5,0.011846493,True,0
ADAMTS9,0.019538766,False,0
ADAMTSL2,0.008887722,False,0
ADCY1,0.017034726,True,0
ADCY2,0.06105085,False,1
ADCY5,0.032719404,True,0
ADGRA1,0.04321683,False,0
ADGRF3,0.002083976,False,0
ADGRF5,0.022557734,False,0
ADGRL2,0.045349907,False,0
ADGRL3,0.03804891,False,0
ADNP,0.04207045,False,0
ADNP2,0.04792386,False,0
ADRA1A,0.038317908,True,0
ADRA2A,0.005207562,True,0
ADRA2C,0.007334573,False,0
ADTRP,0.0238569,False,1
AFAP1L1,0.040847573,False,0
AFF1,0.02665999,False,0
AFF2,0.04321407,False,0
AFF4,0.043076705,False,0
AGBL4,0.032719404,False,1
AGRN,0.029698204,False,0
AHCTF1,0.017545044,False,0
AHCYL2,0.035746418,True,0
AHDC1,0.06050041,False,0
AHR,0.048250116,False,0
AHRR,0.007075266,False,0
AK1,0.031062882,False,0
AK5,0.017035142,False,0
AKAP13,0.04575496,False,0
AKR1A1,0.013907106,False,0
AKR1C3,0.0383179,False,0
AKR7A3,0.022133466,False,0
ALCAM,0.061983883,True,0
ALDH1A2,0.037315886,False,0
ALG1L9P,0.032719392,False,0
ALK,0.04175174,False,0
ALPK1,0.02727578,False,0
ALX3,0.041862197,True,0
AMMECR1,0.049251307,False,0
AMOT,0.024445983,False,0
AMOTL1,0.0017915171,False,0
ANAPC10,0.032719392,False,0
ANGPT2,0.05016581,False,0
ANGPTL4,0.034766708,False,0
ANK1,0.031060303,False,0
ANKK1,0.035743367,False,0
ANKRD29,0.038317915,False,0
ANKRD30B,0.06314153,False,0
ANKRD34B,0.023518233,False,0
ANKRD50,0.047923826,False,0
ANKRD6,0.041712016,False,0
ANKRD7,0.017034814,True,0
ANKRD9,0.0066563706,False,0
ANKS1B,0.0329501,False,1
ANLN,0.038317915,False,0
ANO2,0.0013714952,False,0
ANO6,0.048919484,False,0
ANOS1,0.032043625,False,0
ANXA11,0.011263917,False,0
ANXA2,0.023517992,False,0
ANXA4,0.04197287,False,0
AP1AR,0.0383179,False,0
AP3B1,0.032719374,False,0
APBB1IP,0.0044101174,False,0
APCDD1,0.02664144,False,0
APOLD1,0.04392329,False,0
AQP4,0.011863279,False,0
AR,0.01841675,False,0
ARAP2,0.038317915,True,0
ARFGEF3,0.060307425,False,0
ARHGAP12,0.035426997,False,0
ARHGAP15,0.009892882,True,0
ARHGAP20,0.036816597,False,0
ARHGAP22,0.005207559,True,0
ARHGAP24,0.019571474,True,0
ARHGAP29,0.039914798,False,0
ARHGAP31,0.0050933,False,0
ARHGAP39,0.03271939,True,0
ARHGAP42,0.038317908,False,0
ARHGAP6,0.04117363,False,0
ARHGEF26,0.023517976,False,0
ARHGEF28,0.0438737,False,0
ARHGEF6,0.03465106,True,0
ARID3A,0.03832162,False,0
ARID3B,0.0052075665,False,0
ARID3C,0.017862689,False,0
ARID5B,0.039839067,False,0
ARL5A,0.016003253,False,0
ARMC4,0.023856906,False,0
ARNT,0.06050043,False,0
ARNT2,0.05536709,False,0
ARNTL,0.04890022,False,0
ARPP21,0.039937243,False,0
ARRDC3-AS1,0.03271939,False,0
ARSF,0.03271939,False,0
ARSG,0.025898185,False,0
ARSJ,0.03271942,False,0
ASAP1,0.037779804,False,0
ASB18,0.048319075,False,1
ASB5,0.0098928865,False,0
ASCC1,0.029812802,False,0
ASCC3,0.032719392,False,0
ASCL2,0.023068149,False,0
ASH2L,0.027719557,False,0
ASXL2,0.038968865,False,0
ASXL3,0.041711938,False,0
ATAD2,0.0052075027,False,0
ATF2,0.033903465,True,0
ATF3,0.032195956,False,0
ATF5,0.00052448164,True,0
ATF6B,0.0052075516,False,0
ATF7,0.018386906,False,0
ATF7IP2,0.032719392,False,0
ATG10,0.044929095,False,0
ATG5,0.032719404,False,0
