gene,score,validation,label
ABCA4,0.015219936,False,-1
ABL1,0.014296253,False,-1
ACTA2,0.027992725,False,-1
ACTB,0.0117442245,False,-1
ACTG1,0.0029029974,False,-1
ACTR3C,0.06812972,False,-1
ACVR1,0.10602455,False,-1
ADAM28,0.08150548,False,0
ADAM32,0.014296253,False,-1
ADAM33,0.0039318255,False,-1
ADAMTS17,0.014296253,False,0
ADAMTS19-AS1,0.22969475,False,-1
ADAMTS5,0.06145856,False,-1
ADAMTS9-AS1,0.025660796,False,-1
ADCY2,0.15874594,True,1
ADCY7,0.029298343,False,-1
ADD3-AS1,0.083446465,False,-1
ADGRD1,0.0029029974,False,-1
ADGRL2,0.1060246,False,-1
ADGRL3,0.11853439,False,-1
ADNP,0.19409104,False,-1
ADRA1A,0.22969475,False,-1
ADRA1D,0.002902996,False,-1
AEBP1,0.044324465,False,-1
AFF4,0.194091,False,0
AGAP2,0.18741283,False,-1
AHCTF1,0.037628055,False,-1
AHDC1,0.23157279,False,-1
AHR,0.16629405,True,0
AK5,0.036401697,False,-1
AKAP13,0.22969475,False,-1
ALCAM,0.18792516,False,-1
ALDH1A2,0.18919386,False,-1
ALDH1L1-AS2,0.20668904,False,-1
ALK,0.22969475,False,-1
ALOX5,0.050483868,False,-1
ALOX5AP,0.048227396,False,-1
ANGPTL4,0.09040177,False,-1
ANKRD28,0.08163249,False,-1
ANKRD29,0.028239394,False,-1
ANKRD30B,0.1783021,False,-1
ANKRD30BL,0.09901561,False,-1
ANKRD33B,0.21273044,False,-1
ANKRD44,0.059586376,False,-1
ANKRD50,0.10602455,False,-1
ANKRD6,0.037428234,False,-1
ANLN,0.0234158,False,-1
ANO10,0.0470551,False,-1
ANO4,0.1683616,False,-1
ANOS1,0.23157272,False,-1
ANTXR2,0.090401724,False,-1
ANXA11,0.0155154355,False,-1
ANXA2,0.11654418,False,-1
ANXA4,0.014296253,False,-1
AOX1,0.2265569,False,-1
AP2M1,0.061208654,False,-1
APBB1IP,0.0039320122,False,0
APBB2,0.0470551,False,-1
APEX2,0.01522243,False,-1
APOE,0.0039324155,False,-1
APOLD1,0.017131802,False,-1
ARFGEF3,0.05958636,False,-1
ARHGAP15,0.040702038,False,-1
ARHGAP24,0.0703799,False,0
ARHGAP31,0.06980047,False,-1
ARHGAP6,0.22969475,False,-1
ARHGAP8,0.22969475,False,-1
ARHGDIG,0.0029029988,False,-1
ARHGEF28,0.027492546,False,-1
ARHGEF3,0.014296253,False,-1
ARHGEF6,0.059586376,False,-1
ARID3A,0.043825943,False,-1
ARID3B,0.08254956,False,-1
ARL4C,0.011744213,False,-1
ARL6,0.09918335,False,-1
ARNT2,0.18919386,False,-1
ARRDC3-AS1,0.028239386,False,-1
ARSB,0.22969475,False,-1
ARSG,0.014296253,False,-1
ARSJ,0.006724148,False,0
ARX,0.029120333,False,0
ASAP1,0.023783611,False,-1
ASAP2,0.05958636,False,-1
ASCC1,0.014296253,False,-1
ASCL1,0.053291187,False,-1
ASTN2-AS1,0.02566112,False,-1
ATF2,0.0879617,False,-1
ATF4,0.06120864,False,-1
ATG10,0.0470551,False,-1
ATP10A,0.01290563,False,0
ATP10D,0.22969475,False,-1
ATP11C,0.06980065,False,-1
ATP1A1,0.06983656,False,-1
ATP1A2,0.027191928,False,-1
ATP1B1,0.029120287,False,-1
ATP1B2,0.106393896,False,-1
ATP6V0C,0.010157972,False,-1
ATP6V0E2,0.061208654,False,-1
ATP6V1E2,0.014296253,False,-1
ATRNL1,0.18919386,False,-1
AVEN,0.014296253,False,-1
B3GAT2,0.18741235,False,-1
B3GLCT,0.11654379,False,-1
B4GAT1,0.10639367,False,-1
BAALC,0.23157315,False,-1
BAALC-AS1,0.006720653,False,-1
BACE2,0.029403474,False,-1
BACH1,0.0879617,False,-1
BACH2,0.0879617,False,-1
BAG3,0.101303354,False,-1
BAIAP3,0.0029029974,False,-1
BATF3,0.26033485,False,-1
BAZ1A,0.08344653,False,-1
BBX,0.11901481,False,-1
BCAS2,0.08595941,False,-1
BCL11A,0.061010953,False,-1
BCL11B,0.06147208,False,-1
BCL6,0.18919386,False,-1
BCLAF1,0.09147424,False,0
BDKRB2,0.0894454,False,-1
BDNF,0.20086761,False,1
BEND6,0.09901565,False,0
BEX1,0.0029029811,False,-1
BEX3,0.011744213,False,-1
BHLHE40,0.096928895,False,1
BHLHE41,0.06983658,False,-1
BIRC3,0.0029029974,False,-1
BLNK,0.029299505,False,0
BMP7,0.0443245,False,-1
BNC2,0.04139746,False,0
BRINP1,0.16836165,False,-1
BRINP3,0.10724889,False,-1
C12orf60,0.025661198,False,-1
C16orf95,0.034399115,False,-1
C16orf97,0.10129975,False,-1
C1QL1,0.010157966,False,-1
C1QTNF1-AS1,0.06980029,False,-1
C2orf88,0.098879926,False,-1
C3orf67,0.1783021,False,-1
C3orf70,0.035776615,False,-1
C5orf58,0.002902996,False,-1
C9orf16,0.0029029811,False,-1
CA13,0.10196245,False,-1
CA3,0.22969475,False,-1
