gene,score,validation,label
A1BG,0.0094044255,False,0
A2M,0.02776059,False,-1
ABCA1,0.045594998,False,-1
ABCA5,0.026048632,False,-1
ABCC3,0.015750166,False,0
ABCC4,0.03361534,False,-1
ABCC9,0.00947558,False,0
ABCG2,0.028713886,False,0
ABHD17B,0.03329779,False,0
ABL1,0.031874426,False,-1
ABLIM3,0.020523254,False,0
ACAN,6.9332486e-06,True,0
ACER1,7.509316e-05,False,0
ACKR3,0.10406558,False,-1
ACO1,0.111764915,False,-1
ACSL4,0.018889882,False,-1
ACTN1,0.018693134,False,-1
ACTN2,0.06725999,False,-1
ACVR1C,0.023120124,False,-1
ADAM12,0.009475325,True,0
ADAM19,0.10406558,False,-1
ADAM22,3.8042667e-06,False,0
ADAM23,0.028980488,False,0
ADAM28,0.046398085,False,-1
ADAM32,0.10588561,False,-1
ADAMTS1,0.019737357,False,0
ADAMTS15,0.00016960115,False,0
ADAMTS3,0.03403711,False,-1
ADAMTS5,0.03187435,False,-1
ADAMTS6,1.3039525e-07,True,0
ADARB1,0.01961311,False,-1
ADARB2,0.101449706,False,-1
ADCY1,0.012776299,False,-1
ADCY4,0.038913663,False,-1
ADCYAP1,0.09684409,False,-1
ADD2,0.009139743,False,0
ADD3-AS1,0.032005828,False,-1
ADGB,6.2058784e-06,False,0
ADGRA1,0.0022842893,False,-1
ADGRB3,0.020684306,False,-1
ADGRE2,5.9395617e-05,True,0
ADGRF5,0.023557523,False,0
ADGRG6,0.046398085,False,-1
ADGRL2,0.04051238,True,0
ADGRL3,0.024573825,False,-1
ADGRL4,0.040184703,False,0
ADNP,0.018353652,False,0
ADNP2,0.015944997,False,-1
ADORA3,0.046398077,False,-1
ADRA1B,0.029330652,False,-1
AFAP1L2,0.02163034,False,-1
AFF3,0.020522403,False,-1
AFF4,0.017869389,False,0
AGAP2,0.08857547,False,-1
AGTPBP1,0.019216675,False,0
AHCTF1,0.03139597,False,0
AHDC1,0.052807465,False,-1
AHR,0.03361583,False,-1
AK5,0.0065632607,False,0
AKAP12,3.8043465e-06,False,0
AKAP5,0.04688775,False,-1
AKAP6,0.14089446,False,-1
AKAP7,0.1255691,False,-1
AKNA,2.060557e-05,False,0
AKR1A1,0.064340614,False,-1
ALCAM,0.00056314445,False,0
ALDH1A2,0.046398085,False,-1
ALG13,0.10406558,False,-1
ALOX5,0.009395523,True,0
AMMECR1,0.03469264,False,-1
AMOT,0.022326509,False,0
AMOTL1,0.021045621,False,0
AMPD3,0.06433951,False,-1
AMPH,0.03633729,False,-1
ANK2,0.10406558,False,-1
ANK3,0.05469202,False,1
ANKMY1,0.036253396,False,-1
ANKRD18A,0.0026847902,False,0
ANKRD28,0.022782208,False,0
ANKRD30BL,0.0012728809,False,0
ANKRD31,0.09066993,False,-1
ANKRD33B,0.12233977,False,-1
ANKRD45,0.1015498,False,-1
ANKRD46,0.08445096,False,-1
ANKRD6,0.024091326,False,0
ANKRD7,0.024285164,False,-1
ANKS1B,0.019271929,False,-1
ANO2,0.033616643,False,-1
ANO3,0.034095276,False,0
ANO6,0.04226127,False,-1
ANOS1,0.027669476,False,-1
ANXA1,0.0032398293,False,-1
ANXA11,0.06725999,False,-1
ANXA2,0.010329786,False,0
ANXA4,0.043069642,False,0
AOAH,0.046398085,False,-1
AP1S2,0.03558612,False,-1
AP3S1,0.027176037,False,-1
APBA1,0.012681279,False,-1
APBB1IP,0.023895672,False,0
APBB2,0.022400226,False,0
APC,0.024241276,False,-1
APLF,0.1255691,False,-1
APOBEC3G,0.03115116,False,-1
APOL2,0.0048207915,False,0
APOLD1,0.0044206507,False,0
APP,0.025147311,False,-1
AQP11,0.010584262,False,0
AQP4,0.057536885,False,-1
AR,1.9951136e-05,False,0
ARFGEF3,0.031874426,False,-1
ARHGAP10,0.004420692,False,0
ARHGAP15,0.02797032,True,0
ARHGAP18,0.08857553,False,-1
ARHGAP22,0.029000603,False,0
ARHGAP24,0.018906109,False,-1
ARHGAP25,0.03196708,False,0
ARHGAP29,0.046398085,False,-1
ARHGAP39,0.048303593,False,-1
ARHGAP44,0.1255691,False,-1
ARHGAP5,0.015335689,False,-1
ARHGAP6,0.011529552,True,0
ARHGEF28,0.017682912,False,0
ARHGEF3,0.009475351,False,0
ARHGEF4,0.09570111,False,-1
ARHGEF6,0.040125564,False,-1
ARID3A,0.017963449,False,0
ARID3B,0.046398085,False,-1
ARID5A,0.032266386,False,-1
ARID5B,0.026025018,False,-1
ARL15,0.034249596,False,-1
ARMC4,0.0294325,False,-1
ARMCX4,0.1255691,False,-1
ARNT,0.10144988,False,-1
ARNT2,0.01765083,True,0
ARNTL,0.016087372,True,0
ARNTL2,0.046398077,False,-1
ARPP21,0.057151113,False,-1
ARRDC3-AS1,0.1255691,False,-1
ARRDC4,0.036253642,False,-1
ARSG,0.11279191,False,-1
ARSJ,0.10406558,False,-1
ART3,0.033615056,False,-1
ASB7,0.023871306,False,-1
ASCC1,0.1255691,False,-1
ASIC2,0.10144971,False,-1
ASS1,0.03424959,False,-1
ASTN1,0.104762085,False,-1
ATAD2,0.10406561,False,-1
ATF2,0.016217565,False,-1
ATF5,0.063999936,False,0
ATF7IP,0.069680735,False,-1
ATG10,0.03368854,False,0
ATL1,0.0005631504,False,0
ATL2,9.766895e-07,True,0
ATOH8,0.03331202,False,0
ATP10A,0.037394036,False,0
ATP11A,0.0558046,False,-1
ATP12A,0.03132586,True,0
ATP13A3,4.2193797e-06,False,0
ATP13A5-AS1,0.008046426,False,0
ATP1B1,0.00037356137,True,0
ATP1B3,0.024051758,False,0
ATP2C1,0.0054649212,False,-1
ATP8A1,0.010146998,False,0
ATP8B1,0.044080466,False,-1
ATP8B4,0.026377803,False,-1
ATRNL1,0.005464906,False,-1
ATXN1,0.021666333,False,-1
AUTS2,0.018993864,False,-1
AVEN,0.1255691,False,-1
AZIN2,0.0042907475,False,0
B3GALT5,0.1255691,False,-1
B3GLCT,0.10588561,False,-1
B4GALT6,0.017900102,False,-1
BAALC-AS1,0.048303593,False,-1
BACE2,0.0014358705,False,0
BACH1,0.015335689,False,-1
BACH2,0.037194595,False,-1
BAG3,0.021291858,False,-1
BAMBI,0.043227203,False,-1
BARD1,0.02933788,False,-1
BARX2,0.041243218,False,-1
BASP1,0.027254786,False,0
BATF,0.01739161,False,0
BAZ1A,0.022752667,False,0
BBOX1,0.04322716,False,-1
BBS9,0.0005631386,True,0
BBX,0.014436822,False,-1
