gene,score,validation,label
A4GALT,0.029049182,False,-1
AAGAB,0.003318019,False,0
ABCA1,0.20071845,False,-1
ABCA4,0.08191366,False,-1
ABCB4,0.0003713808,False,0
ABCG2,0.2955297,False,-1
ABHD12,0.01355229,False,0
ABHD17C,0.12211721,False,-1
ABI2,0.00373302,False,0
ABL1,0.17585224,False,-1
ABLIM1,0.13183229,False,-1
ABRACL,0.6862231,False,-1
ACBD6,0.30674583,False,-1
ACE,0.1930077,False,-1
ACER1,0.5569521,False,-1
ACP7,0.0005197048,False,0
ACSBG1,0.0023015542,False,-1
ACTA2,0.010010337,False,0
ACTB,0.019968454,False,-1
ACTN2,0.06250458,False,-1
ACTR6,0.0025353825,True,0
ACVR1,0.19574308,False,-1
ACVR1C,0.13994095,False,-1
ACVR2A,0.025351785,False,0
ACYP2,0.0207109,True,0
ADAM15,6.429275e-05,False,0
ADAM20,0.0025771265,False,-1
ADAM28,0.7718153,False,-1
ADAM32,0.15387206,False,-1
ADAMTS1,0.15158188,False,-1
ADAMTS10,0.059899293,False,0
ADAMTS16,0.687889,False,1
ADAMTS7,0.0049668215,False,0
ADAMTS9,0.04231486,False,-1
ADARB1,0.19624631,False,-1
ADARB2,8.5147345e-05,False,0
ADCY1,0.0012678293,False,-1
ADCY2,0.15396269,False,1
ADCY3,0.029399768,False,0
ADCY7,0.019408436,False,-1
ADCY9,0.21023081,False,-1
ADD3,0.09968723,False,1
ADD3-AS1,0.21618816,False,-1
ADGRB3,0.4767726,False,1
ADGRD1,0.04541776,False,0
ADGRE5,0.01941271,False,-1
ADGRF3,0.016244875,False,-1
ADGRG5,0.07098962,False,-1
ADGRG7,0.0568947,False,-1
ADGRL3,0.022964427,False,0
ADGRV1,0.00015925715,True,0
ADH5,0.026805561,False,0
ADK,0.08379636,False,0
ADNP,0.1504285,False,-1
ADNP2,0.0049065794,False,0
ADORA2A-AS1,0.24579944,False,-1
ADRA1A,0.8974161,False,-1
ADRA2C,0.18505402,False,-1
AFAP1,0.029590089,False,0
AFF3,0.062335666,False,-1
AFF4,0.1749642,False,-1
AGAP1,0.11857131,False,0
AGAP2,0.1850534,False,-1
AGMO,0.9695934,True,1
AGRN,0.669874,False,-1
AGTR1,0.28298908,False,-1
AHCTF1,0.06022097,False,0
AHCYL2,0.06749824,False,0
AHDC1,0.080864504,False,-1
AHNAK,0.057889733,False,-1
AHR,0.037269514,False,0
AHRR,0.14277148,False,-1
AIG1,0.3064632,False,-1
AIRE,0.020710919,False,0
AK5,0.15774891,False,-1
AKNA,0.18729849,False,-1
AKR1C3,0.0027350308,True,0
ALCAM,0.0016732392,False,0
ALDH1A1,2.2305617e-08,False,0
ALDH1A2,0.27523044,False,0
ALDOC,0.027625917,False,-1
ALG8,0.00280336,True,0
ALK,0.009971965,False,0
ALPK2,0.04485603,False,-1
ALX1,0.020152872,False,0
ALX4,0.0034364264,False,-1
AMER2,0.0034295812,False,0
AMMECR1,0.0038906753,False,0
AMPH,0.9695933,False,1
ANAPC10,0.055564087,False,-1
ANGPT1,0.0081886,False,0
ANGPT2,0.028159127,False,-1
ANGPT4,0.0135489,False,0
ANK3,0.2653067,False,1
ANKEF1,0.11846132,False,0
ANKIB1,0.19624634,False,-1
ANKMY1,0.30674574,False,-1
ANKRD17,0.19624631,False,-1
ANKRD24,0.007905344,False,0
ANKRD30B,0.057889316,False,-1
ANKRD30BL,0.2652871,False,-1
ANKRD44,0.19624642,False,-1
ANKRD45,0.0039766696,False,-1
ANKRD50,0.09531077,True,0
ANKRD6,0.100692995,False,-1
ANKRD65,0.017858313,False,0
ANKS1B,0.9520224,False,-1
ANO1,0.02908209,False,0
ANO10,0.19981758,False,-1
ANO5,0.09447368,False,-1
ANOS1,0.08664069,False,0
ANP32E,0.06812062,False,-1
ANPEP,0.013545292,False,0
ANTXR2,0.15037192,False,1
ANXA11,0.005154418,False,0
ANXA2,0.0028025708,False,0
ANXA4,0.20824504,False,-1
AP1S2,0.15003772,False,1
AP3B2,0.94490236,False,-1
APBA1,0.241279,False,0
APBB1IP,0.09407368,False,-1
APBB2,0.28641868,False,1
APCDD1,0.1534352,True,0
APEX2,0.014142497,False,0
APLF,0.121764176,False,-1
APOBEC3A,6.4444605e-05,False,0
AQP1,0.0005845078,False,-1
AQP4,0.0015604597,True,0
AQP4-AS1,0.13994102,False,-1
AR,0.08392928,False,-1
ARHGAP10,0.0027349438,False,0
ARHGAP12,0.22506654,False,1
ARHGAP15,0.3595028,False,-1
ARHGAP20,0.5725358,False,-1
ARHGAP24,0.04090908,True,0
ARHGAP30,0.07098962,False,-1
ARHGAP31-AS1,0.14660487,False,-1
ARHGAP44,0.05781594,False,-1
ARHGAP5,0.17806877,False,0
ARHGAP6,0.011230191,True,0
ARHGDIB,0.19126214,False,-1
ARHGEF10L,0.023152113,False,-1
ARHGEF12,0.13691863,False,0
ARHGEF28,0.3171947,False,-1
ARHGEF4,0.0001593173,False,0
ARHGEF40,0.2134366,False,-1
ARHGEF6,0.27402788,False,-1
ARID1A,0.11859199,False,0
ARID3A,0.08965309,False,-1
ARID3B,0.08180533,True,0
ARID5A,0.0018205366,False,-1
ARID5B,0.006267259,False,0
ARL17B,0.0009650321,False,0
ARMC2,0.11280691,False,0
ARMC4,0.17896494,False,-1
ARNT,0.18874922,False,0
ARNT2,0.20797338,False,-1
ARNTL,0.10847571,False,0
ARNTL2,0.9449025,False,-1
ARPC1A,0.30674574,False,-1
ARPIN,0.24579693,False,-1
ARPP21,0.8641709,False,1
ARSE,0.4346688,False,-1
ARSJ,0.94490224,False,-1
ART3,0.00038130645,False,0
ASAP2,0.13604024,False,-1
ASAP3,0.008700705,False,-1
ASB1,0.013049679,False,0
ASCC1,0.15486889,False,-1
ASCL1,0.00015927052,True,0
ASH2L,0.011864424,True,0
ASPN,0.0012646713,False,0
ASPSCR1,0.0373879,False,-1
ASXL3,0.1520194,True,0
ATCAY,0.8862828,False,-1
ATF1,0.118591934,False,0
ATF2,0.19847964,False,-1
ATF3,0.94490224,False,-1
ATF4,0.05477209,False,-1
ATF5,0.01785384,True,0
ATF6B,0.011082514,False,-1
ATF7,0.0352636,False,0
ATF7IP,0.3064632,False,-1
ATG10,0.13176046,True,0
ATG7,0.18505247,False,-1
ATL1,0.5264178,False,1
ATM,0.21023081,False,-1
ATOH7,0.9640405,False,-1
ATP13A4,0.01534896,False,-1
ATP1A2,0.9695933,False,1
ATP1B2,0.026414782,False,-1
ATP1B3,0.020467222,True,0
ATP2B1,0.0052237147,True,0
ATP2B4,0.112511694,False,-1
ATP6V0C,0.94490224,False,-1
ATP8A1,0.77182084,False,-1
ATRNL1,0.35056564,False,1
ATXN1,0.23035891,False,-1
ATXN7L1,0.18989968,False,-1
AUTS2,0.23406993,False,-1
AVEN,0.0337802,False,-1
B3GALT2,0.008079971,False,0
B3GAT1,0.676913,False,-1
B3GAT2,0.16298577,False,-1
B3GNT5,0.160862,False,-1
BAALC,0.24314423,False,-1
BACH1,0.15643543,False,-1
BACH2,0.35046276,False,0
BAIAP2L1,0.04541861,False,0
BANK1,0.036363207,False,-1
BASP1,0.1372888,False,-1
BATF,0.0293565,False,-1
BATF3,0.035683203,False,-1
BBIP1,0.18505344,False,-1
BBS9,0.118560016,False,-1
BBX,0.23921734,False,0
BCAM,0.00038132357,True,0
BCAR3,0.08960267,False,0
BCHE,0.0001890985,False,0
BCL11A,0.4252978,False,-1
BCL11B,0.06866962,False,-1
BCL3,0.07473845,False,0
BCL6,0.24245678,False,1
BCL6B,0.09215702,True,0
BCLAF1,0.23784487,False,-1
BDNF,0.31845796,False,1
BEX5,0.003215648,False,0
BGN,0.5547471,False,0
BHLHE40,0.015577834,False,1
BHLHE40-AS1,0.83634007,False,-1
BHLHE41,0.0027298112,True,0
BICC1,0.059599783,False,0
BICD2,0.008605851,False,0
BIN2,0.036893744,False,-1
BLMH,0.040889274,False,0
BMP2K,0.12496874,False,-1
BMPER,0.00043725394,False,0
BMPR1A,0.104423925,False,0
BMPR1B,0.002202695,False,0
BMT2,0.0454189,False,0
BMX,0.21343143,False,-1
BNC1,0.10286383,False,-1
BNC2,0.030082462,False,0
BNIPL,0.08392902,False,-1
BPTF,0.15527408,True,0
BRCA2,0.36884183,False,-1
BRD3,0.025354242,False,0
BRF2,0.0059159575,False,0
BRINP2,0.813154,False,-1
BRINP3,0.8641713,False,1
BSG,0.015122275,False,-1
BST2,0.43466774,False,-1
BTBD11,0.89741594,False,-1
BTBD3,0.18253046,False,1
BTBD8,0.0038562184,False,-1
BTF3,0.18505296,False,-1
BTG1,0.054885533,False,-1
BTLA,0.09618368,False,0
BUB1,0.08392933,False,-1
BUD31,0.005916308,True,0
BVES,0.32631564,False,-1
C11orf74,0.045419116,False,0
C11orf87,0.0038471825,False,0
C12orf42,0.9695934,False,1
C12orf45,6.009176e-05,False,0
C12orf75,0.08796611,False,0
C15orf41,0.4346706,False,-1
C16orf46,0.005223499,False,0
C18orf25,0.17927803,False,-1
C18orf32,0.06745745,False,0
C18orf54,0.19624634,False,-1
C19orf48,0.00026864777,False,0
C1QB,0.17058891,False,-1
C1QTNF1,0.015769007,False,-1
C1QTNF2,0.011739222,False,-1
C1RL,0.21248463,False,0
C1S,8.511827e-05,False,0
