gene,score,validation,label
AAGAB,0.0015816989,False,0
AAMDC,0.09300251,False,-1
AATF,0.105348155,False,-1
ABCA1,0.15660986,False,-1
ABCC4,0.105348155,False,-1
ABCG2,0.1865318,False,-1
ABHD12,0.093001924,False,-1
ABHD17C,0.11105744,False,0
ABHD18,0.014103844,False,0
ABHD2,0.0015811237,False,0
ABHD3,0.08387599,False,-1
ABHD5,0.1554393,False,-1
ABLIM1,0.16492732,False,0
ABLIM2,0.09096301,False,-1
ABLIM3,0.00031458848,True,0
ABR,0.14659344,True,0
ACBD6,0.009125508,False,0
ACTA2,0.18767346,False,0
ACTN1,0.18767472,True,0
ACVR1,0.14123185,False,0
ACVR1C,0.1554393,False,-1
ADAM22,0.00031458758,False,0
ADAM23,0.1343846,True,1
ADAM28,0.0059051123,False,0
ADAM9,0.006733036,False,0
ADAMTS1,0.120041355,False,-1
ADAMTS12,0.12238736,False,-1
ADAMTS17,0.0015811492,False,0
ADAMTS6,0.17817487,True,0
ADAMTS8,0.0015811559,False,0
ADAMTS9,0.23181105,False,-1
ADARB2,0.19607224,False,0
ADCY1,0.18473661,False,-1
ADCY2,0.13972472,False,1
ADCY7,0.13096377,False,-1
ADD2,0.09281469,False,0
ADD3-AS1,0.24233201,False,0
ADGRA3,0.19099925,False,-1
ADGRB3,0.16206077,False,-1
ADGRE2,0.0015811431,False,0
ADGRF5,0.14784628,False,0
ADGRL2,0.1492586,False,0
ADGRL3,0.15801418,False,0
ADGRL4,0.23181109,False,-1
ADGRV1,0.26869377,False,-1
ADK,0.20579553,False,1
ADNP,0.113689914,False,-1
ADNP2,0.16290882,False,0
ADRA1A,0.11409973,False,-1
AFAP1,0.022891356,False,-1
AFAP1L2,0.15861301,False,-1
AFF1,0.03182542,False,0
AFF3,0.11933798,False,-1
AFF4,0.13951579,False,0
AGAP2,0.13844724,False,0
AGAP2-AS1,0.009452804,False,0
AGBL3,0.0005312521,False,0
AGGF1,0.0930035,False,-1
AGL,0.02407045,False,0
AHCTF1,0.11520014,True,0
AHCYL2,0.0071989084,False,0
AHNAK,0.20394018,False,0
AHR,0.11042084,False,0
AK5,0.19607224,True,0
AKAP12,0.11942482,False,-1
AKAP13,0.06301872,False,0
AKR1A1,0.0057248296,False,-1
AKR1C1,0.15861323,False,-1
ALDH1A2,0.11191189,False,-1
ALG14,0.105348155,False,-1
AMOTL1,0.07373399,False,0
ANGPT2,0.040433522,True,0
ANGPTL1,0.10342833,False,0
ANK1,0.00047873126,True,0
ANKH,0.0004773119,False,0
ANKMY1,0.02407053,False,0
ANKMY2,0.00031458758,False,0
ANKRD26,0.11239142,False,-1
ANKRD29,0.15981378,False,0
ANKRD46,0.003050888,False,0
ANKRD50,0.14725797,False,-1
ANKRD6,0.15473586,False,-1
ANO10,0.09658028,False,-1
ANO2,0.10342837,True,0
ANO3,0.18767412,False,0
ANO5,0.045211256,False,-1
ANTXR1,0.12565738,False,-1
ANTXR2,0.02394027,True,0
ANXA1,0.2436059,False,0
ANXA11,0.11660868,False,-1
ANXA2,0.14191942,False,-1
ANXA4,0.09300324,False,-1
AOAH,0.13211025,False,-1
AP1S3,0.08650885,False,-1
AP3B2,0.18767309,False,0
AP3S1,0.1554393,False,-1
AP4S1,0.12915972,False,-1
APBA1,0.11624615,False,-1
APCDD1,0.16542867,False,-1
APEX2,0.00070466916,True,0
AQP1,0.087187804,True,0
AQP4,0.11041334,False,-1
AR,0.18767348,False,0
ARFGAP1,0.1123914,False,-1
ARHGAP10,0.12780795,False,-1
ARHGAP12,0.16076995,False,0
ARHGAP15,0.18271285,False,-1
ARHGAP18,0.24360578,False,0
ARHGAP20,0.16860676,False,-1
ARHGAP22,0.0071989116,False,0
ARHGAP24,0.00038640568,False,0
ARHGAP29,0.15475671,False,-1
ARHGAP6,0.055301256,False,-1
ARHGEF11,0.012295457,False,-1
ARHGEF28,0.078771,False,-1
ARHGEF3,0.015465121,True,0
ARHGEF6,0.08939707,False,-1
ARID3A,0.012296366,False,-1
ARID5A,0.07170427,False,-1
ARID5B,0.009128622,True,0
ARL15,0.19880126,False,-1
ARL6,0.13424248,False,0
ARMC2,0.21060008,False,-1
ARMCX4,0.105348155,False,-1
ARNT2,0.20579548,False,1
ARNTL,0.13437647,False,-1
ARNTL2,0.15636244,False,-1
ARPP19,0.09281387,False,0
ARPP21,0.12261687,False,1
ARRB1,0.14004332,False,-1
ARRDC4,0.08387577,False,-1
ARSB,0.21060005,False,-1
ARX,0.122387916,False,-1
ASAP1,0.082045965,False,-1
ASB7,0.16124354,False,-1
ASCL1,0.122387774,False,-1
ASIC2,0.15861309,False,-1
ASPH,0.064254396,False,-1
ASPSCR1,0.10534813,False,-1
ASTN1,0.0028283976,False,-1
ASXL3,0.14837798,False,-1
ATAD5,0.008822289,False,0
ATCAY,0.122387126,False,-1
ATF2,0.16183247,False,-1
ATF3,0.0012433175,False,0
ATF6B,0.024070432,False,0
ATG10,0.11624615,False,-1
ATG5,0.0963096,False,-1
ATP10A,0.16974421,False,-1
ATP10D,0.022889096,False,-1
ATP13A5,2.7130163e-05,False,0
ATP1A2,0.14363627,False,-1
ATP1A3,0.18034099,False,-1
ATP1B2,0.15397257,False,-1
ATP2B2,0.17995678,False,-1
ATP6V1A,0.096759535,False,-1
ATP8A1,0.16605978,False,-1
ATP8A2,0.0001672818,False,0
ATP8B1,0.16605978,False,-1
ATP8B4,0.1792241,False,0
ATRNL1,0.14391334,False,-1
AUTS2,0.12879898,False,-1
AZIN1-AS1,0.11191198,False,-1
B2M,0.23181096,False,-1
B3GALNT2,0.12915973,False,-1
BAALC,0.11669305,False,-1
BACH1,0.08155193,False,0
BACH2,0.07466193,False,0
BAG3,0.034982946,False,-1
BANP,0.09300279,False,-1
BARD1,0.12915973,False,-1
BARX2,0.13931854,False,0
BASP1,0.15809107,False,-1
BATF,0.18131275,False,-1
BAZ1A,0.12915973,False,-1
BBS9,0.0758741,False,-1
BBX,0.15293714,False,1
BCAP29,0.012637022,False,0
BCAR3,0.18547988,False,0
BCAT1,0.09300181,False,-1
BCHE,0.022889627,False,-1
BCL11A,0.124672584,False,-1
BCL11B,0.13162358,False,-1
BCL6,0.001588489,False,0
BCLAF1,0.04898946,True,0
BDKRB2,0.105348155,False,-1
BEND3,0.12735708,False,0
BEND6,0.08253941,False,-1
BEX1,0.12271309,False,-1
BHLHE22,0.16807863,False,-1
BHLHE40,0.13935696,True,1
BICC1,0.043888673,False,-1
BIN3,0.105348155,False,-1
BMP6,0.15861247,False,-1
BMPER,0.06674552,False,0
BMPR1A,0.15057144,False,-1
BMPR1B,0.15001263,False,-1
BNC1,0.0007601666,False,0
BNC2,0.1115428,False,-1
BOC,0.13868979,True,0
BRCA1,0.105348155,False,-1
BRCA2,0.031423368,False,-1
BRF1,0.00070472754,False,0
BRINP2,0.012633041,True,0
BRINP3,0.12088772,False,-1
BTBD10,0.1425172,False,-1
BTNL8,0.14015068,False,-1
BVES,0.17708255,False,-1
C10orf67,0.007965559,False,0
C15orf41,0.14003973,False,-1
C16orf87,0.13089517,False,-1
C2orf27A,0.15792748,False,0
C2orf73,0.05785775,False,-1
C3,0.14006682,False,0
C5,0.0015817666,False,0
C8orf88,0.0015811869,False,0
C9orf16,0.18223834,False,-1
C9orf170,0.009444089,False,0
CA2,0.1960722,False,0
CA3,0.13031276,False,-1
CA3-AS1,0.21060002,False,-1
CABLES1,0.057867203,False,-1
CABP1,0.19099945,False,-1
CACNA1A,0.08228797,False,-1
CACNA1B,0.12900674,False,-1
CACNA1C,0.106954895,False,1
CACNA1D,0.045626234,True,1
CACNA2D1,0.15456243,True,1
CACNB2,0.23287505,False,-1
CACNB4,0.092827104,True,0
CACNG8,0.12284379,False,0
CADM1,0.1513133,False,1
CADM2,0.12008821,False,1
CADPS,0.1446737,False,-1
CADPS2,0.13749345,False,0
CALM3,0.15913719,True,0
CALN1,0.15543929,False,-1
CAMK1D,0.12550305,False,-1
CAMK2A,0.06674909,False,0
CAMK2B,0.1180958,False,-1
CAMK2D,0.124024585,False,-1
CAMK4,0.06976452,False,-1
CAMKK1,0.0025567596,False,0
CAP2,0.1909993,False,-1
