gene,score,validation,label
A2M,0.04789929,False,-1
A2ML1,0.0569706,False,0
ABCA8,0.14582464,False,-1
ABCB4,0.04789929,False,-1
ABCC11,3.400816e-06,False,0
ABCC4,0.04789931,False,-1
ABCG2,0.06151328,False,-1
ABCG4,0.29679504,False,-1
ABHD17B,0.15559204,False,0
ABHD18,0.25586808,False,-1
ABI3BP,5.7805293e-12,False,0
ABL1,0.02589648,False,0
ABLIM1,0.12107432,False,-1
ABLIM2,0.09582728,False,-1
ACAN,0.14479865,False,-1
ACAT2,0.0075434237,False,0
ACTL6A,1.4202682e-05,False,0
ACTN1,0.01880198,False,-1
ACTN2,0.038265765,False,0
ACTR3C,0.1585137,False,-1
ACTR5,0.15234296,False,-1
ACVR1,0.23113279,True,0
ADAM23,0.19979873,False,0
ADAM28,0.047899336,False,-1
ADAMTS1,0.09264095,False,-1
ADAMTS3,0.23113279,False,0
ADAMTS9,7.336816e-05,True,0
ADAMTSL1,0.09582747,False,-1
ADARB1,0.26384926,False,-1
ADCY2,0.28290147,False,1
ADCYAP1R1,0.296795,False,-1
ADD2,0.296795,False,-1
ADD3,0.26253396,False,1
ADD3-AS1,0.27586904,False,-1
ADGB,0.2802704,False,-1
ADGRF1,0.13187745,False,-1
ADGRL2,0.22218838,False,-1
ADGRL3,0.24846949,False,1
ADGRV1,0.095827155,False,-1
ADK,0.09961442,False,0
ADNP,0.18456161,False,-1
ADNP2,0.048438236,False,-1
ADO,0.24292803,False,-1
ADRA1A,0.12785602,False,-1
AFF3,0.1666687,False,-1
AFF4,0.26981515,False,-1
AGAP2,0.2316188,False,-1
AGBL4,0.016154062,False,-1
AGR2,0.13183463,False,-1
AHCTF1,0.06369861,False,-1
AHR,0.17239018,False,-1
AHRR,0.08059251,False,-1
AK5,0.2429272,False,-1
AKAP5,0.33211887,False,-1
ALDH1A2,0.094014235,False,-1
ALK,0.004498762,True,0
ALOX5,0.08408163,False,-1
ALS2,0.027474297,False,0
AMD1,0.20798297,False,-1
