gene,score,validation,label
AAMDC,0.00012095351,False,-1
ABCA1,0.51690656,False,-1
ABCA12,0.43724382,False,-1
ABCC11,0.018147554,False,-1
ABCC3,1.7406919e-16,False,-1
ABCC4,0.011187031,False,-1
ABCC8,0.00355515,False,-1
ABCF2,0.2419991,False,-1
ABCF3,0.28366232,False,-1
ABHD5,0.43724382,False,-1
ABL1,0.31127217,False,-1
ACER2,0.066284925,False,-1
ACSBG2,0.026882926,False,-1
ACTB,0.00056393485,False,-1
ACTG1,0.0005639335,False,-1
ACVR1,0.19477688,False,-1
ADAM28,0.06719259,False,0
ADAMTS1,0.22010656,False,-1
ADAMTS2,0.24181609,False,-1
ADAMTS3,0.44130763,False,1
ADAMTS5,0.3112722,False,-1
ADAMTSL1,0.01392745,False,-1
ADCY2,0.29651523,False,-1
ADCY7,0.5288379,False,1
ADCY8,0.31127217,False,-1
ADD3-AS1,0.29988712,False,-1
ADGRB3,0.43724382,False,-1
ADGRF3,0.0001209587,False,-1
ADGRG1,0.040207144,False,-1
ADGRL3,0.35101682,False,-1
ADIPOR2,0.31127217,False,-1
ADK,0.35981053,False,-1
ADNP,0.3319214,False,-1
ADPRHL1,0.100397795,False,-1
ADRA1A,0.43724385,False,-1
AFAP1-AS1,0.011186034,False,-1
AFF1,0.23153746,False,-1
AFF2,0.516913,False,-1
AFF4,0.22947274,False,-1
AGAP2,0.519331,False,-1
AGGF1,0.2836623,False,-1
AHCTF1,0.36392882,False,-1
AHDC1,0.15846932,False,-1
AHR,0.33391574,False,-1
AHRR,0.0071970373,False,-1
AK5,0.30813172,False,-1
AKAP13,0.1584693,False,-1
ALCAM,0.31127217,False,-1
ALOX12-AS1,1.4245995e-06,False,-1
ALOX5,0.01118564,False,-1
ALX4,0.014155507,False,-1
AMDHD1,2.4376557e-05,False,-1
AMMECR1,0.43724382,False,-1
AMOTL1,0.31127217,False,-1
AMPD3,0.011185739,False,-1
ANGPT2,0.43724382,False,-1
ANKMY1,0.0042365994,False,-1
ANKRD28,0.30813175,False,-1
ANKRD30A,0.36727747,False,-1
ANKRD30BL,0.028813396,False,-1
ANKRD45,0.018932823,False,-1
ANKRD50,0.35101682,False,-1
ANKRD6,0.27347058,False,-1
ANO10,0.25825822,False,-1
ANO3,0.000120920886,False,-1
ANO5,0.5169069,False,-1
ANO7,0.030452525,False,-1
ANP32A,0.33391568,False,-1
ANTXR1,0.43724382,False,-1
ANXA4,0.06436888,False,-1
ANXA5,0.013927471,False,-1
AP1AR,0.05868638,False,-1
AP1S1,1.6206566e-05,False,-1
AP1S2,0.20600505,False,0
AP3S1,0.3584187,False,-1
APBB1IP,0.011185966,False,-1
APEX2,0.00027792202,False,0
APOBEC3H,0.034992527,False,-1
APOLD1,0.018044993,False,-1
ARAP2,0.42922166,False,-1
ARFGAP1,0.057608668,False,-1
