gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.0117424732,0.005625487744544796,0.00959388,0.021526812,0.007373563,0.009157418,0.011060693,False,False,True,False,False
ABCA1,0,0.018366161,0.0047504324744892966,0.02427232,0.018767389,0.012110843,0.021176707,0.015503546,False,False,False,True,False
ABCC9,0,0.0164195956,0.008425891861517498,0.00814967,0.01347725,0.009798688,0.02676552,0.02390685,True,False,False,False,False
ABCG2,0,0.0117424818,0.005625484029838472,0.009593917,0.021526812,0.007373563,0.009157418,0.011060699,False,False,False,True,False
ABHD3,0,0.003908456636,0.00317142350052583,0.00010122198,0.0064195353,0.004038649,0.0014308445,0.0075520324,True,False,False,False,False
ABL1,0,0.0386440778,0.007238463775530772,0.029460527,0.038101114,0.0460076,0.045653768,0.03399738,False,False,True,False,False
ABLIM1,0,0.022380603,0.004256208747353212,0.022935178,0.025157092,0.019554961,0.016820688,0.027435096,True,False,False,False,False
ABRA,0,0.0203533037,0.018736687393042472,0.0082169175,0.010606587,0.05347454,0.013785726,0.015682748,True,False,False,False,False
ABTB2,0,0.01317121,0.007491931042244283,0.007878507,0.011520691,0.02626188,0.008771212,0.01142376,False,False,True,False,False
ACSBG1,0,0.0181641734,0.004059252004099684,0.02509167,0.017177273,0.014765409,0.017933419,0.015853096,False,False,True,False,False
ACTB,0,0.013154225299999999,0.005239910319615328,0.012924341,0.012137492,0.005899997,0.0142436335,0.020565663,False,True,False,False,False
ACTG1,0,0.013453255219999998,0.012738708531150474,0.007951043,0.01136007,0.0014445191,0.03504668,0.011463964,False,True,False,False,False
ACTRT1,0,0.027339998100000002,0.025391242871270068,0.0149569465,0.013959904,0.072435476,0.02128093,0.014066734,False,False,False,True,False
ACVR1,0,0.035388009399999996,0.008790776129042607,0.021417905,0.032645047,0.040424716,0.043764517,0.038687862,False,True,False,False,False
ACVR1C,0,0.0128751995,0.005753135126524711,0.0097685745,0.023025235,0.011983864,0.009825838,0.009772486,False,False,True,False,False
ADAM28,0,0.0061130553599999995,0.0018700006466631364,0.004222772,0.008569987,0.0050869,0.00761154,0.0050740778,False,False,False,True,False
ADAM32,0,0.01658018746,0.010526829253913362,0.028352499,0.019400416,0.0034995733,0.007935305,0.023713144,False,False,False,False,True
ADAM33,0,0.0098110462,0.0010741854974475773,0.008206433,0.01067514,0.010177465,0.010736276,0.009259917,False,False,False,False,True
ADAMTS1,0,0.0211818126,0.009078104803755122,0.030696856,0.01828947,0.029784234,0.018088235,0.009050268,False,True,False,False,False
ADAMTS17,0,0.01057261372,0.0030815835808899444,0.009858281,0.015555049,0.0073613296,0.010987316,0.009101093,False,False,False,False,True
ADAMTS20,0,0.0385720768,0.017085373978201857,0.03158422,0.06077174,0.05138974,0.030425338,0.018689346,False,True,False,False,False
ADAMTS3,0,0.035388009399999996,0.008790776129042607,0.021417905,0.032645047,0.040424716,0.043764517,0.038687862,False,True,False,False,False
ADAMTSL3,0,0.035388009399999996,0.008790776129042607,0.021417905,0.032645047,0.040424716,0.043764517,0.038687862,False,True,False,False,False
ADARB2-AS1,0,0.0216061557,0.012162217600252254,0.03882567,0.0151304295,0.015396176,0.029448403,0.0092301,True,False,False,False,False
ADCY7,1,0.012180341700000001,0.0035299313709833574,0.0114874365,0.010264362,0.0181975,0.011831972,0.009120438,False,False,False,False,True
ADCY8,0,0.0164417022,0.002097901019690086,0.017026043,0.01781823,0.012839339,0.017985014,0.016539885,False,False,False,True,False
ADD3,0,0.027701935599999998,0.0060460919912258436,0.021845058,0.030683823,0.03501458,0.021027489,0.029938728,False,True,False,False,False
ADD3-AS1,0,0.0272465782,0.00930687803353752,0.03913809,0.015747476,0.031412885,0.029715138,0.020219302,False,False,False,True,False
ADGRE2,0,0.009288817080000001,0.0022179499495504702,0.0077188844,0.013174813,0.008298777,0.008980916,0.008270695,True,False,False,False,False
ADGRL3,0,0.027227143,0.00520163853603343,0.023818545,0.03130425,0.03345774,0.020830756,0.026724424,False,True,False,False,False
ADNP,0,0.0226340726,0.0032742755670536194,0.021152155,0.024647053,0.02611835,0.017759899,0.023492906,False,False,True,False,False
ADNP2,0,0.035388009399999996,0.008790776129042607,0.021417905,0.032645047,0.040424716,0.043764517,0.038687862,True,False,False,False,False
ADORA3,0,0.0061130553599999995,0.0018700006466631364,0.004222772,0.008569987,0.0050869,0.00761154,0.0050740778,True,False,False,False,False
ADRA1A,0,0.0115685061,0.005200415983662393,0.010546885,0.0081378035,0.020719005,0.008673607,0.00976523,False,False,False,False,True
AEBP1,0,0.026422621199999996,0.011370117897633305,0.04395823,0.021804946,0.031371824,0.018935762,0.016042344,False,False,False,True,False
AFF3,0,0.032451445399999994,0.004276357980803618,0.025998825,0.03452981,0.037222292,0.033728518,0.030777782,False,False,True,False,False
AFF4,0,0.0293620746,0.005035970065520427,0.024903322,0.034943964,0.034658972,0.027084922,0.025219193,False,True,False,False,False
AHCTF1,0,0.022545847200000003,0.0026048400398625622,0.02150258,0.023844762,0.024414718,0.01843271,0.024534466,False,False,False,False,True
