gene,score,validation,label
ABCA1,0.06508578,False,0
ABCA12,0.10798113,False,-1
ABCC8,0.27195662,False,-1
ABCC9,0.27195653,False,-1
ABL1,0.22243203,False,-1
ACBD7,0.29054272,False,-1
ACO1,0.07220289,False,-1
ACP7,0.109131545,False,-1
ACSBG1,0.141535,False,-1
ACTG1,0.00012665789,False,-1
ACTR3C,0.07220289,False,-1
ACVR1,0.20998657,False,-1
ADAM23,0.38867787,False,-1
ADAM28,0.13073917,False,0
ADAM33,0.15916285,False,-1
ADAMTS16,0.1492727,False,-1
ADAMTS17,0.13144863,False,-1
ADAMTS20,0.06498064,False,-1
ADAMTS3,0.26853797,False,1
ADAMTS9-AS1,0.13097078,False,-1
ADAMTSL3,0.38867787,False,-1
ADARB1,0.38867787,False,-1
ADARB2,0.11166204,False,-1
ADCY7,0.11166197,False,1
ADCY8,0.38867787,False,-1
ADGRA1,0.12218965,False,-1
ADGRG6,0.27195653,False,-1
ADGRL2,0.3444563,False,-1
ADGRL3,0.31094503,False,-1
ADGRV1,0.12922664,False,-1
ADNP,0.24567865,False,-1
ADNP2,0.23377638,False,-1
ADRA1A,0.21020707,False,-1
ADRB1,0.27195653,False,-1
AEBP1,0.29054272,False,0
AFF1,0.31094503,False,-1
AFF3,0.30986616,False,-1
AFF4,0.29428703,False,-1
AGAP1,0.38867787,False,-1
AGAP2,0.10472578,False,-1
AGGF1,0.12614478,False,-1
AGT,0.2934845,False,-1
AHCTF1,0.35269555,False,-1
AHCYL2,0.07220289,False,-1
AHDC1,0.31506708,False,-1
AHR,0.38867787,False,-1
AK5,0.22243203,False,-1
AKR1B1,0.00012665789,False,-1
AKR1C3,0.10473078,False,-1
ALDOC,0.002135331,False,-1
ALOX15B,0.14127494,False,-1
ALOX5,0.15757889,False,-1
ALX4,0.09855179,False,-1
AMIGO2,0.12371274,False,-1
AMPH,0.31506708,False,-1
ANG,0.21070337,False,-1
ANGPT1,0.13997918,False,0
ANGPTL4,0.11436224,False,-1
ANKH,0.38867787,False,-1
ANKRD30B,0.38867787,False,-1
ANKRD34B,0.14915434,False,-1
ANKRD44,0.21020707,False,-1
ANO6,0.347134,False,-1
AOAH,0.13912584,False,-1
AP1S2,0.3027817,False,0
AP2M1,0.00012665802,False,-1
APBB1IP,0.12726459,False,-1
