gene,score,validation,label
A1CF,0.00751716,False,0
ABCA1,0.0029059278,False,0
ABCA12,0.009087174,False,0
ABCA13,0.12177749,False,1
ABCA8,0.0016115485,False,0
ABCB11,0.04338719,False,0
ABCC3,0.008834101,False,1
ABCF2,0.008834101,False,0
ABHD12B,0.018982297,True,0
ABI3BP,0.004200574,False,0
ABL1,0.02006257,False,0
ABL2,0.008634899,False,0
ACSBG1,0.003445169,False,0
ACSL3,0.02627912,False,0
ACTG1,0.0026098385,True,0
ADA,0.0016115446,False,0
ADAD2,0.009087171,False,0
ADAM12,0.012387109,True,0
ADAM33,0.029028922,False,0
ADAMTS1,0.022872929,False,0
ADAMTS17,0.020047186,True,0
ADAMTS3,0.030937796,False,0
ADAMTS9-AS1,0.0025687364,False,0
ADAMTSL1,0.012387103,False,0
ADAMTSL4-AS1,0.0003163757,False,0
ADARB1,0.030937796,False,0
ADARB2,0.00326113,False,0
ADCY2,0.0322466,True,0
ADCY8,0.030937796,True,0
ADD3,0.032566294,False,0
ADD3-AS1,0.043606337,False,0
ADGRG1,0.0064943987,False,0
ADGRL2,0.035456672,False,0
ADGRL3,0.032967523,False,0
ADNP,0.028885502,False,0
ADNP2,0.046047192,False,0
ADRA1A,0.028881041,False,0
AEBP1,0.02347556,False,0
AFF4,0.029048115,False,0
AGAP2,0.030937796,False,0
AGBL3,0.026943991,False,0
AHCTF1,0.021991912,False,0
AHDC1,0.05457932,True,1
AHR,0.038177606,False,0
AHRR,0.014209235,False,0
AIF1,0.0053970977,False,0
AK5,0.024201944,False,0
AKAP13,0.025233831,True,0
AKAP7,0.014005009,False,0
ALCAM,0.023231912,False,1
ALDH1A2,0.030937796,True,0
ALDOC,0.0015940625,True,0
ALK,0.023557043,False,0
AMOT,0.020078871,False,0
AMZ1,0.0074990382,False,1
ANAPC10,0.014696183,False,0
ANGPT1,0.015281938,False,0
ANGPTL4,0.0016115431,True,0
ANK1,0.00011238778,True,0
ANKMY1,0.014696183,False,0
ANKRD28,0.031796407,False,0
ANKRD30B,0.039607123,False,0
ANKRD34B,0.033864327,True,0
ANKRD44,0.030937796,False,1
ANKRD50,0.052000735,True,0
ANKRD6,0.012387109,False,0
ANLN,0.0012863807,False,0
ANO1,0.005399395,False,0
ANOS1,0.04338719,False,0
ANXA1,0.0142100435,True,0
ANXA4,0.028199758,False,0
AP1S2,0.038281057,True,0
AP2M1,0.0015541437,False,0
APBA1,0.02705179,False,0
APBB2,0.023654262,True,0
APCDD1,0.009639709,True,0
APOD,0.0025513126,False,0
APOE,0.032529693,True,0
APOL6,0.005118178,False,0
AQP4,0.014696183,False,0
ARF3,0.020675695,False,0
ARFGAP1,0.0105271535,False,0
ARHGAP12,0.033287868,False,0
ARHGAP18,0.035166655,False,0
ARHGAP20,0.0309378,False,0
ARHGAP23,0.01421015,False,0
ARHGAP24,0.02342997,False,0
ARHGAP26,0.030937796,False,0
ARHGAP42,0.051744882,False,0
ARHGAP6,0.0028019089,False,0
ARHGDIA,0.003405231,False,0
ARHGDIG,0.005480522,True,0
ARHGEF26,0.0473391,False,0
ARHGEF26-AS1,0.012387109,False,0
ARHGEF28,0.045287833,False,0
ARHGEF3,0.03228202,True,0
ARHGEF40,0.005888668,False,0
ARHGEF6,0.04505736,False,0
ARID2,0.027894612,True,1
ARID3A,0.009162685,False,0
ARID3B,0.121624336,False,0
ARID5B,0.03210884,False,0
ARL15,0.04338717,False,0
ARL4C,0.034385834,False,0
