gene,score,validation,label
A1CF,0.015154422,False,0
ABL1,0.022310553,False,0
ABLIM3,0.023624297,False,0
ABRA,7.289605e-06,False,0
ACER1,0.0014337061,False,0
ACER2,0.02453428,False,0
ACTA2,0.0151546085,False,0
ACTB,0.026257403,False,0
ACTG1,0.013914895,False,0
ACTN2,0.031531237,False,0
ACTR3C,1.5555504e-08,False,0
ACVR1,0.024314677,True,0
ADAM32,0.023624303,False,0
ADAMTS19,0.027902003,False,0
ADAMTS3,2.5507139e-05,False,0
ADAMTSL1,0.023624297,False,0
ADAMTSL3,0.027902009,False,0
ADARB1,0.027902003,False,0
ADCY2,0.017094666,False,0
ADD3,0.027902003,True,0
ADD3-AS1,0.027286643,False,0
ADGRB2,0.03452818,False,0
ADGRF2,1.5545774e-08,True,0
ADGRF5,0.0151546085,False,0
ADGRG7,0.0042578042,False,0
ADGRL2,0.017094666,True,0
ADGRL3,0.019403668,False,0
ADNP,0.01729294,False,0
ADNP2,0.029410966,False,0
ADRA1D,7.457919e-05,False,0
AFF1,0.02451967,False,0
AFF3,0.016003778,False,0
AFF4,0.019233597,False,0
AGBL3,0.027902009,False,0
AGBL4,0.023624297,False,0
AGGF1,0.023624297,False,0
AHCTF1,0.018805135,False,0
AHDC1,0.028796466,False,1
AHNAK,1.1869506e-05,False,0
AHR,0.018805135,False,0
AHRR,0.0014336762,True,0
AKAP12,2.2206639e-06,False,0
AKAP13,0.019233597,False,0
AKR1C3,2.220719e-06,False,0
ALCAM,7.457165e-05,False,1
ALDH1A2,0.03452818,False,0
ALX1,7.286644e-06,True,0
AMIGO2,0.037978265,False,0
ANAPC10,0.027902009,False,0
ANKMY2,0.024534287,False,0
ANKRD30B,0.028796472,True,0
ANKRD30BL,0.022481745,True,0
ANKRD33B,0.03405954,False,0
ANKRD44,0.027902003,False,1
ANKRD62,0.006045252,False,0
ANKS1A,0.0007359202,False,0
ANO10,0.01666504,False,0
ANO6,0.028796472,False,0
ANXA4,0.018488357,False,0
AP1S1,0.034528214,False,0
AP1S2,0.037978265,False,0
AP2A2,0.03452817,False,1
APBA1,0.024899472,False,0
APBA2,0.023624297,True,0
APBB2,0.020562956,True,0
APEX2,2.247148e-07,True,0
APLF,0.023624297,True,0
APOL1,3.698382e-08,False,0
ARAP2,0.020562956,False,0
ARC,0.03452818,False,0
ARFGAP1,0.00084888074,True,0
ARHGAP11B,2.5525074e-05,False,0
ARHGAP20,0.020828273,False,0
ARHGAP22,0.0007359146,False,0
ARHGAP26,0.020828284,False,0
ARHGAP6,0.020562956,False,0
ARHGAP8,0.00024456624,True,0
ARHGEF10,0.026429009,False,0
ARHGEF16,1.15625966e-07,False,0
ARHGEF28,0.028796466,False,0
ARHGEF6,0.023624297,True,0
ARID5B,0.019233597,False,0
ARL5C,1.5556987e-08,False,0
ARMC3,0.023624297,True,0
ARNT,0.028796472,True,0
ARNT2,0.021575999,False,1
ARNTL,0.017292947,True,0
ARNTL2,0.028796472,False,0
ARRB1,0.03452815,False,0
ARSB,0.023624303,False,0
ARSJ,0.027286826,False,0
ASAP2,0.028796472,True,0
ASB5,0.0120015135,False,0
ASB7,0.027760152,True,0
ASCC1,0.024534287,False,0
ASH2L,0.023624297,False,0
ASPSCR1,0.0007359139,False,0
ASXL2,0.034059532,False,0
ASXL3,0.02367616,False,0
ATF2,0.017094666,True,0
ATF3,0.0038039738,False,0
ATF7,0.002783367,False,0
