gene,score,validation,label
ABCC3,0.03169865,True,1
ABCC4,0.053788755,False,0
ABHD12B,0.030027324,True,0
ABHD17C,0.0222576,False,0
ABL1,0.023293639,False,0
ACAT2,0.026229821,False,0
ACTB,0.008478874,True,0
ACTG1,0.004437783,False,0
ACTN2,0.03002736,False,0
ACTR3C,7.2603575e-07,False,0
ACVR1,0.027523583,True,0
ADAMTS1,0.034938417,False,0
ADAMTS17,6.791668e-07,False,0
ADAMTS3,0.021342833,False,0
ADAMTS6,0.035174306,False,1
ADD3-AS1,0.0257999,True,0
ADGRL2,0.019952118,False,0
ADGRL3,0.019952118,True,0
ADGRV1,0.026229821,False,1
ADK,0.028508592,False,0
ADNP,0.028741783,False,0
ADPRHL1,0.03517431,False,0
ADRA1A,0.034938417,True,0
ADRA2A,0.0044377916,False,0
AFF4,0.023674963,True,0
AHCTF1,0.024646493,False,0
AHDC1,0.027523583,False,1
AHR,0.035845313,False,0
AKAP7,0.026229821,False,0
ALCAM,0.030506492,False,1
ALDH1A2,0.024577018,False,0
ALDH8A1,0.026229821,False,0
ALX4,0.017920105,False,0
AMMECR1,0.03517431,False,0
AMOT,0.020722656,False,0
ANGPT4,0.027938891,False,0
ANKRD30A,0.026391229,False,0
ANKRD30B,0.022307385,False,0
ANKRD31,5.0826316e-06,False,0
ANKRD44,0.034938417,False,1
ANKRD46,0.035845313,True,0
ANKRD6,0.02618245,False,0
ANKS1B,0.020787584,False,0
ANO5,0.035174306,False,0
ANO6,0.034938417,False,0
ANOS1,0.01366929,True,0
ANXA4,0.03002737,True,0
AP1S1,0.0044377916,False,0
AP2M1,0.0044377916,False,0
APBB2,0.020787584,True,0
APLP2,0.0044377916,True,0
APOLD1,5.107724e-06,False,0
AQP4-AS1,0.017602528,False,0
ARHGAP12,0.020787584,False,0
ARHGAP15,0.013669277,False,0
ARHGAP20,0.034938417,True,0
ARHGAP22,0.026229821,False,0
ARHGAP24,0.02320685,True,0
ARHGAP26,0.024577018,False,0
ARHGAP29,0.035845313,False,0
ARHGAP6,0.018716149,False,0
ARHGDIG,0.014967811,False,0
ARHGEF10,0.034938417,False,0
ARHGEF11,0.026229821,False,0
ARHGEF28,0.030027376,True,0
ARHGEF3,0.028260168,False,0
ARHGEF6,0.024577023,False,0
ARID3A,0.04887136,False,0
ARID3B,0.035174318,False,0
ARID5A,0.026229821,False,0
ARID5B,0.035845313,False,0
ARL4D,0.0044377916,False,0
ARL6IP5,0.0044377893,False,0
ARMC3,0.026229821,False,0
ARMC4,0.030027281,False,0
ARMC9,0.026229821,True,1
ARNT2,0.035845313,False,1
ARNTL,0.02225761,False,0
ARPP19,0.022241969,True,0
ARRDC3-AS1,0.02851356,False,0
ARSB,0.035845313,False,0
ARSG,0.024814159,False,0
ARSJ,0.035174318,False,0
ASAP2,0.036772355,False,0
ASB2,7.4640843e-07,False,0
ASH2L,0.026229821,True,0
ASPH,2.0438668e-08,False,0
ASXL3,0.019952115,False,0
ATF2,0.022307385,False,0
ATP13A4,0.05378874,False,0
ATP1B1,0.010395101,True,0
ATP1B3,0.025343498,False,0
ATP2A3,0.013261165,True,0
ATP2C1,0.034938417,False,0
ATP6V0B,0.004437787,False,0
ATP6V0C,0.0044377916,True,0
ATP6V0E2,0.008050803,False,0
ATP8A2,3.9227024e-12,True,0
ATP8B1,0.039686486,True,0
ATP8B4,7.34081e-17,False,0
ATRNL1,0.02703237,False,0
ATXN1,0.021375356,True,0
ATXN8OS,0.0044377893,True,0
AXDND1,0.00029340107,False,0
AXL,0.013669257,False,0
B3GALT5,0.014968029,True,0
B3GNT2,0.018824268,False,0
BAALC,0.030027337,False,0
BACH1,0.023674963,False,0
BACH2,0.025684113,False,0
BAZ1A,0.02237464,False,0
BBX,0.024824148,False,0
BCAR3,0.05378877,True,0
BCL11A,0.025396923,False,0
BCL11B,0.026685603,False,0
BCL6B,0.00029042322,False,0
BCLAF1,0.032533336,False,0
