gene,score,validation,label
ABL1,0.015975202,False,0
ACER2,0.026133375,True,0
ACO1,0.042975567,False,0
ACOT12,0.024082601,False,0
ACSBG1,0.009525684,False,0
ACTB,0.006505956,False,0
ACTG1,0.006505956,False,0
ACVR1,0.01817094,False,0
ACVR1C,0.06432219,False,0
ADAM12,0.009525688,False,0
ADAM33,0.014048982,True,0
ADAMTS17,0.01400027,False,0
ADAMTS3,0.01569454,False,0
ADAMTS6,0.013999979,True,1
ADAMTS9,0.031080198,True,0
ADAMTS9-AS1,0.009404981,False,0
ADAMTSL1,0.011264772,False,0
ADAMTSL3,0.014408328,False,0
ADARB1,0.014408328,False,0
ADARB2,0.0115105,True,0
ADCY8,0.021786729,False,0
ADCYAP1,0.008431886,True,0
ADD3,0.013411909,False,0
ADD3-AS1,0.015975202,True,0
ADGRL2,0.012436077,False,0
ADK,0.014408321,False,0
ADNP,0.013411909,False,0
ADNP2,0.008432858,False,0
ADORA3,0.014326738,False,0
ADTRP,0.026133375,False,0
AFF3,0.018161085,False,0
AFF4,0.012436077,True,0
AGAP2,0.018485013,False,0
AGGF1,0.008431878,False,0
AGMO,0.014115272,False,0
AHCTF1,0.014903648,True,0
AHDC1,0.008432858,False,1
AHR,0.012436077,False,0
AIF1L,0.009364552,False,0
AK5,0.01644516,True,0
AKAP13,0.008432858,True,0
ALCAM,0.031080596,False,1
ALDH1A2,0.015975202,False,0
ALDOC,0.020857915,False,0
ALX3,0.011690773,False,0
ANGPT1,0.026133375,False,0
ANK1,0.015128726,False,0
ANKRD30A,0.046853133,False,0
ANKRD30B,0.02031407,False,0
ANKRD30BL,0.018161085,False,0
ANKRD31,0.015975202,False,0
ANKRD44,0.019980343,False,1
ANKRD6,0.015975209,False,0
ANO2,0.0076170675,False,0
ANO6,0.018633926,False,0
ANTXR2,0.085587315,True,0
ANXA11,0.026133375,False,0
ANXA4,0.015975202,False,0
AP1S1,0.018354518,False,0
AP2M1,0.007879878,False,0
APBB1IP,0.010281302,False,0
APCDD1,0.09495825,True,0
APLP1,0.013009,True,0
APOD,0.008428112,False,0
APOE,0.01709063,False,0
AQP4,0.012773328,False,0
ARF3,0.014408328,False,0
ARHGAP12,0.012436077,False,0
ARHGAP22,0.026133375,False,0
ARHGAP24,0.026444245,False,0
ARHGAP26,0.011175438,False,0
ARHGAP36,0.01099687,False,0
ARHGAP42,0.01208538,False,0
ARHGAP6,0.014408328,False,0
ARHGDIG,0.014898741,True,0
ARHGEF10,0.014408328,True,0
ARHGEF11,0.02613337,False,0
ARHGEF28,0.023059195,True,0
ARHGEF40,1.4129473e-05,False,0
ARID3A,0.008431878,False,0
ARID3B,0.026133388,False,0
ARID5B,0.011175438,False,0
ARL4A,0.011918183,False,0
ARL4C,0.019648798,False,0
ARL6IP1,0.006505937,True,0
ARNTL,0.0104642175,False,0
ARNTL2,0.018633926,True,0
ARRDC3-AS1,0.026133375,False,0
ARSJ,0.011691196,True,0
ARX,0.013123296,False,0
ASAP2,0.011175438,False,0
ASCC1,0.026133375,True,0
ASCL1,0.029055249,False,0
ASH2L,0.0261334,False,0
ASXL3,0.018161085,False,0
ATF2,0.012436077,False,0
ATF3,0.01827118,False,0
ATF4,0.011264799,False,0
ATF7,0.06526533,False,0
ATF7IP2,0.024944594,False,0
ATOH7,0.01479896,False,0
ATP11B,0.018161085,False,0
ATP1A1-AS1,0.0099214,False,0
ATP1B1,0.018354038,False,0
ATP2C1,0.014408328,False,0
ATP2C2,0.008431886,False,0
ATP6V0C,0.021671422,True,0
ATP6V1D,0.011264789,False,0
ATP8B1,0.012436077,False,0
ATRNL1,0.012436077,False,0
ATXN1,0.013411909,True,0
ATXN7L3B,0.014057902,False,0
AVEN,0.026133375,True,1
B3GNT3,0.012398641,False,0
B3GNT8,0.0005445469,False,0
BAALC,0.014408328,True,0
BACE2,0.014408328,True,0
BACH1,0.011918183,False,0
BACH2,0.012436077,True,0
BAHD1,0.014408328,False,0
BAMBI,0.06526529,False,0
BANP,0.026133375,True,0
BARD1,0.031080604,True,0
BARHL1,0.0019995796,False,0
BAZ1A,0.018161085,True,0
BBX,0.012436077,False,0
BCAR3,0.014408328,False,0
BCL11A,0.011175438,False,0
BCL11B,0.010669998,True,0
BCL6,0.01113416,False,0
BCLAF1,0.012436077,True,0
BDKRB2,0.02479311,False,0
BDNF,0.014408328,False,0
BEX3,0.013008865,False,0
BHLHE22,0.011691357,False,0
BHLHE41,0.011264789,True,0
BICC1,0.012583419,False,0
BMP2,0.014408328,False,0
BMP5,0.011691401,False,0
BMPER,0.018633926,False,0
BMPR1B,0.014758987,False,0
BMT2,0.06526534,False,0
BNC2,0.03739709,False,0
BOC,0.018485013,False,0
BOLL,0.035215747,False,0
BPTF,0.031080758,True,0
BRF1,0.015975209,False,0
BRINP1,0.018633926,False,0
BRINP2,0.014408328,False,0
BRINP3,0.024239682,False,0
BTBD11,0.0038837183,False,0
BTBD9,0.014408328,False,0
BTF3,0.014188078,True,0
BTG2,0.009921536,False,0
BTK,0.010996787,False,1
BUB1,0.011182144,False,0
BVES,0.018187074,False,0
C11orf88,0.03739684,False,0
C11orf96,0.012398209,False,0
C19orf25,0.008431886,False,0
C1QC,0.017306477,True,0
C1QL1,0.013871669,False,0
C1QTNF7,0.01169128,False,0
C2orf88,0.0643222,False,0
C3orf67,0.018161085,False,0
C5AR2,0.010510048,False,0
C6,0.009409993,False,0
C9orf16,0.011107008,False,0
CA10,0.026133375,False,0
CA3,0.018633926,False,0
CA4,0.0065059434,False,0
CACHD1,0.014408328,False,0
CACNA1C,0.015975202,False,0
CACNA1D,0.015975202,False,0
CACNA1E,0.095198624,False,0
CACNA1G,0.014408328,False,0
CADPS2,0.011626175,False,0
CALB1,0.0123981275,True,0
CALB2,0.020591421,False,0
CALM1,0.01354519,False,0
CALN1,0.01817094,False,0
CALY,0.011264794,False,0
CAMK1D,0.015975202,False,0
CAMK2D,0.017732695,False,0
CAMK2N1,0.013888991,False,0
CANX,0.014408328,True,0
CAPS2,0.02613337,False,0
CARD11,0.023415899,False,0
CASC15,0.014408328,True,0
CASC19,0.011691522,False,0
CASC2,0.011175438,False,0
CBFA2T2,0.026133375,False,0
CBLN2,0.012436077,False,0
CBLN4,0.06526536,False,0
CBX7,0.008431886,False,0
CCDC146,0.065265276,False,0
CCDC152,0.013999703,True,0
CCDC170,0.026133375,False,0
CCDC178,0.014408328,False,0
CCDC18,0.004304895,False,0
CCDC25,0.008431886,False,0
CCDC3,0.026133388,False,0
CCK,0.006505956,False,0
CCNI,0.017334102,False,0
CD38,5.144648e-18,False,0
CD44,0.00952567,False,0
CD58,0.0003862845,False,0
CD63,0.0065059797,False,0
CD69,0.010280982,False,0
CD86,0.037398513,False,0
CDC14B,0.011420503,False,0
CDC42EP3,0.024944594,False,0
CDCA7,0.023416242,False,0
CDCA7L,0.0643226,False,0
CDH11,0.018161085,True,0
CDH12,0.04550004,False,0
CDH2,0.019490898,False,0
CDH20,0.041897375,False,0
CDH23,0.014408328,False,0
CDH4,0.026133375,True,0
CDH6,0.06526533,True,0
CDH7,0.014408328,True,0
CDH8,0.0104642175,False,0
