gene,score,validation,label
ABCG2,0.18540679,False,-1
ABHD12B,0.27094045,False,-1
ABRA,0.28998733,False,-1
ACP7,0.3039878,False,-1
ACPP,0.06608928,False,-1
ACSBG1,0.3442842,False,-1
ACTB,0.18800652,False,-1
ACTG2,0.22492173,False,-1
ACVR1,0.45704708,False,-1
ACVR1C,0.40807843,False,-1
ADAM23,0.48736718,False,-1
ADAM28,0.18546295,False,0
ADAMTS12,0.40872762,False,-1
ADAMTS3,0.4013358,True,1
ADAMTS5,0.37624872,False,-1
ADAMTS6,0.40872762,False,-1
ADARB1,0.4080784,False,-1
ADCY2,0.45336074,False,-1
ADCY7,0.33328915,False,1
ADD3-AS1,0.29037234,False,-1
ADGRL2,0.46573365,False,-1
ADGRL3,0.45812967,False,-1
ADM,0.14683945,False,-1
ADNP,0.45336074,False,-1
ADNP2,0.40701124,False,-1
ADRA1A,0.29207948,False,-1
AEBP1,0.1907453,False,-1
AFF3,0.41232806,False,-1
AFF4,0.47561795,False,-1
AGAP2,0.54482913,False,-1
AHCTF1,0.45189467,False,-1
AHR,0.50090533,False,-1
AHRR,0.47214934,False,-1
AK5,0.06149409,False,-1
AKAP13,0.54482913,False,-1
AKR1C3,0.11809793,False,-1
ALCAM,0.43254957,False,-1
ALDH1A1,0.04084043,False,-1
ALDH1A2,0.3762487,False,-1
ALOX5,0.06608994,False,-1
ALOX5AP,0.16028294,False,-1
ALX4,0.09579541,False,-1
AMIGO2,0.22701511,False,-1
AMOT,0.34080777,False,-1
AMPH,0.54482913,False,-1
ANGPTL4,0.2710228,False,-1
ANKRD30B,0.37624872,False,-1
ANKRD30BL,0.44008198,False,-1
ANKRD31,0.07846583,False,-1
ANKRD33B,0.28997573,False,-1
ANKRD44,0.37624872,False,-1
ANKRD50,0.47466415,False,-1
ANKRD6,0.40807834,False,-1
ANO2,0.04268007,False,-1
ANO6,0.4080784,False,-1
ANOS1,0.06149362,False,-1
ANPEP,0.15063195,False,-1
ANXA4,0.54482913,False,-1
AOAH,0.16027968,False,-1
AP1S1,0.22701752,False,-1
APBB1IP,0.19728334,False,-1
APCDD1,0.54482913,False,-1
APLNR,1.1890033e-10,False,-1
APOC2,0.10302245,False,-1
APOE,0.13723995,False,1
APOLD1,0.2990282,False,-1
AQP4,0.34428245,False,0
ARAP2,0.40133,False,-1
ARHGAP15,0.11129624,False,-1
