gene,score,validation,label
ABCG2,0.010475886,False,0
ABHD12B,0.014325937,True,0
ABRA,0.033518314,False,0
ACP7,0.0047254413,False,0
ACPP,0.0076828003,False,0
ACSBG1,0.010626787,False,0
ACTB,0.011188492,False,0
ACTG2,0.028724886,True,0
ACVR1,0.018242393,True,0
ACVR1C,0.031017952,False,0
ADAM23,0.019994333,False,0
ADAM28,0.010475382,False,0
ADAMTS12,0.050469704,False,0
ADAMTS3,0.030327195,False,0
ADAMTS5,0.03169201,False,0
ADAMTS6,0.050469704,False,1
ADARB1,0.031017952,False,0
ADCY2,0.017388452,True,0
ADCY7,0.019033045,False,1
ADD3-AS1,0.019559016,False,0
ADGRL2,0.020646084,False,0
ADGRL3,0.019421412,False,0
ADM,0.0141818365,False,0
ADNP,0.01738846,False,0
ADNP2,0.022417068,False,0
ADRA1A,0.0146085005,False,0
AEBP1,0.0139238965,False,0
AFF3,0.021807767,False,0
AFF4,0.03431184,False,0
AGAP2,0.024673292,False,0
AHCTF1,0.015440287,False,0
AHR,0.025830917,False,0
AHRR,0.018635567,False,0
AK5,0.0048180926,False,0
AKAP13,0.024673292,False,0
AKR1C3,0.014107643,True,0
ALCAM,0.018527964,False,1
ALDH1A1,0.0845905,False,0
ALDH1A2,0.03169201,False,0
ALOX5,0.0076827747,False,0
ALOX5AP,0.012094704,False,0
ALX4,0.012580629,False,0
AMIGO2,0.015810182,False,0
AMOT,0.028918257,False,0
AMPH,0.024673292,False,0
ANGPTL4,0.014325721,False,0
ANKRD30B,0.03169201,False,0
ANKRD30BL,0.020688254,False,0
ANKRD31,0.05128932,False,0
ANKRD33B,0.033518758,False,0
ANKRD44,0.031692,True,1
ANKRD50,0.022111187,True,0
ANKRD6,0.031017944,False,0
ANO2,0.012993391,True,0
ANO6,0.031017957,True,0
ANOS1,0.0048180902,False,0
ANPEP,0.01018178,False,0
ANXA4,0.024673292,True,0
AOAH,0.0120947445,False,0
AP1S1,0.015810234,True,0
APBB1IP,0.014085846,False,0
APCDD1,0.024673292,False,0
APLNR,0.014911104,False,0
APOC2,0.0069061136,False,0
APOE,0.0074035497,False,0
APOLD1,0.015247105,False,0
AQP4,0.010626927,False,0
ARAP2,0.030327274,False,0
ARHGAP15,0.006374401,False,0
ARHGAP20,0.031017952,False,0
ARHGAP24,0.0067862673,False,0
ARHGAP25,0.00788235,False,0
ARHGAP42,0.015440287,False,0
ARHGDIG,0.010181924,False,0
ARHGEF28,0.020799499,False,0
ARHGEF6,0.01860277,True,0
ARID3A,0.03502265,False,0
ARID3B,0.024673292,False,0
ARID5A,0.008598361,False,0
ARID5B,0.013801464,False,0
ARL4C,0.010181818,False,0
ARL6,0.016753543,True,0
ARL6IP1,0.0158102,True,0
ARMC4,0.0048180926,True,0
ARNTL,0.020646084,False,0
ARNTL2,0.024673292,False,0
ARPP21,0.028885685,True,0
ARRDC3-AS1,0.019032853,True,0
ARSJ,0.050469704,True,0
ARX,0.020417064,False,0
ASAP2,0.020799503,False,0
ASB5,0.0065463623,False,0
ASCL1,0.015524607,False,0
ASIC4,0.050469704,False,0
ASTN2,0.03169201,False,0
ATF1,0.024673292,False,0
ATF2,0.023404049,False,0
ATF3,0.00892428,False,0
ATF5,0.0048180926,False,0
ATF7,0.019994333,False,0
ATG10,0.026902428,False,0
ATOH8,0.03313211,False,0
ATP1A2,0.054040547,False,0
ATP1B2,0.050469704,False,0
ATP1B3,0.017892677,False,0
ATP6V1G1,0.0096205585,False,0
ATP8B1,0.026902428,False,0
ATRNL1,0.020799499,False,0
B2M,0.009921034,False,0
B4GALT1,0.007831435,False,0
B4GAT1,0.012987913,False,0
BACE2,0.046167184,False,0
BACH1,0.031692,False,0
BACH2,0.020646084,False,0
BAIAP2,0.0845905,True,1
BARD1,0.031692,False,0
BARX2,0.018697819,False,0
BATF3,0.022863876,False,0
BAZ1A,0.050469704,False,0
BBX,0.018242393,False,0
BCAR3,0.03471201,False,0
BCL11A,0.0175545,False,0
BCL11B,0.014765104,False,0
BCL3,0.024673292,True,0
BCL6,0.007977942,True,0
BCL6B,0.012094653,True,0
BCLAF1,0.020799503,False,0
BDNF,0.050469726,False,0
BEND4,0.020417877,False,0
BHLHE40,0.050469726,False,0
BHLHE41,0.005254194,True,0
BHMT,0.016091103,True,0
BLM,0.024673292,False,0
BLNK,0.0052541993,True,0
BMP2K,0.031017952,True,0
BMPER,0.03138798,True,0
BMPR1B,0.01932282,False,0
BMT2,0.024673292,False,0
BNC2,0.011053171,False,0
BOC,0.024993941,False,0
BOLL,0.008622833,False,0
BRCA1,0.0047256434,False,0
BRF1,0.024673292,False,0
BRINP1,0.024673292,False,0
BRINP3,0.031213421,False,0
BRWD3,0.024673292,False,0
BTBD9,0.024673292,True,0
BTG2,0.0074557336,False,0
BTG3,0.010475925,False,0
BTLA,0.007682797,False,0
BTNL9,0.016589118,False,0
C10orf90,0.011518562,False,0
C11orf44,0.008246652,False,0
C11orf65,0.0081052575,True,0
