gene,score,validation,label
AAGAB,0.024657395,False,0
AATF,0.02051757,True,0
ABCA1,0.026184296,True,0
ABCA3,0.023251127,False,0
ABCA4,0.02110415,False,0
ABHD17B,0.046000075,False,0
ABHD5,0.013802431,False,0
ABL1,0.015882418,False,0
ACOXL,0.029076697,True,0
ACTB,0.0071793185,False,0
ACTG1,0.0071793185,False,0
ACTN2,0.02466221,False,0
ACVR1,0.025138136,False,0
ACVR1C,0.02618429,False,0
ADAM23,0.024112536,False,0
ADAMTS3,0.05475312,True,0
ADD3,0.01925142,False,0
ADD3-AS1,0.018634224,False,0
ADGRG7,0.047913752,False,0
ADGRL2,0.03653366,False,0
ADGRL3,0.019410761,False,0
ADNP,0.023570843,False,0
ADNP2,0.05475312,True,0
AFF4,0.021038849,False,0
AHCTF1,0.026601978,True,0
AHDC1,0.05475312,False,1
AHR,0.016828116,False,0
AJAP1,0.02915465,False,0
AK5,0.015882418,False,0
AKAP13,0.017764833,True,0
ALCAM,0.038145833,False,1
ALDH1A2,0.05475313,False,0
ALOXE3,0.01684485,True,0
AMMECR1,0.024112541,False,0
ANAPC13,0.029076668,True,0
ANAPC15,0.015882418,False,0
ANKRD30B,0.024881251,False,0
ANKRD34B,0.019000378,True,0
ANKRD50,0.014161445,False,0
ANO6,0.05475312,False,0
ANTXR1,0.015882418,False,0
ANXA11,0.029154731,False,0
ANXA4,0.015882418,True,0
AOAH,0.032031693,False,0
AP1S2,0.016954113,True,0
APBB1IP,0.00979447,False,0
APBB2,0.016308527,True,0
APLF,0.007377497,False,0
APLP2,0.019000323,False,0
ARAP2,0.025359605,False,0
ARHGAP10,0.01900035,False,0
ARHGAP15,0.02273718,True,0
ARHGAP24,0.017587146,False,0
ARHGAP42,0.026184335,True,0
ARHGAP6,0.032188114,False,0
ARHGEF28,0.01925142,False,0
ARHGEF37,0.0015723663,False,0
ARHGEF6,0.021598157,False,0
ARID3A,0.026392246,False,0
ARID3B,0.05475312,False,0
ARID5B,0.024112536,False,0
ARL4C,0.028550645,False,0
ARL5C,0.008890451,False,0
ARL6,0.03653366,False,0
ARL6IP1,0.00979447,False,0
ARMC2,0.024112541,False,0
ARNTL,0.025359605,False,0
ARNTL2,0.05475312,False,0
ARPP21,0.021696577,False,0
ARSB,0.015882418,False,0
ARSG,0.02618431,True,0
ASAP1,0.015882418,False,0
ASIC4,0.014867511,False,0
ASXL3,0.019410765,False,0
ATF2,0.019212475,False,0
ATF3,0.020518275,False,0
ATG10,0.019342644,False,0
ATP1B3,0.018935356,False,0
ATP2B4,0.024112541,False,1
ATP6V1D,0.009794465,False,0
ATP6V1E2,0.0073775,False,0
ATP6V1G1,0.019000323,False,0
ATP8B1,0.014328577,False,0
ATRNL1,0.022727786,True,0
ATXN7L3B,0.019000487,False,0
AZIN1-AS1,0.026184296,True,0
B3GLCT,0.042942025,False,0
B4GALT6,0.022787943,False,0
BACH1,0.0209027,False,0
BACH2,0.024559015,False,0
BASP1,0.015123304,True,0
BAZ1A,0.03939574,False,0
BBX,0.035793014,True,0
BCL11A,0.016828116,False,0
BCL11B,0.05475313,False,0
BCL6,0.022787943,False,0
BCLAF1,0.03338764,False,0
BEX2,0.025456622,False,0
BEX3,0.00979447,False,0
BEX4,0.02907689,True,0
BEX5,0.0073775,True,0
BHLHE40,0.007377497,False,0
BHLHE41,0.018340727,True,0
BMPER,0.05475312,True,0
BRF1,0.010469263,False,0
BRINP3,0.022187829,True,0
BRK1,0.016986704,False,0
BTBD16,0.005857442,False,0
BTBD9,0.02618429,False,0
BUB1,0.029917164,False,0
BUB1B,0.022567177,True,0
C11orf52,0.005857236,False,0
C11orf65,0.019547133,False,0
C16orf95,0.015732966,False,0
C19orf25,0.02908319,False,0
C2CD2,0.015882418,False,0
C4orf51,0.03361093,False,0
C6,0.021731429,False,0
CA2,0.00979447,False,0
CA3,0.019000407,False,0
CACHD1,0.026465977,False,0
CACNA1D,0.017737603,False,0
CACNA2D1,0.024112536,False,0
CADM1,0.025138143,False,0
CADPS2,0.018634224,False,0
CALB1,0.0015603023,False,0
CALM1,0.00979447,True,0
CALN1,0.027029108,True,0
CALY,0.009794465,False,0
CAMK2D,0.022272859,False,0
CAMK2N1,0.011676744,False,0
CAMK2N2,0.0073775,False,0
CASC15,0.0205138,False,0
CAST,0.05475312,True,0
CBFA2T2,0.015882418,False,0
CBFA2T3,0.021105597,True,0
CBLN2,0.032824334,True,0
CCBE1,0.015882418,True,0
