gene,score,validation,label
AADACL2-AS1,0.0401626,False,-1
ABCA1,0.59865385,False,-1
ABCA3,0.2285734,False,-1
ABCA7,4.0452173e-07,False,-1
ABL1,0.44731456,False,-1
ACTB,0.000108027925,False,-1
ACTG1,0.00016940899,False,-1
ACTN2,3.847305e-06,False,-1
ACVR1,0.793366,False,-1
ADAM19,0.44731456,False,-1
ADAM23,0.44731456,False,-1
ADAM29,2.7895996e-05,False,-1
ADAM33,0.4491248,False,-1
ADAMTS12,0.031815466,False,-1
ADAMTS20,0.44731456,False,-1
ADAMTS5,0.0039940686,False,-1
ADAMTS6,0.50887895,False,-1
ADAMTSL1,0.45594314,False,-1
ADAMTSL3,0.44731456,False,-1
ADAMTSL4-AS1,0.057687376,False,-1
ADARB1,0.44731456,False,-1
ADCY2,0.5550989,False,-1
ADCY4,0.06953505,False,-1
ADD3-AS1,0.50405097,False,-1
ADGRL2,0.56540865,False,-1
ADNP,0.49175787,False,-1
ADNP2,0.48472962,False,-1
ADORA3,0.019769851,False,-1
ADRA2A,0.5088761,False,-1
AFF1,0.6627204,False,-1
AFF4,0.56540865,False,-1
AGBL3,0.29452708,False,-1
AGT,0.44912514,False,-1
AHCTF1,0.44731456,False,-1
AHDC1,0.44731456,False,-1
AHR,0.50887585,False,-1
AK5,0.57005733,False,-1
AKAP13,0.3488566,False,-1
AKR1C3,0.50887674,False,-1
ALCAM,0.44731456,False,-1
ALDH1A1,0.4491249,False,-1
ALDH1A2,0.042604633,False,-1
ALDOC,0.00010802813,False,-1
ALK,0.3162538,False,-1
AMOTL1,0.7933658,False,-1
AMPD3,3.8472976e-06,False,-1
ANKRD30BL,0.5654087,False,-1
ANKRD33B,0.00023955436,False,-1
ANKRD37,3.8473086e-06,False,-1
ANKRD6,0.5304839,False,-1
ANO1,0.03181571,False,-1
ANO10,0.5654087,False,-1
ANO2,0.0872065,False,-1
ANO6,0.009095307,False,-1
ANOS1,0.037083827,False,-1
ANTXR1,0.22329468,False,-1
ANXA11,0.031816762,True,0
ANXA4,0.27742967,False,-1
ANXA5,3.847305e-06,False,-1
AOX1,0.33712596,False,-1
AP2M1,0.00016940899,False,-1
APBB1IP,0.44731456,False,-1
APCDD1,0.061067708,False,-1
APLNR,0.080495186,False,-1
APOC1,0.5138832,False,-1
APOE,0.44912496,False,1
AQP4,0.04901226,True,0
ARAP2,0.50743604,False,-1
ARC,2.7919737e-07,False,-1
ARFGEF3,0.44731456,False,-1
ARHGAP10,0.22329518,False,-1
ARHGAP15,0.019769635,False,-1
ARHGAP18,0.03181551,False,-1
ARHGAP20,0.52081436,False,-1
ARHGAP25,3.8473195e-06,False,-1
ARHGAP29,0.44731456,False,-1
ARHGAP31,0.087207414,False,-1
ARHGAP6,0.44731456,False,0
ARHGDIA,0.00016940883,False,-1
ARHGDIG,3.8473086e-06,False,-1
ARHGEF16,1.6715461e-05,False,-1
ARHGEF26,0.344776,False,-1
ARHGEF28,0.45594296,False,-1
ARHGEF3,0.03181557,False,-1
ARL6,0.44731456,False,-1
ARL6IP1,3.847312e-06,False,-1
ARNT2,0.7933658,False,-1
ARNTL,0.48472962,False,-1
ARPP21,0.5187918,False,-1
ARSJ,0.21390072,False,-1
ASB11,0.08720477,False,-1
ASXL3,0.48472962,False,-1
ATF2,0.4947632,False,-1
ATF3,0.63292694,False,0
ATF5,9.402085e-06,False,-1
ATG10,0.5304839,False,-1
ATOH7,0.0039936514,False,-1
ATP10A,2.986562e-05,False,0
ATP10B,0.06055809,False,-1
ATP1A2,4.9350776e-05,False,-1
ATP1B1,0.060401507,False,-1
ATP1B3,0.57005733,False,-1
ATP2B4,0.03761311,False,-1
ATP2C1,0.44731456,False,-1
ATP8A1,0.44731456,False,-1
ATP8B1,0.44731456,False,-1
AVEN,0.06037645,False,-1
B3GAT2,0.42679444,False,-1
BACH1,0.5550989,False,-1
BACH2,0.56540865,False,-1
BAIAP2L1,0.087207526,False,-1
BAMBI,0.0016234979,False,-1
BATF3,0.01977297,False,-1
BAZ1A,1.6709708e-05,False,-1
BBX,0.56540865,False,-1
BCL11A,0.53413534,False,-1
BCL11B,0.45594358,False,-1
BCL3,0.039980922,False,-1
BCL6,0.052628603,False,-1
BCL6B,2.7952504e-07,False,-1
BCLAF1,0.48472962,False,-1
BDKRB2,0.13470902,False,-1
BEX1,3.8473013e-06,False,-1
BEX2,5.4386994e-05,False,0
BEX4,3.8472976e-06,False,0
BHLHE40,0.012062653,False,-1
BICC1,0.7933659,False,-1
BLNK,0.01977462,False,-1
BMP3,0.44912907,False,0
BMP4,0.44731456,False,-1
BMP5,0.09569578,False,-1
BMPER,0.48482504,False,-1
BMPR1B,0.21389909,False,-1
BNC2,0.16416445,False,0
BOC,0.29145488,False,-1
BPIFB1,0.03998087,False,-1
BRF1,0.44731456,False,-1
BRINP1,0.44731456,False,-1
BRINP3,0.34469894,False,-1
BTBD9,0.44731456,False,-1
BTF3,3.847305e-06,False,-1
BTG2,0.012818191,False,-1
BTG3,3.8472976e-06,False,-1
BVES,0.5088761,False,-1
C10orf90,1.6762118e-05,False,-1
C1R,0.095695816,False,-1
C1RL,3.847305e-06,False,-1
C1orf116,2.7849665e-05,False,-1
C21orf91,0.29452538,False,-1
C22orf34,0.019769954,False,-1
C2orf88,0.48472962,False,-1
C3,0.44912472,False,-1
C3orf67,0.48472962,False,-1
C4orf48,3.8472976e-06,False,-1
C5orf66,0.039980903,False,-1
CA3,0.44731456,False,-1
CABLES1,0.6352982,False,-1
CACHD1,0.6852819,False,-1
CACNA1G-AS1,0.00016940899,False,-1
CACNA2D1,0.56540865,False,-1
CACNA2D3,0.44731456,False,-1
CACNB2,0.57005733,False,-1
CADM1,0.6852819,False,-1
CALB1,0.09558119,False,-1
CALB2,0.0013490282,False,-1
CALCB,0.5088767,False,-1
CALCR,0.7933658,False,-1
CALM1,0.0018344406,False,-1
CALM2,3.8473013e-06,False,-1
CALM3,0.039980892,False,-1
CALN1,0.30769885,False,-1
CAMK1D,0.44731456,False,-1
CAMK2D,0.5654087,False,-1
CAMK2N1,5.808147e-05,False,-1
CANX,0.44731456,True,0
CAPSL,0.16419253,False,-1
CARD11,0.003994463,False,-1
CARF,0.3371801,False,-1
CARMN,1.6706776e-05,False,-1
CASC15,0.44731456,False,-1
CASC2,0.44731456,False,-1
CASP10,0.011355669,False,-1
CASR,0.2945406,False,-1
CAST,0.44731456,False,-1
CBLB,0.031815387,False,-1
CBLN2,0.48472962,False,-1
CBLN4,0.031815425,False,-1
CCDC126,1.0749036e-08,False,-1
CCDC148,0.29454753,False,-1
CCDC15,0.08659069,False,-1
CCDC150,0.03998087,False,-1
CCDC175,1.6712336e-05,False,-1
CCDC178,0.2622234,False,-1
CCDC60,0.1555393,False,-1
CCDC85B,3.847305e-06,False,-1
CCNG2,0.48472962,False,-1
CCNI,0.25940305,False,-1
CCNJL,0.5088784,False,-1
CCNYL1,0.44731456,False,-1
CD163L1,0.46828333,False,-1
CD24,3.847305e-06,False,-1
CD36,0.7933658,False,-1
CD59,0.039980892,False,-1
CD63,0.039980933,True,0
CD74,0.01977438,False,-1
CD81,3.8473013e-06,False,-1
CD86,0.44912454,False,-1
CD9,0.21390037,False,-1
CD93,0.08720446,False,-1
CDC14B,0.55599064,False,-1
CDH10,0.031815305,False,-1
CDH11,0.44731456,False,-1
CDH2,0.48472962,False,-1
CDH20,0.30831444,False,-1
CDH22,0.0039949203,False,-1
CDH4,0.03181544,False,-1
CDH6,0.03897268,False,-1
CDH7,0.5550989,False,-1
CDH8,0.44731456,False,-1
CDH9,0.7933658,False,-1
CDK17,0.48472962,False,-1
CDK19,0.44731456,False,-1
CDK2AP1,0.039980944,False,-1
CDK6,0.5088759,False,-1
CDKN2D,0.00016940915,False,-1
CDR2,0.44731456,False,-1
CDYL2,0.44731456,False,-1
CEBPB,3.8473013e-06,False,-1
CELF2,0.44731456,False,1
CELF4,0.60679644,False,-1
CEND1,0.039980832,False,-1
CENPF,3.847305e-06,False,-1
CEP112,0.5445898,False,-1
CERCAM,0.0010465177,False,-1
CERS3,1.217396e-08,False,-1
CERS5,0.5088767,False,-1
CFAP206,0.44731456,False,-1
CFL1,0.00016940883,False,-1
CGNL1,0.29452395,True,0
CHAMP1,0.44731456,False,-1
CHD1,0.49476314,False,-1
CHD2,4.6585117e-07,False,-1
CHD7,0.30698252,False,0
CHGB,2.7918006e-07,False,-1
CHI3L1,0.44912842,False,1
CHI3L2,0.10095222,False,-1
CHL1,0.56540865,True,1
CHN1,0.48472962,True,0
CHRM2,0.48472962,False,-1
CHRM5,0.40356266,False,-1
CHST15,0.50887626,False,-1
CHST9,0.42679444,False,-1
CHSY3,0.6043089,False,-1
CIC,3.8473013e-06,False,-1
CIITA,0.03998087,False,-1
CKB,3.8473013e-06,False,-1
CLDN1,0.2737266,False,-1
CLDN11,0.0039952924,False,-1
CLEC2L,0.031815335,False,-1
CLMP,0.7933658,False,-1
CLOCK,0.49476317,False,-1
CLU,0.060427815,False,-1
CMTM8,0.03708393,False,-1
CNDP1,0.0001223238,False,-1
CNIH3,2.2237423e-07,False,-1
CNKSR2,0.48472962,False,-1
CNOT4,0.4707751,False,-1
CNR1,0.6852819,False,1
CNTN4,0.46828333,False,-1
CNTN5,0.79336596,False,-1
CNTNAP3,0.44731456,False,-1
CNTNAP3B,0.44731456,False,-1
CNTNAP5,0.33105505,False,-1
COL11A1,0.095696345,False,-1
COL16A1,3.847305e-06,False,-1
COL19A1,0.56540865,False,-1
COL1A2,0.09569579,False,-1
COL23A1,0.44731456,False,-1
COL25A1,0.7933658,False,-1
COL3A1,0.21388564,False,1
COL6A1,0.7933658,False,-1
COL6A2,0.07059224,False,-1
COL8A1,0.0872102,False,-1
COLEC12,0.7933659,False,-1
COLGALT2,0.44731456,False,-1
CPE,0.44731456,False,-1
CPEB1,0.44731456,False,-1
CPEB2,0.44731456,False,-1
CPED1,2.7970424e-07,False,-1
CPNE2,0.5088761,False,-1
CPQ,0.06040738,False,-1
CPXM2,0.13470389,False,-1
CREB1,0.44731456,False,-1
CREM,0.45100135,False,-1
CRIM1,0.7933658,False,-1
CRISPLD1,0.44731456,False,-1
CRX,2.8724833e-05,False,-1
CSGALNACT1,0.29452658,False,-1
CSMD1,0.44731456,False,-1
CSMD3,0.66187876,False,-1
CSNK2A1,0.44731456,False,-1
CSRP2,0.44731456,False,-1
CST3,0.44912508,False,-1
CTBP1,0.03998081,False,-1
CTBP2,0.44731456,False,-1
CTCF,0.44731456,False,-1
CTCFL,0.23755038,False,-1
CTNNA2,0.55599064,False,-1
CTNNA3,0.0010421596,False,-1
CTNNAL1,0.03181551,False,-1
CTNNB1,0.45727393,False,-1
CTNND2,0.44731456,False,-1
CTSC,0.22539529,False,-1
CUTA,3.847305e-06,False,0
