gene,score,validation,label
A4GALT,0.1337449,False,-1
AANAT,0.27478272,False,-1
ABCA1,0.22418307,False,-1
ABCA4,8.49096e-05,False,0
ABCA5,0.47887796,False,-1
ABCC1,0.4262809,False,-1
ABCC2,0.4197905,False,-1
ABCF2,0.5959731,False,-1
ABCG2,0.5927796,False,-1
ABCG5,0.47642958,False,-1
ABHD5,0.2704507,False,-1
ABI3BP,0.47744775,False,-1
ABL1,0.1252761,False,-1
ABLIM3,1.4359492e-07,False,0
ACSL3,0.5003972,False,-1
ACSL4,0.51640826,False,-1
ACTA2,0.17750174,False,-1
ACTG1,0.1481271,False,-1
ACTL6A,0.42226982,False,-1
ACTN1,0.45750916,False,-1
ACTN2,0.32109228,False,-1
ACTR3C,0.56204766,False,-1
ACVR1,0.46780074,False,-1
ACVR1C,0.518294,False,-1
ACVR2A,0.004095963,False,-1
ADAM12,0.30180362,False,-1
ADAM19,0.0036133807,True,0
ADAM23,0.4146235,False,-1
ADAM28,0.5068514,False,-1
ADAMTS1,0.5888944,False,-1
ADAMTS17,0.54867303,False,-1
ADAMTS19,0.46557555,False,-1
ADAMTS3,0.45892075,True,1
ADAMTS5,0.26404005,False,-1
ADAMTS6,0.59277964,False,-1
ADAMTS7,0.52970016,False,-1
ADAMTS9-AS2,0.016910614,False,-1
ADAMTSL1,0.002377395,False,0
ADARB2,0.45507672,False,-1
ADCY2,0.46152735,False,1
ADCY3,0.00016781059,False,0
ADCY5,0.04324077,False,-1
ADCY7,0.050780725,False,1
ADD2,0.17070663,False,-1
ADD3-AS1,0.41521496,False,-1
ADGRB3,0.48127374,False,-1
ADGRE5,0.001217655,False,0
ADGRG2,0.20823379,False,-1
ADGRL2,0.49601048,False,-1
ADGRL3,0.4645122,False,-1
ADIRF,0.00015413761,False,0
ADNP,0.5113595,False,-1
ADNP2,0.18854994,False,-1
ADORA1,0.23949595,False,-1
AEBP1,0.47742927,False,-1
AFF3,0.43047592,False,-1
AFF4,0.34823394,False,-1
AGA,0.5736421,False,-1
AGAP2,0.32275638,False,-1
AGMO,0.40380758,False,-1
AGT,0.09705541,False,-1
AGTPBP1,0.4769555,False,-1
AHCTF1,0.32428324,False,-1
AHR,0.09744413,False,-1
AHRR,0.0046134708,False,0
ALCAM,0.41552582,False,-1
ALDH1A2,0.3041563,False,-1
ALDH1L1-AS2,0.4764248,False,-1
ALG14,0.5959731,False,-1
ALX1,0.56145304,False,-1
AMD1,0.27590802,False,0
AMDHD1,0.5542617,False,-1
AMIGO2,0.26223758,False,0
AMMECR1,0.4692011,False,-1
AMOT,0.2856109,False,0
AMPD3,0.5634605,False,-1
AMPH,0.42226973,False,-1
ANGPT1,0.5643974,False,-1
ANGPT2,0.027604936,True,0
ANK3,0.22839478,False,-1
ANKRD30BL,0.38280797,False,-1
ANKRD33B,0.20502864,False,-1
ANKRD45,0.21647434,False,-1
ANKRD50,0.4556919,False,-1
ANKRD6,0.45347533,False,-1
ANKRD7,0.42502797,False,-1
ANKS1B,0.33660668,False,-1
ANO6,0.45667157,False,-1
ANO9,0.32492065,False,-1
ANOS1,0.02197847,False,0
ANXA1,0.5817742,False,-1
ANXA11,0.003344318,False,-1
ANXA2,0.086080045,False,0
AOAH,0.5582914,False,-1
AP1S2,0.4101902,False,-1
AP4S1,0.48715475,False,-1
APBA1,0.48935995,False,-1
APBB2,0.43784785,False,1
APCDD1,0.29726645,False,-1
APLF,0.5817742,False,-1
APLNR,0.07201361,False,-1
APOL2,0.59277964,False,1
APOL4,0.5286574,False,1
APOLD1,0.24766131,False,-1
APP,0.41897154,False,-1
AQP1,0.0720132,False,-1
AQP4-AS1,0.5232413,False,-1
AR,0.3847148,False,-1
AREG,0.004095963,False,-1
ARFGAP1,1.4357931e-07,True,0
ARHGAP10,0.46349365,False,-1
ARHGAP15,0.03587131,False,-1
ARHGAP18,0.5778922,False,-1
ARHGAP20,0.5637098,False,-1
ARHGAP22,0.01327077,False,0
ARHGAP24,0.4810215,False,-1
ARHGAP5-AS1,0.5736482,False,-1
ARHGAP6,0.18094458,False,-1
ARHGEF18,0.0040959846,False,-1
ARHGEF28,0.22968324,False,-1
ARHGEF3,0.1560988,False,-1
ARHGEF38,0.040656555,False,-1
ARID3A,0.4754636,False,-1
ARID5A,0.28654152,False,-1
ARID5B,0.17750311,False,-1
ARL4C,0.47814915,False,-1
ARL4D,0.00016781187,False,0
ARL5C,0.5582914,False,-1
ARL6IP6,0.00016781251,True,0
ARMC3,0.17706198,False,-1
ARMC4,0.15215868,False,-1
ARNT,0.027604094,False,0
ARNT2,0.47695553,False,-1
ARNTL,0.32678217,False,-1
ARPP21,0.29303584,False,-1
ARSB,0.4696058,False,-1
ARSE,0.4131507,False,-1
ARSG,0.5736433,False,-1
ASCC1,0.5959731,False,-1
ASCL1,0.31712154,False,-1
ASH2L,0.26223728,False,0
ASPA,0.5542618,False,-1
ASPN,0.5582914,False,-1
ASXL3,0.3163474,False,-1
ATF2,0.49560374,False,-1
ATF3,0.09764635,False,0
ATF4,0.37586224,False,-1
ATF6,0.5959731,False,-1
ATF7,0.5959731,False,-1
ATF7IP2,0.5959731,False,-1
ATG10,0.49871692,False,-1
ATOH7,0.2432081,False,-1
ATOH8,0.15796445,False,-1
ATP10A,0.5817742,False,-1
ATP10B,0.5959731,False,-1
ATP11A,0.50510174,False,-1
ATP12A,0.5542616,False,-1
ATP1A1,0.28991506,False,-1
ATP1B3,0.026585454,False,-1
ATP6V0C,0.025962673,False,0
ATP8A1,0.50660175,True,1
ATP8A2,0.24985299,False,-1
ATP8B1,0.43711758,False,-1
ATP8B4,0.47653994,False,-1
ATR,0.004351372,False,0
AZIN2,0.51623535,False,-1
B2M,0.5888944,False,-1
B3GALT5,0.16623253,False,-1
B4GALT1,0.021306884,False,-1
B4GALT1-AS1,0.5634605,False,-1
B4GALT6,0.48053706,False,-1
BAALC,0.012699065,False,0
BACE2,0.5817742,False,-1
BACH1,0.4357794,False,-1
BACH2,0.31995535,False,0
BAG3,0.5778922,False,-1
BAMBI,0.0023944026,False,0
BANK1,0.07396634,True,0
BANP,0.00015414364,True,0
BARD1,0.3610709,False,0
BASP1,0.37229672,False,-1
BATF3,0.17083105,False,-1
BAZ1A,0.36824962,False,-1
BBOX1-AS1,0.41552958,False,-1
BBX,0.5003972,False,-1
BCAS2,0.00210113,False,0
BCHE,0.37506133,False,-1
BCL11B,0.4429716,False,-1
BCL6,0.026010226,False,-1
BCLAF1,0.471907,False,-1
BCO1,0.2050313,False,-1
BCOR,0.0027028145,False,0
BCORL1,0.18788551,False,-1
BDNF,0.3488652,False,1
BEND6,0.41908628,False,0
BHLHE22,0.083556525,False,-1
BHLHE40,0.0029431512,True,0
BHMT2,0.4977074,False,-1
BIRC3,0.3054226,False,-1
BIRC7,0.004613424,False,0
BMPER,0.5643974,False,-1
BNC1,0.0006481962,False,0
BNC2,0.044257708,False,0
BOC,0.052365705,False,-1
BRCA1,0.17732558,False,-1
BRF1,0.3147745,False,-1
BRINP1,0.36976376,False,-1
BRINP3,0.49885213,False,-1
BRIP1,0.02908883,False,-1
BTBD11,0.0046134596,False,0
BTG2,0.13274372,False,-1
BTG4,0.03350797,False,0
BZW2,0.3808381,False,-1
C11orf65,0.5959731,False,-1
C11orf96,0.26056832,False,-1
C12orf40,0.5582914,False,-1
C14orf93,0.13098305,False,-1
C16orf87,0.41595972,False,0
C1D,0.5959731,False,-1
C1QTNF3,0.48723006,False,-1
C1QTNF7,0.12527719,False,-1
C22orf31,0.5841894,False,-1
C2orf27A,0.1989863,False,-1
C2orf88,0.49630332,False,-1
C3,0.50518095,False,-1
C3orf14,0.3018093,False,-1
C3orf35,0.5959731,False,-1
C3orf67,0.49657822,False,-1
C4orf19,0.4517531,False,-1
C4orf48,0.00016782884,False,0
C7,0.22259878,False,-1
C8orf34,0.5463022,False,-1
C8orf88,0.4836404,False,-1
CA10,0.5959731,False,-1
CA2,0.33514148,False,-1
CA8,0.15184551,False,-1
CABLES1,0.4038047,False,-1
CABYR,0.3286613,False,-1
CACNA1C,0.0048723253,False,-1
CACNA1D,0.29726985,False,-1
CACNA1E,0.14170769,False,-1
CACNB2,0.20874102,False,-1
CACNB4,0.4157939,False,-1
CADM1,0.4893638,False,-1
CADM2,0.51111573,False,-1
CADM3,0.050115526,False,-1
CADPS,0.19625601,False,-1
CADPS2,0.44599873,True,0
CALM1,0.51550937,False,-1
CALN1,0.45892015,False,-1
CALY,0.058497515,False,-1
CAMK2D,0.44681695,False,0
CAMK2N1,0.5817742,False,-1
CAPS2,0.034073398,True,0
CARD11,0.0012177814,False,0
CARD8-AS1,0.00015419169,False,0
CARF,0.59277964,False,-1
CARMN,0.5581193,False,-1
CARNMT1,0.5700017,False,-1
CASC15,0.4055253,False,-1
CASS4,0.1252741,False,-1
CATSPERB,0.27485615,False,-1
CBR3-AS1,0.19787358,False,-1
CBSL,0.511201,False,-1
CBX4,0.5636353,False,-1
CCDC110,0.5959731,False,-1
CCDC122,0.15541367,False,-1
CCDC13-AS1,0.13600102,False,-1
CCDC15,0.22859935,False,-1
CCDC169,0.08026093,False,-1
CCDC181,0.3509644,False,0
CCDC26,0.09151026,False,-1
CCDC3,0.3566259,False,-1
CCDC59,0.14043938,False,-1
CCDC62,0.5959731,False,-1
CCDC68,0.11933924,False,-1
CCDC69,0.1580981,False,-1
CCDC7,0.5959731,False,-1
CCDC88C,0.19787368,False,-1
CCK,0.0046134354,False,0
CCL2,0.29372856,False,1
CCND2,0.28284305,False,0
CCND2-AS1,0.45849803,False,-1
CCNJL,0.12527515,False,-1
CCNT2,0.5778922,False,-1
CCSER1,0.47695553,False,-1
CD200,0.00015413364,False,0
CD200R1,0.17772816,False,-1
CD24,0.13129543,False,-1
CD44,0.00999059,False,-1
CD53,0.071805455,False,-1
CD55,0.5582914,False,-1
CD58,0.32728055,False,-1
CD59,0.5778922,False,-1
CD69,0.0040959343,False,-1
CD72,0.40484968,False,0
CD74,0.27053738,False,-1
CD9,0.08025989,False,-1
CD96,0.516235,False,-1
CDC7,0.30234632,False,-1
CDCP1,0.5702353,False,-1
CDH11,0.5009793,False,-1
CDH12,0.24925035,False,-1
CDH2,0.46152732,False,1
CDH20,0.51111573,False,-1
CDH22,0.25227362,False,-1
CDH23,0.4650272,False,-1
CDH26,0.5542618,False,-1
CDH4,0.050115347,False,-1
CDH6,0.5581195,False,-1
CDH7,0.4712642,False,-1
CDK18,0.40377602,False,-1
CDK6,0.32861498,False,-1
CDK8,0.4769555,False,-1
CDKL2,0.46349913,False,-1
CDKN1A,0.083998226,False,-1
CDON,0.41594726,False,0
CDR2,0.12527797,False,-1
CDS1,0.50446796,False,-1
