gene,score,validation,label
A2M,0.055565562,False,-1
A2ML1,0.8617604,False,-1
AAMP,3.5275832e-14,False,0
AATF,0.8616971,False,-1
AATK,0.8198265,False,-1
ABCA1,0.17765257,False,0
ABCA2,0.28210294,False,-1
ABCA6,0.22687243,False,0
ABCA8,0.341823,False,-1
ABCB9,0.22911996,False,-1
ABCC3,0.9521865,False,-1
ABCG4,0.60849196,False,-1
ABHD12B,0.4097277,False,-1
ABHD17B,0.94888455,False,-1
ABHD17C,0.9356912,False,-1
ABHD3,0.6932915,False,-1
ABL1,0.05717968,False,0
ABLIM1,0.4552981,False,-1
ABLIM3,0.6463131,False,-1
ACAP3,0.17112651,False,-1
ACO1,0.105328165,False,-1
ACSL4,0.2618514,False,-1
ACSL5,0.41370752,False,-1
ACTB,0.09150887,False,-1
ACTG1,0.05240557,False,0
ACTN1,0.86490643,False,-1
ACVR1,0.12961887,False,-1
ACVR1C,0.53579384,False,-1
ACYP2,0.81640446,False,-1
ADAM22,0.8164052,False,-1
ADAM23,0.62325865,False,-1
ADAMDEC1,0.045664452,False,-1
ADAMTS15,2.0614996e-09,False,0
ADAMTS17,0.1243191,False,-1
ADAMTS18,0.33921346,False,-1
ADAMTS20,0.647709,False,-1
ADAMTS3,0.94890934,False,1
ADAMTS6,0.45435005,False,-1
ADAMTS9-AS1,2.19051e-06,False,0
ADCY1,0.09480427,False,-1
ADCY2,0.7937103,False,-1
ADCY3,0.4196935,False,-1
ADCY9,0.47034,False,-1
ADCYAP1,0.04581492,False,-1
ADD2,0.8193682,False,-1
ADD3,0.7745337,False,-1
ADGRA1-AS1,0.08524422,False,-1
ADGRB3,0.97938913,False,-1
ADGRD1,0.276181,False,-1
ADGRE2,0.395617,False,-1
ADGRL2,0.04076244,False,-1
ADGRL3,0.86043614,False,-1
ADGRL4,0.3043115,False,-1
ADGRV1,0.001693795,False,-1
ADNP,0.05210681,False,-1
ADNP2,0.30524957,False,-1
ADSS,0.9066544,False,-1
AEBP2,0.88681704,False,-1
AFF3,0.8177118,False,-1
AFF4,0.8097869,False,-1
AGAP1,1.7621269e-06,False,-1
AGAP2,0.8790332,False,-1
AGBL4,0.0371197,False,-1
AHCTF1,0.3970981,False,-1
AHI1,0.7367436,False,1
AHR,0.046059184,False,0
AHRR,0.81640446,False,-1
AIMP2,0.693292,False,-1
AJAP1,0.90690047,False,-1
AJUBA,0.9066558,False,-1
AK5,0.2976706,False,-1
AKAIN1,0.29742584,False,-1
ALCAM,0.3304263,False,0
ALDH1A2,0.40294012,False,-1
ALDOC,0.47033787,False,-1
ALG10B,0.37736717,False,-1
ALG14,6.235061e-07,False,-1
ALG5,1.3811294e-05,False,0
ALOX15B,0.20047992,False,-1
ALPK3,0.96758,False,-1
ALX3,0.11577731,False,-1
AMDHD1,0.9945904,False,-1
AMMECR1,0.25719845,False,-1
AMN1,0.9270029,False,-1
AMOT,0.5213226,False,-1
AMZ1,0.0022087335,False,0
ANGPT1,0.00048932416,False,-1
ANGPTL4,0.0010041599,False,-1
ANK1,0.54596037,False,-1
ANK2,0.96321195,False,-1
ANK3,0.9349788,False,1
ANKH,0.24840759,False,-1
ANKMY2,0.96321195,False,-1
ANKRD22,0.5196337,False,-1
ANKRD30BL,0.9201548,False,-1
ANKRD33B,0.9318941,False,-1
ANKRD36B,0.025784258,False,-1
ANKRD36C,0.22956422,False,-1
ANKRD46,0.5961981,False,-1
ANKRD6,0.34049848,False,-1
ANKS1B,0.9627554,False,-1
ANKS6,0.6932917,False,-1
ANLN,0.00019910623,False,-1
ANO10,0.10793461,False,-1
ANO2,0.40471184,False,-1
ANTXR1,0.4048551,False,-1
ANTXR2,0.7986598,False,-1
ANXA11,0.070828326,False,-1
ANXA2,0.34972695,False,-1
ANXA4,0.39176473,False,-1
AP3M2,0.377367,False,-1
AP4S1,0.8942198,False,-1
APBA1,0.69329196,False,-1
APBB1,0.11493851,False,-1
APBB2,0.7336339,False,-1
APC2,0.017539425,False,-1
APEX2,0.010292147,True,0
APLF,0.26406127,False,-1
APOC1,0.3956158,False,-1
APOLD1,4.2719972e-07,False,-1
APP,0.50251573,False,-1
AQP4,0.002269499,False,-1
AQP4-AS1,1.11177165e-08,False,-1
AQP9,0.37736726,False,-1
ARAP2,0.81074977,False,-1
ARFGAP3,0.16891828,False,-1
ARFGEF3,0.70489746,False,-1
ARHGAP10,0.81640494,False,-1
ARHGAP11B,1.6285712e-08,False,-1
ARHGAP20,0.1301014,False,-1
ARHGAP25,0.8619304,False,-1
ARHGAP42,0.6232586,False,-1
ARHGAP44,0.8436733,False,0
ARHGAP6,0.13535154,False,0
ARHGEF10,1.9131114e-08,False,0
ARHGEF3,0.10228089,True,0
ARHGEF4,0.8056042,False,-1
ARHGEF7,0.48096982,False,-1
ARID3A,0.30958116,False,-1
ARID3B,0.17719962,False,-1
ARID5A,0.7415425,False,-1
ARID5B,0.07102363,False,-1
ARL3,0.41454715,False,-1
ARL4C,0.10128833,False,0
ARL5B,0.18915558,False,-1
ARL6IP6,2.1897247e-06,False,0
ARMC2,0.012129434,False,0
ARMC3,0.5940928,False,-1
ARNT,3.3433662e-05,True,0
ARNT2,0.86998713,False,-1
ARNTL,0.88195014,False,-1
ARNTL2,0.00014413391,False,0
ARPP21,0.9530934,False,-1
ARRDC3-AS1,0.29407018,False,-1
ARSB,0.90666837,False,-1
ART1,0.35057026,False,-1
ARX,0.18783346,False,-1
ASAH1,0.88681674,False,-1
ASAP1,0.070751406,False,-1
ASAP2,0.56606203,False,-1
ASAP3,0.8164051,False,-1
ASB7,0.41301575,False,-1
ASCC1,0.1272595,False,-1
ASIC2,0.923909,False,-1
ASPM,6.100869e-12,False,0
ASTN1,0.79553235,False,-1
ASXL3,0.96321195,False,-1
ATAD2,9.008126e-09,False,0
ATAD5,6.6970694e-07,True,0
ATF2,0.74697095,False,-1
ATF3,0.017601686,True,0
ATF5,0.20048016,False,-1
ATF6,0.30431145,False,-1
ATF7,0.26713833,False,-1
ATG7,0.28908417,False,-1
ATOH7,0.47033942,False,-1
ATOH8,0.26405615,False,-1
ATP11A,0.6087812,False,-1
ATP13A4,0.6477084,False,-1
ATP1A1,0.04345749,False,-1
ATP1A2,0.00092693354,False,0
ATP1A3,0.9485096,False,-1
ATP1B1,0.00074258883,False,0
ATP1B2,0.1428526,False,-1
ATP1B3,0.080676064,False,-1
ATP2A2,0.054755803,False,-1
ATP2B2,0.59667903,False,-1
ATP6V1B2,0.029765187,False,0
ATP6V1E2,0.00031691304,False,-1
ATP8A1,0.89747316,False,1
ATP8A2,0.94889784,False,-1
ATP9A,0.06398685,False,-1
ATRNL1,0.9635422,False,-1
AURKB,2.0568326e-10,False,0
AVEN,0.6932915,False,-1
AZIN1,0.0568515,False,0
AZIN1-AS1,0.0067625246,False,0
B2M,0.69329244,False,-1
B3GALNT1,0.24115193,False,-1
B3GAT1,0.96321195,False,-1
B3GLCT,0.05158972,False,-1
B3GNT5,0.2742661,False,-1
B3GNTL1,0.25526336,False,-1
B4GALNT2,0.86998713,False,-1
B4GALT1,0.72421676,False,-1
B4GALT5,0.09126328,False,-1
B4GALT6,0.73570096,False,-1
BACH1,0.457296,False,-1
BACH2,0.78603035,False,1
BAG3,0.025566656,False,0
BAHCC1,0.6578546,False,-1
BAIAP2L2,0.9945937,False,-1
BANP,0.88681644,False,-1
BARD1,2.7562533e-07,False,0
BASP1,0.12206254,False,0
BATF2,0.8129713,False,-1
BATF3,0.31588924,False,-1
BBS9,0.9575344,False,-1
BBX,0.17027315,False,-1
BCAR3,0.3862716,False,-1
BCAS1,0.8748441,False,-1
BCAS2,0.2275237,False,-1
BCAS3,0.034039117,False,-1
BCAT1,0.16172673,False,-1
BCL10,0.7191053,False,-1
BCL11A,0.7501002,False,-1
BCL11B,0.46041536,False,-1
BCL2L14,0.81768423,False,-1
BCL3,0.09888558,False,-1
BCL6,0.08596548,False,0
BCLAF1,0.45435238,False,-1
BEGAIN,0.34182295,False,-1
BEND6,0.16099332,False,-1
BEST1,0.04192305,False,-1
BEX5,0.007608019,False,-1
BHLHE22,0.8699879,False,-1
BHLHE40,0.263628,False,-1
BHLHE41,0.045664325,False,-1
BICC1,0.5600403,False,-1
BICDL1,0.4703382,False,-1
BIN1,0.47436965,False,-1
BIRC3,0.29742584,False,-1
BLM,1.05512745e-05,False,-1
BMPER,0.92059755,False,-1
BMPR1B,0.03849135,False,-1
BMT2,0.16843417,False,-1
BNC2,0.1454727,False,-1
BOC,0.25601438,False,-1
BPTF,0.096391544,False,-1
BRCA1,2.5441572e-08,False,0
BRCA2,3.1466687e-09,False,-1
BRF1,0.525188,False,-1
BRI3BP,0.0060919984,False,0
BRINP1,0.9555498,False,-1
BRINP2,0.96321195,False,-1
BRINP3,0.9678077,False,-1
BRIP1,2.837396e-07,False,-1
BRK1,0.22647348,False,-1
BRSK1,0.7357002,False,-1
BRWD3,0.25884902,False,-1
BTBD11,0.0014707461,False,0
BTG1,0.2004801,False,1
BTG2,0.00074257824,False,0
BTG3,0.4143027,False,-1
BUB1B,1.6210258e-07,False,-1
BZW2,0.6232586,False,-1
C11orf80,5.733858e-05,False,-1
C11orf87,0.96321195,False,-1
C12orf42,0.29742578,False,-1
C12orf75,0.15769067,False,-1
C14orf39,0.69329226,False,-1
C15orf41,0.9419259,False,-1
C16orf71,0.9945945,False,-1
C17orf67,0.45434728,False,-1
C19orf12,0.8699865,False,-1
C19orf25,0.045664303,False,-1
C19orf53,0.9419266,False,-1
C1D,0.002546466,False,0
C1QA,0.045664366,False,-1
C1QB,0.045664098,False,-1
C1orf35,0.111035235,False,-1
C21orf58,0.018855974,False,-1
C2orf27A,0.9189672,False,-1
C4orf19,0.1321178,False,-1
C5AR2,0.4287012,False,-1
C5orf15,1.9248245e-07,False,-1
C8orf34,0.96321195,False,-1
CA11,0.20048033,False,-1
CA8,0.84130865,False,-1
CABLES1,0.22498763,False,-1
CABP1,0.46204004,False,-1
CACNA1B,0.89716214,False,-1
CACNA1C,0.3653299,False,-1
CACNA1D,0.027692694,False,-1
CACNA1G,0.97938913,False,-1
CACNA2D1,0.88303506,False,-1
CACNB2,0.82589775,False,-1
CACNB4,0.20673631,False,-1
CACNG2,0.0022088639,False,0
CACNG8,0.89251655,False,-1
CACYBP,4.2489756e-08,False,0
CADM1,0.9157905,False,-1
CADM2,0.96321195,False,-1
CADPS,0.95753425,False,-1
CADPS2,0.5688932,False,-1
CALCR,0.35455868,False,-1
CALD1,0.34182298,False,-1
CALM1,0.020252429,False,-1
CALM2,0.09599329,False,-1
CALM3,0.0066309534,False,0
CALR,2.245448e-06,False,-1
CALY,0.816405,False,-1
CAMK2A,0.5853302,False,-1
CAMK2D,0.08384715,False,-1
CAMK4,0.9261864,False,-1
CAMKK2,0.8973768,False,-1
CAND2,0.9488944,False,-1
CANX,0.47033876,False,-1
CAP2,0.96321195,False,-1
CAPG,0.120065,False,-1
CAPS2,7.521628e-05,True,0
CARD11,0.20835525,False,-1
CARF,0.40122488,False,-1
CASC2,0.32022017,False,-1
CASKIN1,0.85513306,False,-1
CASP8AP2,2.2455124e-06,False,-1
CASS4,0.8176652,False,-1
CBFA2T2,0.114721514,False,-1
CBFA2T3,0.024276143,False,0
CBFB,0.16026682,False,-1
CBLB,0.32181522,False,-1
CBLN1,0.55196077,False,-1
CBLN2,0.6562842,False,-1
CBX7,0.0017621035,False,0
CCDC102B,0.045822635,False,-1
CCDC112,0.014977875,False,0
CCDC146,0.81767714,False,-1
CCDC167,0.025784217,False,-1
CCDC170,0.49105015,False,-1
CCDC18,3.527637e-14,True,0
CCDC26,0.0022086997,False,0
CCDC3,0.87433016,False,-1
CCDC47,0.077682815,False,-1
CCDC63,0.6618819,False,-1
CCDC68,0.12376628,False,-1
CCDC7,0.5414531,False,-1
CCDC73,0.4543505,False,-1
CCDC85A,0.46204913,False,-1
CCDC92,0.52437794,False,-1
CCK,0.13060266,False,-1
CCL4,0.024815071,False,0
CCL4L2,0.51964474,False,-1
CCL5,0.3043113,False,-1
CCND1,0.6477098,False,-1
CCND2,0.047732066,False,-1
CCNE2,2.056817e-10,True,0
CCNG2,0.13022505,False,0
CCNT2,0.11713737,False,-1
CCSER1,0.95191973,False,-1
CD163,0.16263668,False,-1
CD163L1,0.16334048,False,-1
CD226,0.51964074,False,-1
CD4,3.527644e-14,True,0
CD44,0.28908417,False,-1
CD55,0.05516295,False,0
CD59,0.82828224,False,-1
CD63,0.10355622,False,-1
CD69,0.055435892,False,-1
CD74,0.04678657,False,-1
CD81,3.5275968e-14,False,0
CD82,0.023471033,False,0
CD83,0.03883313,False,0
CD86,0.031483036,False,-1
CD96,1.1117695e-08,False,-1
CDC14A,0.32977152,False,-1
CDC42EP3,0.40009788,False,-1
CDC45,0.0010261446,False,-1
CDC5L,0.80173945,False,-1
CDCA2,4.592396e-09,False,-1
CDCA8,1.7807713e-09,False,-1
CDCP1,0.28908598,False,-1
CDH10,0.9357804,False,-1
CDH11,0.78002673,False,-1
CDH18,0.7242137,False,-1
CDH2,0.9635422,False,-1
CDH20,0.040503882,False,0
CDH22,0.7349267,False,-1
CDH23,0.341823,False,-1
CDH4,0.019594694,False,-1
CDH6,0.20347477,False,0
CDH7,0.93050903,False,-1
CDH8,0.93016464,False,-1
CDHR1,0.9779714,False,-1
CDK14,0.93411106,False,-1
CDK6,0.2294316,False,-1
CDK9,0.3846458,False,-1
CDKL1,0.8129832,False,-1
CDKL5,0.2665357,False,-1
CDKN1A,0.093717605,False,0
CDKN2A,9.617391e-05,False,-1
CDKN2B-AS1,0.010259568,False,-1
CDKN2C,1.2944673e-10,False,0
CDON,0.0010921556,False,-1
CDR2L,0.4910549,False,-1
CDYL2,0.5847204,False,-1
CEBPA,0.74735934,False,-1
CEBPB,0.27282575,False,-1
CEBPD,0.1975708,False,-1
CEBPG,0.01817342,False,-1
CECR2,0.0034000634,False,0
CELF4,0.7823672,False,-1
CELF5,0.82171416,False,-1
CELF6,0.28918588,False,-1
CEMIP,0.4819325,False,-1
CENPF,0.0018160492,False,-1
CENPI,2.5602762e-06,False,-1
CENPM,7.7009176e-08,False,-1
CENPN,0.00084529934,False,0
CENPP,6.2351205e-07,False,-1
CENPU,2.2551681e-08,False,0
CEP112,0.07139505,False,-1
CEP120,0.3729799,False,-1
CEP126,0.96321195,False,-1
CEP128,1.0171898e-12,False,0
CEP135,0.3773673,False,-1
CEP152,1.7807746e-09,False,-1
CEP162,0.02923599,False,-1
CEP55,8.362533e-09,False,0
CEP57L1,0.118294574,False,-1
CERS2,0.012007543,False,-1
CERS3,0.8442449,False,-1
CERS6,0.024764972,False,0
CES3,0.3043116,False,-1
CFAP44,0.6932914,False,-1
CFL1,0.20178017,False,-1
CFL2,0.43954837,False,-1
CGNL1,0.32664862,False,-1
CH25H,0.20048016,False,-1
CHAF1A,7.554256e-09,False,0
CHAMP1,0.0008855086,False,-1
CHD1,0.0024828296,False,0
CHD2,0.5452735,False,-1
CHD5,0.69329137,False,-1
CHEK1,3.6946375e-12,False,0
CHERP,0.45911673,False,-1
CHGB,0.77063644,False,-1
CHI3L1,0.61757094,False,1
CHI3L2,0.47033688,False,-1
CHL1,0.91572624,False,1
CHMP1B,0.003266693,False,-1
CHN1,0.92963684,False,-1
CHP1,0.15688066,False,-1
CHRM1,0.11856233,False,-1
CHRM2,0.7904523,False,-1
CHRNB4,0.0073044025,False,0
CHST12,0.00027725403,False,0
CHST15,0.28908393,False,-1
CHSY1,0.07964872,False,0
CHSY3,0.97938913,False,-1
CIC,0.69329184,False,-1
CIT,6.274741e-05,False,-1
CKAP2L,1.2397232e-06,False,-1
CKB,1.758687e-06,False,-1
CLDN11,0.38881454,False,-1
CLDN12,0.96321195,False,-1
CLDN19,0.30431163,False,-1
CLEC12A,0.4543467,False,-1
CLEC2B,0.2017802,False,-1
CLEC2L,0.8699868,False,-1
CLECL1,9.355033e-07,False,-1
CLHC1,0.8868175,False,-1
CLIP2,0.4703395,False,-1
CLK1,3.2540516e-08,True,0
CLMP,0.33308017,False,-1
CLN8,0.023450335,True,0
CLOCK,0.29466537,False,-1
CLSPN,6.44466e-09,False,0
CLSTN1,0.62325865,False,-1
CLU,0.051587902,False,-1
CLVS2,0.63506794,False,-1
CMAS,9.757038e-06,False,0
CMSS1,0.10278299,False,-1
CMTM2,0.4703374,False,-1
CMTM8,0.7456769,False,-1
CMYA5,0.6615991,False,-1
CNKSR2,0.94406784,False,-1
CNKSR3,0.7442682,False,-1
CNNM1,0.9261692,False,-1
CNOT3,7.5229196e-05,False,0
CNOT4,0.38882726,False,-1
CNOT6,2.1926294e-06,False,0
CNR1,0.9678077,True,1
CNTN1,0.90989256,False,-1
CNTN4,0.61171025,False,-1
CNTN5,0.97368175,False,-1
CNTNAP1,0.85512966,False,-1
CNTNAP2,0.8625372,False,1
CNTNAP3,0.0058899233,False,0
CNTNAP3B,0.33321634,False,-1
CNTNAP5,0.9571804,False,1
COBLL1,0.97938913,False,-1
COL11A1,0.3678162,False,-1
COL11A2,0.60849047,False,-1
COL13A1,0.3265895,False,-1
COL1A1,0.052218493,False,-1
COL1A2,0.34182304,False,-1
COL23A1,0.23884983,False,-1
COL25A1,0.2976754,False,-1
COL3A1,0.1415713,False,1
COL4A5,0.00278387,False,0
COL5A1,0.29182062,False,-1
COL5A2,0.44885975,False,-1
COL6A3,0.34182304,False,-1
COL8A1,0.2034747,False,0
COMMD6,0.06761553,False,-1
CORO2A,0.6232586,False,-1
CPA6,0.28908384,False,-1
CPB2-AS1,4.1042964e-05,False,0
CPE,0.26924807,False,-1
CPEB1,0.5994148,False,-1
CPEB4,0.51964325,False,-1
CPLX2,0.0621543,False,1
CPM,0.8977432,False,-1
CPNE3,0.8644792,False,-1
CPNE5,0.1148819,False,-1
CPNE8,0.21566434,False,-1
CPPED1,0.23473574,False,0
CPQ,0.48665765,False,-1
CPXM2,0.90666777,False,-1
CRADD,0.23823427,False,-1
CREB1,0.07176676,False,-1
CREB3L2,0.37736705,False,-1
CREBZF,0.024788659,True,0
CREM,0.003854122,False,-1
CRH,0.6232586,False,-1
CRIM1,0.7882217,False,-1
CRTAC1,3.8232344e-07,False,0
CRTC2,0.88681686,False,-1
CRTC3,0.34182298,False,-1
CRYL1,0.29742584,False,-1
CSGALNACT1,0.13058929,False,-1
CSGALNACT2,0.22282837,False,-1
CSMD1,0.97938913,False,-1
CSMD2,0.81210536,False,-1
CSMD3,0.96321195,False,-1
