gene,score,validation,label
ABCA10,0.019903965,False,0
ABCA2,0.0078951875,False,0
ABCC3,0.018936241,True,1
ABCC4,0.028296394,False,0
ABCF2,0.0141951945,False,0
ABCG2,0.014340089,False,0
ABHD14A,0.03551038,False,0
ABHD17B,0.02617084,True,0
ABHD3,0.046097185,False,0
ABHD5,0.022992222,False,0
ABL1,0.031412464,False,0
ABLIM1,0.029006336,True,0
ACAN,0.01710911,False,0
ACRBP,0.008121942,False,0
ACSL3,0.020989832,True,0
ACTN1,0.015487316,False,0
ACTR5,0.014340077,True,0
ACVR1C,0.01633389,False,0
ADAMTS1,0.012503816,False,0
ADAMTS13,0.03546095,False,0
ADAMTS3,0.0046435646,False,0
ADAMTS9-AS2,0.016532687,False,0
ADAMTSL3,0.03185646,True,0
ADARB2,0.04964454,False,0
ADCY1,0.03303244,False,0
ADCY2,0.021797033,False,0
ADCY8,0.033032447,False,0
ADD3-AS1,0.01944845,False,0
ADGRF3,0.016532687,False,0
ADGRG2,0.033032447,False,0
ADGRG7,0.003549789,False,0
ADGRL2,0.031337492,False,0
ADGRL4,0.027290909,True,0
ADIPOR2,0.04583626,False,0
ADK,0.027373794,False,0
ADNP,0.023518156,False,0
ADNP2,0.018081298,True,0
ADSS,0.011782762,True,0
AEBP2,0.040745206,False,0
AFAP1L1,0.007895584,False,0
AFF1,0.02120901,False,0
AFF2,0.009134633,True,0
AFF3,0.019511646,True,0
AFF4,0.03129571,True,0
AGAP1,0.0291533,False,0
AGAP2,0.013673179,False,0
AGL,0.008492379,True,0
AHCTF1,0.015353239,False,0
AHDC1,0.02983242,True,1
AHRR,0.02664895,True,0
AIF1L,0.022221569,False,0
AIG1,0.021113284,False,0
AIRE,0.026400419,False,0
AK5,0.049644575,False,0
AKAP12,0.013298505,False,0
ALDH1A2,0.017108835,False,0
ALDOC,0.026401123,False,0
ALK,0.014194981,False,0
ALX3,0.010267279,False,0
AMD1,0.016553106,False,0
AMMECR1,0.010641014,False,0
ANAPC10,0.010267763,False,0
ANGPT2,0.015524264,False,0
ANK1,0.013545638,True,0
ANKRD13A,0.024433825,False,0
ANKRD30BL,0.029134236,True,0
ANKRD33B,0.014195128,False,0
ANKRD34C-AS1,0.016532704,True,0
ANKRD37,0.0253497,False,0
ANKRD46,0.049644552,False,0
ANKRD49,0.0046438775,False,0
ANKRD6,0.024642067,False,0
ANKRD62P1-PARP4P3,0.057452545,False,0
ANKS1B,0.017047377,False,0
ANO10,0.019853234,False,0
ANO2,0.035090137,False,0
ANO6,0.036838923,False,0
ANOS1,0.022630475,False,0
ANXA1,0.014195141,False,0
ANXA11,0.008787147,False,0
ANXA2,0.013452699,False,0
ANXA4,0.033743594,False,0
AOAH,0.030917423,False,0
AOX1,0.006785251,False,0
AP1S2,0.016574841,True,0
AP1S3,0.0035496508,True,0
APBB1IP,0.020368388,True,0
APCDD1,0.018344685,False,0
APOBEC3F,0.009773469,False,0
APOE,0.031255014,False,0
APOL2,0.034423426,False,0
APOLD1,0.03370319,False,0
ARC,0.05783161,False,0
ARFGAP1,0.035461802,False,0
ARHGAP18,0.040745217,False,0
ARHGAP24,0.010828404,True,0
ARHGAP29,0.04586158,False,0
ARHGAP31,0.057748035,False,0
ARHGAP44,0.03357737,False,0
ARHGAP5,0.021215992,False,0
ARHGAP6,0.02237317,False,0
ARHGEF26,0.02026314,False,0
ARHGEF28,0.021159934,True,0
ARHGEF3,0.006022753,False,0
ARHGEF37,0.016532704,False,0
ARHGEF6,0.023140952,False,0
ARID3A,0.038529266,False,0
ARID3B,0.016532673,False,0
ARID5A,0.010824686,False,0
ARID5B,0.016205784,True,0
ARL14EP,0.023740647,False,0
ARL17A,0.022923294,True,0
ARL4A,0.031079212,False,0
ARL4C,0.007739152,False,0
ARMC4,0.012794444,False,0
ARNT2,0.025147984,False,1
ARNTL,0.022998855,False,0
ARPP21,0.022525918,False,0
ARRDC3,0.02637883,False,0
ARSG,0.033577234,False,0
ARSJ,0.019460602,False,0
ARX,0.0052617583,False,0
ASB18,0.028514676,False,0
ASB7,0.025734322,False,0
ASCL1,0.013538924,True,0
ASXL3,0.027696956,False,0
ATF2,0.027173504,False,0
ATF3,0.01630475,True,0
ATF5,0.046097394,False,0
ATF7,0.01630493,False,0
ATG10,0.026327567,False,0
ATG5,0.017847417,False,0
ATOH8,0.015994139,False,0
ATP10A,0.038764395,True,0
ATP11A,0.017103465,True,0
ATP11C,8.7985616e-05,False,0
ATP2C2,0.040745206,False,0
ATP6V0A4,0.04609666,False,0
ATP8B1,0.0060782884,True,0
ATP8B4,0.009709617,True,0
ATXN7,0.02237317,True,0
AUTS2,0.01967233,False,1
AVEN,0.02693598,True,1
AZGP1,0.035461836,False,0
AZI2,0.020703897,False,0
B3GALNT2,0.023740647,False,0
B3GAT2,0.045836277,False,0
B3GLCT,0.03091067,False,0
B4GALT1,0.0046440274,True,0
BAALC,0.01491422,True,0
BAALC-AS1,0.014195149,False,0
BAALC-AS2,0.056343246,True,0
BACH1,0.024363404,False,0
BACH2,0.020688847,False,0
BAG3,0.014949797,False,0
BAMBI,0.02617084,False,0
BANK1,0.040745206,False,0
BANP,0.021634279,False,0
BARD1,0.02237317,True,0
BATF3,0.046730887,False,0
BAZ1A,0.023432653,False,0
BBOX1-AS1,0.042953357,True,0
BBX,0.024555745,False,0
BCAR1,0.027496345,False,0
BCAR3,0.028541885,False,0
BCL7A,0.056342654,False,0
BCLAF1,0.02320388,False,0
BDNF,0.02983242,False,0
BEND3,0.016304888,False,0
BEND6,0.013505656,False,0
BEST1,0.017020026,True,0
BEST3,0.026398249,False,0
BEX1,0.021157218,False,0
BGN,0.06785928,True,0
BHLHE22,0.040745206,False,0
BHLHE40,0.005261766,True,0
BHLHE41,0.021279346,False,0
BICC1,0.014258894,False,0
BICDL1,0.01653282,False,0
BMP2,0.021893088,False,0
BMPER,0.007895445,False,0
BMPR1B,0.00713174,False,0
BMT2,0.033703275,True,0
BNC2,0.015183158,False,0
BOK-AS1,0.0064827176,True,0
BORCS6,0.040745206,False,0
BPTF,0.015359903,False,0
BRCA1,0.040745143,False,0
BRF1,0.049644575,True,0
BRINP2,0.020367179,False,0
BTBD11,0.00053448294,False,0
BTBD7,0.045836296,False,0
BTBD9,0.016694132,False,0
BTN2A1,0.040791526,True,0
BTN3A1,0.045861874,True,0
BTN3A2,0.029584417,False,0
BVES,0.020367458,False,0
BVES-AS1,0.03546027,False,0
C11orf42,0.0046441862,True,0
C11orf95,0.0035499274,False,0
C12orf42,0.033032447,False,0
C12orf45,0.014258525,False,0
C12orf60,0.018064337,False,0
C14orf132,0.018316528,True,0
C14orf28,0.021266472,False,1
C1GALT1,0.030031346,False,0
C1QL1,0.035462543,False,0
C1orf158,0.020254422,False,0
C21orf91,0.03303244,True,0
C2CD2,0.005728161,False,0
C2orf76,0.014195149,True,0
C2orf83,0.0272444,False,0
C2orf88,0.03589671,False,0
C3orf67,0.035043888,False,0
C4orf47,0.028095664,True,0
C5orf24,0.036382478,False,0
C6orf118,0.057831425,False,0
C8orf34,0.010692003,False,0
C8orf34-AS1,0.006786466,False,0
C9orf129,0.0067875786,False,0
CA10,0.016304718,False,0
CA3,0.026170846,True,0
CA8,0.017563105,False,0
CAB39,0.016566254,False,0
CABLES1,0.013206872,True,0
CABP7,0.040745206,False,0
CACHD1,0.018383939,False,0
CACNA1C,0.027208392,False,0
CACNA1G,0.024591953,True,0
CACNA2D3,0.029153287,True,0
CACNB2,0.01993324,False,0
CACNB4,0.026933867,False,0
CACNG2,0.015834983,False,0
CADPS,0.018087443,False,0
CADPS2,0.027699543,False,0
CALM1,0.02617084,False,0
CALN1,0.026170846,False,0
CALR,0.007895431,False,0
CAMK1D,0.027723515,False,0
CAMK2D,0.022582581,False,0
CAMK2N1,0.015412753,False,0
CANX,0.033032455,False,0
CAPN9,0.04609714,False,1
CAPRIN2,0.017108459,False,0
CARF,0.027320972,False,0
CASC15,0.019012192,True,0
CASZ1,0.030635094,False,0
CAV1,0.010903773,True,0
CBFA2T2,0.019940263,False,0
CBL,0.013577941,True,0
CBLN2,0.020205917,False,0
CBR3-AS1,0.02469779,False,0
CBX7,0.042953003,False,0
CCDC102A,0.0035498044,False,0
CCDC102B,0.040745195,False,0
CCDC125,0.054584686,False,0
CCDC126,0.016304765,False,0
CCDC130,0.003319309,False,0
CCDC150,0.006786357,False,0
CCDC154,0.01840553,False,0
CCDC171,0.0035497388,False,0
CCDC3,0.08859756,False,0
CCDC85C,0.02057819,False,0
CCDC88C,0.045836277,True,0
CCNB2,0.042953458,False,0
CCND1,0.0097735245,False,0
CCND2,0.018633792,True,0
CCND2-AS1,0.02693353,False,0
CCNE2,0.005261766,False,0
CCNG2,0.025148008,False,0
CCNJ,0.010445145,False,0
CCNT2,0.022621436,False,0
CCSER1,0.025289297,False,0
CD2AP,0.03303234,False,0
CD36,0.016305292,False,0
CD58,0.04586179,True,0
CD59,0.005261766,False,0
CD63,0.014506278,False,0
CD74,0.04586193,False,0
CD81,0.035461646,False,0
CDC14A,0.019793188,False,0
CDC25B,0.006078064,False,0
CDC42EP3,0.022684809,False,0
CDCP1,0.0016270338,False,0
CDH11,0.024403086,False,0
CDH18,0.02617084,False,0
CDH2,0.023488512,True,0
CDH20,0.01949158,False,0
CDH4,0.016964525,True,0
CDH7,0.01889078,False,0
CDK19,0.019936183,False,0
CDK2AP2,0.05745572,False,0
CDKN1A,0.021135602,False,0
CDKN1C,0.014245904,False,0
CDKN2A,0.027206002,False,0
CDKN2AIP,0.045836277,True,0
CDKN2B-AS1,0.021455536,False,0
CDKN2D,0.0105527695,False,0
CDON,0.03741607,False,0
CDYL,0.02802378,False,0
CDYL2,0.020144744,False,0
CEBPA,0.04295334,False,0
CEBPB,9.995603e-06,False,0
CEBPD,0.009940895,False,0
CEBPG,0.020279583,False,0
CELF6,0.020480374,False,0
CEMIP,0.011625676,False,0
CENPBD1,0.025979385,True,0
CENPJ,0.0118120685,False,0
CENPM,0.020367136,False,0
CENPP,0.033703234,True,0
CENPQ,0.032563426,False,0
CEP112,0.031007819,False,0
CEP152,0.033032447,False,0
CEP162,0.010443227,False,0
CEP295,0.046096683,False,0
CERCAM,0.007895427,True,0
CERS5,0.042953476,False,0
CERS6,0.012388019,True,0
CFAP161,0.011395717,False,1
CFAP20,0.007895383,False,0
CFAP206,0.03303244,False,0
CFAP69,0.0026367174,False,0
CFAP97,0.04583626,False,0
CFH,0.009697031,False,0
CFL2,0.01731948,True,0
CHAMP1,0.0072413906,False,0
CHD1,0.021279901,False,0
CHD5,0.08849074,False,1
CHI3L1,0.035461597,False,0
CHN1,0.022792546,False,0
CHODL,0.022206793,False,0
CHRDL1,0.020566616,False,0
CHRM5,0.020298768,False,0
CHRNB1,0.0038527218,False,0
CHST8,0.032563604,True,0
CHST9,0.018848693,False,0
CHSY1,0.021547843,False,0
CHSY3,0.020671912,False,0
CISD2,0.0035496557,False,0
CISTR,0.0060779573,False,0
CIT,0.040745195,False,1
CITED1,0.008582101,False,0
CLDN1,0.0060782544,True,0
CLDN11,0.009534843,False,0
CLDN16,0.046097185,False,0
CLEC1A,0.011626006,False,0
CLEC2D,0.040745206,False,0
CLEC5A,0.028465865,False,0
CLGN,0.026933838,False,0
CLIC2,0.04586064,True,0
CLIC4,0.008753692,False,0
CLOCK,0.025838275,False,0
CLU,0.011895884,False,0
CMSS1,0.007895416,True,0
CMTM8,0.016532704,False,0
CNGA3,0.009776894,False,0
CNKSR2,0.016694132,True,0
CNKSR3,0.021275047,False,0
CNOT2,0.018316759,False,0
CNOT4,0.020457845,True,0
CNOT6,0.057736646,False,0
CNR1,0.015045661,True,0
CNST,0.029563993,False,0
CNTN4,0.023203874,False,0
CNTN5,0.018300926,False,0
CNTNAP2,0.024015393,False,0
CNTNAP3B,0.019106114,False,0
CNTNAP5,0.019511646,False,0
COBLL1,0.035589207,True,0
COL11A1,0.026170835,False,0
COL12A1,0.012140865,False,0
COL14A1,0.011756123,False,0
COL15A1,0.057451922,False,1
COL19A1,0.01814016,False,0
COL22A1,0.035510425,False,0
COL23A1,0.03360452,False,0
COL26A1,0.009773478,False,0
COL4A2,0.03550794,False,0
COL5A3,0.042953435,False,0
COL8A1,0.009311812,True,0
COPG2,0.037417438,False,0
CORIN,0.056343567,False,0
CORO2A,0.03260885,False,0
CPEB2,0.0362693,True,0
CPM,0.018018588,False,0
CPNE8,0.009773459,False,0
CRB1,0.007895379,False,0
CREB1,0.028170995,False,0
CREB3L2,0.033634834,False,0
CREBZF,0.061597213,True,0
CREM,0.017323662,False,0
CRIM1,0.021608839,True,0
CRISPLD1,0.021948673,False,0
CRISPLD2,0.05783159,False,0
CRNDE,0.05744734,False,0
CRTC2,0.016532486,False,0
CRYBG3,0.014258888,False,1
CSGALNACT1,0.014258913,False,0
CSNK1G3,0.018363653,True,0
CTBP2,0.01970445,False,0
CTCF,0.02124587,False,0
CTCFL,0.026937151,False,0
CTHRC1,0.018096045,False,0
CTNNA2,0.020906366,False,1
CTNNB1,0.019435596,True,0
