gene,score,validation,label
ABCA10,0.19556972,False,-1
ABCA2,0.7559997,False,-1
ABCC3,0.5204961,False,-1
ABCC4,0.26426917,False,-1
ABCF2,0.4573979,False,-1
ABCG2,0.18224698,True,0
ABHD14A,0.85583943,False,-1
ABHD17B,0.38290304,False,-1
ABHD3,0.5878365,False,-1
ABHD5,0.29683802,False,-1
ABL1,0.35758945,False,-1
ABLIM1,0.40929303,False,-1
ACAN,0.7631953,False,-1
ACRBP,0.37029985,False,-1
ACSL3,0.39455345,False,-1
ACTN1,0.49091196,False,-1
ACTR5,0.18224733,False,0
ACVR1C,0.6798361,False,-1
ADAMTS1,0.5943333,False,-1
ADAMTS13,0.5995895,False,-1
ADAMTS3,0.6873009,False,1
ADAMTS9-AS2,0.42410785,False,-1
ADAMTSL3,0.1708269,False,-1
ADARB2,0.38036856,False,-1
ADCY1,0.42504275,False,-1
ADCY2,0.41590926,False,-1
ADCY8,0.42504275,False,-1
ADD3-AS1,0.40347454,False,-1
ADGRF3,0.42410713,False,-1
ADGRG2,0.42504278,False,-1
ADGRG7,0.43950766,False,-1
ADGRL2,0.40160486,False,-1
ADGRL4,0.70923877,False,-1
ADIPOR2,0.3650035,False,-1
ADK,0.40053827,False,-1
ADNP,0.38859946,False,-1
ADNP2,0.47940248,False,-1
ADSS,0.69248974,False,-1
AEBP2,0.3750999,False,-1
AFAP1L1,0.7559987,False,-1
AFF1,0.3970029,False,0
AFF2,0.31191766,False,-1
AFF3,0.4008019,False,-1
AFF4,0.4097882,False,-1
AGAP1,0.4009962,False,-1
AGAP2,0.41130844,False,-1
AGL,0.6070075,False,-1
AHCTF1,0.4734031,False,-1
AHDC1,0.39946046,False,-1
AHRR,0.19540682,False,-1
AIF1L,0.3111168,False,-1
AIG1,0.40941665,False,-1
AIRE,1.9467356e-05,False,0
AK5,0.38036802,False,-1
AKAP12,0.0013131916,False,0
ALDH1A2,0.76319456,False,-1
ALDOC,1.9511626e-05,False,0
ALK,0.4573978,False,-1
ALX3,0.0040223426,False,-1
AMD1,0.45024908,False,-1
AMMECR1,0.5783242,False,-1
ANAPC10,0.004022566,False,-1
ANGPT2,0.1886577,False,-1
ANK1,0.5689482,False,-1
ANKRD13A,0.038853366,False,-1
ANKRD30BL,0.4002389,False,-1
ANKRD33B,0.45739782,False,-1
ANKRD34C-AS1,0.42410833,False,-1
ANKRD37,0.5589108,False,-1
ANKRD46,0.38036802,False,-1
ANKRD49,0.6873054,False,-1
ANKRD6,0.39612874,False,-1
ANKRD62P1-PARP4P3,0.7892312,False,-1
ANKS1B,0.419748,True,1
ANO10,0.4131822,False,-1
ANO2,0.31580544,False,-1
ANO6,0.3782248,False,-1
ANOS1,0.32557857,False,-1
ANXA1,0.45739785,False,-1
ANXA11,0.14260742,False,-1
ANXA2,0.01991604,False,-1
ANXA4,0.44037032,False,-1
AOAH,0.07491727,False,-1
AOX1,0.002995787,False,0
AP1S2,0.31166437,False,0
AP1S3,0.43950766,False,-1
APBB1IP,0.7960078,False,-1
APCDD1,0.41789898,False,-1
APOBEC3F,0.4320847,False,-1
APOE,0.7108073,False,1
APOL2,0.546421,False,1
APOLD1,0.8337834,False,-1
ARC,0.6345194,False,-1
ARFGAP1,0.5995899,False,-1
ARHGAP18,0.37510002,False,-1
ARHGAP24,0.19340341,False,-1
ARHGAP29,0.77992636,False,-1
ARHGAP31,0.806363,False,-1
ARHGAP44,0.47823492,False,-1
ARHGAP5,0.41898414,False,-1
ARHGAP6,0.3886752,False,-1
ARHGEF26,0.5253312,False,-1
ARHGEF28,0.3959449,False,0
ARHGEF3,0.4342367,False,-1
ARHGEF37,0.42410868,False,-1
ARHGEF6,0.40124276,False,-1
ARID3A,0.03180543,False,-1
ARID3B,0.42410785,False,-1
ARID5A,0.3953584,False,-1
ARID5B,0.45778295,False,-1
ARL14EP,0.38189822,False,0
ARL17A,0.750715,False,-1
ARL4A,0.38004372,False,0
ARL4C,0.3811187,False,-1
