gene,score,validation,label
AATF,0.09800431,False,0
ABCA1,0.13210095,False,0
ABCA4,0.08061247,True,0
ABCA6,0.045818772,False,0
ABCA8,0.043983806,False,0
ABCB4,0.12329396,False,0
ABCC3,0.04718736,False,0
ABCC9,0.06302985,False,0
ABCF2,0.097882554,False,0
ABCG2,0.16362691,False,0
ABHD17C,0.17629664,False,0
ABHD5,0.07767286,False,0
ABL1,0.1433243,False,0
ABLIM1,0.13784203,False,0
ACSBG1,0.06870105,True,0
ACSBG2,0.022985866,True,0
ACSM6,0.083952464,False,0
ACTB,0.06192137,False,1
ACTG1,0.029327871,False,0
ACTN1,0.07679411,False,0
ACTR3,0.15482815,False,0
ACVR1,0.1423576,False,0
ADAM32,0.10471748,False,0
ADAMTS2,0.14454898,False,0
ADAMTS5,0.14963797,False,0
ADAMTSL1,0.054949842,True,0
ADAMTSL3,0.086666636,True,0
ADCY2,0.16921365,True,0
ADD2,0.15867324,False,0
ADGRG1,0.0053672986,False,0
ADGRL2,0.13379918,False,0
ADGRL3,0.11755743,True,0
ADGRL4,0.085630104,False,0
ADGRV1,0.12970299,False,0
ADNP,0.111339435,True,1
ADNP2,0.10376813,True,0
ADORA1,0.064730875,False,0
ADRB2,0.11747109,False,1
ADTRP,0.07313388,True,0
AFF1,0.14796786,True,0
AFF2,0.05716511,False,1
AFF4,0.10099937,False,0
AGAP1,0.11570028,True,1
AGFG1,0.13805175,False,0
AGO2,0.10996216,False,1
AHCTF1,0.11841343,False,0
AHDC1,0.14895643,True,1
AHR,0.16153768,True,0
AHRR,0.13868427,False,0
AIF1L,0.045466054,False,0
AKAP5,0.1304382,False,0
AKR1A1,0.031847842,False,0
ALCAM,0.18620375,False,0
ALDOC,0.07871434,True,0
ALOX5,0.08242662,False,0
ALS2CL,0.079873495,False,0
ALX1,0.1150277,False,0
ALX3,0.08888395,False,0
AMMECR1,0.088000655,False,0
ANAPC16,0.10382753,False,0
ANHX,0.032849543,False,0
ANK3,0.15275413,False,1
ANKEF1,0.06227488,False,0
ANKMY1,0.0822298,False,0
ANKRD30BL,0.1359376,False,0
ANKRD34B,0.1112877,False,0
ANKRD35,0.040139806,True,0
ANKRD6,0.07151568,True,0
ANO2,0.14406863,False,0
ANO3,0.08479135,False,0
ANOS1,0.025685566,True,0
ANTXR1,0.19859286,False,0
ANXA11,0.18460783,False,0
ANXA2,0.12810066,False,0
AP1S3,0.16347043,True,0
APBB1IP,0.15327317,False,0
APLP2,0.059532445,False,0
APOBEC3H,0.050340034,False,0
APOE,0.09774638,True,0
APP,0.1348313,False,0
AQP1,0.02531477,False,0
AQP4,0.07931321,False,0
AQP6,0.14213812,False,0
AR,0.1614952,False,1
ARFGAP1,0.13954298,True,0
ARG1,0.09723182,False,0
ARHGAP10,0.025159374,False,0
ARHGAP24,0.090396084,False,0
ARHGAP25,0.07349805,False,0
ARHGAP31,0.046763714,False,0
ARHGAP42,0.19529392,False,0
ARHGAP6,0.10347256,False,0
ARHGDIB,0.04020641,False,0
ARHGDIG,0.08878196,False,0
ARHGEF10,0.112603255,False,1
ARID2,0.14711796,True,1
ARID5A,0.13198571,True,0
ARID5B,0.14322035,True,0
ARL4C,0.09185194,True,0
ARL5A,0.05987014,False,0
ARL6IP1,0.020021547,False,0
ARNT2,0.1763081,False,1
ARNTL,0.092749596,True,0
ARPP21,0.17165762,False,0
ARSJ,0.059383072,False,0
ARX,0.13332853,False,1
ASB7,0.06677009,False,0
ASCL1,0.076268025,False,0
ASPA,0.14265099,False,0
ASPN,0.087005235,False,0
ASPSCR1,0.055760242,False,0
ASXL3,0.1870929,False,1
ATF2,0.15052107,False,0
ATF3,0.07366179,False,0
ATF5,0.04648905,False,0
ATF7,0.16786206,False,0
ATG10,0.06689987,False,0
ATG5,0.16862433,False,0
ATOH8,0.033643477,False,0
ATP10A,0.048912138,False,1
ATP10B,0.048630595,False,0
ATP11C,0.19040166,False,0
ATP1A2,0.015744224,False,0
ATP1B1,0.08945604,False,0
ATP2B4,0.06785323,False,0
ATP2C1,0.10392518,False,0
ATP8A1,0.15523306,False,0
ATP8B1,0.10073882,False,0
ATP8B4,0.117862836,True,0
ATXN1,0.09619944,True,0
AZIN1,0.106613085,False,0
AZIN1-AS1,0.13409984,True,0
B3GAT1,0.120248795,False,0
