gene,score,validation,label
AACS,0.82991254,False,-1
AATF,0.087007016,False,-1
ABCA1,0.9701132,False,-1
ABCA4,0.05169915,False,-1
ABCA6,0.33445376,False,-1
ABCA8,0.0013240395,False,0
ABCB4,0.79246557,False,-1
ABCC3,0.032729104,False,-1
ABCC9,0.005456945,False,-1
ABCF2,0.080428295,False,-1
ABCG2,0.66848874,True,0
ABHD17C,0.66399986,False,-1
ABHD5,0.19253476,False,-1
ABL1,0.9245265,False,-1
ABLIM1,0.6783552,False,-1
ACSBG1,0.10610224,False,-1
ACSBG2,0.27905372,False,-1
ACSM6,0.0065331277,False,-1
ACTB,0.7483137,False,1
ACTG1,0.16806334,False,-1
ACTN1,0.011723389,False,-1
ACTR3,0.8648267,False,-1
ACVR1,0.6911436,False,-1
ADAM32,0.039377857,False,-1
ADAMTS17,0.4683426,False,-1
ADAMTS2,0.013483851,False,-1
ADAMTS5,0.4525372,False,-1
ADAMTS9-AS2,0.28375143,False,-1
ADAMTSL1,0.5513334,False,-1
ADAMTSL3,0.59006524,False,-1
ADARB1,0.84564215,False,-1
ADARB2,0.0012495177,False,-1
ADARB2-AS1,0.33959475,False,-1
ADCY2,0.93504465,False,-1
ADCY8,0.67984915,False,-1
ADD2,0.6589499,False,-1
ADGRG1,0.03097722,False,-1
ADGRL2,0.9236706,False,-1
ADGRL3,0.39627197,False,-1
ADGRL4,0.0013012243,False,-1
ADGRV1,0.41742656,False,-1
ADNP,0.9706975,False,1
ADNP2,0.33991584,False,-1
ADORA1,0.08742983,False,-1
ADRA1B,0.68927366,False,-1
ADRB2,0.03464842,False,-1
ADTRP,0.014266897,False,-1
AFAP1,0.2973933,False,-1
AFF1,0.5995503,False,-1
AFF2,0.85080284,False,1
AFF4,0.80392635,False,-1
AGAP1,0.85871184,False,-1
AGFG1,0.43700433,False,-1
AGO2,0.58639765,False,1
AHCTF1,0.9316182,False,1
AHDC1,0.94435847,False,1
AHR,0.91849494,False,-1
AHRR,0.9280087,False,-1
AIF1L,0.0035220394,False,-1
AKAP5,0.0006355125,False,-1
AKR1A1,0.023067562,False,-1
ALCAM,0.94007725,False,-1
ALDOC,0.0012133394,False,-1
ALK,0.53669757,False,-1
ALOX5,0.014670691,False,-1
ALS2CL,0.008713987,False,-1
ALX1,2.5583481e-06,False,-1
ALX3,0.000115945535,False,-1
AMMECR1,0.7778468,False,-1
AMOTL1,0.0061284807,False,-1
ANAPC16,0.0802095,False,-1
ANHX,0.015275015,False,-1
ANK1,0.0951369,False,-1
ANK3,0.25301743,True,1
ANKEF1,0.011333474,False,-1
ANKMY1,0.00048957375,False,-1
ANKRD30BL,0.4692364,False,-1
ANKRD34B,0.23598622,False,-1
ANKRD35,0.00075979665,False,-1
ANKRD55,0.6376131,False,-1
ANKRD6,0.0058454867,False,-1
ANO1,0.0064231707,False,-1
ANO2,0.74604267,False,-1
ANO3,0.7317582,False,-1
ANOS1,0.9989287,False,-1
ANTXR1,0.22359958,False,-1
ANXA11,0.36037427,False,-1
ANXA2,0.3687777,False,-1
AP1S3,0.13183531,False,-1
APBB1IP,0.005453507,False,0
APLP2,0.14598608,False,-1
APOBEC3H,0.35233676,False,-1
APOE,0.11914501,False,-1
APP,0.9428802,False,-1
AQP1,1.3103181e-05,False,-1
AQP4,0.22649543,False,-1
AQP6,0.57627153,False,-1
AR,0.65713346,False,-1
ARC,0.04366209,False,0
ARFGAP1,0.19903626,False,-1
ARG1,0.019505063,False,-1
ARHGAP10,0.11968036,False,-1
ARHGAP24,0.035405617,False,0
ARHGAP25,0.11037466,True,0
ARHGAP31,0.005900331,False,-1
ARHGAP42,0.49889606,False,-1
ARHGAP6,0.86905545,False,-1
ARHGDIB,0.0008280207,False,-1
