gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AACS,-1,0.5708763675999999,0.3932304958639278,0.002003688,0.7022721,0.983116,0.815206,0.35178405,False,False,False,False,False
AATF,-1,0.233379198,0.3163982606893029,0.0325422,0.74879354,0.33056033,0.016839283,0.038160637,False,False,False,False,False
ABCA1,-1,0.9528747399999998,0.040831570398330866,0.99691534,0.9814649,0.95200413,0.8911453,0.94284403,False,False,False,False,False
ABCA4,-1,0.122744506,0.07292972166460036,0.04133762,0.06408894,0.21267554,0.17833275,0.11728768,False,False,False,False,False
ABCA6,-1,0.23173701530000002,0.2474908683230659,0.0033551925,0.3130992,0.60215986,0.22971968,0.010351144,False,False,False,False,False
ABCA8,0,0.0041523637296,0.006404950360174228,4.922819e-06,0.0033511654,0.0020796272,4.583229e-06,0.01532152,False,False,True,False,False
ABCB4,-1,0.19358559234,0.35044944099678305,0.0009828147,0.8182607,0.05907577,0.072909564,0.016699113,False,False,False,False,False
ABCC3,-1,0.3445028144,0.41398579037381483,0.9278543,0.007678505,0.053842437,0.63705975,0.09607908,False,False,False,False,False
ABCC9,-1,0.32415542999999997,0.21507654687640573,0.55749494,0.10852893,0.08172771,0.4424297,0.43059587,False,False,False,False,False
ABCF2,-1,0.23849197540000003,0.22024032763822857,0.022725347,0.57604617,0.28443578,0.0614936,0.24775898,False,False,False,False,False
ABCG2,0,0.48174593000000004,0.13186549974990028,0.34576437,0.54957694,0.33274657,0.60881627,0.5718255,True,False,False,False,False
ABHD17C,-1,0.8059730359999999,0.0680385972494115,0.85861427,0.73838055,0.7443165,0.89140046,0.7971534,False,False,False,False,False
ABHD5,-1,0.31496529640000004,0.38045483238714495,0.97915226,0.16548386,0.21516846,0.008868982,0.20615292,False,False,False,False,False
ABL1,-1,0.7430721920000001,0.19099450267793655,0.8595107,0.8209254,0.7401775,0.41502506,0.8797223,False,False,False,False,False
ABLIM1,-1,0.8346056399999998,0.08031168833215843,0.9533652,0.8471593,0.73145175,0.836357,0.80469495,False,False,False,False,False
ACSBG1,-1,0.12136797120000001,0.12337943603546742,0.034351014,0.3204464,0.008628632,0.14379062,0.09962319,False,False,False,False,False
ACSBG2,-1,0.4014150839000001,0.24780310320931315,0.42722085,0.34263036,0.0121900095,0.5915451,0.6334891,False,False,False,False,False
ACSM6,-1,0.049042885980000006,0.046268640664194616,0.0007885469,0.057050545,0.051966384,0.015428824,0.11998013,False,False,False,False,False
ACTB,1,0.6198719779999999,0.3290016167352015,0.67912084,0.764575,0.9018806,0.05215245,0.701631,False,False,False,True,False
ACTG1,-1,0.255960364,0.2087316825723209,0.21906476,0.57169205,0.33861312,0.09823018,0.05220171,False,False,False,False,False
ACTN1,-1,0.476829636,0.33158126583792086,0.99468935,0.42432362,0.0696971,0.47415033,0.42128778,False,False,False,False,False
ACTR3,-1,0.7185678939999999,0.15204342862594122,0.9329807,0.69377077,0.5278041,0.7880244,0.6502595,False,False,False,False,False
ACVR1,-1,0.4504365244,0.3760672412001593,0.26293358,0.8813785,0.8070566,0.013249042,0.2875649,False,False,False,False,False
ADAM32,-1,0.349846984,0.31260334274690604,0.10353769,0.5245314,0.22379309,0.81219184,0.0851809,False,False,False,False,False
ADAMTS17,-1,0.382371092,0.25922526250272493,0.24042597,0.521398,0.7527482,0.3095962,0.08768709,False,False,False,False,False
ADAMTS2,-1,0.071837882684,0.07284802574722941,0.00043670242,0.1791788,0.010953501,0.10147285,0.06714756,False,False,False,False,False
ADAMTS5,-1,0.875189768,0.07127123744745927,0.87808824,0.8701519,0.9893714,0.7971414,0.8411959,False,False,False,False,False
ADAMTS9-AS2,-1,0.18834546400000002,0.2164800832943868,0.04573277,0.037753385,0.558467,0.19726907,0.102505095,False,False,False,False,False
ADAMTSL1,-1,0.48179508000000004,0.27308051153139035,0.50538146,0.01746044,0.7115392,0.6468167,0.5277776,False,False,False,False,False
ADAMTSL3,-1,0.649322802,0.11126945668176363,0.7493531,0.73241395,0.69543374,0.58060545,0.48880777,False,False,False,False,False
ADARB1,-1,0.662270626,0.2408881296979228,0.8547371,0.43078706,0.3814703,0.74638367,0.897975,False,False,False,False,False
ADARB2,-1,0.36717055615999994,0.4407027790468981,0.022397224,0.923236,0.0012012068,0.7630231,0.12599525,False,False,False,False,False
ADARB2-AS1,-1,0.26673125799999997,0.16989909996942618,0.48135737,0.13731922,0.2704143,0.37830523,0.06626017,False,False,False,False,False
ADCY2,-1,0.80931545,0.1581755951256639,0.97673607,0.80526763,0.5562509,0.8096189,0.89870375,False,False,False,False,False
ADCY8,-1,0.11618470614000001,0.17519710383172876,0.4214622,0.10509581,0.038189642,0.009781586,0.0063942927,False,False,False,False,False
