gene,score,validation,label
A2M,0.0024206687,False,0
AASDHPPT,0.42500144,False,-1
ABCA1,0.15309206,False,-1
ABCA12,0.28106773,True,0
ABCB1,0.30474663,False,-1
ABCG2,0.0030755012,False,-1
ABRA,0.13593544,False,-1
ABTB2,0.1268351,False,-1
ACTB,0.11997713,False,1
ACTG1,0.022921046,False,-1
ACVR1,0.14223409,False,0
ACVR1C,0.21018699,False,-1
ADAM28,0.004567651,False,0
ADAMTS1,0.08355138,False,0
ADAMTS17,0.13818972,False,-1
ADAMTS18,0.16069183,False,-1
ADAMTS3,0.38370058,False,-1
ADAMTS5,0.031240497,False,-1
ADCY4,0.0625872,False,-1
ADCYAP1,0.29134464,False,-1
ADGRA1,0.6125815,False,-1
ADGRL4,0.0048965598,False,-1
ADNP,0.9708524,False,1
ADNP2,0.61220306,False,-1
ADRB3,0.3697261,False,-1
AFF1,0.20587482,False,-1
AFF4,0.7745069,False,-1
AGAP2,0.254757,False,0
AGPAT1,0.33695185,False,-1
AHCTF1,0.29238012,False,-1
AHR,0.5195287,False,-1
AHRR,0.2262487,False,-1
AKAP13,0.20698148,False,-1
ALCAM,0.15234329,False,-1
ALDH1A2,0.2438869,False,-1
ALDH1A3,0.41593143,False,1
ALDOA,0.24753137,False,-1
ALK,0.03988767,False,-1
ALKBH5,0.051103875,False,-1
ALX4,0.0022477102,False,0
AMER2,0.2122169,False,-1
AMIGO2,0.29653728,False,-1
ANK1,0.2542739,False,0
ANKRD30A,0.016704326,False,-1
ANKRD34B,0.010079757,False,-1
ANKRD6,0.2207387,False,-1
ANO10,0.29227647,False,-1
ANO6,0.20637943,False,-1
ANXA11,0.22672209,False,-1
AOAH,0.04721396,False,-1
AP1S1,0.13515471,False,-1
AP2M1,0.34501812,False,-1
APBB1IP,0.004945627,True,0
APBB2,0.67410773,False,0
APCDD1,0.58776885,False,-1
APCDD1L,0.052039564,False,-1
APLP2,0.3218795,False,-1
APOE,0.10817732,False,-1
APP,0.49731725,False,-1
AQP3,0.056659583,False,-1
AQP4,0.27237585,False,-1
ARC,0.022419337,False,0
AREG,0.09650783,False,0
ARF1,0.4153116,False,-1
ARF3,0.40830627,True,1
ARHGAP12,0.21118098,False,-1
ARHGAP18,0.12405151,False,-1
ARHGAP20,0.34800395,False,0
ARHGAP24,0.0675073,False,0
ARHGAP26,0.78555804,False,-1
ARHGAP6,0.22328015,False,0
ARHGDIA,0.31405723,False,-1
ARHGDIG,0.27419904,False,-1
ARHGEF28,0.1754778,False,-1
ARID5A,0.08438628,False,-1
ARL4C,0.28598166,False,-1
ARL6IP1,0.46221316,False,-1
ARNTL,0.6990824,False,-1
ARPC5L,0.055254098,False,-1
ARSJ,0.28266293,False,-1
ARX,0.17276707,False,1
ASAP1,0.3654181,False,0
ASAP2,0.6828822,False,-1
ASCL1,0.37976477,False,-1
ATF2,0.9741123,False,-1
ATF3,0.02511873,True,0
ATF4,0.0006261518,False,0
ATF5,0.21460119,False,-1
ATF7,0.61156976,False,-1
ATOH8,0.37940544,False,-1
ATP10A,0.0053472337,False,-1
ATP1A1,0.38771746,False,1
ATP1A2,0.4247561,False,-1
ATP1A3,0.1663763,False,1
ATP1B1,0.3449605,False,-1
ATP2B3,0.31730324,False,-1
ATP6V0C,0.23317674,False,-1
ATP6V1A,0.5308582,True,0
ATP6V1B2,0.43066534,False,-1
ATP6V1H,0.04599448,False,0
ATRNL1,0.73141086,False,-1
ATXN1,0.567036,False,-1
ATXN7L3B,0.43243384,False,-1
AUTS2,0.77515066,False,1
B2M,0.42151973,False,-1
B3GALT2,0.28734878,False,-1
B4GAT1,0.11758906,False,-1
BACH2,0.45734823,False,-1
BAG3,0.17323253,False,0
BAIAP2,0.03550116,False,0
BANF1,0.14944035,False,-1
BARHL2,0.16013066,False,-1
BASP1,0.580957,False,-1
BBX,0.18301144,False,-1
BCAP31,0.08549198,False,0
BCL11A,0.5414557,False,1
BCL3,0.18552636,False,-1
BCL6,0.19855735,False,0
BCL6B,0.013353201,False,-1
BCLAF1,0.67503065,False,-1
BCOR,0.2225767,False,-1
BDNF,0.004163238,False,0
BEND7,0.22219934,False,-1
BEX1,0.5406678,True,0
BEX2,0.09857019,False,-1
BEX3,0.12897591,False,-1
BEX5,0.14332113,False,-1
BHLHE22,0.001126157,False,0
BHLHE40,0.2605296,False,-1
BICD1,0.7045413,False,-1
BICDL1,0.2612479,False,0
BLNK,0.39124858,True,0
BMP4,0.43177798,False,-1
BMP5,0.014686415,False,-1
BMPR1B,0.09787294,False,-1
BMT2,0.59298253,False,-1
BNC2,0.0016727804,False,0
BRINP1,0.28850725,False,-1
BRINP2,0.36555588,False,0
BRINP3,0.4919485,False,-1
BSCL2,0.18049154,False,-1
BSG,0.36057532,False,-1
BTBD11,0.027745517,False,-1
BTG1,0.035812583,False,-1
C11orf87,0.17722306,False,-1
C11orf96,0.08422502,True,0
C1QB,0.20072804,False,-1
C1QTNF4,0.21314286,False,0
C1QTNF9B,0.21903107,False,-1
C2CD2,0.36235443,False,-1
C2orf83,0.0026035816,False,-1
C3,0.017137367,False,0
C4orf19,0.2633825,False,-1
C4orf48,0.009726294,False,-1
C5orf24,0.49720705,False,-1
C6orf141,0.08792423,False,-1
C9orf16,0.3634776,False,-1
CA3,0.5009983,False,-1
CACHD1,0.5800097,False,-1
CACNA1C,0.8604323,False,1
CACNA1G,0.045434125,False,0
CACNA2D1,0.20788063,False,-1
CACYBP,0.22894423,False,-1
CADM1,0.46845886,True,0
CADM3,0.30377322,False,-1
CADPS2,0.7510166,False,-1
CALB1,0.33355224,False,-1
CALM1,0.33279458,False,-1
CALM2,0.41387793,False,-1
CALM3,0.21817014,False,-1
CALN1,0.0635961,False,-1
CALR,0.30309147,False,-1
CALY,0.21446596,False,-1
CAMK2D,0.32017297,False,-1
CAMK2N1,0.3212753,False,0
CAP1,0.4451724,False,-1
CAPNS1,0.33817977,False,-1
CARF,0.5597652,False,-1
CASC15,0.09171414,False,-1
CASC2,0.58764875,False,-1
CASP7,0.06456228,False,0
CAST,0.5162837,False,-1
CBLN2,0.41819543,False,-1
CBLN4,0.1771163,False,-1
CBX6,0.4334578,False,-1
CCBE1,0.6534952,False,-1
CCDC178,0.43155548,False,-1
CCDC3,0.26736665,False,-1
CCDC6,0.5364427,False,-1
CCDC88C,0.04084562,False,-1
CCK,0.020876696,False,-1
CCNG2,0.5154897,False,-1
CCNI,0.4669077,False,-1
CCT7,0.41413254,False,-1
CD22,0.044699885,False,-1
CD63,0.16291766,False,-1
CD74,0.12653333,False,-1
CD79B,0.03100903,False,-1
CD81,0.30180898,False,-1
CD86,0.0062908977,False,0
CD96,0.1095419,False,-1
CDC14B,0.14525379,False,0
CDCA7L,0.34737638,False,-1
CDH11,0.48418412,False,-1
CDH12,0.016221337,False,-1
CDH2,0.6846533,False,-1
