gene,score,validation,label
A2M,0.09015191,False,0
AACS,0.11537092,False,0
AAGAB,0.121533014,False,0
AARS,0.11369813,False,0
AASDHPPT,0.12769279,False,0
AATK,0.11631997,False,0
ABCA1,0.12870808,False,0
ABCA10,0.11920207,False,1
ABCA12,0.122703664,False,0
ABCA2,0.12329941,False,0
ABCA3,0.12563966,True,0
ABCA5,0.12824541,True,0
ABCA6,0.12610815,True,0
ABCB1,0.13150062,True,0
ABCB9,0.12293807,False,0
ABCC3,0.1245153,False,0
ABCC4,0.13092612,False,0
ABCC5,0.12710643,True,0
ABCC8,0.12314678,False,0
ABCC9,0.12816535,False,0
ABCD4,0.13037698,False,0
ABCE1,0.11803724,False,1
ABCF2,0.12660141,False,0
ABCF3,0.11685541,False,0
ABCG1,0.11975305,True,0
ABCG2,0.09867742,False,0
ABCG4,0.11251767,False,0
ABHD12,0.118681535,False,0
ABHD12B,0.11968309,False,0
ABHD14A,0.11942619,False,0
ABHD17A,0.12175867,False,0
ABHD17B,0.12865181,True,0
ABHD17C,0.12469232,True,0
ABHD2,0.11575118,False,0
ABHD5,0.12169323,False,0
ABHD6,0.1257566,False,0
ABHD8,0.12592763,True,0
ABI1,0.12929563,False,0
ABI2,0.123278014,False,0
ABL1,0.122849144,True,0
ABLIM1,0.12888426,False,0
ABLIM2,0.12680522,False,0
ABLIM3,0.11168371,False,0
ABR,0.10616576,True,0
ABRA,0.12868619,False,0
ABTB1,0.12063983,False,0
ABTB2,0.12726404,False,0
ACAP2,0.12925982,False,0
ACAP3,0.12509103,False,0
ACER2,0.13177331,False,0
ACHE,0.12913406,False,1
ACIN1,0.12686269,False,0
ACMSD,0.12402056,False,0
ACO1,0.11584367,False,0
ACOT8,0.11984635,False,0
ACSBG1,0.12280073,True,0
ACSL3,0.12590009,True,0
ACSL4,0.12694836,True,0
ACSS2,0.12570295,False,0
ACTA2,0.12575823,False,0
ACTB,0.12763095,False,1
ACTG1,0.120872155,True,0
ACTN1,0.12445111,False,0
ACTN2,0.11879859,False,0
ACTN4,0.130446,False,1
ACTR1A,0.122625016,True,0
ACTR1B,0.12510337,False,0
ACTR2,0.13227767,False,0
ACTR3B,0.1212038,False,0
ACTR6,0.12781088,True,0
ACVR1,0.09048878,False,0
ACVR1B,0.12477047,False,0
ACVR1C,0.10153462,False,0
ACVR2A,0.11864158,False,0
ACVR2B,0.12810819,True,0
ACY1,0.1197259,False,0
ACYP1,0.1264164,True,0
ACYP2,0.1222003,False,0
ADAM10,0.126965,False,0
ADAM11,0.12000601,False,0
ADAM17,0.11870387,False,0
ADAM22,0.11739484,False,0
ADAM23,0.11608176,False,0
ADAM28,0.09568501,True,0
ADAM32,0.1276957,True,0
ADAM9,0.12083812,False,0
ADAMTS1,0.12581483,False,0
ADAMTS10,0.11980313,False,0
ADAMTS16,0.12108089,False,0
ADAMTS17,0.11016805,True,0
ADAMTS18,0.060967334,False,0
ADAMTS20,0.12929793,False,0
ADAMTS3,0.106697954,True,0
ADAMTS5,0.09552981,True,0
ADAMTS6,0.1310429,False,0
ADAMTS9,0.12898858,False,0
ADAMTS9-AS2,0.12451718,False,0
ADAMTSL1,0.11857325,False,0
ADAMTSL3,0.12130222,False,0
ADAMTSL4-AS1,0.12445556,False,0
ADAP1,0.12245252,False,0
ADAP2,0.12213768,False,0
ADAR,0.12008544,False,0
ADARB1,0.09537246,True,0
ADARB2,0.12934032,False,0
ADCY1,0.12050153,False,0
ADCY2,0.121921554,False,0
ADCY3,0.11897556,False,1
ADCY4,0.10593546,False,0
ADCY5,0.12588105,True,1
ADCY6,0.122972414,False,0
ADCY7,0.13102135,False,0
ADCY8,0.13215935,False,0
ADCY9,0.12441289,False,0
ADCYAP1,0.10374392,True,0
ADCYAP1R1,0.12639046,False,0
ADD1,0.1189217,False,0
ADD2,0.12628669,False,0
ADD3,0.12026485,False,0
ADD3-AS1,0.12454727,True,0
ADGRA1,0.12076999,True,0
ADGRA1-AS1,0.11853776,False,0
ADGRA2,0.12572189,True,0
ADGRA3,0.12802388,False,0
ADGRB1,0.12029048,False,0
ADGRB2,0.12552358,False,0
ADGRB3,0.12845026,True,0
ADGRE2,0.124931,False,0
ADGRF5,0.13162369,False,0
ADGRG1,0.1146936,False,0
ADGRL1,0.12236304,False,1
ADGRL2,0.12933412,False,0
ADGRL3,0.12351278,False,0
ADGRL4,0.11064467,False,0
ADGRV1,0.1249112,True,0
ADIPOR1,0.12734088,True,0
ADIPOR2,0.1297038,False,0
ADIRF,0.12927796,True,0
ADK,0.12276448,False,1
ADNP,0.10370473,False,1
ADNP2,0.11779352,True,0
ADO,0.12503834,False,0
ADORA1,0.12327165,False,0
ADPRHL1,0.12234727,False,0
ADRA1A,0.12742156,True,0
ADRA1B,0.12362694,False,0
ADRA2A,0.12909347,False,0
ADRB1,0.11840505,False,0
ADRB3,0.12822837,False,0
ADRM1,0.12805918,False,0
ADSS,0.11827361,False,0
ADTRP,0.12363947,False,0
AEBP1,0.12593482,False,0
AEBP2,0.09775967,False,0
AFAP1,0.12525174,False,0
AFAP1L1,0.1252916,False,0
AFAP1L2,0.12558465,True,0
AFF1,0.09127562,True,0
AFF2,0.13235046,False,1
AFF3,0.12588657,False,0
AFF4,0.10452069,False,0
AFTPH,0.12247478,True,0
AGAP1,0.11725555,False,1
AGAP2,0.12913151,True,1
AGAP3,0.12430574,False,0
AGBL1,0.12559974,False,0
AGBL4,0.12373774,False,1
AGFG1,0.12759148,False,0
AGL,0.12178454,False,0
AGMO,0.13100405,False,1
AGO1,0.12495153,False,1
AGO2,0.1278876,True,1
AGO3,0.1218937,False,1
AGO4,0.11871895,False,1
AGPAT1,0.119209245,False,0
AGPAT2,0.12868147,False,0
