gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.0112435129816,0.01242207422743295,0.028598832,0.008541827,0.018932588,0.00012378654,2.0531368e-05,True,False,False,False,False
AACS,-1,0.534061846,0.08016578045863132,0.45927837,0.4674324,0.62432176,0.6154012,0.5038755,False,False,False,False,False
AASDHPPT,-1,0.30561555,0.13941303472831312,0.50468737,0.276269,0.24080177,0.3705249,0.13579471,False,False,False,False,False
ABCA1,-1,0.1528005572,0.14054078920359916,0.38834813,0.060071196,0.11296237,0.16469799,0.0379231,False,False,False,False,False
ABCA12,0,0.1357768588,0.05725601361139131,0.1452475,0.17050377,0.18823466,0.1343235,0.040574864,False,False,True,False,False
ABCB1,-1,0.1692585118,0.109408449475932,0.27466118,0.13652875,0.166191,0.2634287,0.005482929,False,False,False,False,False
ABCF2,-1,0.5716564239999999,0.05788639907506842,0.6710211,0.5535124,0.52016926,0.5641323,0.54944706,False,False,False,False,False
ABCG2,-1,0.03342599616,0.03740355099264134,0.09316163,0.030778524,0.03933496,0.0010577545,0.0027971123,False,False,False,False,False
ABRA,-1,0.12982343380000003,0.11321385764826283,0.09760657,0.033434585,0.19903605,0.29064324,0.028396724,False,False,False,False,False
ABTB2,-1,0.1106845665472,0.08069428621280814,0.19372128,0.08363769,0.089562036,0.1864325,6.9326736e-05,False,False,False,False,False
ACER2,-1,0.1954062124,0.1895760674222333,0.4975526,0.17626272,0.074322976,0.2247353,0.004157466,False,False,False,False,False
ACMSD,-1,0.34372159399999996,0.2531071228404498,0.14639589,0.13359942,0.694696,0.52750003,0.21641663,False,False,False,False,False
ACTB,1,0.1534889072,0.027120864481239702,0.1793497,0.17790116,0.12908487,0.121224806,0.159884,False,False,True,False,False
ACTG1,-1,0.10612199299999998,0.06978791585921301,0.12102671,0.2071439,0.1224517,0.035449125,0.04453853,False,False,False,False,False
ACVR1,0,0.187546554,0.057608338713233426,0.12563689,0.19783975,0.15777606,0.27892497,0.1775551,True,False,False,False,False
ACVR1C,-1,0.24146448,0.05411407576945206,0.17529674,0.26120466,0.20385538,0.3151053,0.25186032,False,False,False,False,False
ADAM28,0,0.030885315879999996,0.030070289554293413,0.047801726,0.07059175,0.03336807,0.0005503828,0.0021146506,False,False,True,False,False
ADAM32,-1,0.36396911200000004,0.16394895464407974,0.5786602,0.3603762,0.25202328,0.4626569,0.16612898,False,False,False,False,False
ADAMTS1,0,0.11074355674,0.09670042561388056,0.12089691,0.04172153,0.12783207,0.2568773,0.0063899737,False,False,True,False,False
ADAMTS16,0,0.24357397399999997,0.03473176428176201,0.22887704,0.25755653,0.19484586,0.24808432,0.28850612,False,False,False,True,False
ADAMTS17,-1,0.36584194800000003,0.11247106540314075,0.37187243,0.18837938,0.38618657,0.38121086,0.5015605,False,False,False,False,False
ADAMTS18,-1,0.32022668600000004,0.20120558339557176,0.4221199,0.1581352,0.18051016,0.6272773,0.21309087,False,False,False,False,False
ADAMTS3,-1,0.26177006999999997,0.15354037629859987,0.36328006,0.15919279,0.39701492,0.34663397,0.04272861,False,False,False,False,False
ADAMTS5,-1,0.067129816256,0.06581876667259712,0.08370492,0.17136838,0.028627768,0.051645186,0.00030282728,False,False,False,False,False
ADAMTSL1,-1,0.179934511609512,0.2348272516597644,0.33370727,0.51912034,0.039450653,0.007394008,2.8704756e-07,False,False,False,False,False
ADARB1,-1,0.63719153,0.1737722310016612,0.6120582,0.40699258,0.813353,0.8052235,0.54833037,False,False,False,False,False
ADCY4,-1,0.04885712412,0.05269104984255939,0.13678022,0.034723412,0.052592926,0.018929714,0.0012593486,False,False,False,False,False
ADCY5,-1,0.29912265,0.09257975562075733,0.28146273,0.37892917,0.40086982,0.1734721,0.26087943,False,False,False,False,False
ADCYAP1,-1,0.16431398160000002,0.09139647351666232,0.121929854,0.13777514,0.32353914,0.14639011,0.091935664,False,False,False,False,False
ADGRA1,-1,0.307428228368,0.3313953443453973,0.8136237,0.15903121,0.10129618,0.46294346,0.00024659184,False,False,False,False,False
ADGRL2,-1,0.357390566,0.23157341267589157,0.64520454,0.37984848,0.29626563,0.45235112,0.01328306,False,False,False,False,False
ADGRL4,-1,0.10879287514500002,0.11304815200729285,0.29571006,0.06840941,0.058110215,0.1216466,8.8090725e-05,False,False,False,False,False
ADNP,1,0.9055481740000001,0.14514435801328374,0.9796739,0.97440094,0.9957645,0.64984053,0.928061,False,True,False,False,False
ADNP2,-1,0.77754673,0.09713275179859264,0.7806252,0.62153995,0.7698108,0.8432989,0.8724588,False,False,False,False,False
ADRA2A,-1,0.262871872676,0.1836639434752855,0.5052801,0.33765575,0.22503634,0.24592057,0.00046660338,False,False,False,False,False
ADRB3,-1,0.21137139128799998,0.24704544798835223,0.6010067,0.022532683,0.13903147,0.29405537,0.00023073344,False,False,False,False,False
AEBP2,-1,0.7252652359999999,0.1217876800183037,0.610458,0.5963857,0.8495958,0.84392333,0.72596335,False,False,False,False,False
AFAP1,-1,0.35885672399999996,0.122923609731775,0.39558008,0.27392247,0.19524148,0.42820945,0.50133014,False,False,False,False,False
AFF1,-1,0.295207854,0.06914957806704954,0.22441646,0.30408412,0.24653436,0.4031919,0.29781243,False,False,False,False,False
AFF4,-1,0.923923344,0.07109342976970326,0.95582587,0.7975314,0.94268554,0.96019286,0.96338105,False,False,False,False,False
AGAP2,0,0.209323855,0.09577579180971203,0.111204505,0.11158984,0.21851113,0.30090418,0.30440962,False,True,False,False,False
AGBL1,-1,0.198227178,0.11261648266081423,0.39359832,0.14958431,0.11207,0.18957943,0.14630383,False,False,False,False,False
AGPAT1,-1,0.239681906,0.07127784178388,0.17940535,0.16849601,0.224138,0.33013177,0.2962384,False,False,False,False,False
AHCTF1,-1,0.5815386800000001,0.05496289989485636,0.5159134,0.6233622,0.5751612,0.6492198,0.5440368,False,False,False,False,False
AHR,-1,0.631583016,0.04902249338816293,0.5568743,0.6326261,0.61936074,0.664714,0.68433994,False,False,False,False,False
AHRR,-1,0.433102016,0.2277166604898729,0.19998083,0.17675495,0.6349034,0.6282204,0.5256505,False,False,False,False,False
AKAP13,-1,0.3243461494,0.2279550975799231,0.64138573,0.24669869,0.40462932,0.016573807,0.3124432,False,False,False,False,False
ALCAM,-1,0.30447845539999996,0.21019988286263316,0.4425941,0.025576567,0.22762473,0.25473663,0.57186025,False,False,False,False,False
ALDH1A2,-1,0.33617129599999995,0.15757667930676267,0.24997774,0.24885432,0.26425397,0.30239475,0.6153757,False,False,False,False,False
ALDH1A3,1,0.181675893,0.14559723971056102,0.39820698,0.25077006,0.14572993,0.07517368,0.038498815,False,False,False,False,True
ALDOA,-1,0.12196953801999999,0.09134350723821227,0.21015508,0.20308816,0.13814418,0.057112135,0.0013481351,False,False,False,False,False
ALK,-1,0.10072538699999997,0.06832293629437759,0.15688908,0.173634,0.053002764,0.10809081,0.012010281,False,False,False,False,False
ALKBH5,-1,0.0824725008,0.07165335814710692,0.19960004,0.06543043,0.09237065,0.013672164,0.04128922,False,False,False,False,False
ALX4,0,0.01732959538100244,0.029716043915801908,0.016314035,0.06903638,4.2102423e-05,0.0012554562,3.2820122e-09,True,False,False,False,False
AMER2,-1,0.25976462199999995,0.07457034670028441,0.35244432,0.14404583,0.27067766,0.2717423,0.259913,False,False,False,False,False
