gene,score,validation,label
A1CF,0.09264317,True,0
A2M,0.065222345,False,0
AACS,0.1247503,True,0
ABCA1,0.122658856,True,0
ABCA2,0.06620725,False,0
ABCF2,0.121377185,False,0
ABCG2,0.026252167,False,0
ABHD17B,0.16846631,False,0
ABI3BP,0.05988083,False,0
ABL1,0.14300343,False,0
ABLIM1,0.11638642,False,0
ABRA,0.027605904,False,0
ACER2,0.07546005,False,0
ACMSD,0.17647074,True,0
ACSBG1,0.08184003,False,0
ACTA2,0.16673553,False,0
ACTB,0.083098926,False,1
ACTC1,0.06615933,False,0
ACTG1,0.0790315,False,0
ACVR1,0.13988926,False,0
ACVR1C,0.070939764,False,0
ADAM18,0.11712906,False,0
ADAM28,0.10257243,False,0
ADAM32,0.09196634,False,0
ADAMTS1,0.05639655,False,0
ADAMTS16,0.13441972,False,0
ADAMTS20,0.040685974,False,0
ADAMTS3,0.12356893,False,0
ADAMTS5,0.07468835,False,0
ADAMTSL1,0.053352695,False,0
ADAP2,0.073068626,False,0
ADARB1,0.13250905,False,0
ADARB2,0.09346358,True,0
ADCY2,0.16873468,True,0
ADCY5,0.11832116,False,1
ADCYAP1,0.08465859,False,0
ADD3,0.16368368,False,0
ADD3-AS1,0.10431352,False,0
ADGRL2,0.087174535,False,0
ADGRL3,0.1564853,True,0
ADIPOR2,0.12868026,True,0
ADNP,0.09167209,False,1
ADNP2,0.13679846,False,0
ADRA1A,0.058380954,False,0
ADRA2A,0.08048632,False,0
ADTRP,0.0812769,False,0
AEBP2,0.16568881,False,0
AFAP1,0.15214752,True,0
AFF4,0.14556505,False,0
AGAP1,0.15429634,False,1
AGAP2,0.10057612,False,1
AGBL1,0.0788025,False,0
AHCTF1,0.16113123,False,0
AHDC1,0.11532077,False,1
AHR,0.16956663,True,0
AHRR,0.15445793,False,0
AIF1,0.07932112,False,0
AIF1L,0.123583026,True,0
AK5,0.15180191,True,0
AKAP13,0.058368623,False,0
ALDH1A1,0.106085315,True,0
ALDH1A2,0.13744892,False,0
ALDOA,0.099584594,False,0
ALDOC,0.09178351,False,0
ALOX5,0.09918458,False,0
AMMECR1,0.124141544,False,0
AMOTL1,0.12194052,False,0
ANK1,0.094945915,False,0
ANKRD28,0.15110911,False,0
ANKRD29,0.044873156,True,0
ANKRD33B,0.118819766,False,0
ANKRD34B,0.12605567,False,0
ANKRD44,0.16574822,False,0
ANKRD6,0.15539096,False,0
ANKRD7,0.09378968,False,0
ANO10,0.15818566,False,0
ANO6,0.14545874,False,0
ANOS1,0.13121812,False,0
ANXA11,0.12082671,False,0
ANXA4,0.13996153,True,0
ANXA5,0.065402396,False,0
AP1S1,0.079309896,False,0
AP1S2,0.12084446,False,0
AP2M1,0.080638275,False,1
APBB1IP,0.09475913,False,0
APBB2,0.16918063,True,0
APOBEC3F,0.09423526,False,0
APOC1,0.041944146,False,0
APOLD1,0.06418712,False,0
APP,0.170072,False,0
AQP4,0.14599344,False,0
AQP4-AS1,0.11408853,False,0
AR,0.11593614,True,1
ARC,0.071700335,False,0
ARF3,0.12707855,False,1
ARFGAP1,0.07643587,True,0
ARFGEF3,0.14999934,False,0
ARHGAP12,0.12616354,False,0
ARHGAP20,0.14414681,True,0
ARHGAP22,0.12141014,False,0
ARHGAP23,0.1309995,False,0
ARHGAP24,0.07611538,False,0
ARHGAP25,0.03976703,False,0
ARHGAP26,0.14800607,False,0
ARHGAP26-AS1,0.15419577,True,0
ARHGAP6,0.0400823,False,0
ARHGDIB,0.08162372,False,0
ARHGDIG,0.06903131,True,0
ARHGEF10,0.13537027,False,1
ARHGEF26,0.09558108,False,0
ARHGEF26-AS1,0.056561522,False,0
ARHGEF28,0.122480296,False,0
ARID3A,0.11586294,False,0
ARID3C,0.09106455,True,0
ARID5B,0.17139988,False,0
ARL4C,0.09116222,False,0
ARMC4,0.12914188,False,0
ARNT2,0.11502337,False,1
ARNTL,0.14301021,False,0
ARNTL2,0.12528212,False,0
ARPC5L,0.09515054,False,0
ARPP19,0.06400145,False,0
ARPP21,0.117916144,False,0
ARRDC3-AS1,0.10382598,False,0
ARSJ,0.08819111,True,0
ARX,0.0937819,False,1
ASAP1,0.12697518,False,0
ASAP2,0.17805114,True,1
ASB2,0.12422222,False,0
ASCL1,0.039039183,False,0
ASCL2,0.111161366,False,0
ASIC2,0.12940541,False,0
ASPA,0.11425971,False,0
ASXL2,0.118093066,False,0
ATF2,0.13579933,False,0
ATF3,0.034494538,False,0
ATF4,0.0808714,False,0
ATF7IP2,0.09481041,False,0
ATG10,0.172716,False,0
ATOH8,0.058288105,False,0
ATP1A1,0.119148515,False,1
ATP1A3,0.1279789,True,1
ATP1B1,0.08846521,False,0
ATP1B3,0.08979606,False,0
ATP2B4,0.13893788,False,0
ATP6V0B,0.072026774,False,0
ATP6V0C,0.08047284,False,0
ATP6V0D1,0.019032435,False,0
ATP6V0E2,0.11924761,True,0
ATP6V1A,0.121680304,True,0
ATP6V1B2,0.11638854,False,0
ATP6V1E1,0.10121546,False,0
ATP6V1G1,0.12496635,False,0
ATP6V1H,0.08924347,False,0
ATP8B4,0.10263023,True,0
ATRNL1,0.09059196,False,0
ATXN1,0.15223737,False,0
AUTS2,0.17209277,False,1
AVEN,0.15540071,False,0
B3GALNT2,0.1731913,True,0
B3GLCT,0.078116104,False,0
B3GNT5,0.1571989,False,0
B3GNTL1,0.0966618,False,0
B4GALNT3,0.074186265,False,0
B4GAT1,0.0824488,False,0
BACE2,0.07690026,False,0
BACH1,0.14255771,False,0
BACH2,0.14448285,True,0
BAIAP2,0.081754886,False,0
BAIAP3,0.10488692,False,0
BAMBI,0.01953143,False,0
BARD1,0.11693112,False,0
BARX2,0.074021325,False,0
BATF3,0.11034133,False,0
BAZ1A,0.13388136,False,0
BBOX1-AS1,0.12551257,False,0
BBX,0.17322357,False,0
BCAN,0.08497324,False,0
BCAP31,0.08439513,False,0
BCAS1,0.08202653,False,1
BCAS2,0.027994439,False,0
BCL11A,0.114812054,False,1
BCL11B,0.044292808,False,1
BCL6,0.050498027,False,0
BCLAF1,0.15300192,False,0
BDNF,0.012229271,False,0
BEGAIN,0.15428169,True,0
BEND4,0.1484271,False,0
BEND6,0.16891389,True,0
BEX1,0.06434925,False,0
BEX2,0.08220211,False,0
BEX3,0.10256298,True,0
BEX4,0.09636614,False,0
BHLHE22,0.098582126,True,0
BHLHE40,0.09479104,False,0
BHLHE40-AS1,0.13998045,False,0
BICC1,0.12032831,False,0
BICDL1,0.1443612,False,1
BIN2,0.08736727,False,0
BMP2K,0.13320515,True,0
BMP5,0.083612904,False,0
BMP6,0.08372219,False,0
BMP8A,0.12859271,False,0
BMPER,0.13354376,False,0
BMPR1A,0.1471486,False,0
BMPR1B,0.18117635,False,0
BNC2,0.098279335,False,0
BOC,0.0821959,True,0
BPTF,0.13633913,True,0
BRF1,0.12071682,False,0
BRINP1,0.13651873,True,0
BRINP2,0.13991995,True,0
