gene,score,validation,label
A2M,4.5168566e-05,False,0
AACS,0.24158485,False,-1
ABCA1,0.024202585,False,-1
ABCF2,0.53507376,False,-1
ABHD13,0.5075446,False,-1
ABI2,0.0350631,False,-1
ABI3BP,0.025459781,False,-1
ABO,0.0155083565,False,-1
ABR,0.71996576,False,-1
ACER1,0.30349067,False,-1
ACER2,0.47360304,False,-1
ACER3,0.3146108,False,-1
ACMSD,0.06759295,False,-1
ACTB,0.13915464,False,1
ACTG1,0.5539516,False,-1
ACTN2,0.44450933,False,-1
ACTN4,0.0006330624,False,-1
ACTR3C,0.049369693,False,-1
ACVR1,0.13052267,False,0
ACVR1C,0.074263565,False,-1
ACYP2,0.6230537,False,-1
ADAM32,0.07069064,False,-1
ADAMTS16,0.14823058,False,0
ADAMTS2,0.010746907,False,-1
ADAMTS3,0.15060794,False,-1
ADAMTS4,0.23932464,False,0
ADAMTSL1,0.012203286,False,-1
ADARB1,0.26636136,False,-1
ADARB2,0.06545623,False,-1
ADCY1,0.6952065,False,-1
ADCY3,0.36039317,False,-1
ADCY5,0.08848189,False,-1
ADCYAP1,0.011624329,False,-1
ADCYAP1R1,0.0025947725,False,-1
ADD3-AS1,0.6597551,False,-1
ADGRB3,0.9207926,False,-1
ADGRL2,0.6688313,False,-1
ADM,0.022364063,False,-1
ADNP,0.8834663,False,1
ADNP2,0.6747011,False,-1
ADRA2A,0.1502642,False,-1
ADRB1,0.155429,False,-1
AEBP2,0.68131095,False,-1
AFAP1,0.19860777,False,-1
AFF4,0.7451877,False,-1
AFTPH,0.766711,False,-1
AGAP2,0.6392383,False,0
AGBL1,0.14158243,False,-1
AGO3,0.8385829,False,-1
AGT,0.15397434,False,-1
AHCTF1,0.78762686,False,-1
AHDC1,0.79409385,False,1
AHR,0.026215114,False,-1
AHRR,0.074375875,False,-1
AIRE,0.03325375,False,-1
AKAP13,0.060450394,False,-1
ALDOA,0.0013287778,False,-1
ALK,0.38461226,False,-1
ALLC,0.0012604132,False,-1
ALS2,0.80685246,False,-1
ALX1,0.0015760349,False,0
AMER2,0.0073759537,False,-1
ANKRD28,0.35757178,False,-1
ANKRD33B,0.09887714,False,-1
ANKRD44,0.42438993,False,-1
ANKRD46,0.37179402,False,-1
ANKRD7,0.0915945,False,-1
ANOS1,0.7228423,False,-1
ANTXR2,0.09109988,False,-1
ANXA11,0.21282828,False,-1
ANXA2,0.028097793,False,-1
ANXA4,0.36816427,False,-1
AOAH,4.1407066e-06,False,-1
AP1S1,0.025691843,False,-1
AP1S2,0.8625634,False,1
AP2M1,0.2716001,False,-1
APBB2,0.021098722,False,0
APELA,0.02663428,False,-1
APLP1,0.700103,False,-1
APOLD1,0.15056573,False,-1
APP,0.6662162,False,-1
AQP4,0.19227667,False,-1
AQP4-AS1,0.11073996,False,-1
ARC,0.0010148261,True,0
ARF3,0.77318025,False,1
ARFGAP1,0.11431988,False,-1
ARHGAP20,0.64982855,True,0
ARHGAP24,0.00019833469,False,0
ARHGAP25,0.0076504773,False,0
ARHGAP26,0.8551617,False,-1
ARHGAP26-AS1,0.28236583,False,-1
ARHGDIG,0.011576632,False,-1
ARHGEF25,0.013301984,False,-1
ARHGEF26,0.103238165,False,-1
ARHGEF26-AS1,0.5261606,False,-1
ARHGEF28,0.67468923,False,-1
ARHGEF3,0.39930356,False,-1
ARID3A,0.9587545,False,-1
ARID5B,0.8943401,False,-1
ARL4A,0.2691004,False,-1
ARL4C,0.22758342,False,-1
ARL5C,0.019510986,False,-1
ARL6,0.31664494,False,-1
ARMC2,0.6445417,False,-1
ARMC4,0.37176347,False,0
ARMCX5-GPRASP2,0.08779212,False,-1
ARNT2,0.016450167,False,-1
ARNTL,0.8894262,False,-1
ARNTL2,0.46993724,False,-1
ARPC5L,0.0782534,False,-1
ARPP19,0.023184756,False,-1
ARX,0.58947676,False,1
ASAP1,0.67494553,True,0
ASAP2,0.104541406,False,-1
ASB2,0.20653354,False,-1
ASIC2,0.12270128,False,-1
ASIC4,0.7052731,False,-1
ASPHD1,0.42520398,False,-1
ASTN1,0.46301317,False,-1
ASXL2,0.64896303,False,-1
ATF1,0.57183176,False,-1
ATF2,0.9368754,False,-1
ATF3,0.4316489,True,0
ATF4,0.013360874,False,0
ATF5,0.13318507,False,-1
ATF6,0.6697398,False,-1
ATF7,0.3877163,False,-1
ATG10,0.9000687,False,-1
ATOH8,0.081116475,False,-1
ATP11A,0.3662733,False,-1
ATP11C,0.16697489,False,-1
ATP1A1,0.682982,False,1
ATP1A2,0.17044859,False,-1
ATP1A3,0.9006815,False,1
ATP1B1,0.18801293,False,-1
ATP1B2,0.6140792,False,-1
ATP6V0B,0.015000869,False,-1
ATP6V0C,0.05866016,False,-1
ATP6V0D1,0.069067106,False,-1
ATP6V0E2,0.19967598,False,-1
ATP6V1A,0.05826672,False,0
ATP6V1B2,0.580288,False,-1
ATP6V1E1,0.32662484,False,-1
ATP6V1G1,0.7278443,False,-1
ATP6V1H,0.10663359,False,0
ATP8B1,0.48075595,False,0
ATP8B4,0.087369435,False,-1
ATRNL1,0.5689398,False,-1
ATXN1,0.39858836,False,-1
ATXN7L3B,0.7341707,False,-1
AZIN1,0.7249695,False,-1
B3GALNT2,0.2441758,False,-1
B3GLCT,0.024842456,False,0
B3GNTL1,0.22997047,False,-1
B4GALNT3,0.04715257,False,-1
B4GAT1,0.010477913,False,-1
BAALC,0.2452358,False,-1
BAALC-AS1,0.3107603,False,-1
BACH1,0.06230829,False,-1
BACH2,0.5940685,False,-1
BAIAP2,0.037240837,False,0
BAIAP3,0.0522034,False,-1
BANF1,0.20105211,False,-1
BARHL2,2.8771525e-05,False,-1
BATF3,0.029047702,False,-1
BBOX1-AS1,0.14782198,False,-1
BBX,0.556866,False,-1
BCAP31,0.62759566,False,0
BCAS1,0.24126743,False,-1
BCL11A,0.7614325,False,1
BCL11B,0.17580387,False,-1
BCLAF1,0.83800054,False,-1
BDNF,0.00583181,False,0
BEGAIN,0.29972905,False,-1
BEST3,0.30836555,False,-1
BEX1,0.05260614,False,0
BEX2,0.031279694,False,-1
BEX3,0.11181491,False,-1
BEX4,0.610744,False,-1
BHLHE22,0.013997834,False,0
BHLHE40,0.043189805,False,-1
BHLHE40-AS1,0.04269162,False,-1
BHLHE41,0.092533626,False,-1
BICDL1,0.0602133,False,0
BMP8A,0.46243277,False,-1
BMPER,0.055381406,False,-1
BMPR1B,0.051493008,False,-1
BNC2,6.8051354e-06,True,0
BOLL,0.07339334,False,-1
BPGM,0.18560219,False,-1
BPTF,0.8719154,False,-1
BRF1,0.18360728,False,-1
BRINP1,0.3287063,False,-1
BRINP2,0.12925988,False,0
BRINP3,0.4695345,False,-1
BRK1,0.15030515,False,-1
BSG,0.17028898,False,-1
BTBD9,0.8095782,False,-1
BTC,0.052242067,False,-1
BTG1,0.13441789,False,-1
BTG4,0.19420847,False,-1
BVES,0.020279996,False,-1
BZW2,0.18679129,False,-1
C11orf65,0.03152872,False,-1
C11orf87,0.7165765,False,-1
C12orf40,0.26066008,False,-1
C12orf42,0.21496737,False,-1
C12orf75,0.12111214,False,-1
C14orf132,0.80822057,False,-1
C14orf39,0.5802975,False,-1
C1QL1,0.07097417,False,-1
C1QTNF4,0.010280206,True,0
C1orf115,0.5718627,False,-1
C21orf91,0.12476264,False,-1
C2orf88,0.7515113,False,-1
C3,8.042708e-06,False,0
C3orf67,0.569227,False,-1
C3orf67-AS1,0.66072184,False,-1
C4BPB,0.017571418,False,-1
C4orf45,0.16626212,False,-1
C5orf64,0.18041372,False,-1
C9orf16,0.32537323,False,-1
C9orf24,0.011310719,False,-1
CA10,0.07322128,False,-1
CA3,0.019629668,False,-1
CA4,0.5219543,False,-1
CABLES1,0.4992187,False,-1
CACHD1,0.44520387,False,-1
CACNA1C,0.42359433,False,1
CACNA2D1,0.6998416,False,-1
CACNA2D3,0.3463761,True,1
CACNB2,0.0004882491,False,-1
CACYBP,0.04518026,False,-1
CADM2,0.8643995,False,-1
CADM3,0.76824665,False,-1
CADM3-AS1,0.0028837395,False,-1
CADPS,0.032982644,False,-1
CADPS2,0.78749377,False,-1
CALB1,0.3650061,False,-1
CALM1,0.36186334,False,-1
CALM2,0.35355243,False,-1
CALM3,0.7695906,False,-1
CALN1,0.30349547,False,-1
CALY,0.3754385,False,-1
CAMK1D,0.19257167,True,0
CAMK2N1,0.27317417,True,0
CANX,0.47441313,False,-1
CAP2,0.32162294,False,0
CAPNS1,0.03412144,False,-1
CARD8,0.027525445,False,-1
CARF,0.5506058,False,-1
CARTPT,0.089619614,False,-1
CASC15,0.47005555,False,-1
CASC18,0.067074835,False,-1
CASC2,0.50093865,False,-1
CASP7,0.11646423,False,0
CASS4,0.016952092,False,-1
CATSPERB,0.014741456,False,-1
CAV2,0.5055302,False,-1
CBFA2T2,0.34858882,False,0
CBL,0.18721886,False,-1
CBLN2,0.3062682,False,-1
CBLN4,0.16210067,False,-1
CBX7,0.18898086,False,-1
CCBE1,0.32491007,False,-1
CCDC102A,0.0944774,False,-1
CCDC144NL,0.33316872,False,-1
CCDC144NL-AS1,0.0033772367,False,-1
CCDC178,0.4555701,False,-1
CCDC192,0.099994674,False,-1
CCDC25,0.7278341,False,-1
CCDC39,0.047333933,False,-1
CCDC65,0.29906762,False,-1
CCDC68,0.22532472,False,-1
CCDC81,0.100157544,False,-1
CCDC83,0.15545987,False,-1
CCDC85A,0.59716105,False,-1
CCDC85B,0.17066395,False,-1
CCK,0.08075559,False,-1
CCKBR,0.012339616,False,-1
CCND1,0.14394425,False,-1
CCNI,0.89758116,False,-1
CCNT2-AS1,0.038452722,False,-1
CCNYL1,0.14045054,False,-1
CCSER1,0.82444715,False,-1
CCT7,0.19917516,False,-1
CD22,0.053670682,False,-1
CD4,9.855842e-06,False,-1
CD63,0.015874239,False,-1
CDC14B,0.08876232,False,0
CDC5L,0.09144967,False,-1
CDH1,0.28433555,False,-1
CDH10,0.72441334,False,-1
CDH11,0.14853546,False,-1
CDH12,0.19535416,False,-1
CDH18,0.91968036,False,-1
CDH19,0.27984715,False,-1
CDH2,0.48819622,False,-1
CDH20,0.36133954,False,-1
CDH22,0.28571638,False,-1
CDH23,0.45819858,False,-1
CDH4,0.20871411,False,-1
CDH7,0.7708393,False,-1
CDH8,0.92682123,False,-1
CDH9,0.29697168,False,-1
CDK18,0.012742028,False,-1
CDK19,0.4800104,True,1
CDK2AP1,0.120502375,False,-1
CDK5R1,0.1507136,False,-1
CDK6,0.3684459,False,-1
CDKN2A,0.40751737,False,-1
CDKN2B-AS1,0.102855146,False,-1
CDKN2C,0.13988616,False,-1
CDKN2D,0.65205973,False,-1
CDX2,0.11201852,False,-1
CDYL2,0.35692275,False,-1
CEBPB,0.008949137,False,0
CECR2,0.44550493,False,-1
CELF2-AS2,0.25903103,False,-1
CELF4,0.7028767,True,1
CELF5,0.7356374,False,-1
CELF6,0.040321182,False,-1
CEND1,0.25047404,False,-1
CERCAM,0.046793103,False,-1
CERS6,0.023663612,False,-1
CES4A,0.14064278,False,-1
CFAP161,0.4918671,False,-1
CFAP206,0.22097607,False,-1
CFAP299,0.53374356,False,-1
CFAP61,0.0833698,False,-1
CFL1,0.026561815,False,-1
