gene,score,validation,label
A2M,0.12194051,True,0
ABCA1,0.041132215,False,0
ABHD13,0.15689987,False,0
ABI2,0.10867779,False,0
ABI3BP,0.07341746,False,0
ABO,0.05690237,False,0
ABR,0.20834826,False,0
ACER1,0.028735472,False,0
ACER3,0.20080635,False,0
ACTB,0.14642894,False,1
ACTG1,0.041339327,False,0
ACTN2,0.22485852,False,0
ACTN4,0.3825493,False,1
ACTR3C,0.043388512,False,0
ACVR1,0.17097276,False,0
ACVR1C,0.013033224,False,0
ACYP2,0.20040497,False,0
ADAMTS2,0.117788605,False,0
ADAMTS3,0.15269993,False,0
ADAMTS4,0.0076006637,False,0
ADARB1,0.120338805,False,0
ADARB2,0.030825011,False,0
ADCY1,0.057382453,False,0
ADCY3,0.20503923,False,1
ADCYAP1R1,0.010726607,False,0
ADD3-AS1,0.14177018,True,0
ADGRB3,0.25110376,False,0
ADGRL2,0.13733838,False,0
ADM,0.016463133,False,0
ADNP,0.23356088,False,1
ADNP2,0.22462155,False,0
ADRB1,0.06946831,False,0
AFF4,0.24263805,False,0
AFTPH,0.23895605,False,0
AGAP2,0.18535212,True,1
AGO3,0.27601063,False,1
AGT,0.07036919,False,0
AHCTF1,0.1603881,False,0
AHDC1,0.19425423,False,1
AHR,0.0056795883,False,0
AIRE,0.09039566,False,0
AKAP13,0.17932265,False,0
ALDOA,0.022457603,False,0
ALK,0.22543955,False,0
ALLC,0.028272444,False,0
ALS2,0.23992383,True,0
ALX1,0.025044633,False,0
AMER2,0.106045485,True,0
ANKRD28,0.072228864,False,0
ANKRD44,0.069704816,False,0
ANKRD46,0.1329958,False,0
ANOS1,0.12481414,True,0
ANTXR2,0.036438297,False,0
ANXA11,0.08098595,False,0
ANXA2,0.093137324,False,0
ANXA4,0.18737364,False,0
AOAH,0.102522224,False,0
AP1S2,0.21618564,False,0
AP2M1,0.13868912,False,1
APELA,0.010064016,False,0
APLP1,0.036114372,False,0
APOLD1,0.050241273,False,0
APP,0.14861736,False,0
AQP4,0.01781187,True,0
ARF3,0.1913837,False,1
ARHGAP20,0.19412903,False,0
ARHGAP24,0.09460397,False,0
ARHGEF25,0.075810574,False,0
ARHGEF26,0.048500665,False,0
ARHGEF26-AS1,0.09620257,False,0
ARHGEF28,0.21450022,False,0
ARHGEF3,0.20683283,False,0
ARID3A,0.14933878,True,0
ARID5B,0.2536761,False,0
ARL4A,0.18781644,False,0
ARL5C,0.004562743,False,0
ARL6,0.13630375,False,0
ARMC2,0.16993523,False,0
ARMC4,0.07639921,False,0
ARMCX5-GPRASP2,0.07062294,True,0
ARNT2,0.24683565,False,1
ARNTL,0.18447876,False,0
ARNTL2,0.20440541,True,0
ARX,0.24615003,False,1
ASAP1,0.038027704,False,0
ASAP2,0.029851941,True,1
ASIC4,0.14010547,False,0
ASPHD1,0.110932484,True,0
ASTN1,0.20886987,True,0
ASXL2,0.21980026,False,0
ATF1,0.18755156,False,0
ATF2,0.2923583,False,0
ATF3,0.09727663,False,0
ATF4,0.031987548,False,0
ATF5,0.04440423,False,0
ATF6,0.25249228,False,0
ATF7,0.14626211,False,0
ATG10,0.29556707,False,0
ATP11A,0.041637205,False,0
ATP11C,0.053225223,False,0
ATP1A2,0.122089215,False,0
ATP1B1,0.08846147,True,0
ATP1B2,0.023135269,False,0
ATP6V0C,0.09944578,False,0
ATP6V1B2,0.05750241,False,0
ATP8B1,0.07078961,False,0
ATRNL1,0.27365857,False,0
ATXN1,0.1875917,False,0
ATXN7L3B,0.021366399,False,0
AZIN1,0.20169646,False,0
B3GALNT2,0.043698978,False,0
B3GLCT,0.15390925,False,0
B3GNTL1,0.14326185,False,0
BAALC,0.051338058,False,0
BAALC-AS1,0.13314342,False,0
BACH1,0.12229766,False,0
BACH2,0.19909216,False,0
BAIAP2,0.048532758,False,0
BANF1,0.016727928,False,0
BARHL2,0.12790765,False,0
BBX,0.27316642,False,0
BCAS1,0.090847865,False,1
BCL11A,0.24930859,False,1
BCL11B,0.215705,True,1
BCLAF1,0.25913033,False,0
BDNF,0.0023648886,False,0
BEST3,0.069940366,True,0
BEX1,0.05377773,False,0
BEX2,0.03212259,True,0
BEX3,0.07211621,False,0
BEX4,0.02853466,False,0
BHLHE41,0.07194082,False,0
BICDL1,0.34912077,False,1
BMPR1B,0.004572853,False,0
BNC2,0.10751084,True,0
BOLL,0.05256957,False,0
BPGM,0.022591844,False,0
BPTF,0.24504986,False,0
BRF1,0.19193497,False,0
BRINP1,0.31616876,False,0
BRINP3,0.122197084,True,1
BRK1,0.041976955,False,0
BSG,0.12100762,False,0
BTBD9,0.15728444,False,0
BTG1,0.092487864,True,0
BTG4,0.060306508,False,0
BVES,0.08196614,False,0
BZW2,0.12844771,True,0
C12orf42,0.0006151414,True,0
C12orf75,0.03141278,False,0
C14orf39,0.054478783,True,0
C1QL1,0.05910203,False,0
C1QTNF4,0.0170327,True,0
C1orf115,0.029083243,False,0
C21orf91,0.013502403,False,0
C2orf88,0.22463584,True,0
C3,0.10759047,True,0
C3orf67,0.2108019,False,0
C4BPB,0.07058287,False,0
C5orf64,0.12448755,False,0
CA3,0.0944742,False,0
CABLES1,0.18353339,True,0
CACHD1,0.10247891,False,0
CACNA1C,0.21794264,False,1
CACNA2D1,0.18876469,False,1
CACNA2D3,0.0753727,True,1
CACNB2,0.36740842,False,1
CADM2,0.25815415,False,1
CADM3,0.044217326,False,0
CADM3-AS1,0.050899044,True,0
CADPS2,0.19112177,False,1
CALM1,0.050550934,False,0
CALM2,0.062303897,False,0
CALM3,0.030963335,False,0
CALN1,0.21392652,False,0
CALY,0.16124226,False,0
CAMK1D,0.08564649,False,0
CANX,0.122220516,False,0
CARD8,0.063337766,False,0
CARF,0.078444876,False,0
CASC15,0.13082509,False,0
CASC18,0.09746252,False,0
CASC2,0.17825389,True,0
CASP7,0.0017568616,False,0
CAV2,0.093871735,False,0
CBFA2T2,0.18594901,False,0
CBL,0.08377614,False,0
CBLN2,0.06502328,False,0
CBX7,0.1570898,True,0
CCDC102A,0.09068144,False,0
CCDC178,0.036733992,True,0
CCDC81,0.06344237,True,0
CCDC83,0.07350069,False,0
CCDC85A,0.22517379,False,0
CCDC85B,0.051681235,False,0
CCKBR,0.02706129,True,0
CCND1,0.029839648,True,0
CCNI,0.15601446,False,0
CCSER1,0.21027333,False,1
CCT7,0.013991649,False,0
CD4,0.112247005,False,0
CD63,0.069945864,False,0
CDC14B,0.12675256,False,0
CDC5L,0.041366097,False,0
CDH10,0.15766063,False,1
CDH11,0.20670924,False,1
CDH12,0.11447096,False,0
CDH19,0.061358828,False,0
CDH2,0.1877205,False,1
CDH20,0.06492166,True,0
CDH23,0.13675706,True,0
CDH4,0.05757556,True,0
CDH7,0.12577927,False,0
CDK18,0.13632183,False,0
CDK19,0.21114944,False,1
CDK2AP1,0.0667742,True,0
CDK6,0.10834195,False,0
CDKN2A,0.060256753,False,0
CDKN2B-AS1,0.01933522,True,0
CDKN2C,0.07133393,False,0
CDKN2D,0.035782598,False,0
CDX2,0.09495731,False,0
CDYL2,0.05531658,False,0
CEBPB,0.03080818,False,0
CECR2,0.06816875,True,1
CELF5,0.20958589,False,0
CERS6,0.1815006,False,0
CFAP206,0.05779637,True,0
CFL1,0.23095576,False,0
CHD1,0.34959966,False,1
CHD2,0.26674077,False,1
CHD7,0.1537811,False,1
CHGA,0.0010226337,False,0
CHGB,0.09907468,True,0
CHMP3,0.15493746,False,0
CHODL,0.07818116,False,0
CHRDL1,0.08528078,False,0
CHRM5,0.066782296,False,0
CHRNA3,0.021330351,True,0
CHST9,0.12250824,True,0
CHSY3,0.26691347,False,0
CKB,0.030481994,True,0
CLOCK,0.23501882,False,0
CLU,0.0042390684,False,0
CLVS2,0.28106263,True,0
CNDP1,0.13661858,False,0
CNKSR3,0.07099718,False,0
CNOT4,0.20155883,False,0
CNP,0.102503344,False,0
CNR1,0.24163723,False,1
CNTFR,0.13301288,False,0
CNTN2,0.0004956706,False,0
CNTN5,0.14872925,False,1
