gene,score,validation,label
AACS,0.030265108,False,-1
ABCB1,0.13700129,False,-1
ABCC1,0.18786116,False,-1
ABCC3,0.6001787,False,-1
ABHD17B,0.42402536,False,-1
ABI2,0.23646694,False,-1
ABL1,0.43785742,True,1
ABRACL,0.6212239,False,-1
ACER3,0.07499981,False,-1
ACSBG1,0.0010245403,False,-1
ACTL6A,0.016659603,False,-1
ACTN4,0.6560773,False,-1
ACTR2,0.43825442,False,-1
ACTR3,0.424113,False,-1
ACVR1,0.115730315,False,0
ACVR1C,0.86111325,False,-1
ACVR2A,0.5461241,False,-1
ADAMTS17,0.019734325,False,-1
ADAMTS5,0.10939696,False,-1
ADARB2,0.06812351,False,-1
ADCYAP1,0.87649375,False,-1
ADD3,0.6925831,False,-1
ADD3-AS1,0.53111655,False,-1
ADGRA1,0.00050553965,False,-1
ADGRA2,0.3804169,False,-1
ADGRL2,0.2104964,False,-1
ADNP,0.17758732,False,1
ADNP2,0.3209653,False,-1
AFF4,0.48277625,False,-1
AGAP2,0.6012241,True,0
AGBL3,0.044666305,False,-1
AGO3,0.48844215,False,-1
AGPS,0.004529494,False,-1
AHCTF1,0.62105227,False,-1
AHCYL2,0.8544874,False,-1
AHR,0.5142377,False,-1
AK5,0.47229058,False,1
ALCAM,0.19113769,False,-1
ALDH1A2,0.15396993,False,-1
ALDOA,0.10487438,False,-1
ALK,0.04086502,False,-1
ALPK2,0.13552886,False,-1
ALX4,0.2758689,False,0
AMIGO2,0.230522,False,-1
AMOT,0.64177865,False,-1
AMZ1,0.2672976,False,-1
ANAPC4,0.006815435,False,-1
ANKRD28,0.0024347503,False,-1
ANKRD30B,0.0013994824,False,-1
ANKRD34B,0.43357036,False,-1
ANKRD44,0.057631765,False,-1
ANKRD45,0.852526,False,-1
ANKRD50,0.0093375975,False,-1
ANKRD6,0.622781,False,-1
ANO1,0.804182,False,-1
ANO2,0.79855,False,-1
ANTXR1,0.6907299,False,-1
ANXA2,0.078919485,False,-1
ANXA4,0.03911168,False,-1
AP1S2,0.31917408,False,1
APBA1,0.0019615823,False,-1
APBB2,0.141104,False,0
APOE,0.29684058,False,-1
APOLD1,0.059122846,False,-1
AQP4,3.9641506e-07,False,-1
AQP4-AS1,0.83377326,False,-1
AR,0.9267863,False,-1
ARAP2,0.12592378,False,-1
ARC,0.094831064,False,0
ARHGAP20,0.0009629765,True,0
ARHGAP22,0.3180385,False,-1
ARHGAP23,0.488404,False,-1
ARHGAP6,0.02133499,False,0
ARHGEF28,0.013842698,False,-1
ARHGEF4,0.668378,False,-1
ARID1A,0.85095006,False,-1
ARID3A,0.0013286544,False,-1
ARID3B,0.3665282,False,-1
ARID5B,0.24896994,False,-1
ARL5A,0.3688603,False,-1
ARMC2,0.14995936,False,-1
ARNT,0.09241414,False,-1
ARNTL,0.43701276,False,-1
ARNTL2,0.58579344,False,-1
ARSJ,0.14936844,False,-1
ARX,0.70123106,False,1
ASAP1,0.37996477,True,0
ASAP2,0.082984604,False,-1
ASB18,0.0015441977,False,-1
ASB7,0.043183833,False,-1
ASB8,0.12640774,False,-1
ASCC1,0.1381446,False,0
ASCL1,0.117502965,False,-1
ASPHD2,0.5977492,False,-1
ASPSCR1,0.79893345,False,-1
ATF2,0.5970645,False,-1
ATF5,0.003611167,False,-1
ATF7,0.31586212,False,1
ATF7IP,0.79942536,False,-1
ATG10,0.07475739,False,-1
ATG16L1,0.8536628,False,-1
ATP11B,0.78585243,False,-1
ATXN1,0.16649276,False,-1
ATXN3,0.44738448,False,-1
AVEN,0.36982337,False,0
AXIN2,0.13755634,False,-1
B3GALNT2,0.008560414,False,-1
B3GALT5,0.6937012,False,-1
B4GALT2,0.508913,False,-1
BAALC,0.47876552,False,-1
BACH1,0.24592681,False,-1
BACH2,0.07120919,False,-1
BANP,0.6078288,False,-1
BARD1,0.0057136635,False,-1
BARHL1,0.07705312,False,-1
BBS4,0.8029424,False,-1
BBX,0.050609417,False,-1
BCAR3,0.89285845,False,-1
BCL11A,0.6956944,False,1
BCL11B,0.0010940228,False,-1
BCL6,0.075986326,False,0
BCL6B,0.001973808,False,-1
BCLAF1,0.74931765,False,-1
BCO1,0.39543977,False,-1
