gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.112697369,0.011693591080192385,0.12268321,0.12505174,0.11015414,0.09600975,0.109588005,True,False,False,False,False
AACS,0,0.1138164368,0.0163755477206175,0.11081196,0.13961093,0.11163423,0.09399548,0.113029584,True,False,False,False,False
AAGAB,0,0.10906924879999999,0.00934409440334307,0.11165796,0.12341899,0.108642034,0.10107717,0.10055009,False,True,False,False,False
AAK1,0,0.112418508,0.013394795274562653,0.119706914,0.12994301,0.109169476,0.094073616,0.109199524,False,False,False,True,False
AARS,0,0.1131343222,0.011600637429707657,0.12657045,0.123425476,0.10906697,0.0987184,0.107890315,True,False,False,False,False
AASDHPPT,0,0.1111615636,0.011120015111388415,0.11731388,0.12601943,0.10925496,0.096614614,0.106604934,False,True,False,False,False
AATK,0,0.112160568,0.010397998456970339,0.112867065,0.12543212,0.117110625,0.09758767,0.10780536,False,False,False,False,True
ABCA1,0,0.11629631979999999,0.008242533725552484,0.12018772,0.12890089,0.108801775,0.111068204,0.11252301,True,False,False,False,False
ABCA10,1,0.10914667920000001,0.0036053057139070334,0.112469845,0.11207378,0.109615825,0.103597656,0.10797629,False,False,True,False,False
ABCA2,0,0.1143959,0.006088373102781892,0.1200657,0.12175969,0.109897524,0.111747056,0.10850953,False,False,False,True,False
ABCA3,0,0.1145320648,0.016425234621515915,0.118660524,0.14102472,0.10788087,0.09875689,0.10633732,False,False,True,False,False
ABCA5,0,0.11187204800000002,0.012930035030539092,0.113638796,0.13079724,0.10907028,0.094572924,0.111281,False,False,False,True,False
ABCA6,0,0.11313969400000001,0.007342353208579828,0.12362079,0.11799444,0.109205015,0.10650538,0.108372845,True,False,False,False,False
ABCB1,0,0.114143386,0.009577367272133298,0.11478203,0.12893914,0.11492273,0.1032498,0.10882323,True,False,False,False,False
ABCB9,0,0.1148749622,0.015611798985187109,0.123032026,0.13803598,0.108422525,0.09918956,0.10569472,True,False,False,False,False
ABCC1,0,0.1167011532,0.01455959329161846,0.10960982,0.14257221,0.11304704,0.108598046,0.10967865,False,False,True,False,False
ABCC3,0,0.1181828452,0.0093834391992129,0.11951543,0.13403603,0.112515196,0.1118578,0.11298977,False,False,True,False,False
ABCC4,0,0.114814046,0.0059197204860295515,0.119348794,0.12207448,0.109028146,0.11458088,0.10903793,False,False,True,False,False
ABCC8,0,0.1131224398,0.009771052121355976,0.120454505,0.12582527,0.109230004,0.10178531,0.10831711,False,False,False,False,True
ABCC9,0,0.10686982599999999,0.0089004595646562,0.1151663,0.10828612,0.11029996,0.09169891,0.10889784,False,False,False,True,False
ABCD4,0,0.1124635796,0.005022831566662653,0.11203598,0.119579114,0.11437664,0.105988994,0.11033717,False,False,False,False,True
ABCE1,1,0.11017841399999999,0.0028014745347637892,0.11441847,0.11163557,0.10786464,0.10815937,0.10881402,False,False,True,False,False
ABCF2,0,0.11063411599999999,0.01326033746641955,0.10589268,0.13263078,0.11200064,0.09802479,0.10462169,False,False,False,False,True
ABCF3,0,0.11143785799999999,0.011728040166569602,0.11815383,0.12527174,0.10961874,0.09385733,0.11028765,False,False,True,False,False
ABCG1,0,0.1151640588,0.00607161937775394,0.1126877,0.12584357,0.114014834,0.11236999,0.1109042,False,True,False,False,False
ABCG4,0,0.11071087400000001,0.0106332620715155,0.11129878,0.12667532,0.10834101,0.09687915,0.11036011,False,False,False,True,False
ABHD12,0,0.10947651180000002,0.01112756763095045,0.11709321,0.12187488,0.109112024,0.092929915,0.10637253,False,False,True,False,False
ABHD12B,0,0.10869463500000001,0.005792707759038516,0.11469085,0.11271369,0.10831636,0.099660955,0.10809132,False,False,True,False,False
ABHD13,0,0.10600752620000001,0.007119382531484187,0.10824433,0.113162935,0.1084187,0.094144896,0.10606677,False,False,False,True,False
ABHD14A,0,0.11264049520000001,0.010295994599505441,0.10098643,0.12930954,0.1107784,0.112043336,0.11008477,False,False,False,True,False
ABHD17A,0,0.11126033839999998,0.007848876361497791,0.112750374,0.11927634,0.116780184,0.099470384,0.10802441,False,False,False,False,True
ABHD17B,0,0.1139274288,0.009401911600324542,0.11059351,0.13006993,0.113812804,0.10838884,0.10677206,True,False,False,False,False
ABHD17C,0,0.1080807112,0.006536148903201119,0.11353026,0.108193286,0.10946508,0.09702026,0.11219467,False,False,False,True,False
ABHD2,0,0.1073088026,0.015716127484764995,0.113992214,0.122903034,0.108765945,0.08101322,0.1098696,False,True,False,False,False
ABHD3,0,0.11021014200000001,0.009935589384409863,0.11411196,0.124884546,0.109053664,0.10387095,0.09912959,False,False,False,True,False
ABHD5,0,0.1121955782,0.00889716655151297,0.113203585,0.12626773,0.109069586,0.10195388,0.11048311,False,False,False,False,True
ABHD6,0,0.11395837360000001,0.005785088590549569,0.1121559,0.122896604,0.11619347,0.110228464,0.10831743,False,False,False,True,False
ABHD8,0,0.10968884600000002,0.007569808851000134,0.10503739,0.12275309,0.10797089,0.10393979,0.10874307,False,False,False,False,True
ABI1,0,0.111909246,0.012378387059667265,0.114341296,0.13135695,0.10888485,0.10705653,0.097906604,False,True,False,False,False
ABI2,0,0.112852562,0.0070305605305885826,0.12212085,0.11696441,0.11060874,0.1035519,0.11101691,True,False,False,False,False
ABL1,0,0.11288728399999999,0.023446990540881358,0.09560573,0.15410711,0.10719181,0.1026521,0.10487967,False,False,True,False,False
ABLIM1,0,0.11033109159999999,0.008487080227196795,0.12425942,0.111716494,0.10769205,0.10242594,0.105561554,False,False,False,False,True
ABLIM2,0,0.11229888319999999,0.009337825576517331,0.11497792,0.1271786,0.10938723,0.10348365,0.106467016,False,False,False,True,False
ABLIM3,0,0.1098062522,0.01028338268594188,0.11584668,0.119070515,0.112545796,0.09271022,0.10885805,False,False,True,False,False
ABR,0,0.11131691839999998,0.006821913152625506,0.117424786,0.11906961,0.11037705,0.10633783,0.103375316,False,False,False,True,False
ABRACL,0,0.113151698,0.009608421025505071,0.11743196,0.12740543,0.108337924,0.10238628,0.110196896,False,False,False,False,True
ABTB1,0,0.11355765300000001,0.008031644811279008,0.118430845,0.12109573,0.1165169,0.10084372,0.11090107,False,True,False,False,False
ABTB2,0,0.1125949208,0.0060793219053734285,0.11212955,0.12294252,0.10910744,0.11138932,0.107405774,False,False,False,False,True
ACAP2,0,0.1122779612,0.007409352802698571,0.1231434,0.113974616,0.10793315,0.10337253,0.11296611,False,False,True,False,False
ACAP3,0,0.11334732700000001,0.01356318568816136,0.11262767,0.13620223,0.11166431,0.10241547,0.103826955,False,False,True,False,False
ACER2,0,0.1105755656,0.007268699361023183,0.11368133,0.119194604,0.110751584,0.09930742,0.10994289,False,False,False,True,False
ACER3,0,0.1094828302,0.006513066916806571,0.11076074,0.120335355,0.10588969,0.10589111,0.104537256,False,False,False,False,True
ACHE,1,0.11095022400000001,0.008516474157354088,0.11379936,0.1225563,0.10927346,0.09895534,0.11016666,False,False,False,True,False
ACIN1,0,0.10975534840000001,0.009966748740149656,0.11273291,0.121637866,0.108557016,0.09419159,0.11165736,False,False,True,False,False
ACMSD,0,0.11198983300000001,0.01252574834200316,0.11715229,0.12971544,0.109346285,0.09575117,0.10798398,True,False,False,False,False
ACOT8,0,0.10515643,0.008456849904606918,0.10018373,0.11217209,0.10947768,0.09266838,0.11128027,False,False,False,True,False
ACSBG1,0,0.1079687408,0.013529925839225644,0.108029634,0.12675038,0.106703825,0.088611215,0.10974865,False,False,False,True,False
ACSL3,0,0.112271388,0.011293318284942646,0.12442745,0.12230223,0.10919751,0.09681293,0.10861682,True,False,False,False,False
ACSL4,0,0.1084822798,0.009691873499225019,0.11709865,0.11253528,0.10915176,0.091922194,0.111703515,False,False,False,True,False
ACSS2,0,0.1082344228,0.00792868933780163,0.109327674,0.12010648,0.10841939,0.09828168,0.10503689,False,True,False,False,False
ACTA2,0,0.1109148482,0.007502124356772634,0.118919246,0.118078195,0.10862414,0.10119097,0.10776169,False,False,True,False,False
ACTB,1,0.10424852300000001,0.006909720254843535,0.10126113,0.111984655,0.10831282,0.09406051,0.1056235,False,False,True,False,False
ACTG1,0,0.112777995,0.007332670680198999,0.11478445,0.123802245,0.11282113,0.10481844,0.10766371,False,False,True,False,False
ACTL6A,0,0.111957566,0.007621648065282861,0.11485379,0.12379587,0.10898778,0.10437221,0.10777818,True,False,False,False,False
ACTN1,0,0.10914437060000001,0.008208795939537588,0.102119684,0.122954704,0.10923535,0.104001135,0.10741098,False,False,False,True,False
ACTN2,0,0.111450735,0.011770309801653485,0.11159624,0.12857303,0.11151819,0.09534313,0.110223085,False,False,False,False,True
ACTN4,1,0.112528561,0.016040099542378308,0.1041503,0.14099789,0.10635295,0.10816728,0.102974385,False,False,True,False,False
ACTR1A,0,0.1084713348,0.012180664920081543,0.09913835,0.12749217,0.109746024,0.09655329,0.10942684,False,False,False,False,True
ACTR1B,0,0.11449738580000002,0.00809691453539762,0.113252304,0.12867658,0.110850655,0.11112136,0.10858603,False,True,False,False,False
ACTR2,0,0.1129069388,0.02227326185289158,0.098625764,0.15220828,0.107915424,0.10061701,0.105168216,False,False,False,True,False
ACTR3,0,0.10866114,0.022447217888492334,0.09053256,0.14752318,0.10247751,0.10541864,0.09735381,False,True,False,False,False
ACTR3B,0,0.1109552028,0.015554010098050897,0.10005539,0.13745952,0.10901631,0.099158004,0.10908679,False,False,False,False,True
ACTR6,0,0.11071359200000001,0.008226210752269722,0.12230721,0.11334,0.109661914,0.09957072,0.108688116,True,False,False,False,False
ACVR1,0,0.11533380100000001,0.007252115571731812,0.11430691,0.12687328,0.11693609,0.109597445,0.10895528,False,False,False,False,True
ACVR1B,0,0.1119756244,0.006680298897201292,0.122873046,0.11327433,0.11023819,0.106325366,0.10716719,True,False,False,False,False
ACVR1C,0,0.1173895952,0.01893736794365324,0.103416756,0.14998975,0.11736624,0.1093974,0.10677783,False,False,False,True,False
ACVR2A,0,0.1144509834,0.004393254640115891,0.115574,0.12096759,0.113697626,0.108863376,0.113152325,True,False,False,False,False
ACY1,0,0.109624158,0.01575759410192019,0.12100695,0.12521134,0.10852729,0.08475515,0.10862006,False,False,True,False,False
ACYP1,0,0.10665299320000002,0.00730483274807584,0.11072881,0.11281712,0.10943688,0.094384626,0.10589753,False,False,False,True,False
ACYP2,0,0.11125405120000001,0.015169185416695824,0.12258296,0.12973097,0.109094836,0.09178069,0.1030808,True,False,False,False,False
ADA,1,0.10849113400000002,0.007894426530707755,0.11303383,0.11557602,0.110489905,0.095289595,0.10806632,False,False,False,False,True
ADAM10,0,0.11536305840000001,0.012273891565014124,0.124985576,0.13164833,0.109573826,0.10319459,0.10741297,True,False,False,False,False
ADAM11,0,0.111224498,0.0034166280454082216,0.11567077,0.11296907,0.11182368,0.10734509,0.10831388,False,False,True,False,False
ADAM17,0,0.11142716500000001,0.014080540150476294,0.11216556,0.13474886,0.108947545,0.09844685,0.10282701,False,False,True,False,False
