_BACKGROUND,5p,10p,15p
ZNF148,ZNF148,ZNF148,ZNF148
THRB,THRB,THRB,THRB
LCOR,LCOR,LCOR,LCOR
NCOR1,NCOR1,NCOR1,NCOR1
HMBOX1,HMBOX1,HMBOX1,HMBOX1
MLLT10,MLLT10,MLLT10,MLLT10
KMT2A,KMT2A,KMT2A,KMT2A
TBL1XR1,TBL1XR1,TBL1XR1,TBL1XR1
STAU2,STAU2,STAU2,STAU2
NAP1L1,NAP1L1,NAP1L1,NAP1L1
FOXP1,FOXP1,FOXP1,FOXP1
CLOCK,CLOCK,CLOCK,CLOCK
ZNF644,ZNF644,ZNF644,ZNF644
RORB,RORB,RORB,RORB
FOXP2,FOXP2,FOXP2,FOXP2
NR6A1,NR6A1,NR6A1,NR6A1
ATF2,ATF2,ATF2,ATF2
NFYC,NFYC,NFYC,NFYC
POU2F1,POU2F1,POU2F1,POU2F1
ZNF706,ZNF706,ZNF706,ZNF706
MARCH1,MARCH1,MARCH1,MARCH1
EFNA5,EFNA5,EFNA5,EFNA5
TENM2,TENM2,TENM2,TENM2
SATB2,SATB2,SATB2,SATB2
SPATS2,SPATS2,SPATS2,SPATS2
CDH18,CDH18,CDH18,CDH18
CNOT4,CNOT4,CNOT4,CNOT4
ZNF519,ZNF519,ZNF519,ZNF519
RORA,RORA,RORA,RORA
NEGR1,NEGR1,NEGR1,NEGR1
RBBP5,RBBP5,RBBP5,RBBP5
KCNB2,KCNB2,KCNB2,KCNB2
ZNF721,ZNF721,ZNF721,ZNF721
CDH8,CDH8,CDH8,CDH8
OLFM3,OLFM3,OLFM3,OLFM3
CHSY3,CHSY3,CHSY3,CHSY3
GRID2,GRID2,GRID2,GRID2
MYEF2,MYEF2,MYEF2,MYEF2
STXBP5-AS1,STXBP5-AS1,STXBP5-AS1,STXBP5-AS1
ANO10,ANO10,ANO10,ANO10
LRRFIP1,LRRFIP1,LRRFIP1,LRRFIP1
ARHGAP26,ARHGAP26,ARHGAP26,ARHGAP26
PKNOX2,PKNOX2,PKNOX2,PKNOX2
LRRFIP2,LRRFIP2,LRRFIP2,LRRFIP2
DPP10,DPP10,DPP10,DPP10
EMX1,EMX1,EMX1,EMX1
HDAC8,HDAC8,HDAC8,HDAC8
CNTN3,CNTN3,CNTN3,CNTN3
PHTF1,PHTF1,PHTF1,PHTF1
NR3C2,NR3C2,NR3C2,NR3C2
CTNND2,CTNND2,CTNND2,CTNND2
ARNTL,ARNTL,ARNTL,ARNTL
BTBD9,BTBD9,BTBD9,BTBD9
ZNF697,ZNF697,ZNF697,ZNF697
FAT3,FAT3,FAT3,FAT3
PPARG,PPARG,PPARG,PPARG
ZCCHC17,ZCCHC17,ZCCHC17,ZCCHC17
ENOX1,ENOX1,ENOX1,ENOX1
ZBTB2,ZBTB2,ZBTB2,ZBTB2
NCOA2,NCOA2,NCOA2,NCOA2
RIMS1,RIMS1,RIMS1,RIMS1
FBXL2,FBXL2,FBXL2,FBXL2
KLF12,KLF12,KLF12,KLF12
GRIN2B,GRIN2B,GRIN2B,GRIN2B
SATB1,SATB1,SATB1,SATB1
SLIT2,SLIT2,SLIT2,SLIT2
KCNH7,KCNH7,KCNH7,KCNH7
NPDC1,NPDC1,NPDC1,NPDC1
ZNF827,ZNF827,ZNF827,ZNF827
KCNK1,KCNK1,KCNK1,KCNK1
NOL4,NOL4,NOL4,NOL4
LMO3,LMO3,LMO3,LMO3
RUFY3,RUFY3,RUFY3,RUFY3
NFIB,NFIB,NFIB,NFIB
DSCAM,DSCAM,DSCAM,DSCAM
CELF4,CELF4,CELF4,CELF4
SCMH1,SCMH1,SCMH1,SCMH1
RNF2,RNF2,RNF2,RNF2
TCF4,TCF4,TCF4,TCF4
MEF2C,MEF2C,MEF2C,MEF2C
GALNTL6,GALNTL6,GALNTL6,GALNTL6
USP53,USP53,USP53,USP53
PRR16,PRR16,PRR16,PRR16
SMAD5,SMAD5,SMAD5,SMAD5
ZNF567,ZNF567,ZNF567,ZNF567
REEP5,REEP5,REEP5,REEP5
PAK1,PAK1,PAK1,PAK1
MRPS30-DT,MRPS30-DT,MRPS30-DT,MRPS30-DT
GABRA1,GABRA1,GABRA1,GABRA1
ADARB1,ADARB1,ADARB1,ADARB1
LIN28B,LIN28B,LIN28B,LIN28B
MIR137HG,MIR137HG,MIR137HG,MIR137HG
SMAD1,SMAD1,SMAD1,SMAD1
ZMAT4,ZMAT4,ZMAT4,ZMAT4
UBE2V1,UBE2V1,UBE2V1,UBE2V1
PSMD12,PSMD12,PSMD12,PSMD12
LY86-AS1,LY86-AS1,LY86-AS1,LY86-AS1
RFX8,RFX8,RFX8,RFX8
PLXNA2,PLXNA2,PLXNA2,PLXNA2
HTR2A,HTR2A,HTR2A,HTR2A
ZHX3,ZHX3,ZHX3,ZHX3
STAT5B,STAT5B,STAT5B,STAT5B
PLCB1,PLCB1,PLCB1,PLCB1
PTPRR,PTPRR,PTPRR,PTPRR
TMEM150C,TMEM150C,TMEM150C,TMEM150C
PVT1,PVT1,PVT1,PVT1
CLSTN2,CLSTN2,CLSTN2,CLSTN2
RAB7A,RAB7A,RAB7A,RAB7A
OTUD4,OTUD4,OTUD4,OTUD4
EFCAB2,EFCAB2,EFCAB2,EFCAB2
TTC9B,TTC9B,TTC9B,TTC9B
LINC01250,LINC01250,LINC01250,LINC01250
PRKAA2,PRKAA2,PRKAA2,PRKAA2
PROX1,PROX1,PROX1,PROX1
PIP5K1B,PIP5K1B,PIP5K1B,PIP5K1B
PPP5C,PPP5C,PPP5C,PPP5C
ESRRG,ESRRG,ESRRG,ESRRG
STAT4,STAT4,STAT4,STAT4
STARD4-AS1,STARD4-AS1,STARD4-AS1,STARD4-AS1
GTF2I,GTF2I,GTF2I,GTF2I
SNAP25,SNAP25,SNAP25,SNAP25
E2F3,,E2F3,E2F3
PRICKLE2,,PRICKLE2,PRICKLE2
DSTN,,DSTN,DSTN
ELK4,,ELK4,ELK4
ZEB1,,ZEB1,ZEB1
ZFP90,,ZFP90,ZFP90
HLF,,HLF,HLF
BBX,,BBX,BBX
DPP6,,DPP6,DPP6
BRINP3,,BRINP3,BRINP3
POLR3A,,POLR3A,POLR3A
WLS,,WLS,WLS
PHF21A,,PHF21A,PHF21A
TMEM170B,,TMEM170B,TMEM170B
HRH2,,HRH2,HRH2
CARF,,CARF,CARF
KIRREL3,,KIRREL3,KIRREL3
USP43,,USP43,USP43
PRKACB,,PRKACB,PRKACB
NCALD,,NCALD,NCALD
RASSF8,,RASSF8,RASSF8
PTPN14,,PTPN14,PTPN14
ZNF772,,ZNF772,ZNF772
GTF2A1,,GTF2A1,GTF2A1
SMAD3,,SMAD3,SMAD3
TRHDE,,TRHDE,TRHDE
ERBIN,,ERBIN,ERBIN
CMAS,,CMAS,CMAS
KHDRBS3,,KHDRBS3,KHDRBS3
NRG1,,NRG1,NRG1
DLEU2,,DLEU2,DLEU2
SORL1,,SORL1,SORL1
LDB2,,LDB2,LDB2
HDAC9,,HDAC9,HDAC9
ZNF511,,ZNF511,ZNF511
RBFOX2,,RBFOX2,RBFOX2
RBMS1,,RBMS1,RBMS1
ZNF398,,ZNF398,ZNF398
SERTAD2,,SERTAD2,SERTAD2
PRKAG2,,PRKAG2,PRKAG2
AHR,,AHR,AHR
PUDP,,PUDP,PUDP
HDAC3,,HDAC3,HDAC3
RBPJ,,RBPJ,RBPJ
ONECUT2,,ONECUT2,ONECUT2
NR3C1,,NR3C1,NR3C1
GALNT11,,GALNT11,GALNT11
GTF3A,,GTF3A,GTF3A
GALNT13,,GALNT13,GALNT13
KLHL2,,KLHL2,KLHL2
GRIK2,,GRIK2,GRIK2
NFKB1,,NFKB1,NFKB1
MAP2,,MAP2,MAP2
DLEU1,,DLEU1,DLEU1
SLC4A4,,SLC4A4,SLC4A4
GMEB1,,GMEB1,GMEB1
ATF7,,ATF7,ATF7
NFIX,,NFIX,NFIX
RRAS2,,RRAS2,RRAS2
FRMD5,,FRMD5,FRMD5
KDM2A,,KDM2A,KDM2A
ZNF18,,ZNF18,ZNF18
PRKCE,,PRKCE,PRKCE
PTPRK,,PTPRK,PTPRK
GAP43,,GAP43,GAP43
OSBPL3,,OSBPL3,OSBPL3
PLCL1,,PLCL1,PLCL1
MTA3,,MTA3,MTA3
NIPAL2,,NIPAL2,NIPAL2
RFX3,,RFX3,RFX3
ELAVL2,,ELAVL2,ELAVL2
ZFPM2,,ZFPM2,ZFPM2
SIN3A,,SIN3A,SIN3A
RASA1,,RASA1,RASA1
HNRNPH3,,HNRNPH3,HNRNPH3
AFF4,,AFF4,AFF4
SHISA6,,SHISA6,SHISA6
CAP2,,CAP2,CAP2
CADM3,,CADM3,CADM3
CNTN4,,CNTN4,CNTN4
SPRED2,,SPRED2,SPRED2
PCDH19,,PCDH19,PCDH19
LINGO2,,LINGO2,LINGO2
FOXO3,,FOXO3,FOXO3
PDE4B,,PDE4B,PDE4B
EP300,,EP300,EP300
HOMER1,,HOMER1,HOMER1
CADPS2,,CADPS2,CADPS2
TNIK,,TNIK,TNIK
CCDC25,,CCDC25,CCDC25
MAML3,,MAML3,MAML3
NYAP2,,NYAP2,NYAP2
TOX,,TOX,TOX
EPHA6,,EPHA6,EPHA6
RAP2A,,RAP2A,RAP2A
SMAD4,,SMAD4,SMAD4
PTPN13,,PTPN13,PTPN13
MEF2D,,MEF2D,MEF2D
KIF26B,,KIF26B,KIF26B
AEBP2,,AEBP2,AEBP2
PLAGL1,,PLAGL1,PLAGL1
TIPARP,,TIPARP,TIPARP
KCNH5,,KCNH5,KCNH5
ZDHHC5,,ZDHHC5,ZDHHC5
PHACTR3,,PHACTR3,PHACTR3
SPNS2,,SPNS2,SPNS2
ST6GAL2,,ST6GAL2,ST6GAL2
VSNL1,,VSNL1,VSNL1
RNF138,,RNF138,RNF138
RAB2A,,RAB2A,RAB2A
SORBS2,,SORBS2,SORBS2
GABRA5,,GABRA5,GABRA5
PHLPP1,,PHLPP1,PHLPP1
ELOVL7,,ELOVL7,ELOVL7
BMP8A,,BMP8A,BMP8A
ESR2,,ESR2,ESR2
LCORL,,LCORL,LCORL
KIAA2012,,KIAA2012,KIAA2012
RHOBTB3,,RHOBTB3,RHOBTB3
ZNF667,,ZNF667,ZNF667
LINC02389,,LINC02389,LINC02389
LINC01122,,LINC01122,LINC01122
RAB18,,,RAB18
EPHA5,,,EPHA5
FLRT2,,,FLRT2
ARHGAP20,,,ARHGAP20
YY1,,,YY1
SOX5,,,SOX5
KCNC2,,,KCNC2
NRXN3,,,NRXN3
KIAA1958,,,KIAA1958
NFYB,,,NFYB
RBM17,,,RBM17
HAPLN1,,,HAPLN1
ZNF462,,,ZNF462
SHANK2,,,SHANK2
ZNF433,,,ZNF433
PRKCQ,,,PRKCQ
ZNF397,,,ZNF397
BEGAIN,,,BEGAIN
CELF5,,,CELF5
HBP1,,,HBP1
ZNF71,,,ZNF71
GRM3,,,GRM3
CERS6,,,CERS6
NTNG1,,,NTNG1
RIT2,,,RIT2
P3H2-AS1,,,P3H2-AS1
PCDH20,,,PCDH20
KCTD8,,,KCTD8
PRMT8,,,PRMT8
SLC26A4,,,SLC26A4
SCRN1,,,SCRN1
PPM1L,,,PPM1L
TET1,,,TET1
CHN1,,,CHN1
MIAT,,,MIAT
FOLH1,,,FOLH1
PRKD1,,,PRKD1
GJA3,,,GJA3
PRR5L,,,PRR5L
RSPO2,,,RSPO2
SORT1,,,SORT1
UNC5D,,,UNC5D
MTHFD1,,,MTHFD1
LINC01821,,,LINC01821
DENND1B,,,DENND1B
CHD1,,,CHD1
SEZ6L,,,SEZ6L
ARHGAP22,,,ARHGAP22
NTRK2,,,NTRK2
NOS1AP,,,NOS1AP
ODC1,,,ODC1
HIVEP2,,,HIVEP2
ZNF678,,,ZNF678
ZFP69B,,,ZFP69B
ZBTB20,,,ZBTB20
KIAA0319,,,KIAA0319
KCTD16,,,KCTD16
HIVEP3,,,HIVEP3
ELAVL4,,,ELAVL4
CCNI,,,CCNI
MARCH3,,,MARCH3
PRDM8,,,PRDM8
KCNV1,,,KCNV1
RAP1GDS1,,,RAP1GDS1
NFYA,,,NFYA
CTNNB1,,,CTNNB1
YWHAZ,,,YWHAZ
ZNF547,,,ZNF547
NELFA,,,NELFA
SPRED1,,,SPRED1
G3BP2,,,G3BP2
ZNF532,,,ZNF532
MIR29B2CHG,,,MIR29B2CHG
CREM,,,CREM
AMOTL1,,,AMOTL1
PLS3,,,PLS3
CBLN2,,,CBLN2
STAC2,,,STAC2
EXTL2,,,EXTL2
ASAP1,,,ASAP1
GRM1,,,GRM1
PITHD1,,,PITHD1
MEF2A,,,MEF2A
ZSWIM6,,,ZSWIM6
ZNF420,,,ZNF420
COL5A2,,,COL5A2
DSE,,,DSE
KCTD1,,,KCTD1
NRSN1,,,NRSN1
BCLAF1,,,BCLAF1
REL,,,REL
CSDE1,,,CSDE1
RFTN1,,,RFTN1
ELF2,,,ELF2
GRIA4,,,GRIA4
PRICKLE1,,,PRICKLE1
ZHX1,,,ZHX1
PTH2R,,,PTH2R
SMYD2,,,SMYD2
GABRG2,,,GABRG2
ZNF821,,,ZNF821
ZNF197,,,ZNF197
KIAA1217,,,KIAA1217
UGP2,,,UGP2
PARM1,,,PARM1
ZNF596,,,ZNF596
ZCCHC14,,,ZCCHC14
R3HDM2,,,R3HDM2
PDLIM5,,,PDLIM5
RASGEF1B,,,RASGEF1B
CELF2-AS2,,,CELF2-AS2
DLGAP1-AS4,,,DLGAP1-AS4
EZH2,,,EZH2
ZDHHC2,,,ZDHHC2
EXTL3,,,EXTL3
CTNNA2,,,CTNNA2
FNDC3A,,,FNDC3A
STMN2,,,STMN2
PRDM10,,,PRDM10
ACVR1,,,ACVR1
RAB3C,,,RAB3C
ZFX,,,
EFNB2,,,
TXN,,,
MYO1B,,,
HSF2,,,
TFDP2,,,
BVES,,,
SLC30A3,,,
PELI2,,,
YPEL5,,,
ZBTB46,,,
WRNIP1,,,
MPPED2,,,
TNFRSF21,,,
BCL11A,,,
PLS3-AS1,,,
RORB-AS1,,,
ZBTB5,,,
CES4A,,,
GPR158,,,
ZFP30,,,
P2RY14,,,
ZNF304,,,
FGF10-AS1,,,
LINC01412,,,
IQCH,,,
UBE2K,,,
SMARCA1,,,
UBE2N,,,
NR1D2,,,
ATP6V1G1,,,
PDS5A,,,
CLDN16,,,
LINC00710,,,
C5orf30,,,
ATP6V1E1,,,
ST6GALNAC5,,,
MAGEF1,,,
PHLDB2,,,
SYT4,,,
SPDYE2,,,
KRAS,,,
SELENOH,,,
RAC1,,,
TSC22D1,,,
LINC01950,,,
CFAP299,,,
AACS,,,
TTC39C,,,
LUC7L2,,,
TRIM69,,,
SNTB2,,,
KIAA1211L,,,
NAPB,,,
KCNN3,,,
CA10,,,
TTN-AS1,,,
TBPL1,,,
NFAT5,,,
GABPB1,,,
HMGCLL1,,,
LINC00923,,,
ATRNL1,,,
PHACTR1,,,
USP12,,,
RCAN2,,,
HGSNAT,,,
HNRNPLL,,,
ZNF263,,,
PTGIS,,,
BTC,,,
MAN1A1,,,
TDRD9,,,
LIFR,,,
IGSF11,,,
ADNP,,,
OLFM1,,,
LRP12,,,
HTR2C,,,
NCOA3,,,
BASP1,,,
WSCD2,,,
PUM3,,,
GABARAPL1,,,
STMN3,,,
LNX1-AS1,,,
NEDD4L,,,
MOB3B,,,
TCP1,,,
MGAT4C,,,
ARHGEF26-AS1,,,
LRRC8B,,,
CBFA2T2,,,
LARGE1,,,
RPH3A,,,
PRKAR2B,,,
SEC16B,,,
GMDS,,,
GOLGA8B,,,
NRN1,,,
SLC35F4,,,
FSIP1,,,
ZFP62,,,
ADGRL2,,,
ARF3,,,
RAP1GAP,,,
LRRK1,,,
AZIN1,,,
SCHLAP1,,,
ABCF2,,,
CDKN2A,,,
CRHR2,,,
PDE8A,,,
SLC12A2,,,
CAPZA2,,,
ZNF777,,,
DAB1,,,
RASL10A,,,
SLC38A11,,,
L3MBTL3,,,
LINC00472,,,
MKX,,,
LINC01202,,,
AMPH,,,
DCDC2,,,
ZNF385B,,,
AKAP13,,,
CHRM3-AS2,,,
RSPO3,,,
PURA,,,
EIF4B,,,
MIR3976HG,,,
DNAH5,,,
KLC1,,,
ATP6V0E2,,,
OVOL2,,,
CDH20,,,
PGM2L1,,,
DLGAP3,,,
LINC00326,,,
LINC01435,,,
TSPAN9,,,
RTN3,,,
ASXL2,,,
GUCY1A2,,,
ZNF527,,,
ZNF883,,,
ZSCAN23,,,
ZNF891,,,
HPCAL4,,,
ZMAT3,,,
PPP1CB,,,
NPAS2,,,
NECAB1,,,
SLC36A1,,,
SGK1,,,
KCNMB4,,,
SKP1,,,
ARNT2,,,
SERINC3,,,
POU6F2,,,
CDH10,,,
SERPINI1,,,
ARHGEF28,,,
NWD2,,,
RFX4,,,
HP1BP3,,,
CHD7,,,
NFIA,,,
LINC01197,,,
SCRT1,,,
LNPEP,,,
TMEFF2,,,
MAP1LC3B,,,
SLC44A5,,,
SLC12A5,,,
BEX4,,,
ZNF335,,,
STXBP5,,,
POU3F3,,,
ARID3B,,,
LINC02552,,,
ZNF518A,,,
SCN3B,,,
PCDH7,,,
STEAP2,,,
C9orf16,,,
C14orf132,,,
HMGA1,,,
PTPRT,,,
PTPRO,,,
VWA5B2,,,
MAPK1,,,
B3GLCT,,,
RASGRP1,,,
TMEM132D,,,
MYBL1,,,
DNAJB9,,,
LRRN1,,,
TMX4,,,
MAZ,,,
TXK,,,
ZBTB25,,,
DISP1,,,
CPE,,,
SLC22A24,,,
CEP112,,,
GNB4,,,
GOT1,,,
NRF1,,,
SLC17A7,,,
FAM189A1,,,
SNX31,,,
KCNQ3,,,
MYOM2,,,
CREB1,,,
CCDC150,,,
FRMD6,,,
CTCF,,,
SUB1,,,
ARNTL2,,,
EIF5,,,
SGCG,,,
EIF1B,,,
TMTC1,,,
ATP1A1,,,
CDS1,,,
RAB6B,,,
MAEL,,,
DR1,,,
LRRC2,,,
PBX3,,,
SPP1,,,
PCSK2,,,
FAM217B,,,
HNRNPC,,,
ARHGAP26-AS1,,,
LINC00578,,,
SV2B,,,
TOX3,,,
LUZP2,,,
ZNF536,,,
VEZF1,,,
NEBL,,,
CCDC65,,,
DGKB,,,
LINC01208,,,
PGBD5,,,
PHF12,,,
ZNF704,,,
PMEPA1,,,
PTK2B,,,
RHEB,,,
NTM,,,
GULP1,,,
KCND2,,,
GTPBP1,,,
FAM153A,,,
ASB8,,,
SLIT1,,,
ZNF554,,,
C12orf40,,,
ZNF43,,,
ZNF652,,,
LINC01622,,,
MIR4500HG,,,
FRAS1,,,
C11orf87,,,
IL12RB2,,,
RFX5,,,
CSRNP2,,,
CADPS,,,
CDH22,,,
PNMA8B,,,
CUX2,,,
MMD,,,
PLEKHA2,,,
HLCS,,,
ZNF273,,,
RNF165,,,
BRINP1,,,
PPP1R26-AS1,,,
MMP16,,,
CPNE4,,,
CFAP161,,,
DYNLRB1,,,
BBOX1-AS1,,,
SNU13,,,
LINC02347,,,
ZNF831,,,
MARCH4,,,
AP1S2,,,
TLE1,,,
GLB1L3,,,
NREP,,,
RNF150,,,
ZBTB43,,,
UBE2M,,,
PLAG1,,,
FHOD3,,,
MICAL2,,,
CAMK1D,,,
BSG,,,
HNRNPA1,,,
PART1,,,
ZBTB14,,,
MIR7-3HG,,,
HS6ST3,,,
SNAP25-AS1,,,
NFE2L1,,,
PDIA5,,,
SYT2,,,
PAH,,,
NEFM,,,
PRKG1,,,
ASGR2,,,
CD276,,,
ARL4C,,,
SRP9,,,
SETBP1,,,
MCTP1,,,
PCDH17,,,
SLC1A2,,,
COPS9,,,
GLIS1,,,
ZNF281,,,
ZBTB18,,,
ARPC5L,,,
KIAA0513,,,
PTPN3,,,
ZNF607,,,
SYN3,,,
NONO,,,
FOXG1,,,
GPRASP2,,,
CPNE9,,,
EIF4H,,,
IL6ST,,,
FREM3,,,
ZNF100,,,
CALM3,,,
STS,,,
ZNF260,,,
LINC01500,,,
