gene,score,validation,label
A4GALT,0.35115662,False,-1
AACS,0.31720233,False,-1
AASDHPPT,0.30140454,False,-1
ABCA6,0.20227319,False,-1
ABCF2,0.37948847,False,-1
ABHD17C,0.44084728,False,-1
ABL1,0.40319127,False,1
ABR,0.15534586,False,-1
ABRA,0.089844614,False,-1
ACAP1,0.43055475,False,-1
ACER2,0.20744811,False,-1
ACMSD,0.3738336,False,-1
ACTB,0.4118757,True,1
ACTG1,0.36429852,False,-1
ACTN2,0.09814824,False,-1
ACVR1C,0.19791691,False,-1
ADAM10,0.93393105,False,-1
ADAM12,0.88015133,False,-1
ADAM23,0.27193135,False,-1
ADAM28,0.077666596,False,0
ADAM29,0.1505411,False,-1
ADAM32,0.18905096,False,-1
ADAMTS1,0.08565623,True,0
ADAMTS16,0.1418452,True,0
ADAMTS2,0.43488657,False,-1
ADAMTS3,0.46258962,False,-1
ADAMTS9-AS2,0.008768488,False,-1
ADAMTSL1,0.4012125,False,-1
ADARB1,0.54359305,False,-1
ADARB2,0.13676992,False,-1
ADCY5,0.14212641,False,-1
ADCY9,0.31584808,False,-1
ADCYAP1,0.13306597,False,-1
ADD3,0.6343198,False,-1
ADD3-AS1,0.101815,False,-1
ADGRG2,0.08534162,False,-1
ADGRL2,0.8284924,False,-1
ADGRL3,0.93040407,False,-1
ADNP,0.75946105,True,1
ADNP2,0.77530473,False,-1
ADRA1A,0.126969,False,-1
ADRA2A,0.11122122,False,-1
ADTRP,0.4263516,False,-1
AEBP2,0.7431688,False,-1
AFAP1,0.17788191,False,-1
AFF1,0.6482802,False,-1
AFF4,0.9740632,False,-1
AGAP2,0.28539574,False,0
AGBL1,0.17478229,False,-1
AGFG1,0.86937904,False,-1
AGMO,0.13081683,True,0
AGPAT1,0.15424107,False,-1
AHCTF1,0.29181334,False,-1
AHDC1,0.3306607,False,1
AHR,0.53655565,False,-1
AHRR,0.14124916,False,-1
AHSA1,0.30536392,False,-1
AIG1,0.47875503,False,-1
AK5,0.35334465,False,1
ALDH1A2,0.30906752,False,-1
ALDOC,0.1636713,False,-1
ALK,0.31745863,False,-1
ALOX5,0.476325,False,-1
ALX4,0.06300406,False,0
AMD1,0.97718835,False,-1
