gene,score,validation,label
A4GALT,0.12285365,False,0
AACS,0.14901859,False,0
AASDHPPT,0.106890224,True,0
ABCA6,0.05821385,False,0
ABCF2,0.12238056,False,0
ABHD17C,0.091376126,True,0
ABL1,0.14207573,False,0
ABR,0.13754368,True,0
ABRA,0.06744934,False,0
ACAP1,0.0745317,True,0
ACER2,0.076169044,False,0
ACMSD,0.048948552,False,0
ACTB,0.11600645,False,1
ACTG1,0.119974114,False,0
ACTN2,0.07783913,True,0
ACVR1C,0.13601454,True,0
ADAM10,0.1356636,False,0
ADAM12,0.03916921,False,0
ADAM23,0.11783987,False,0
ADAM28,0.063221514,False,0
ADAM29,0.09481561,False,0
ADAM32,0.15710388,False,0
ADAMTS1,0.08671893,False,0
ADAMTS16,0.15231447,False,0
ADAMTS2,0.06738845,False,0
ADAMTS3,0.1629801,False,0
ADAMTS9-AS2,0.022280134,False,0
ADAMTSL1,0.03921121,False,0
ADARB1,0.14154066,False,0
ADARB2,0.06263143,False,0
ADCY5,0.150753,True,1
ADCY9,0.12741826,False,0
ADCYAP1,0.060236126,False,0
ADD3,0.1585446,True,0
ADD3-AS1,0.046484858,False,0
ADGRG2,0.06903781,False,0
ADGRL2,0.1438578,False,0
ADGRL3,0.12250499,False,0
ADNP,0.15568022,False,1
ADNP2,0.15588109,True,0
ADRA1A,0.11788937,False,0
ADRA2A,0.07072329,False,0
ADTRP,0.062439132,False,0
AEBP2,0.13941239,False,0
AFAP1,0.12742029,False,0
AFF1,0.1673727,False,0
AFF4,0.10566314,False,0
AGAP2,0.09285863,False,1
AGBL1,0.10101253,True,0
AGFG1,0.14004809,False,0
AGMO,0.057100866,False,1
AGPAT1,0.10739169,True,0
AHCTF1,0.14486593,True,0
AHDC1,0.07430182,False,1
AHR,0.18470128,False,0
AHRR,0.09043316,False,0
AHSA1,0.10751975,True,0
AIG1,0.17040004,False,0
AK5,0.13617939,False,0
ALDH1A2,0.16063718,False,0
ALDOC,0.089325175,False,0
ALK,0.060169365,False,0
ALOX5,0.05242051,False,0
ALX4,0.0667339,False,0
AMD1,0.1343199,False,0
AMMECR1,0.06569097,False,0
AMOT,0.052881565,False,0
AMOTL1,0.07163772,False,0
AMZ1,0.036716033,False,0
ANAPC16,0.059398312,False,0
ANK1,0.06454368,False,0
ANKH,0.17788246,False,0
ANKRD33B,0.12561625,True,0
ANKRD44,0.13491349,False,0
ANKRD46,0.08873554,True,0
