gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A4GALT,-1,0.37064370999999996,0.05943759316402036,0.3730754,0.42968446,0.35115662,0.41812897,0.2811731,False,False,False,False,False
AACS,-1,0.332343096,0.06854744482757676,0.33579585,0.41594297,0.31720233,0.22938251,0.36339182,False,False,False,False,False
AASDHPPT,-1,0.33233819000000003,0.08438180868003038,0.47322997,0.33417356,0.30140454,0.24978143,0.30310145,False,False,False,False,False
ABCA6,-1,0.1105626776,0.0798025036979982,0.048376393,0.031471185,0.20227319,0.08190529,0.18878733,False,False,False,False,False
ABCF2,-1,0.477430862,0.05805818812419845,0.5351815,0.4933075,0.37948847,0.48765394,0.4915229,False,False,False,False,False
ABHD17C,-1,0.16951045520000002,0.19412659439851054,0.01085241,0.05212548,0.44084728,0.3099834,0.033743706,False,False,False,False,False
ABL1,1,0.46198083400000006,0.039634443303698356,0.4834178,0.4400835,0.40319127,0.48345014,0.49976146,True,False,False,False,False
ABR,-1,0.17236064820000002,0.25801322814029587,0.001911904,0.06274737,0.15534586,0.62156385,0.020234257,False,False,False,False,False
ABRA,-1,0.06939253488,0.037060651063935954,0.0036304044,0.08573938,0.089844614,0.08954728,0.078200996,False,False,False,False,False
ACAP1,-1,0.1750711652,0.15299594041349596,0.033209126,0.10770124,0.43055475,0.18818082,0.11570989,False,False,False,False,False
ACER2,-1,0.3058967968,0.2075230187351188,0.56472284,0.056426514,0.20744811,0.47163722,0.2292493,False,False,False,False,False
ACMSD,-1,0.47569304399999995,0.2241343350121406,0.38793072,0.27655944,0.3738336,0.48615816,0.8539833,False,False,False,False,False
ACTB,1,0.451494752,0.04700654253250415,0.4438624,0.53154564,0.4118757,0.4465948,0.42359522,False,False,True,False,False
ACTG1,-1,0.41451931599999997,0.07360449684365644,0.52482337,0.4558354,0.36429852,0.37198797,0.35565132,False,False,False,False,False
ACTN2,-1,0.09343129846,0.053916060089101686,0.0071561723,0.08651876,0.09814824,0.14768668,0.12764664,False,False,False,False,False
ACVR1C,-1,0.26507710199999995,0.0744094066152551,0.24399252,0.3780057,0.19791691,0.20726831,0.29820207,False,False,False,False,False
ADAM10,-1,0.89096147,0.037198246866898835,0.90097135,0.8917964,0.93393105,0.8967618,0.83134675,False,False,False,False,False
ADAM12,-1,0.3084578893578124,0.37047714086819045,5.2789062e-08,0.019618854,0.88015133,0.17415783,0.46836138,False,False,False,False,False
ADAM23,-1,0.287937688,0.05805260129885715,0.363522,0.31525508,0.27193135,0.28315255,0.20582746,False,False,False,False,False
ADAM28,0,0.02960678804,0.02858853512732992,0.0011619992,0.02688462,0.077666596,0.020791715,0.02152901,False,True,False,False,False
ADAM29,-1,0.058272676999999995,0.05554552863686987,0.002569526,0.035724252,0.1505411,0.058953617,0.04357489,False,False,False,False,False
ADAM32,-1,0.2387447024,0.16765428373738034,0.4541312,0.122608446,0.18905096,0.057672706,0.3702602,False,False,False,False,False
ADAMTS1,0,0.06453538076,0.03945393457834523,0.0033269848,0.10917101,0.08565623,0.066211775,0.058310904,False,False,True,False,False
ADAMTS16,0,0.17879501600000003,0.044340876298776845,0.13383502,0.23382665,0.1418452,0.16890961,0.2155586,False,False,True,False,False
ADAMTS2,-1,0.1869819448,0.16465251183214485,0.22096823,0.0416357,0.43488657,0.20640874,0.031010484,False,False,False,False,False
ADAMTS3,-1,0.497923298,0.07167573899077236,0.5822869,0.53127027,0.46258962,0.5186984,0.3947713,False,False,False,False,False
ADAMTS9-AS2,-1,0.06031761396,0.0877029065636533,0.2139484,0.037994787,0.008768488,8.59968e-05,0.040790398,False,False,False,False,False
ADAMTSL1,-1,0.35113781494,0.3924397860506017,0.0019661617,0.96050686,0.4012125,0.38592625,0.006077303,False,False,False,False,False
ADARB1,-1,0.623148182,0.15449816047616916,0.76446414,0.72565854,0.54359305,0.39071518,0.69131,False,False,False,False,False
ADARB2,-1,0.266184844,0.12699930243451352,0.4630298,0.23312996,0.13676992,0.30955997,0.18843457,False,False,False,False,False
ADCY5,-1,0.176430458,0.03177933345085403,0.17837611,0.1562757,0.14212641,0.2258616,0.17951247,False,False,False,False,False
ADCY9,-1,0.30335883199999997,0.15489873687034433,0.17042142,0.5444801,0.31584808,0.16325489,0.32278967,False,False,False,False,False
ADCYAP1,-1,0.10315944351999999,0.05390758177068843,0.0078028026,0.12384797,0.13306597,0.13571386,0.115366615,False,False,False,False,False
ADD3,-1,0.43227454200000004,0.14530001338754625,0.5176529,0.29420218,0.6343198,0.30228278,0.41291505,False,False,False,False,False
ADD3-AS1,-1,0.1359641034,0.09464325871532726,0.019120477,0.09237359,0.101815,0.22378632,0.24272513,False,False,False,False,False
ADGRG2,-1,0.17864822200000002,0.10379048484927757,0.35672972,0.14808777,0.08534162,0.13998304,0.16309896,False,False,False,False,False
ADGRL2,-1,0.8192424600000001,0.04075353482887097,0.818919,0.7999237,0.8284924,0.7690738,0.8798034,False,False,False,False,False
ADGRL3,-1,0.9262975739999998,0.01232236060093114,0.9204486,0.9459217,0.93040407,0.9149792,0.9197343,False,False,False,False,False
ADNP,1,0.744124538,0.02228465960274513,0.7538249,0.7553393,0.75946105,0.7050911,0.74690634,False,False,True,False,False
ADNP2,-1,0.7477547259999999,0.1101053068330527,0.8269224,0.79750174,0.77530473,0.7851745,0.55387026,False,False,False,False,False
ADRA1A,-1,0.143256608,0.12572816357583624,0.020888444,0.063672006,0.126969,0.15792339,0.3468302,False,False,False,False,False
ADRA2A,-1,0.13378267319999998,0.03051159330051515,0.11284858,0.110802166,0.11122122,0.17143303,0.16260837,False,False,False,False,False
ADTRP,-1,0.28319669999999997,0.15020460918685802,0.13314342,0.46149054,0.4263516,0.17801191,0.21698603,False,False,False,False,False
AEBP2,-1,0.65890966,0.07693360031477141,0.6553114,0.7189047,0.7431688,0.5493955,0.6277679,False,False,False,False,False
AFAP1,-1,0.25626983000000003,0.15143815439424688,0.24016567,0.5182373,0.17788191,0.20913193,0.13593234,False,False,False,False,False
AFF1,-1,0.75065482,0.0754205756162866,0.7981388,0.8464487,0.6482802,0.7317454,0.728661,False,False,False,False,False
AFF4,-1,0.955345108,0.012122557407837664,0.9537928,0.9588133,0.9740632,0.9472798,0.94277644,False,False,False,False,False
AGAP2,0,0.29394094800000004,0.06763972498523164,0.27124396,0.35380143,0.28539574,0.36245564,0.19680797,True,False,False,False,False
