gene,score,validation,label
A1CF,0.088516936,False,0
AACS,0.14849432,True,0
AASDHPPT,0.06111567,False,0
ABCA1,0.07136002,False,0
ABCC4,0.121451184,False,0
ABCF2,0.107720666,False,0
ABHD13,0.059414655,False,0
ABL1,0.18111797,True,0
ABRACL,0.15312433,False,0
ACAT2,0.075227275,False,0
ACER2,0.04850531,False,0
ACMSD,0.10236892,False,0
ACRBP,0.08203185,False,0
ACSBG1,0.1240094,False,0
ACTG1,0.11209184,False,0
ACTN2,0.11584966,False,0
ACVR1,0.11146698,False,0
ADAM28,0.10909386,False,0
ADAM32,0.10998748,False,0
ADAMTS16,0.1361453,False,0
ADAMTS17,0.17799501,False,0
ADAMTS18,0.058397837,False,0
ADAMTS19,0.09426416,False,0
ADAMTS19-AS1,0.13484778,False,0
ADAMTS3,0.13616544,False,0
ADAMTS6,0.066465706,False,0
ADAMTSL1,0.10812552,True,0
ADARB1,0.12363628,False,0
ADCY2,0.17772385,False,0
ADCY5,0.16699044,False,1
ADCY7,0.12680694,True,0
ADCYAP1,0.13174988,False,0
ADCYAP1R1,0.12654446,False,0
ADGRA1,0.17372155,True,0
ADGRG4,0.07808634,False,0
ADGRL2,0.10338888,False,0
ADGRL3,0.16669187,False,0
ADGRV1,0.11752264,False,0
ADNP,0.15138878,False,1
ADNP2,0.14550804,True,0
ADPRHL1,0.18191154,False,0
ADRA1A,0.07831908,True,0
ADRA2A,0.06982979,False,0
ADRB2,0.07290547,False,1
ADTRP,0.12873445,False,0
AEBP2,0.18193872,False,0
AFAP1,0.1536325,True,0
AFF1,0.204477,False,0
AFF2,0.09223667,False,1
AFF4,0.18610618,False,0
AGAP2,0.07312824,False,1
AGBL1,0.15599778,False,0
AGGF1,0.14926636,False,0
AHCTF1,0.1572693,False,0
AHCYL2,0.04043164,False,0
AHR,0.19386548,False,0
AHRR,0.085806556,False,0
AHSA1,0.09887272,False,0
AIF1,0.09245585,False,0
AKAP5,0.10759789,False,0
AKNA,0.064737044,False,0
AKR1C3,0.089572825,False,0
ALCAM,0.08294086,False,0
ALPK1,0.06730826,False,0
ALX3,0.11185337,False,0
AMD1,0.21011958,True,0
AMIGO2,0.042698756,True,0
AMOT,0.16698557,False,0
AMZ1,0.06721436,False,0
ANK1,0.11883919,False,0
ANKH,0.14260568,False,0
ANKRD29,0.14208768,True,0
ANKRD33B,0.11630314,False,0
ANKRD44,0.14009556,False,0
ANKRD46,0.15313685,True,0
ANKRD6,0.15247706,False,0
ANKRD65,0.04858019,True,0
ANKRD7,0.11002233,True,0
ANKS6,0.09854665,False,0
ANO5,0.13342552,False,0
ANO6,0.09415474,False,0
ANTXR1,0.16164568,False,0
ANXA11,0.15266843,False,0
AP1S1,0.086193874,False,0
AP1S2,0.08099531,False,0
AP2M1,0.07124479,False,1
APBA1,0.21619263,True,0
APBB1IP,0.1022162,False,0
APBB2,0.14722311,False,0
APCDD1,0.18752642,True,0
APLP2,0.08065185,False,0
APOC2,0.10312816,False,0
APOE,0.04352157,False,0
APP,0.20412435,False,0
AQP4,0.13559854,False,0
AQP4-AS1,0.10036961,False,0
AQP9,0.18448667,False,0
ARC,0.051625524,False,0
ARF1,0.099835604,False,0
ARF3,0.07287233,False,1
ARFGAP1,0.09839724,False,0
ARHGAP12,0.18434142,False,0
ARHGAP20,0.14914389,False,0
ARHGAP23,0.08620674,False,0
ARHGAP24,0.12441756,False,0
ARHGAP25,0.103942364,False,0
ARHGAP26,0.16662638,False,0
ARHGAP26-AS1,0.11888618,False,0
ARHGAP29,0.07604133,False,0
ARHGAP42,0.113073595,False,0
ARHGAP5,0.1197593,False,1
ARHGAP6,0.102728486,False,0
ARHGDIG,0.11611702,False,0
ARHGEF26,0.12170747,False,0
ARHGEF26-AS1,0.106849544,False,0
ARHGEF3,0.09464647,False,0
ARID1B,0.16793148,True,1
ARID3A,0.114735425,False,0
ARID3B,0.18169078,True,0
ARID5A,0.09504011,False,0
ARID5B,0.10000061,False,0
ARL4C,0.102914825,False,0
ARL4D,0.054160308,False,0
ARL8A,0.106410675,False,0
ARL8B,0.16514273,False,0
ARMC4,0.09685391,False,0
ARNT,0.14219655,False,0
ARNT2,0.07757595,False,1
ARNTL,0.06489663,False,0
ARNTL2,0.15579647,False,0
ARPC5L,0.10299812,True,0
ARPP19,0.13220015,False,0
ARRDC3-AS1,0.12562826,True,0
ARSJ,0.06946553,True,0
ASAP1,0.16577095,False,0
ASAP2,0.06431097,False,1
ASB18,0.1664263,False,0
ASB2,0.16438547,False,0
ASCL1,0.083053015,False,0
ASCL2,0.09869968,False,0
ASH2L,0.16917461,False,0
ASIC2,0.1312275,False,0
ASIC4,0.15298413,False,0
ATF1,0.0954107,False,0
ATF2,0.15507719,True,0
ATF3,0.056847703,False,0
ATF7,0.12382168,False,0
ATOH7,0.031197974,True,0
ATOH8,0.10371499,False,0
ATP10A,0.18697478,False,1
ATP10B,0.12688558,True,0
ATP13A4,0.109800264,False,0
ATP1A1,0.0862709,False,1
ATP1A2,0.12495267,True,0
ATP1A3,0.096778706,False,1
ATP1B2,0.052794673,False,0
ATP1B3,0.09697258,False,0
ATP2A2,0.14107099,False,0
ATP2B4,0.108097635,False,0
ATP2C1,0.16284445,False,0
ATP6V0B,0.119670525,False,0
ATP6V0C,0.12066125,True,0
ATP6V0D1,0.094968654,False,0
ATP6V0E2,0.10977342,False,0
ATP6V1A,0.106969714,False,0
ATP6V1B2,0.105050184,True,0
ATP6V1E1,0.103567295,False,0
ATP6V1G1,0.07897554,False,0
ATP6V1H,0.14206146,False,0
ATP8B4,0.08831219,True,0
ATRNL1,0.052012302,False,0
ATXN1,0.16690035,False,0
ATXN7L3,0.12732302,False,0
ATXN7L3B,0.11950965,True,0
AUTS2,0.11840333,False,1
AZIN1,0.1553236,True,0
B3GALNT2,0.16832754,False,0
B3GLCT,0.14788958,False,0
B3GNT2,0.1604958,False,0
B3GNT5,0.093584076,False,0
B4GALNT3,0.06603414,False,0
B4GALT5,0.11892823,False,0
B4GALT6,0.14450999,False,0
B4GAT1,0.12632956,True,0
BACH1,0.12203464,False,0
BACH2,0.19627565,False,0
BAIAP2,0.08377828,False,0
BAIAP3,0.08387251,False,0
BANF1,0.08963152,False,0
BATF3,0.11011054,True,0
BAZ1A,0.07083651,False,0
BBOX1-AS1,0.12982172,False,0
BBX,0.15404592,False,0
BCAN,0.12793185,False,0
BCAP31,0.094417915,False,0
BCAR3,0.10364181,False,0
BCAS2,0.021538092,False,0
BCL11A,0.11558939,False,1
BCL11B,0.12890334,False,1
BCL2L2-PABPN1,0.09447314,False,0
BCL6,0.14311396,False,0
BCLAF1,0.16795681,False,0
BCOR,0.12272718,False,0
BCORL1,0.06387382,True,0
BDKRB2,0.19441323,True,0
BDNF,0.055468902,False,0
BDP1,0.13223368,False,0
BEGAIN,0.1628258,False,0
