gene,score,validation,label
ABCB11,0.00056976726,False,-1
ABCC9,0.32470906,False,-1
ACER3,0.27977043,False,-1
ACTG2,0.001270988,False,-1
ACTN2,0.22502328,False,-1
ACTN3,2.876173e-05,False,-1
ACVR1,0.20397471,False,0
ACVR1C,0.18331158,False,-1
ADAMTS19-AS1,0.21147302,False,-1
ADAMTS3,0.51129264,False,-1
ADARB1,0.6464393,False,-1
ADD3-AS1,0.29015964,False,-1
ADGRD1,0.0028372528,False,-1
ADGRF5,0.12548576,False,-1
ADGRL2,0.56658936,False,-1
ADGRL3,0.91276747,False,-1
ADNP,0.987543,False,1
ADNP2,0.8795602,False,-1
ADRA1A,0.22308001,False,-1
AFF1,0.99760735,False,-1
AFF3,0.52871144,False,-1
AFF4,0.7187464,False,-1
AHCTF1,0.23687193,False,-1
AHNAK,0.00087992474,False,-1
AHR,0.13589065,False,-1
AHRR,0.00043164077,False,-1
AK5,0.6863993,False,-1
AKAP13,0.99999523,False,-1
ALDH1A2,0.55351347,False,-1
ALOX15B,0.0015397489,False,-1
AMOTL1,0.13188565,False,-1
ANAPC7,0.1843181,False,-1
ANK1,0.27946967,False,0
ANKMY2,0.072963625,False,-1
ANKRD28,0.2020767,False,-1
ANKRD29,0.2077448,False,-1
ANKRD30B,0.42940837,False,-1
ANLN,0.011160232,False,0
ANO10,0.15853766,False,-1
ANTXR2,0.33002412,False,-1
APBA1,0.51656556,False,-1
APBB2,0.00031346042,False,0
APEX2,0.04499809,False,-1
APOLD1,0.73992634,False,-1
ARC,0.0012684761,False,0
ARFGAP1,0.5409294,False,-1
ARHGAP12,0.30795062,False,-1
ARHGAP22,0.20139973,False,-1
ARHGAP26,0.54577684,False,-1
ARHGAP29,0.20859312,False,-1
ARHGAP36,8.042635e-05,False,-1
ARHGEF11,0.27050728,False,-1
ARHGEF28,0.5787542,False,-1
ARID2,0.509631,False,1
ARID3C,0.0005311042,False,-1
ARID5B,0.8404877,False,-1
ARL4D,0.00045693028,False,-1
ARL6IP1,0.02268845,False,-1
ARNT,0.34210455,False,-1
ARNT2,0.99961394,False,-1
ARNTL,0.9597135,False,-1
ARNTL2,0.035797138,False,-1
ARX,0.26324654,False,1
ASAP2,0.21702965,False,-1
ASCL1,0.1279134,False,-1
ASIC2,0.12318402,False,-1
ASPSCR1,0.049084317,False,-1
ASTN1,0.29876587,False,-1
ATF3,0.0062672263,False,0
ATF5,0.48351422,False,-1
ATF6,0.2629975,False,-1
ATF7,0.8524152,False,-1
