gene,score,validation,label
A2M,0.00010852725,False,0
AASDHPPT,0.2175025,False,-1
ABCA1,0.54648453,False,-1
ABCC9,0.3466309,False,-1
ABCG2,0.009470318,False,-1
ABL1,0.30965936,False,-1
ABLIM1,0.3382496,False,-1
ABTB2,0.23053385,False,-1
ACAN,0.41515553,False,-1
ACER2,0.11129633,False,-1
ACO1,0.373216,False,-1
ACSBG1,0.08995191,False,-1
ACTB,0.27558586,True,1
ACTG1,0.4939168,False,-1
ACVR1,0.22799693,False,0
ACVR1C,0.40099248,False,-1
ACY3,1.535033e-05,False,-1
ADAD2,0.2563046,False,0
ADAM12,0.117225364,False,-1
ADAM28,0.005052991,False,0
ADAMTS17,0.13463566,False,-1
ADAMTS18,0.014906315,False,-1
ADAMTS3,0.6355348,False,-1
ADAMTS8,0.33204418,False,-1
ADAMTS9-AS2,0.25257894,False,-1
ADAMTSL3,0.067374684,False,-1
ADARB1,0.3869251,False,-1
ADD3-AS1,0.53806704,False,-1
ADGB,0.040260706,False,-1
ADGRG1,0.09066742,False,-1
ADGRL2,0.6205694,False,-1
ADGRV1,0.16148736,False,-1
ADNP,0.97457695,False,1
ADNP2,0.5266979,False,-1
ADRA1D,0.015720328,False,-1
ADTRP,0.4096899,False,-1
AEBP2,0.3643472,False,-1
AFAP1L2,0.033312187,False,-1
AFF1,0.3023626,False,-1
AFF4,0.9151133,False,-1
AGAP2,0.31672618,False,0
AGBL1-AS1,0.31836382,False,-1
AGGF1,0.41749996,False,-1
AGPAT1,0.7492232,False,-1
AHCTF1,0.44939813,False,-1
AHDC1,0.4501279,False,1
AHR,0.37188256,False,-1
AHRR,0.4266337,False,-1
AKAP13,0.53357947,False,-1
ALDH1A2,0.43970633,False,-1
ALDOA,0.0128287785,False,-1
AMD1,0.3981398,False,-1
AMOTL1,0.123419866,False,-1
AMPD3,0.0013961516,False,-1
ANK1,0.000102682876,False,0
ANKRD18B,0.00028156873,False,-1
ANKRD30A,0.41092515,False,-1
ANKRD30B,0.18739331,False,-1
ANKRD34C,0.022548158,False,-1
ANKRD44,0.2428875,False,-1
ANKRD65,0.045622524,False,-1
ANKRD7,0.28645405,False,-1
ANO2,0.011244327,False,-1
ANOS1,0.0033925264,False,-1
ANTXR2,0.4856628,False,-1
ANXA11,0.18233292,False,-1
ANXA2,0.4269192,False,-1
AP1S1,0.2837159,False,-1
AP2M1,0.7044234,False,-1
APBB1IP,0.0002774135,False,0
APBB2,0.87638015,True,0
APCDD1,0.20251471,False,-1
APEX2,0.0072873626,False,-1
APLP2,0.9758538,False,-1
APOLD1,0.0033962263,False,-1
APP,0.7258758,False,-1
AQP4,0.036081105,False,-1
ARAP2,0.85917753,False,-1
ARC,0.00045316282,False,0
AREG,0.1845928,False,0
ARF1,0.5076663,False,-1
ARF3,0.74578416,False,1
ARHGAP23,0.38628173,False,-1
ARHGAP24,0.024591986,False,0
ARHGAP26-AS1,0.49108648,False,-1
ARHGAP42,0.13729683,False,-1
ARHGAP6,0.40680847,True,0
ARHGDIA,0.7251743,False,-1
ARHGEF28,0.5280039,False,-1
ARID3A,0.4541542,False,-1
ARID3B,0.020769259,False,-1
ARID5B,0.631086,False,-1
ARL15,0.32007653,False,-1
ARL8B,0.3074575,False,-1
ARMC4,0.08806329,False,0
ARMS2,0.45346233,False,-1
ARNT,0.41492778,False,-1
ARNTL,0.8993177,False,-1
ARRDC3-AS1,0.43249092,False,-1
ARSF,9.072788e-05,False,-1
ARX,0.0012126745,True,1
ASAP1,0.5421662,True,0
ASCC1,0.1816889,False,0
ASCL1,0.005915459,False,-1
ASH2L,0.40192825,False,-1
ASIC4,2.4205483e-05,False,-1
ASPSCR1,0.35660696,False,-1
ASXL2,0.42574662,False,-1
ATF2,0.7315892,False,-1
ATF3,0.25272766,False,0
ATF4,0.23225515,True,0
ATF6B,0.4095098,False,-1
ATF7,0.38870156,False,-1
ATOH8,0.11547706,False,-1
ATP10A,0.26484624,False,-1
ATP11C,0.08100743,False,-1
ATP1A1,0.06831436,False,1
ATP1A3,0.7444047,True,1
ATP1B1,0.8586625,False,-1
ATP1B2,0.31441125,False,-1
ATP2A2,0.5217646,False,-1
ATP6AP2,0.6185927,False,-1
ATP6V1A,0.28481844,False,0
ATP6V1B2,0.21329917,False,-1
ATP8B1,0.22203249,False,0
ATRNL1,0.8986413,False,-1
ATXN1,0.36570734,False,-1
ATXN7L3B,0.35278022,False,-1
AUTS2,0.78491586,False,1
AVEN,0.43751052,False,0
AXDND1,0.2742513,False,-1
AXL,0.2796764,False,-1
AZIN1,0.2946564,False,-1
B3GNT3,0.00089110417,False,-1
B3GNT5,0.43707827,False,-1
BAALC,0.25857055,False,-1
BACH1,0.794604,False,-1
BACH2,0.1756916,False,-1
BAIAP2,0.16644718,False,0
BANK1,0.36658028,False,-1
BANP,0.4363716,False,-1
BASP1,0.29099151,False,-1
BBX,0.50461984,False,-1
BCAN,0.31682888,False,-1
BCAP31,0.45004988,True,0
BCAR3,0.4459323,False,-1
BCAS1,0.00013973331,False,-1
BCAS2,0.109066665,False,-1
BCHE,0.0046361387,False,-1
BCL11A,0.1475343,False,1
BCL11B,0.36665708,False,-1
BCL6,0.0016861886,False,0
BCL6B,0.007834459,False,-1
BCLAF1,0.5745924,False,-1
BCOR,0.40428042,False,-1
BDNF,0.24479365,True,0
BDP1,0.5130239,False,-1
BEND4,0.024325186,False,-1
BEX1,0.041188605,False,0
BEX2,0.20290236,False,-1
BHLHE41,0.09140325,False,-1
BHMT,0.21100639,False,-1
BICC1,0.45700046,False,-1
BICDL1,0.3278291,True,0
BIN2,0.043767303,False,-1
BLNK,0.004302935,False,0
BMP2K,0.48205957,False,-1
BMP3,0.31141588,False,-1
BMP7,0.07341221,False,-1
BMPR1B,0.0416181,False,-1
BNC2,0.08831305,True,0
BPTF,0.92776644,False,-1
BRF1,0.3850584,False,-1
BRF2,0.2201922,False,-1
BRI3BP,0.9521213,False,-1
BRINP1,0.16749753,False,-1
BRINP3,0.45415032,False,-1
BSG,0.80250746,False,-1
BTBD3,0.20665623,False,-1
BTF3,0.28755718,False,-1
BTG4,0.40092617,False,-1
BTNL9,0.18208611,False,-1
BVES-AS1,0.4015086,False,-1
C11orf44,0.0014131374,False,-1
C11orf87,0.39037463,False,-1
C12orf75,0.42442018,False,-1
C14orf39,0.15380315,False,-1
C1QC,6.8762893e-06,False,-1
C1QTNF1,0.1236821,False,-1
C1QTNF4,0.41535237,False,0
C1orf115,0.2814716,False,-1
C21orf91,0.55244714,False,-1
C2CD2,0.096833095,False,-1
C2orf88,0.3018545,False,-1
C3,0.07694238,False,0
C3orf67,0.43504682,False,-1
C3orf70,0.45807505,False,-1
C4orf19,0.0057988446,False,-1
C5AR2,0.027401838,False,-1
C5orf24,0.30204767,False,-1
C5orf64,0.005688836,False,-1
C6,0.42274877,False,-1
C6orf141,0.009621164,False,-1
C8orf34,0.41845614,False,-1
C8orf88,0.22991937,False,-1
C9orf16,0.027119316,False,-1
CA2,0.45990506,False,-1
CA3,0.35059267,False,-1
CACHD1,0.53848237,False,-1
CACNA2D1,0.88376516,False,-1
CACNB1,0.57684624,False,-1
CACNB4,0.29071248,False,-1
CACNG4,0.9754955,False,-1
CACYBP,0.6531636,False,-1
CADM1,0.46418387,True,0
CADM3,0.65503705,False,-1
CADPS2,0.4846468,False,-1
CAGE1,5.634287e-05,False,-1
CALB1,0.01993747,False,-1
CALB2,0.029653525,False,0
CALM1,0.6975012,False,-1
CALR,0.69741863,False,-1
CALY,0.7038423,False,-1
CAMK1D,0.25516242,False,0
CAMK2N1,0.5492017,False,0
CAMK2N2,0.19799697,False,0
CAMKK2,0.48797116,False,-1
CANT1,0.35052308,False,-1
CAP1,0.14678861,False,-1
CAPN2,0.38265172,False,-1
CARF,0.32602665,False,-1
CARNMT1,0.45421442,False,-1
CASC15,0.5437467,False,-1
CASC2,0.40809315,False,-1
CASP7,0.2867488,False,0
CAV1,0.025410058,False,-1
CAV2,0.5148219,False,-1
CBFA2T2,0.43713915,True,0
CBLN1,0.33387485,False,-1
CBLN2,0.49709994,False,-1
CBLN4,0.5964091,False,-1
CBX6,0.2944914,False,-1
CCDC168,0.20467293,False,-1
CCK,0.0147880055,False,-1
CCND1,0.35742822,False,-1
CCNG2,0.3964116,False,-1
CCNI,0.33909884,False,-1
CCNT2,0.33232734,False,-1
CCSER1,0.79057443,False,-1
CCT7,0.516461,False,-1
CCT8,0.2399707,False,-1
CD200,0.30949354,False,-1
CD226,0.4216731,False,-1
CD44,7.1527524e-05,False,-1
CD53,1.3149436e-05,False,-1
CD58,0.29134852,False,-1
CD63,0.74744076,False,-1
CD68,0.0033403882,False,-1
CD81,0.29769856,False,-1
CD84,0.00017612672,True,0
CD86,5.0210092e-05,False,0
CDC14B,0.48430753,False,0
CDC42EP1,0.0022382992,False,-1
CDC5L,0.34265068,False,-1
CDH15,0.3183047,False,-1
CDH18,0.5450769,False,-1
CDH20,0.53270864,False,-1
CDH22,0.42354685,False,-1
CDH7,0.3565964,False,-1
CDH8,0.7095765,False,-1
CDK19,0.86453724,False,1
CDK2AP1,0.23057722,False,-1
CDK5R1,0.46137637,False,-1
CDK6,0.09872816,False,-1
CDK8,0.30464873,False,1
CDKN1A,0.2562514,False,-1
CDKN1C,0.4232768,False,-1
CDKN2D,0.5182944,False,-1
CDX1,0.51917964,False,-1
CDYL2,0.63349915,False,-1
CEBPB,0.33239675,False,0
CEBPD,0.23804854,False,-1
CEBPG,0.2653518,False,-1
CECR2,0.17104912,False,-1
CELF4,0.42957726,False,1
CELF5,0.24745667,False,-1
CELF6,0.47814748,False,-1
CELSR2,0.3252842,False,-1
CEMIP,0.3998542,False,-1
CENPBD1,0.0046919836,False,-1
CENPF,0.1321365,False,-1
CEP55,0.07734103,False,-1
CERKL,0.35500434,False,-1
CERS4,0.34515083,False,-1
CERS5,0.3870217,False,-1
CFL1,0.83395636,False,-1
CFL2,0.13993905,False,-1
CGGBP1,0.3041129,False,-1
CHAC1,0.22961782,False,-1
CHAMP1,0.9792773,False,1
CHD1,0.8945488,True,1
CHD2,0.9368668,False,1
CHD7,0.5180661,False,1
CHGA,0.94385356,False,-1
CHGB,0.37936598,True,0
CHI3L1,0.07900976,False,-1
CHL1,0.75848055,False,-1
CHN1,0.2868994,False,-1
CHP2,0.3949435,False,-1
CHRDL1,0.44719705,False,-1
CHRDL2,0.3851954,False,-1
CHRM2,0.17005314,False,-1
CHRM3-AS2,0.3961979,False,-1
CHRNA5,0.16764213,False,-1
CHST1,0.6573602,False,-1
CHURC1,0.37510192,False,-1
CIITA,0.0015416348,False,-1
CITED2,0.30758214,False,-1
CKB,0.26110741,False,-1
CKS2,0.0038321943,False,-1
CLDN1,0.41240308,False,-1
CLDN5,0.0021548264,False,-1
CLIC4,0.16062975,False,-1
CLK1,0.22839792,False,-1
CLMN,0.0033440844,False,-1
CLN8,0.02489566,False,-1
CLOCK,0.74457586,False,-1
CLTC,0.11711511,False,-1
CNDP2,0.7130628,False,-1
CNGA1,0.014298156,False,-1
CNKSR3,0.4045562,False,-1
CNOT4,0.85972804,False,-1
CNOT6,0.42302665,False,-1
CNP,0.011447792,False,-1
CNR1,0.03426413,False,-1
CNRIP1,0.66164654,False,-1
CNTN4,0.5813858,False,-1
CNTN5,0.6760018,False,-1
CNTNAP2,0.9479735,False,1
CNTNAP3,0.5796008,False,-1
