gene,score,validation,label
A2M,0.052384786,False,0
AASDHPPT,0.14722686,False,0
ABCA1,0.1512242,False,0
ABCC9,0.16734967,False,0
ABCG2,0.05666981,False,0
ABL1,0.09917814,False,0
ABLIM1,0.18027845,False,0
ABTB2,0.09414496,False,0
ACAN,0.07437626,False,0
ACER2,0.0898876,False,0
ACO1,0.18079716,False,0
ACSBG1,0.092792936,False,0
ACTB,0.1448906,False,1
ACTG1,0.16560613,False,0
ACVR1,0.07192619,False,0
ACVR1C,0.08817486,False,0
ACY3,0.09466589,False,0
ADAD2,0.09741894,False,0
ADAM12,0.06451746,True,0
ADAM28,0.065809846,False,0
ADAMTS17,0.16223437,False,0
ADAMTS18,0.05013276,False,0
ADAMTS3,0.07688988,False,0
ADAMTS8,0.16167732,False,0
ADAMTS9-AS2,0.11173001,False,0
ADAMTSL3,0.036462117,True,0
ADARB1,0.13175626,False,0
ADD3-AS1,0.05689727,True,0
ADGB,0.042059183,False,0
ADGRG1,0.07650977,False,0
ADGRL2,0.08250244,True,0
ADGRV1,0.09411158,False,0
ADNP,0.10149217,False,1
ADNP2,0.18287769,False,0
ADRA1D,0.054518368,False,0
ADTRP,0.14871505,True,0
AEBP2,0.17294706,False,0
AFAP1L2,0.0663338,False,0
AFF1,0.11254727,False,0
AFF4,0.13091432,False,0
AGAP2,0.07464461,True,1
AGBL1-AS1,0.043710973,False,0
AGGF1,0.0791098,False,0
AGPAT1,0.024241956,False,0
AHCTF1,0.08998995,False,0
AHDC1,0.08704175,False,1
AHR,0.07939492,False,0
AHRR,0.0917692,False,0
AKAP13,0.17887813,False,0
ALDH1A2,0.1524244,False,0
ALDOA,0.033317413,False,0
AMD1,0.14197063,False,0
AMOTL1,0.084336184,False,0
AMPD3,0.072740756,False,0
ANK1,0.056568343,False,0
ANKRD18B,0.030390626,False,0
ANKRD30A,0.07522671,False,0
ANKRD30B,0.080608495,False,0
ANKRD34C,0.044585895,True,0
ANKRD44,0.09699198,False,0
ANKRD65,0.059270654,True,0
ANKRD7,0.16981737,False,0
ANO2,0.06734341,False,0
ANOS1,0.11474015,False,0
ANTXR2,0.13389435,True,0
ANXA11,0.0701081,False,0
ANXA2,0.11021433,False,0
AP1S1,0.16007338,False,0
AP2M1,0.0496823,False,1
APBB1IP,0.10127278,False,0
APBB2,0.1425103,False,0
APCDD1,0.08051629,False,0
APEX2,0.03841451,False,0
APLP2,0.11086025,True,0
APOLD1,0.06759489,False,0
APP,0.19124958,False,0
AQP4,0.061402727,False,0
ARAP2,0.16890885,False,0
ARC,0.107040666,False,0
AREG,0.093538694,False,0
ARF1,0.114694744,False,0
ARF3,0.025352662,False,1
ARHGAP23,0.06587402,False,0
ARHGAP24,0.09747879,True,0
ARHGAP26-AS1,0.08852782,True,0
ARHGAP42,0.060484424,False,0
ARHGAP6,0.14827983,False,0
ARHGDIA,0.012932058,False,0
ARHGEF28,0.09560803,False,0
ARID3A,0.15030387,True,0
ARID3B,0.058010586,False,0
ARID5B,0.07449596,False,0
ARL15,0.15346645,True,0
ARL8B,0.10980518,False,0
ARMC4,0.044069607,False,0
ARMS2,0.03925529,True,0
ARNT,0.1726929,False,0
ARNTL,0.11771236,False,0
ARRDC3-AS1,0.15541247,False,0
ARSF,0.052039918,False,0
ARX,0.21522865,False,1
ASAP1,0.04311298,False,0
ASCC1,0.047149066,True,0
ASCL1,0.10286997,False,0
ASH2L,0.1709168,True,0
ASIC4,0.058441903,False,0
ASPSCR1,0.12583812,False,0
ASXL2,0.10096542,False,0
ATF2,0.09466228,False,0
ATF3,0.16064218,False,0
ATF4,0.117401116,False,0
ATF6B,0.055015787,True,0
ATF7,0.15716702,True,0
ATOH8,0.08442756,False,0
ATP10A,0.1365961,False,1
ATP11C,0.06617426,False,0
ATP1A1,0.12662782,True,1
ATP1A3,0.024740556,False,1
ATP1B1,0.012462194,False,0
ATP1B2,0.055680696,True,0
ATP2A2,0.17794392,False,0
ATP6AP2,0.060241826,True,0
ATP6V1A,0.17330714,False,0
ATP6V1B2,0.1155666,False,0
ATP8B1,0.07295993,False,0
ATRNL1,0.07623484,True,0
ATXN1,0.16936876,True,0
ATXN7L3B,0.11963148,False,0
AUTS2,0.16278729,True,1
AVEN,0.07018372,True,0
AXDND1,0.09375823,True,0
AXL,0.040307056,False,0
AZIN1,0.11628719,False,0
B3GNT3,0.14178966,False,0
B3GNT5,0.13539179,False,0
BAALC,0.16802236,False,0
BACH1,0.10114345,False,0
BACH2,0.07485371,False,0
BAIAP2,0.043574158,True,0
BANK1,0.11171682,True,0
BANP,0.06375463,True,0
BASP1,0.13481788,False,0
BBX,0.16620895,False,0
BCAN,0.114798844,False,0
BCAP31,0.1486538,False,0
BCAR3,0.05664264,False,0
BCAS1,0.04026045,True,1
BCAS2,0.0521811,True,0
BCHE,0.06260558,True,0
BCL11A,0.14475337,False,1
BCL11B,0.049042862,False,1
BCL6,0.095152386,True,0
BCL6B,0.041984994,False,0
BCLAF1,0.13602991,False,0
BCOR,0.08441375,False,0
BDNF,0.05177959,False,0
BDP1,0.17873573,False,0
BEND4,0.07324749,False,0
BEX1,0.12363357,True,0
BEX2,0.11155436,False,0
BHLHE41,0.13176845,False,0
BHMT,0.07461537,False,0
BICC1,0.07602745,False,0
BICDL1,0.10890673,False,1
BIN2,0.06572568,False,0
BLNK,0.047813185,False,0
BMP2K,0.166202,False,0
BMP3,0.044274855,False,0
BMP7,0.08981783,False,0
BMPR1B,0.09337394,False,0
BNC2,0.1057028,False,0
BPTF,0.051663205,False,0
BRF1,0.05431853,True,0
BRF2,0.11501411,False,0
BRI3BP,0.11410011,False,0
BRINP1,0.09391896,False,0
BRINP3,0.18231727,False,1
BSG,0.033816557,True,0
BTBD3,0.07292422,False,0
BTF3,0.08207958,False,0
BTG4,0.08092919,False,0
BTNL9,0.08802387,False,0
BVES-AS1,0.18809183,False,0
C11orf44,0.037769843,False,0
C11orf87,0.05906257,False,0
C12orf75,0.108837835,False,0
C14orf39,0.10872301,False,0
C1QC,0.09001801,False,0
C1QTNF1,0.111413844,False,0
C1QTNF4,0.07859822,False,0
C1orf115,0.123075515,False,0
C21orf91,0.14009407,False,0
C2CD2,0.035874475,False,0
C2orf88,0.09982791,False,0
C3,0.0835696,True,0
C3orf67,0.094939545,True,0
C3orf70,0.20524639,False,0
C4orf19,0.047868133,False,0
C5AR2,0.069271564,False,0
C5orf24,0.12043677,True,0
C5orf64,0.051892485,False,0
C6,0.102796815,False,0
C6orf141,0.017484946,False,0
C8orf34,0.17507574,False,0
C8orf88,0.0778419,True,0
C9orf16,0.093811914,True,0
CA2,0.106460944,False,0
CA3,0.090995945,False,0
CACHD1,0.18348853,False,0
CACNA2D1,0.12888643,False,1
CACNB1,0.06516076,False,1
CACNB4,0.056724228,True,0
CACNG4,0.13202778,False,0
CACYBP,0.056989953,True,0
CADM1,0.17441934,False,1
CADM3,0.053883802,True,0
CADPS2,0.14633787,False,1
CAGE1,0.04503543,True,0
CALB1,0.06662496,False,0
CALB2,0.063147865,False,0
CALM1,0.03760636,False,0
CALR,0.06410801,False,0
CALY,0.028567659,False,0
CAMK1D,0.054891016,True,0
CAMK2N1,0.15201014,False,0
CAMK2N2,0.11842377,False,0
CAMKK2,0.14004055,False,0
CANT1,0.13540386,False,0
CAP1,0.1388106,False,0
CAPN2,0.07465953,False,0
CARF,0.08887514,False,0
CARNMT1,0.20785946,False,0
CASC15,0.095660165,False,0
CASC2,0.076487154,False,0
CASP7,0.052243765,True,0
CAV1,0.14431491,False,0
CAV2,0.038672138,True,0
CBFA2T2,0.14005868,False,0
CBLN1,0.104624234,False,0
CBLN2,0.19107006,False,0
CBLN4,0.07791531,False,0
CBX6,0.1143989,False,0
CCDC168,0.067848474,False,0
CCK,0.045636773,False,0
CCND1,0.10819144,False,0
CCNG2,0.13420884,False,0
CCNI,0.14998867,False,0
CCNT2,0.028251408,True,0
CCSER1,0.12407008,True,1
CCT7,0.069494024,False,0
CCT8,0.060806435,True,0
CD200,0.11163606,False,0
CD226,0.09458806,True,0
CD44,0.087965585,False,0
CD53,0.08686766,False,0
CD58,0.06414333,False,0
CD63,0.14214289,True,0
CD68,0.046474352,False,0
CD81,0.10693725,False,0
CD84,0.10273814,False,0
CD86,0.07149579,True,0
CDC14B,0.19119371,True,0
CDC42EP1,0.05175752,False,0
CDC5L,0.11426477,False,0
CDH15,0.06302061,False,0
CDH18,0.20620593,True,0
CDH20,0.08341843,True,0
CDH22,0.05804081,True,1
CDH7,0.111952506,True,0
CDH8,0.07999162,False,1
CDK19,0.13271108,True,1
CDK2AP1,0.062371794,False,0
CDK5R1,0.16668586,False,0
CDK6,0.053645886,False,0
CDK8,0.19986713,False,0
CDKN1A,0.078172445,False,0
CDKN1C,0.16271174,True,0
CDKN2D,0.15291208,False,0
CDX1,0.092486836,False,0
CDYL2,0.1752112,True,0
CEBPB,0.118976936,True,0
CEBPD,0.09145609,False,0
CEBPG,0.06810195,True,0
CECR2,0.07161504,False,1
CELF4,0.15500493,True,1
CELF5,0.108382225,False,0
CELF6,0.12226314,False,1
CELSR2,0.12302727,False,0
CEMIP,0.058751423,False,0
CENPBD1,0.14579643,False,0
CENPF,0.058790304,False,0
CEP55,0.05543827,False,0
CERKL,0.03923124,False,0
CERS4,0.15630834,False,0
CERS5,0.15450466,False,0
CFL1,0.027920155,False,0
CFL2,0.13495117,False,0
CGGBP1,0.12636349,False,0
CHAC1,0.0841698,False,0
CHAMP1,0.121964045,True,1
CHD1,0.120169334,False,1
CHD2,0.09938442,False,1
CHD7,0.09506185,False,1
CHGA,0.15864655,False,0
CHGB,0.15109064,False,0
CHI3L1,0.15049003,False,0
CHL1,0.124888204,False,0
CHN1,0.15884621,False,0
CHP2,0.1495036,False,0
CHRDL1,0.12456558,False,0
CHRDL2,0.14454521,False,0
CHRM2,0.15125097,False,0
CHRM3-AS2,0.10220044,False,0
CHRNA5,0.07028303,False,0
CHST1,0.03754896,False,0
CHURC1,0.07717335,True,0
CIITA,0.06988401,False,0
CITED2,0.12358227,True,0
CKB,0.037349924,False,0
CKS2,0.12673657,False,0
CLDN1,0.16574106,False,0
CLDN5,0.057451542,False,0
CLIC4,0.05421824,False,0
CLK1,0.15415666,False,0
CLMN,0.06563343,False,0
CLN8,0.10257193,False,1
CLOCK,0.105772346,False,0
CLTC,0.07025073,False,0
CNDP2,0.032687496,False,0
CNGA1,0.046382114,False,0
CNKSR3,0.08669065,True,0
CNOT4,0.07469962,False,0
CNOT6,0.17133898,False,0
CNP,0.026939977,False,0
CNR1,0.120440185,False,1
CNRIP1,0.03988254,False,0
CNTN4,0.122824065,False,1
CNTN5,0.052161176,False,1
CNTNAP2,0.11002495,False,1
CNTNAP3,0.05995714,True,1
CNTNAP3B,0.091091536,False,0
CNTNAP4,0.16491368,False,1
COBLL1,0.066647425,False,0
COL11A1,0.10630015,False,0
COL19A1,0.13671699,False,0
COL23A1,0.14917386,False,0
COL5A1,0.16409352,False,0
COL5A2,0.06286486,False,0
COL6A1,0.11373197,False,0
COL6A5,0.13563207,False,0
COLEC12,0.16999705,False,0
COLGALT2,0.1940035,False,0
CP,0.07226246,False,0
CPEB1,0.051890563,False,0
CPED1,0.08039353,True,0
CPLX3,0.052258234,False,0
CPNE8,0.17839788,False,0
CRADD,0.070728995,False,0
CREB1,0.13167694,True,0
CREB3,0.08955113,False,0
CREB3L1,0.13669619,False,0
CREB3L2,0.1331909,False,0
CREM,0.1872718,True,0
CRHR2,0.11139697,False,0
CRIM1,0.13303868,True,0
CRISPLD1,0.17721781,False,0
CRX,0.053961877,False,0
CRYAB,0.14648096,False,0
CRYBG3,0.1619806,False,0
CSF1R,0.15483077,False,0
CSF3R,0.05824832,False,0
CSGALNACT1,0.15320426,False,0
CSMD2,0.17148279,False,0
CSMD3,0.16775177,True,1
CSRP2,0.069704056,False,0
CST3,0.08144445,False,0
CST7,0.03523349,True,0
CTBP2,0.10349199,False,0
CTCF,0.176812,False,1
CTNNA2,0.06428314,True,0
CTNNAL1,0.122940764,False,0
CTNNB1,0.053429946,True,1
CUX1,0.13785014,True,1
CUX2,0.09155787,False,1
CXCL12,0.05302749,False,0
CXCL14,0.07381374,False,0
CXXC4,0.06621318,False,0
CXXC5,0.08841372,False,0
CYB5A,0.051055066,False,0
CYP1B1,0.10971666,False,0
CYP26B1,0.060636036,False,0
CYP4F11,0.113399245,True,0
DAAM2,0.15768255,False,0
DAB1,0.16855168,False,0
DAB2,0.07893373,False,0
DACH1,0.106317334,False,0
DAW1,0.052991487,True,0
DAZAP1,0.055972368,True,0
DBP,0.05795718,False,0
DBX2,0.076864034,False,0
DCC,0.15997703,False,1
DCDC2C,0.084450856,False,0
DCHS2,0.17577887,False,0
DCN,0.12806493,False,0
DCTN1,0.11404891,False,0
DCTN3,0.044360667,False,0
DCX,0.17201252,False,0
DDIT4,0.13206819,False,0
DDR2,0.06829003,False,0
DDX20,0.16558558,True,0
DERA,0.06261119,True,0
DGCR8,0.06472717,False,0
DGKH,0.16098571,False,0
DHCR24,0.10451894,False,0
DHH,0.035263762,False,0
DHRS9,0.09397077,False,0
DIAPH2,0.07339003,True,0
DIDO1,0.12733777,False,0
DIO2,0.054013833,True,0
DIRAS1,0.030504407,False,0
DIRAS2,0.081557326,False,0
DISC1,0.1147051,False,1
DISC1FP1,0.07653109,False,0
DLC1,0.061965104,False,0
DLEU1,0.12557507,False,0
DLEU2,0.17066507,False,0
DLG5,0.11425869,False,0
DLGAP1-AS5,0.049098242,False,0
DLGAP2,0.06232633,True,1
DLX1,0.098212756,False,0
DLX5,0.123198666,False,0
DLX6,0.1295031,False,1
DLX6-AS1,0.116458,True,0
DMC1,0.09307227,False,0
DMRT1,0.08616148,False,0
DMRT3,0.030813508,False,0
DMRTA2,0.1247929,False,0
DMRTC2,0.09915675,False,0
DNAH5,0.082710944,True,0
