_BACKGROUND,5p,10p,15p
SLC2A13,SLC2A13,SLC2A13,SLC2A13
RORA,RORA,RORA,RORA
PPP3CA,PPP3CA,PPP3CA,PPP3CA
ADNP,ADNP,ADNP,ADNP
TBPL1,TBPL1,TBPL1,TBPL1
SNTG1,SNTG1,SNTG1,SNTG1
CNTNAP2,CNTNAP2,CNTNAP2,CNTNAP2
GABRB1,GABRB1,GABRB1,GABRB1
PDZD2,PDZD2,PDZD2,PDZD2
PRR16,PRR16,PRR16,PRR16
AFF4,AFF4,AFF4,AFF4
NEDD4L,NEDD4L,NEDD4L,NEDD4L
NFX1,NFX1,NFX1,NFX1
KMT2A,KMT2A,KMT2A,KMT2A
GNAI1,GNAI1,GNAI1,GNAI1
JMJD1C,JMJD1C,JMJD1C,JMJD1C
ZNF711,ZNF711,ZNF711,ZNF711
PTPRT,PTPRT,PTPRT,PTPRT
PRKACB,PRKACB,PRKACB,PRKACB
FAM160A1,FAM160A1,FAM160A1,FAM160A1
CACNA2D1,CACNA2D1,CACNA2D1,CACNA2D1
ARAP2,ARAP2,ARAP2,ARAP2
GAS2,GAS2,GAS2,GAS2
NR3C2,NR3C2,NR3C2,NR3C2
APP,APP,APP,APP
ARNTL,ARNTL,ARNTL,ARNTL
LMO3,LMO3,LMO3,LMO3
RAB3C,RAB3C,RAB3C,RAB3C
GRM3,GRM3,GRM3,GRM3
STAU2,STAU2,STAU2,STAU2
TSC22D2,TSC22D2,TSC22D2,TSC22D2
MIR4435-2HG,MIR4435-2HG,MIR4435-2HG,MIR4435-2HG
CHL1,CHL1,CHL1,CHL1
SMAD2,SMAD2,SMAD2,SMAD2
ZNF704,ZNF704,ZNF704,ZNF704
KLF12,KLF12,KLF12,KLF12
PEX5L,PEX5L,PEX5L,PEX5L
CCSER1,CCSER1,CCSER1,CCSER1
MLLT10,MLLT10,MLLT10,MLLT10
DPY19L1,DPY19L1,DPY19L1,DPY19L1
NRF1,NRF1,NRF1,NRF1
NPTN,NPTN,NPTN,NPTN
PRKG1,PRKG1,PRKG1,PRKG1
FOXP2,FOXP2,FOXP2,FOXP2
TMEM132D,TMEM132D,TMEM132D,TMEM132D
COLGALT2,COLGALT2,COLGALT2,COLGALT2
LRRC1,LRRC1,LRRC1,LRRC1
CDYL2,CDYL2,CDYL2,CDYL2
NFKB1,NFKB1,NFKB1,NFKB1
TMEFF2,TMEFF2,TMEFF2,TMEFF2
CREM,CREM,CREM,CREM
KLHL8,KLHL8,KLHL8,KLHL8
BBX,BBX,BBX,BBX
ZBTB21,ZBTB21,ZBTB21,ZBTB21
THRB,THRB,THRB,THRB
NRXN3,NRXN3,NRXN3,NRXN3
SERPINI1,SERPINI1,SERPINI1,SERPINI1
TCF4,TCF4,TCF4,TCF4
ZBTB5,ZBTB5,ZBTB5,ZBTB5
PCDH17,PCDH17,PCDH17,PCDH17
CDK19,CDK19,CDK19,CDK19
ZFP30,ZFP30,ZFP30,ZFP30
PHF21A,PHF21A,PHF21A,PHF21A
ZNF202,ZNF202,ZNF202,ZNF202
PCED1B,PCED1B,PCED1B,PCED1B
MYEF2,MYEF2,MYEF2,MYEF2
RAB11A,RAB11A,RAB11A,RAB11A
JAZF1,JAZF1,JAZF1,JAZF1
MAGI2,MAGI2,MAGI2,MAGI2
NWD2,NWD2,NWD2,NWD2
ARID3A,ARID3A,ARID3A,ARID3A
RHOBTB1,RHOBTB1,RHOBTB1,RHOBTB1
GALNT10,GALNT10,GALNT10,GALNT10
GATAD2A,GATAD2A,GATAD2A,GATAD2A
PRKAA2,PRKAA2,PRKAA2,PRKAA2
KDM4C,KDM4C,KDM4C,KDM4C
LINC01135,LINC01135,LINC01135,LINC01135
KCNIP4,KCNIP4,KCNIP4,KCNIP4
PDE4D,PDE4D,PDE4D,PDE4D
THOC2,THOC2,THOC2,THOC2
NCOR1,NCOR1,NCOR1,NCOR1
UBE2K,UBE2K,UBE2K,UBE2K
ST6GAL2,ST6GAL2,ST6GAL2,ST6GAL2
ZNF644,ZNF644,ZNF644,ZNF644
NFYC,NFYC,NFYC,NFYC
