gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.00661140547,0.007526783706107071,0.019647818,0.0041576787,0.0048433705,0.004285676,0.00012248415,False,False,False,True,False
AASDHPPT,-1,0.286297884,0.08370997145999262,0.38377738,0.30874425,0.21018621,0.33945915,0.18932243,False,False,False,False,False
ABCA1,-1,0.310779156,0.08534609266794045,0.2710248,0.3704626,0.23907898,0.2430905,0.4302389,False,False,False,False,False
ABCC9,-1,0.511519464,0.07416739561228797,0.40735796,0.60976386,0.48198897,0.5284328,0.53005373,False,False,False,False,False
ABCG2,-1,0.06910605708,0.056887963486590865,0.0058585694,0.12069657,0.03440909,0.13703184,0.047534216,False,False,False,False,False
ABL1,1,0.493747632,0.029625990102855142,0.49518397,0.51928616,0.4535837,0.52438796,0.47629637,False,False,True,False,False
ABLIM1,-1,0.526955142,0.08554411240007298,0.4019794,0.54921806,0.53344405,0.5099327,0.6402015,False,False,False,False,False
ABTB2,-1,0.31097781614,0.2721898482684141,0.33163124,0.16416848,0.0016841007,0.32388696,0.7335183,False,False,False,False,False
ACAN,-1,0.167321228,0.08385816944568351,0.2115345,0.2676493,0.04140442,0.15169407,0.16432385,False,False,False,False,False
ACER2,-1,0.31639621,0.0949504092629192,0.2992894,0.39683086,0.22923057,0.22483087,0.43179935,False,False,False,False,False
ACO1,-1,0.44312483199999997,0.08543166160159518,0.39791617,0.42165005,0.335929,0.5364417,0.52368724,False,False,False,False,False
ACSBG1,-1,0.28972940820000004,0.2478468794830995,0.3340674,0.12913239,0.002623741,0.32683071,0.6559928,False,False,False,False,False
ACTB,1,0.20235084199999998,0.0774109300780495,0.12954414,0.16790086,0.23989455,0.31979883,0.15461583,True,False,False,False,False
ACTG1,-1,0.17741060879999998,0.08167638092902549,0.1569357,0.18927939,0.080237314,0.30475414,0.1558465,False,False,False,False,False
ACVR1,0,0.319837969,0.20469619218779098,0.052254725,0.50878185,0.35557455,0.17084272,0.511736,False,False,False,False,True
ACVR1C,-1,0.38391195,0.11169568003757799,0.29256693,0.4639132,0.28869662,0.53822666,0.33615634,False,False,False,False,False
ACY3,-1,0.008008501668,0.009724757010978156,0.019177772,0.018088907,3.732324e-05,0.0016990214,0.0010394847,False,False,False,False,False
ADAD2,0,0.323193476,0.17812991632751313,0.52805424,0.39722556,0.4191508,0.13779971,0.13373707,False,False,False,False,True
ADAM12,-1,0.43303270553999995,0.32845801289318893,0.5365397,0.23289078,0.5244371,0.8671568,0.0041391477,False,False,False,False,False
ADAM28,0,0.016040803796,0.010229156231722583,0.023545554,0.02414631,0.020940276,0.011362351,0.00020952798,False,False,True,False,False
ADAMTS17,-1,0.15680310260000002,0.13030235219808428,0.22839767,0.08192352,0.008050423,0.34121242,0.12443148,False,False,False,False,False
ADAMTS18,-1,0.294314904,0.1159647727571215,0.1991636,0.4187424,0.42303985,0.2253903,0.20523837,False,False,False,False,False
ADAMTS3,-1,0.5157892719999999,0.07936577507619116,0.619389,0.568139,0.48370072,0.49272957,0.41498807,False,False,False,False,False
ADAMTS8,-1,0.428340512,0.10082074175160172,0.41461322,0.45411593,0.492821,0.51798326,0.26216915,False,False,False,False,False
ADAMTS9-AS2,-1,0.24815117199999998,0.21876833858699773,0.45673457,0.15919766,0.10394401,0.01659472,0.5042849,False,False,False,False,False
ADAMTSL3,-1,0.218528448,0.18559084183362556,0.13320936,0.09804605,0.54350513,0.11851017,0.19937153,False,False,False,False,False
ADARB1,-1,0.322620156,0.09381608448120679,0.36134487,0.46744746,0.27505133,0.22990234,0.27935478,False,False,False,False,False
ADD3-AS1,-1,0.38223085599999995,0.17727389144670355,0.21950653,0.3248435,0.38505238,0.6810287,0.30072317,False,False,False,False,False
ADGB,-1,0.1455947924,0.21698767694738424,0.027356384,0.5270091,0.007553433,0.051462755,0.11459229,False,False,False,False,False
ADGRG1,-1,0.039669862548,0.03042168635822439,0.06734742,0.05941047,0.057790007,0.012825343,0.00097607274,False,False,False,False,False
ADGRL2,-1,0.5771627680000001,0.10497413754638864,0.67094916,0.6510028,0.49284682,0.633616,0.43739906,False,False,False,False,False
ADGRV1,-1,0.24117003684,0.1907038071278557,0.27152765,0.12431223,0.0014613742,0.30370587,0.50484306,False,False,False,False,False
ADNP,1,0.9332051459999999,0.01695631120026053,0.9289356,0.9414327,0.9064384,0.9512264,0.93799263,False,False,False,True,False
ADNP2,-1,0.559347944,0.11474085929684215,0.43254256,0.73005384,0.54020655,0.48879257,0.6051442,False,False,False,False,False
ADRA1D,-1,0.12195720694800001,0.21240170488770233,0.00090578874,0.07488443,0.013512366,0.49855155,0.0219319,False,False,False,False,False
ADTRP,-1,0.4855848419999999,0.05212055194572118,0.43970138,0.4947054,0.42388013,0.5314777,0.5381596,False,False,False,False,False
AEBP2,-1,0.5080022019999999,0.058173796694904835,0.4363255,0.57951564,0.4614255,0.52795607,0.5347883,False,False,False,False,False
AFAP1L2,-1,0.06108178816399999,0.055278586135494266,0.077215336,0.13308817,0.08419228,0.010712763,0.00020039182,False,False,False,False,False
AFF1,-1,0.36721991800000003,0.0929300296452426,0.39500713,0.43220955,0.36615926,0.43392542,0.20879823,False,False,False,False,False
AFF4,-1,0.892354714,0.023969019242515543,0.88561404,0.92144835,0.8621903,0.88099974,0.91152114,False,False,False,False,False
AGAP2,0,0.317667598,0.05652183549773371,0.33669755,0.34460798,0.30524454,0.37496793,0.22681999,False,True,False,False,False
AGBL1-AS1,-1,0.28792295059999995,0.20410029416709963,0.18009655,0.35209808,0.537024,0.001178223,0.3692179,False,False,False,False,False
AGGF1,-1,0.27291057222,0.24546294179713174,0.6007252,0.29668507,0.0012043151,0.065688476,0.4002498,False,False,False,False,False
AGPAT1,-1,0.70870174,0.06405030086941825,0.6585957,0.7647179,0.6245107,0.7652958,0.7303886,False,False,False,False,False
AHCTF1,-1,0.5067136640000001,0.07527021273736827,0.49267024,0.45443588,0.43213916,0.5310905,0.62323254,False,False,False,False,False
AHDC1,1,0.4083611960000001,0.21909249347416568,0.74394345,0.5076549,0.32880908,0.2368368,0.22456175,False,False,False,True,False
AHR,-1,0.405957806,0.20301285337181038,0.5630134,0.5453534,0.16506243,0.2032721,0.5530877,False,False,False,False,False
AHRR,-1,0.275321277,0.1833777439532385,0.4028094,0.49336335,0.069231465,0.3018279,0.10937427,False,False,False,False,False
AKAP13,-1,0.520268792,0.14595050144960334,0.33904767,0.70187515,0.48878324,0.44119,0.6304479,False,False,False,False,False
ALDH1A2,-1,0.508156482,0.022591242566570347,0.5180581,0.51232725,0.4712769,0.531926,0.50719416,False,False,False,False,False
ALDOA,-1,0.1765340703,0.1843449536282513,0.3800334,0.121536255,0.011700219,0.0055467575,0.36385372,False,False,False,False,False
AMD1,-1,0.50976323,0.048840486110150454,0.54633933,0.5210909,0.50832754,0.54566354,0.42739484,False,False,False,False,False
AMOTL1,-1,0.25008755600000004,0.1442285166139097,0.08027486,0.4057251,0.37691373,0.13164096,0.25588313,False,False,False,False,False
AMPD3,-1,0.0669148408,0.07087780687890484,0.1603813,0.12616237,0.012539706,0.012431048,0.02305978,False,False,False,False,False
ANK1,0,0.11919951960000001,0.11972326386762656,0.056611143,0.07991251,0.33275217,0.06743676,0.059285015,False,False,False,True,False
ANKRD18B,-1,0.023773685483320005,0.041772122489779476,0.097809166,0.0062133963,4.3557666e-06,0.014136669,0.00070484035,False,False,False,False,False
ANKRD30A,-1,0.34045850800000005,0.09829319696523314,0.1926979,0.32598734,0.40938804,0.4483455,0.32587376,False,False,False,False,False
ANKRD30B,-1,0.116967092,0.08741343677795003,0.1322926,0.07508825,0.08883737,0.02965844,0.2589588,False,False,False,False,False
ANKRD34C,-1,0.16085100603679997,0.1328307722596591,0.30779633,0.28108844,1.7270184e-05,0.14642917,0.06892382,False,False,False,False,False
ANKRD44,-1,0.15340921114,0.10264787216148262,0.28077644,0.15047139,0.0032394857,0.12733664,0.2052221,False,False,False,False,False
ANKRD65,-1,0.11706796159999999,0.11279585865138085,0.12592323,0.059704658,0.024842825,0.3080875,0.066781595,False,False,False,False,False
ANKRD7,-1,0.390674616,0.10917967738551107,0.3609516,0.322066,0.26349688,0.5190625,0.4877961,False,False,False,False,False
ANO2,-1,0.09117677574000001,0.09484643164379325,0.111194976,0.101893134,0.0077225086,0.0011031401,0.23397012,False,False,False,False,False
ANOS1,-1,0.021317021720000003,0.011868963150723187,0.035004154,0.026219781,0.0036981306,0.025371222,0.016291821,False,False,False,False,False
ANTXR2,-1,0.06433417622,0.06361648811930613,0.023208389,0.04401475,0.0009427921,0.09303701,0.16046794,False,False,False,False,False
ANXA11,-1,0.1587773874,0.13064796028523037,0.3135685,0.28263852,0.07189712,0.023921777,0.10186102,False,False,False,False,False
ANXA2,-1,0.05887684032,0.047232650994743296,0.06387596,0.065300144,0.030098436,0.0047908616,0.1303188,False,False,False,False,False
AP1S1,-1,0.1843089008,0.11112205900333837,0.24919687,0.08666912,0.056840084,0.20712677,0.32171166,False,False,False,False,False
AP2M1,-1,0.511640434,0.1370807173598212,0.4491453,0.5097785,0.33127734,0.56774133,0.7002597,False,False,False,False,False
APBB1IP,0,0.025478694660000002,0.030477025739534452,0.07765539,0.02557796,0.014873035,0.007122656,0.0021644323,False,False,False,False,True
APBB2,0,0.3156810348,0.18372917576122635,0.295599,0.088590704,0.5250211,0.47336575,0.19582862,True,False,False,False,False
APCDD1,-1,0.061004048696,0.050227841432720556,0.090324685,0.11981214,0.07651114,0.018202556,0.00016972248,False,False,False,False,False
APEX2,-1,0.05886568760000001,0.060548811084105564,0.11596482,0.13357617,0.019434411,0.013370325,0.011982712,False,False,False,False,False
APLP2,-1,0.82305156,0.1076824200586289,0.909132,0.8146956,0.8760005,0.6403245,0.8751052,False,False,False,False,False
APOLD1,-1,0.009939683020000001,0.011031936680542887,0.023988437,0.0008818717,0.0020878152,0.0029541252,0.019786166,False,False,False,False,False
APP,-1,0.77088327,0.06648812233447791,0.73181635,0.8550794,0.7730196,0.6842192,0.8102818,False,False,False,False,False
AQP4,-1,0.17785654,0.06489022382354832,0.2658411,0.0826593,0.1770006,0.18017572,0.18360598,False,False,False,False,False
ARAP2,-1,0.7970561,0.05452990021138678,0.74040824,0.87961626,0.7889485,0.7594776,0.8168299,False,False,False,False,False
ARC,0,0.019421322980000003,0.03523909316246305,0.011369837,0.0009371583,0.0023261749,0.081959054,0.0005143907,False,False,False,False,True
AREG,0,0.22745058999999998,0.17086441166571434,0.362122,0.08033927,0.06016448,0.4455031,0.1891241,False,False,False,False,True
ARF1,-1,0.188695056812,0.19888701287506533,0.33441982,0.44525018,0.0017306553,0.00031596876,0.16175866,False,False,False,False,False
ARF3,1,0.73163516,0.0802319749069098,0.6738589,0.8488693,0.6762598,0.6767168,0.782471,False,False,False,True,False
ARHGAP23,-1,0.32038495000000006,0.2232043961455642,0.4232244,0.39778307,0.0848354,0.09734083,0.59874105,False,False,False,False,False
ARHGAP24,0,0.03878121910000001,0.04936824837434981,0.122966535,0.03892566,0.024210045,0.006753109,0.0010507465,False,True,False,False,False
ARHGAP26-AS1,-1,0.25217356339999997,0.18078548065971559,0.15978366,0.5063815,0.327866,0.24214053,0.024696127,False,False,False,False,False
ARHGAP42,-1,0.26172505397999996,0.23034389332679753,0.18362786,0.12106654,0.0002508699,0.4653015,0.5383785,False,False,False,False,False
ARHGAP6,0,0.48920264199999997,0.06812441444413976,0.38363472,0.4914945,0.48712695,0.5113818,0.57237524,True,False,False,False,False
ARHGDIA,-1,0.35299825799999995,0.2669212670545528,0.37475118,0.2384521,0.288199,0.7887099,0.07487911,False,False,False,False,False
ARHGEF28,-1,0.580014674,0.07884521746803215,0.57430744,0.5183207,0.51878923,0.5772214,0.7114346,False,False,False,False,False
ARID3A,-1,0.7177020860000001,0.07975388962176941,0.69260687,0.64035016,0.6971549,0.7055662,0.8528323,False,False,False,False,False
ARID3B,-1,0.2585864946,0.20897022157524392,0.07843324,0.22895382,0.038640063,0.49119443,0.45571092,False,False,False,False,False
ARID5B,-1,0.7080444100000001,0.0983925630588425,0.65691996,0.62398905,0.6320464,0.791592,0.83567464,False,False,False,False,False
ARL15,-1,0.495230948,0.03168342648305452,0.48466596,0.46673948,0.4669616,0.5252581,0.5325296,False,False,False,False,False
ARL8B,-1,0.22887643,0.09582911987491825,0.19446447,0.352209,0.18798585,0.11128713,0.2984357,False,False,False,False,False
ARMC4,0,0.05721267080000001,0.07400819286027381,0.05276281,0.008670868,0.010228771,0.028690265,0.18571064,False,False,False,True,False
ARMS2,-1,0.0547678703282,0.08540007801326505,0.029203925,0.2058553,1.2058641e-05,0.00964915,0.029118918,False,False,False,False,False
ARNT,-1,0.506612274,0.05395351430681025,0.41235057,0.5356659,0.51054484,0.5339534,0.54054666,False,False,False,False,False
ARNTL,-1,0.867537274,0.04481864629690841,0.8508393,0.9076978,0.7972284,0.88380057,0.8981203,False,False,False,False,False
ARRDC3-AS1,-1,0.614790436,0.10544671404313688,0.51896226,0.60117936,0.57809156,0.5804287,0.7952903,False,False,False,False,False
ARSF,-1,0.095633689574,0.11603602625419784,0.012911682,0.2880695,0.00059649587,0.10882824,0.06776253,False,False,False,False,False
ARX,1,0.3803940836,0.30681213619389613,0.017229918,0.30440333,0.1894848,0.6510689,0.73978347,True,False,False,False,False
ASAP1,0,0.169665109888,0.18161407242656286,0.111518525,0.16377144,0.47684625,0.0960526,0.00013673444,True,False,False,False,False
ASCC1,0,0.35905730199999997,0.0913557071698398,0.2200815,0.42256325,0.44039086,0.3973798,0.3148711,False,True,False,False,False
ASCL1,-1,0.1420582188,0.08541284494943449,0.19512166,0.2056585,0.20049109,0.012219954,0.09679989,False,False,False,False,False
ASH2L,-1,0.526494596,0.09982182197962092,0.38864473,0.6632467,0.49208415,0.53122246,0.55727494,False,False,False,False,False
ASIC4,-1,0.010140235934,0.01242409188109753,0.029741086,0.01483896,0.00043832583,0.0051313764,0.00055143144,False,False,False,False,False
ASPSCR1,-1,0.42820307599999996,0.02932794612692868,0.43421945,0.40260437,0.39312914,0.45198238,0.45908004,False,False,False,False,False
ASXL2,-1,0.501206916,0.04166093040185588,0.4861599,0.47610378,0.4563318,0.5588445,0.5285946,False,False,False,False,False
ATF2,-1,0.8697903419999999,0.05717721420895407,0.87755436,0.79828554,0.82553995,0.9162171,0.93135476,False,False,False,False,False
ATF3,0,0.126532014,0.0885132138202999,0.07556787,0.1805635,0.02507991,0.10261728,0.24883151,False,False,True,False,False
ATF4,0,0.1250272592,0.13112898010051838,0.13295878,0.04214217,0.051580172,0.048495144,0.34996003,True,False,False,False,False
ATF6B,-1,0.373790662,0.15677918873948293,0.3894038,0.5164108,0.25462642,0.17709623,0.53141606,False,False,False,False,False
ATF7,1,0.44774346200000004,0.05698009726087234,0.43853185,0.3701718,0.44849575,0.53065556,0.45086235,False,True,False,False,False
ATOH8,-1,0.28037521921200004,0.22284473265809632,0.28235865,0.1509366,0.00052234606,0.3825077,0.5855508,False,False,False,False,False
ATP10A,-1,0.31382141399999997,0.13109952037749445,0.15579917,0.43338072,0.19339636,0.35892892,0.4276019,False,False,False,False,False
ATP11C,-1,0.07888218007600001,0.09797745706270475,0.24301793,0.07499946,0.06912854,0.006989701,0.00027526938,False,False,False,False,False
ATP1A1,1,0.292244138,0.03968225955800173,0.27484113,0.29131266,0.3042867,0.34938166,0.24139854,False,True,False,False,False
ATP1A3,1,0.723429226,0.08091131352089694,0.6652571,0.85768723,0.6734499,0.679242,0.7415099,True,False,False,False,False
ATP1B1,-1,0.8380689700000001,0.1005591839939023,0.7963436,0.9409515,0.73579645,0.7669264,0.9503269,False,False,False,False,False
ATP1B2,-1,0.250802792,0.17865209211186506,0.24378446,0.3385538,0.4932769,0.1558769,0.0225219,False,False,False,False,False
ATP2A2,-1,0.5935116659999999,0.046453316268014536,0.60673606,0.6634499,0.59159917,0.541464,0.5643092,False,False,False,False,False
