gene,score,validation,label
AACS,0.9145716,False,-1
ABCB4,0.2508285,False,-1
ABCF2,0.21772575,False,-1
ABHD17B,0.8308312,False,-1
ABHD5,0.3786154,False,-1
ABI2,0.9008332,False,-1
ABL1,0.6358514,False,-1
ACAN,0.047959495,False,-1
ACKR3,0.9258996,False,-1
ACTB,0.3055377,False,1
ACTG1,0.036003705,False,-1
ACTN1,0.81054294,False,-1
ACTR2,0.35371688,False,-1
ACTRT3,0.007122127,False,-1
ADAM12,0.0058488874,False,-1
ADAM28,0.00408257,False,0
ADAMTS17,0.035279706,False,-1
ADAMTS20,0.8217867,False,-1
ADAMTS3,0.033071086,False,-1
ADAMTS5,0.075362,False,-1
ADAMTS9-AS2,0.32735246,False,-1
ADAMTSL3,0.8660215,False,-1
ADARB1,0.85359347,False,-1
ADARB2,0.053732615,False,-1
ADARB2-AS1,0.5673073,False,-1
ADCY2,0.8830915,False,-1
ADCY7,0.038735174,False,-1
ADCY8,0.074016675,False,-1
ADGRB2,0.7969004,False,-1
ADGRB3,0.87986284,False,-1
ADGRL2,0.85484564,False,-1
ADGRL3,0.72821116,False,-1
ADGRL4,0.84554815,False,-1
ADIPOR2,0.5041524,False,-1
ADNP,0.85081965,False,1
ADNP2,0.887843,False,-1
ADRA1B,0.0030697233,False,-1
ADSS,0.06359498,False,-1
AFAP1,0.20293614,False,-1
AFF1,0.5866297,False,-1
AFF2,0.4995027,True,1
AFF4,0.7381248,False,-1
AGAP1,0.5249592,False,-1
AGAP2,0.21338956,False,-1
AGO3,0.91495883,False,-1
AHCTF1,0.7966229,False,1
AHDC1,0.6336528,False,1
AHR,0.7270414,False,-1
AHRR,0.997825,False,-1
AIF1,0.011791381,False,-1
AKAP13,0.6240292,False,-1
AKT3,0.6913889,False,-1
ALDH1A2,0.8620792,False,-1
ALK,0.19473109,False,-1
ALX3,0.766134,False,-1
ALX4,0.0013874882,False,-1
AMIGO2,0.6515669,False,-1
AMOTL1,0.15128826,False,-1
AMPD3,0.14423554,False,-1
ANGPT2,0.65318626,False,-1
ANK1,0.054132137,False,-1
ANKRD17,0.9018208,False,1
ANKRD28,0.9199036,False,-1
ANKRD55,0.32654107,False,-1
ANKS1B,0.8680605,False,1
ANO1,0.0805165,False,-1
ANO10,0.6759791,False,-1
ANOS1,0.41605026,False,-1
ANPEP,0.008527204,False,-1
ANTXR2,0.9891438,False,-1
ANXA2,0.018852524,False,-1
ANXA4,0.5309428,False,-1
AP1S1,0.4408276,False,-1
APBB1IP,0.0019882964,False,0
APBB2,0.5944633,False,-1
APCDD1,0.22430187,False,0
APELA,0.5491915,False,-1
APLF,0.8025415,False,-1
APOC2,0.078871965,False,-1
APOLD1,0.019544657,True,0
AQP7,0.21945573,False,-1
ARAP2,0.48225892,False,-1
ARC,0.070018366,True,0
AREG,0.00052570284,False,0
ARHGAP10,0.67165273,False,-1
ARHGAP15,0.9389322,False,-1
ARHGAP20,0.92943406,False,-1
ARHGAP24,0.26021618,False,0
ARHGAP25,0.030426646,False,0
ARHGAP26-AS1,0.0839181,False,-1
ARHGAP29,0.06628363,False,-1
ARHGAP42,0.67263,False,-1
ARHGAP44,0.931121,False,-1
ARHGAP6,0.75335884,False,-1
ARHGDIG,0.24527983,False,0
ARHGEF10,0.875525,False,-1
ARHGEF10L,0.45015675,False,-1
ARHGEF3,0.014756304,False,-1
ARID3A,0.72777444,False,-1
ARID3B,0.5896744,False,-1
ARID5A,0.366214,False,-1
ARID5B,0.650551,False,-1
ARL4C,0.22605415,False,-1
ARL6,0.5362598,False,-1
ARMC2,0.78745335,False,-1
ARMC4,0.3745049,False,-1
ARNT2,0.6075867,False,-1
ARNTL,0.96568966,False,-1
