gene,score,validation,label
AACS,0.18241607,False,0
ABCB4,0.16768587,False,0
ABCF2,0.08339077,False,0
ABHD17B,0.103619255,False,0
ABHD5,0.121456526,False,0
ABI2,0.19282739,False,0
ABL1,0.10529195,False,0
ACAN,0.10165196,False,0
ACKR3,0.13564943,False,0
ACTB,0.0318461,False,1
ACTG1,0.08698444,False,0
ACTN1,0.16552797,False,0
ACTR2,0.106707916,False,0
ACTRT3,0.10830775,False,0
ADAM12,0.053370193,False,0
ADAM28,0.12604725,False,0
ADAMTS17,0.11093074,False,0
ADAMTS20,0.16541333,False,0
ADAMTS3,0.04039298,False,0
ADAMTS5,0.083018005,False,0
ADAMTS9-AS2,0.07634861,False,0
ADAMTSL3,0.15508871,True,0
ADARB1,0.17318697,False,0
ADARB2,0.19814216,False,0
ADARB2-AS1,0.10203371,False,0
ADCY2,0.09852299,False,0
ADCY7,0.124281645,False,0
ADCY8,0.08106013,False,0
ADGRB2,0.17126958,False,0
ADGRB3,0.18154448,True,0
ADGRL2,0.12554656,False,0
ADGRL3,0.0998742,False,0
ADGRL4,0.021267282,False,0
ADIPOR2,0.09349372,False,0
ADNP,0.11000947,True,1
ADNP2,0.13146907,False,0
ADRA1B,0.086664796,False,0
ADSS,0.11299478,False,0
AFAP1,0.08996515,True,0
AFF1,0.1032473,False,0
AFF2,0.079865165,False,1
AFF4,0.08793737,False,0
AGAP1,0.07396088,False,1
AGAP2,0.080390245,True,1
AGO3,0.13232496,False,1
AHCTF1,0.15438065,False,0
AHDC1,0.16355619,False,1
AHR,0.12937196,False,0
AHRR,0.16287716,True,0
AIF1,0.085503146,False,0
AKAP13,0.150943,False,0
AKT3,0.09636592,False,0
ALDH1A2,0.17532824,False,0
ALK,0.11519065,True,0
ALX3,0.10910633,False,0
ALX4,0.021862678,False,0
AMIGO2,0.11896461,False,0
AMOTL1,0.049999073,False,0
AMPD3,0.036589324,False,0
ANGPT2,0.107003435,False,0
ANK1,0.056859583,True,0
ANKRD17,0.118485056,False,1
ANKRD28,0.16015284,False,0
ANKRD55,0.018914873,False,0
ANKS1B,0.1636613,True,1
ANO1,0.11446591,False,0
ANO10,0.12033399,False,0
ANOS1,0.106009774,False,0
ANPEP,0.04230608,True,0
ANTXR2,0.086232625,False,0
ANXA2,0.08678689,False,0
ANXA4,0.029171735,False,0
AP1S1,0.15123925,False,0
APBB1IP,0.122895755,False,0
APBB2,0.109967984,False,0
APCDD1,0.07563038,False,0
APELA,0.1018636,False,0
APLF,0.1837038,True,0
APOC2,0.06229838,False,0
APOLD1,0.1091966,False,0
AQP7,0.09740914,False,0
ARAP2,0.08092711,False,0
ARC,0.0420642,False,0
AREG,0.15312539,True,0
ARHGAP10,0.100240536,True,0
ARHGAP15,0.09308233,False,0
ARHGAP20,0.08283655,False,0
ARHGAP24,0.13013181,False,0
ARHGAP25,0.11529037,True,0
ARHGAP26-AS1,0.04352697,False,0
ARHGAP29,0.0365578,False,0
ARHGAP42,0.1282202,False,0
ARHGAP44,0.15730384,False,0
ARHGAP6,0.13427053,True,0
ARHGDIG,0.08097651,True,0
ARHGEF10,0.11657811,False,1
ARHGEF10L,0.13457234,False,0
ARHGEF3,0.10495688,False,0
ARID3A,0.081319585,False,0
ARID3B,0.13595766,False,0
ARID5A,0.09409066,False,0
ARID5B,0.13694434,False,0
ARL4C,0.121199526,True,0
ARL6,0.119707175,True,0
ARMC2,0.18686366,False,0
ARMC4,0.04934195,False,0
ARNT2,0.14149241,False,1
ARNTL,0.093953274,True,0
ARNTL2-AS1,0.04153294,True,0
ARPP21,0.15860353,False,0
ARSG,0.10880979,True,0
ART3,0.03231321,False,0
ARX,0.10147035,False,1
ASAP1,0.15985325,False,0
ASAP2,0.065193005,False,1
ASB9,0.16547942,False,0
ASCL1,0.10233773,True,0
ASCL2,0.027918007,True,0
ASH2L,0.023037404,False,0
ASIC4,0.10235175,False,0
ASPHD2,0.13751075,False,0
ASXL3,0.1478861,False,1
ATF2,0.14332715,False,0
ATF3,0.11784549,False,0
ATF4,0.06416165,False,0
ATF5,0.12220921,False,0
ATF6B,0.097875655,False,0
ATF7IP,0.103792794,False,0
ATG10,0.1318662,False,0
ATOH8,0.11394725,False,0
ATP10A,0.067432314,True,1
ATP11A,0.081301406,True,0
ATP11B,0.19653012,False,0
ATP1A1,0.21807002,False,1
ATP1A2,0.040752802,False,0
ATP1A3,0.09232539,True,1
ATP1B3,0.14015304,False,0
ATP6V0C,0.08679509,False,0
ATP6V1B2,0.09859486,False,0
ATP8B1,0.31141266,False,0
ATXN1,0.1399069,False,0
AXL,0.03087265,False,0
AZIN2,0.08672179,True,0
B3GALNT2,0.10445078,False,0
B3GAT1,0.14828996,False,0
B3GLCT,0.15744981,False,0
B3GNT5,0.14552635,False,0
B3GNTL1,0.13441916,False,0
B4GALT2,0.15510099,True,0
B4GALT6,0.13831417,False,0
BAALC,0.15892105,False,0
BACH1,0.15623382,False,0
BACH2,0.1280157,False,0
BAG3,0.20250247,False,0
BAIAP2,0.07719206,False,0
BANK1,0.08323789,False,0
BARD1,0.09477508,False,0
BARX2,0.05724503,False,0
BASP1,0.059865464,False,0
BATF,0.08267025,False,0
BATF3,0.1385138,False,0
BBOX1-AS1,0.082462735,True,0
BBX,0.08969839,False,0
BCAR3,0.09801246,False,0
BCAS2,0.12163613,False,0
BCHE,0.025458476,False,0
BCL11A,0.15406793,False,1
BCL11B,0.17838815,False,1
BCL6,0.12893991,False,0
BCLAF1,0.10240692,False,0
BDNF,0.22627224,False,0
BDP1,0.18161476,False,0
BEGAIN,0.082903765,False,0
BEND4,0.104214445,False,0
BEX1,0.10354744,True,0
BEX5,0.059551835,False,0
BHLHE22,0.048562832,False,0
BICC1,0.15928733,False,0
BICDL1,0.12563983,False,1
BLNK,0.09900671,True,0
BMF,0.1941946,False,0
BMP2K,0.14348099,False,0
BMPER,0.122299686,False,0
BMPR1B,0.08055299,False,0
BNC2,0.097142935,True,0
BPTF,0.16407546,True,0
BRAF,0.055538647,True,1
BRCA1,0.17997643,False,0
BRF1,0.11105851,False,0
BRINP1,0.09919695,False,0
BRINP2,0.18251026,False,0
BRINP3,0.17367361,False,1
BRIP1,0.077048376,False,0
BTBD11,0.11594992,False,0
BTBD3,0.095780835,False,0
BTBD7,0.12155309,False,0
BTK,0.107664034,False,0
BVES,0.15229002,False,0
C14orf132,0.12087645,False,0
C16orf87,0.1083914,False,0
C18orf25,0.11611664,False,0
C19orf25,0.08420921,True,0
C1GALT1,0.1319727,False,0
C1orf61,0.08130731,False,0
C1orf94,0.08535173,False,0
C21orf91,0.096508846,True,0
C2orf88,0.11459612,True,0
C3AR1,0.11410494,False,0
C3orf67,0.095951326,False,0
C3orf67-AS1,0.12960583,False,0
C4orf48,0.049184058,False,0
C5orf30,0.14772503,True,0
C5orf66,0.08735825,False,0
C7,0.056026436,False,0
C8orf34,0.13588704,False,0
C9,0.1097552,False,0
CA2,0.16311681,False,0
CA3-AS1,0.007550189,False,0
CABLES1,0.09260166,False,0
CACNA1D,0.14882854,False,1
CACNA1G,0.07014917,False,1
CACNA2D1,0.13797325,False,1
CACNA2D2,0.048287682,False,0
CACNA2D3,0.1384796,False,1
CACNB2,0.21272013,False,1
CACNG4,0.09215574,False,0
CADM2,0.16561326,False,1
CADPS2,0.117800444,False,1
CALB1,0.17147556,False,0
CALCR,0.10997151,False,0
CALM1,0.043424092,False,0
CALM3,0.10322026,True,0
CALN1,0.11323006,False,0
CAMK1D,0.15785985,False,0
CAMK2D,0.16382515,False,0
CAMK2N1,0.20346978,False,0
CAMKK2,0.114028335,True,0
CAPN15,0.15571202,False,0
CAPSL,0.08736118,True,0
CARD11,0.062101025,True,1
CARF,0.042038217,False,0
CARNMT1,0.08498122,True,0
CASC15,0.1453028,False,0
CASC18,0.12858473,False,0
CASC2,0.089143865,True,0
CAST,0.093130104,False,0
CASZ1,0.11015977,False,1
CAV2,0.20790632,False,0
CBARP,0.04734466,False,0
CBFA2T2,0.10887669,False,0
CBLB,0.08394903,False,0
CBLN2,0.11663291,False,0
CCDC102B,0.13140653,False,0
CCDC146,0.070741504,False,0
CCDC175,0.012367331,False,0
CCDC178,0.16004653,True,0
CCDC25,0.14165433,False,0
CCDC3,0.15253264,False,0
CCDC69,0.07303271,False,0
CCDC88C,0.06847314,True,1
CCND1,0.13962021,False,0
CCNI,0.1342122,True,0
CCNJL,0.09921827,True,0
CCNT2,0.114895254,False,0
CCPG1,0.10976513,True,0
CD163L1,0.10732866,False,0
CD24,0.054841697,False,0
CD4,0.0993164,False,0
CD53,0.06370316,False,0
CD59,0.129098,False,0
CD63,0.014150319,False,0
CD84,0.108218625,False,0
CD86,0.026171386,False,0
CDC14A,0.079702474,False,0
CDC14B,0.14394966,False,0
CDC5L,0.0072338735,True,0
CDH11,0.14058855,False,1
CDH12,0.12419644,False,0
CDH13,0.10658576,False,1
CDH18,0.09631474,False,0
CDH2,0.1802233,False,1
CDH20,0.12576084,False,0
CDH22,0.13819507,False,1
CDH23,0.09131252,True,0
CDH4,0.10726129,False,0
CDH7,0.13993351,False,0
CDH8,0.18463004,False,1
CDH9,0.17408606,False,1
CDK17,0.12928775,False,0
CDK18,0.1429456,False,0
CDK19,0.05396848,False,1
CDK2AP1,0.09841729,True,0
CDK5R1,0.0915872,False,0
CDK6,0.17418216,False,0
CDKL5,0.16944577,False,1
CDKN2B-AS1,0.10326917,False,0
CDON,0.10538989,True,1
CDYL2,0.07969452,False,0
CEACAM21,0.11466498,False,0
CEBPD,0.09227534,False,0
CEBPG,0.09064849,False,0
CECR2,0.055268705,True,1
CELF2,0.17413633,False,1
CELF2-AS2,0.10411421,True,0
CELF4,0.16094024,True,1
CELF5,0.12627202,False,0
CELF6,0.11942123,False,1
CEND1,0.07959474,True,0
CENPP,0.12443933,False,0
CEP112,0.16703616,False,0
CEP85L,0.118491784,False,0
CERS2,0.07954272,False,0
CERS6,0.14477266,True,0
CETP,0.057048142,False,0
CFAP161,0.11657084,False,0
CFAP221,0.08132411,False,0
CFAP46,0.2007683,False,0
CFL2,0.12467945,True,0
CGGBP1,0.14903173,False,0
CGN,0.09835791,False,0
CGNL1,0.08346609,False,1
CHAMP1,0.07704765,False,1
CHD1,0.14493574,True,1
CHD2,0.03262261,True,1
CHD7,0.051338304,False,1
CHGB,0.05922616,False,0
CHKA,0.21830094,False,0
CHMP3,0.15967733,False,0
CHN1,0.12405104,False,0
CHN2,0.10947341,False,0
CHODL,0.14545499,False,0
CHRDL1,0.13442472,False,0
CHRM2,0.20391968,False,0
CHST8,0.09709729,False,0
CHSY1,0.13951789,False,0
CHSY3,0.14932343,False,0
CIC,0.09009098,False,1
CITED2,0.112179205,True,0
CKB,0.11798255,False,0
