_BACKGROUND,5p,10p,15p
NDFIP1,NDFIP1,NDFIP1,NDFIP1
USP44,USP44,USP44,USP44
GAN,GAN,GAN,GAN
CAPN14,CAPN14,CAPN14,CAPN14
FGF14,FGF14,FGF14,FGF14
SPAG1,SPAG1,SPAG1,SPAG1
USP11,USP11,USP11,USP11
MYOD1,MYOD1,MYOD1,MYOD1
HSBP1,HSBP1,HSBP1,HSBP1
SRRM4,SRRM4,SRRM4,SRRM4
PFKL,PFKL,PFKL,PFKL
ANKS6,ANKS6,ANKS6,ANKS6
NAA25,NAA25,NAA25,NAA25
LINC01088,LINC01088,LINC01088,LINC01088
FAAP100,FAAP100,FAAP100,FAAP100
FFAR4,FFAR4,FFAR4,FFAR4
GABRG2,GABRG2,GABRG2,GABRG2
SLC35E3,SLC35E3,SLC35E3,SLC35E3
PGAP1,PGAP1,PGAP1,PGAP1
SYNJ2,SYNJ2,SYNJ2,SYNJ2
ZMYM4,ZMYM4,ZMYM4,ZMYM4
FAU,FAU,FAU,FAU
STK17A,STK17A,STK17A,STK17A
DRAIC,DRAIC,DRAIC,DRAIC
CENPP,CENPP,CENPP,CENPP
RNF2,RNF2,RNF2,RNF2
RPS2,RPS2,RPS2,RPS2
ZNF71,ZNF71,ZNF71,ZNF71
PCSK6,PCSK6,PCSK6,PCSK6
FAM171A2,FAM171A2,FAM171A2,FAM171A2
CTDSP2,CTDSP2,CTDSP2,CTDSP2
CPEB1,CPEB1,CPEB1,CPEB1
BAIAP3,BAIAP3,BAIAP3,BAIAP3
LONP2,LONP2,LONP2,LONP2
AFAP1,AFAP1,AFAP1,AFAP1
CAMLG,CAMLG,CAMLG,CAMLG
GRK3,GRK3,GRK3,GRK3
ASB9,ASB9,ASB9,ASB9
TFE3,TFE3,TFE3,TFE3
SLC6A9,SLC6A9,SLC6A9,SLC6A9
C5,C5,C5,C5
LINC00884,LINC00884,LINC00884,LINC00884
FAM180A,FAM180A,FAM180A,FAM180A
SLA2,SLA2,SLA2,SLA2
SPECC1L,SPECC1L,SPECC1L,SPECC1L
NEO1,NEO1,NEO1,NEO1
KLKB1,KLKB1,KLKB1,KLKB1
MTPN,MTPN,MTPN,MTPN
SHISA5,SHISA5,SHISA5,SHISA5
CACNG3,CACNG3,CACNG3,CACNG3
