gene,score,validation,label
AACS,0.76480484,False,-1
AAMDC,0.7985877,False,-1
ABCA1,0.06023198,False,-1
ABCA13,0.7773704,False,-1
ABCF2,0.6824893,False,-1
ABCG1,0.67038226,False,-1
ABHD13,0.3537449,False,-1
ABHD3,0.5474333,False,-1
ABL1,0.9046386,False,-1
ACAP2,0.9152753,False,-1
ACSBG2,0.27241826,False,-1
ACTB,0.018598028,True,1
ACTG1,0.3165964,False,-1
ACTL6A,0.5051362,False,-1
ACTN1,0.2830865,False,-1
ACTN2,0.82244325,False,-1
ACTRT3,0.60058266,False,-1
ACVR1,0.67961127,False,-1
ACVR1B,0.71035594,False,-1
ACVR1C,0.66242445,False,-1
ADAM23,0.6657064,False,-1
ADAM28,0.0032084526,True,0
ADAM32,0.5449823,False,-1
ADAMTS1,0.22479719,False,0
ADAMTS15,0.21053086,False,0
ADAMTS18,0.81190753,False,-1
ADAMTS3,0.94720805,False,-1
ADAMTS8,0.54627454,False,-1
ADAMTS9,0.007308328,False,-1
ADAMTSL1,0.5337217,False,-1
ADCY1,0.2517957,False,-1
ADD3-AS1,0.8594929,False,-1
ADGRB3,0.7480094,False,-1
ADGRD1,0.16308278,False,-1
ADGRF3,0.05357836,False,-1
ADGRF5,0.023831591,False,-1
ADGRL2,0.7390975,False,-1
ADGRL3,0.7984315,False,-1
ADNP,0.60896766,False,1
ADNP2,0.7792609,False,-1
ADPRHL1,0.56722397,False,-1
ADRA1A,0.36433548,False,-1
ADRA1D,0.01657704,False,-1
ADRB1,0.7263685,False,-1
AFF1,0.86805075,False,-1
AFF2,0.6918662,False,1
AFF4,0.6213579,False,-1
AGAP1,0.7546435,False,-1
AGAP2,0.5267745,False,-1
AGTR1,0.7793123,False,-1
AHCTF1,0.50275624,True,1
AHCYL2,0.5693129,False,-1
AHDC1,0.6777269,False,1
AHR,0.7815313,False,-1
AHRR,0.46041813,False,-1
AHSA1,0.22942322,False,0
AIRE,0.2891805,False,-1
AK5,0.87859267,False,-1
AKAP13,0.7049715,False,-1
ALDH1A1,0.7601104,False,-1
ALDH1A2,0.46235174,False,-1
ALDOC,0.23836355,False,-1
ALK,0.79639435,False,-1
ALOX5,0.002319379,False,-1
ALS2CL,0.47523805,False,-1
ALX3,0.48388872,False,-1
AMIGO2,0.38128194,False,-1
AMMECR1,0.8085489,False,-1
ANK1,0.52148163,False,-1
ANKRD30B,0.4912385,False,-1
ANKRD34B,0.7767913,False,-1
ANKRD35,0.16696677,False,-1
ANKRD50,0.74574465,False,-1
ANKRD6,0.77240777,False,-1
ANKRD9,0.20967337,False,-1
ANKS1B,0.5902481,True,1
ANLN,0.5804783,False,-1
ANO6,0.79074574,False,-1
ANOS1,0.751578,False,-1
ANTXR2,0.17517886,False,-1
ANXA1,0.0007800377,False,-1
ANXA11,0.7773755,False,-1
ANXA2,0.037610393,False,-1
ANXA4,0.707406,False,-1
AP1S2,0.79009485,True,1
AP2M1,0.53073275,False,-1
APBB1IP,0.019501442,False,0
APCDD1,0.16277432,False,0
APLF,0.57248604,False,-1
APLP2,0.25445667,False,-1
APOC1,0.26626843,False,-1
APOC2,0.35890377,False,-1
