gene,score,validation,label
A2M,0.13279593,True,0
AACS,0.044977136,False,0
AANAT,0.14691786,False,0
AASDHPPT,0.074446455,True,0
ABCA8,0.14834845,False,0
ABCB1,0.10812199,False,0
ABCF2,0.09146324,False,0
ABCG2,0.09836611,False,0
ABL1,0.20713748,False,0
ABR,0.18406484,False,0
ABRA,0.12058871,False,0
ACER3,0.0028236622,False,0
ACOT12,0.052600976,False,0
ACSBG1,0.16976868,False,0
ACTG1,0.052035876,True,0
ACTG2,0.024122179,False,0
ACTN2,0.099964835,False,0
ACTRT3,0.020948702,False,0
ACVR1,0.16389456,False,0
ACVR1C,0.106852956,False,0
ADAM12,0.09809451,True,0
ADAM23,0.061884373,False,0
ADAM28,0.057471257,True,0
ADAM32,0.09819182,False,0
ADAMTS17,0.07022263,True,0
ADAMTS20,0.050620947,False,0
ADAMTS3,0.16214553,False,0
ADAMTS5,0.15358762,False,0
ADAMTS9-AS2,0.06309466,True,0
ADAMTSL3,0.10327608,False,0
ADARB1,0.14854248,False,0
ADARB2,0.04379432,True,0
ADARB2-AS1,0.06553849,False,0
ADCY8,0.09546271,False,0
ADCYAP1,0.062303007,False,0
ADD3-AS1,0.17264369,False,0
ADGRB2,0.05941719,False,0
ADGRF5,0.0098060565,True,0
ADGRL2,0.14402398,False,0
ADGRL3,0.10915884,False,0
ADGRL4,0.07767163,False,0
ADNP,0.08367957,False,1
ADNP2,0.09733023,False,0
ADRA1A,0.20818955,False,0
ADRA1B,0.03347668,False,0
ADRB1,0.02658941,False,0
ADRB2,0.08061878,False,1
AFAP1,0.040064577,False,0
AFF1,0.18218863,False,0
AFF2,0.08561109,False,1
AFF4,0.15568033,False,0
AGAP2,0.15367202,False,1
AGR2,0.05634202,False,0
AHCTF1,0.1894498,False,0
AHDC1,0.1933326,True,1
AHR,0.15851529,False,0
AHRR,0.13670473,False,0
AK5,0.20393202,False,0
AKAP13,0.059856586,False,0
ALCAM,0.18814594,True,0
ALDH1A2,0.1367124,True,0
ALDOA,0.04904703,False,0
ALK,0.13495404,True,0
ALLC,0.0456848,False,0
ALOX5,0.02708505,False,0
ALX3,0.025008637,False,0
AMD1,0.06621012,False,0
AMOTL1,0.2189446,False,0
AMPH,0.15129355,False,0
ANGPTL3,0.108099714,False,0
ANGPTL4,0.050942343,False,0
ANK1,0.1202174,False,0
ANKRD30B,0.047690533,False,0
ANKRD34B,0.15477942,False,0
ANKRD55,0.12016108,True,0
ANKRD6,0.13397548,False,0
ANO1,0.10837609,True,0
ANO6,0.16436647,False,0
ANOS1,0.07788555,False,0
ANTXR1,0.08476956,False,0
ANXA1,0.031264566,False,1
ANXA11,0.040916868,False,0
ANXA2,0.10561673,True,0
ANXA4,0.16064292,False,0
AOAH,0.14727081,False,0
AP1S1,0.15252852,False,0
AP1S2,0.17851181,False,0
AP2M1,0.06787116,False,1
APBB1IP,0.13742222,False,0
APCDD1,0.08713387,False,0
APLP2,0.069223605,False,0
APOBEC3C,0.04666684,False,0
APP,0.19980796,True,0
AQP4,0.160891,True,0
AQP4-AS1,0.0685336,False,0
ARAP2,0.13487846,False,0
ARC,0.14191619,False,0
ARFGAP1,0.06856968,False,0
ARFGEF3,0.13982219,False,0
ARHGAP15,0.13753979,False,0
ARHGAP20,0.16520005,False,0
ARHGAP22,0.08519347,False,0
ARHGAP24,0.118372425,False,0
ARHGAP25,0.0987551,False,0
ARHGAP31,0.13769984,False,0
ARHGAP42,0.21127231,True,0
ARHGDIB,0.09734762,True,0
ARHGDIG,0.07503063,False,0
ARHGEF11,0.13180162,False,0
ARHGEF26,0.19322616,False,0
ARHGEF28,0.15701571,False,0
ARID3A,0.101976804,False,0
ARID5A,0.15320812,False,0
ARID5B,0.09449451,False,0
ARL4C,0.16707495,False,0
ARL5C,0.03811792,False,0
ARL6IP1,0.036030833,False,0
ARNT2,0.17111202,False,1
ARNTL,0.032064524,False,0
ARPC5L,0.11104482,True,0
ARPP21,0.14862864,False,0
ARX,0.054644063,False,1
ASAP1,0.18841681,False,0
ASAP2,0.2103002,False,1
ASCL1,0.051708706,True,0
ASIC4,0.030310668,False,0
ATF2,0.17010017,False,0
ATF3,0.15140276,False,0
ATF4,0.02830584,False,0
ATF7,0.057765685,True,0
ATG10,0.18370458,True,0
ATP10A,0.1113843,False,1
ATP1A1,0.13917884,False,1
ATP1A2,0.078152165,False,0
ATP1A3,0.06136406,True,1
ATP1B1,0.069040775,False,0
ATP2B4,0.076495655,True,0
ATP2C1,0.18469732,False,0
ATP6V0C,0.054968126,False,0
ATP6V1A,0.14679185,False,0
ATP6V1B2,0.1156427,True,0
ATP8B1,0.18840526,True,0
