Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB01215,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB13335,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01553,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB14028,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01068,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01558,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01559,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01587,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01588,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
DB01589,Humans,False,"['GABRA1', 'GABRA1', 'GABRA2', 'GABRA2', 'GABRA5', 'GABRA5', 'GABRG1', 'GABRG1', 'GABRG3', 'GABRG3']",10,0.13186237312,0.02043731599874548,1.0
