_BACKGROUND,5p,10p,15p
PRKCE,PRKCE,PRKCE,PRKCE
KCNK1,KCNK1,KCNK1,KCNK1
STEAP2,STEAP2,STEAP2,STEAP2
PELI2,PELI2,PELI2,PELI2
SORCS3,SORCS3,SORCS3,SORCS3
RIMS1,RIMS1,RIMS1,RIMS1
PDE10A,PDE10A,PDE10A,PDE10A
ATP10B,ATP10B,ATP10B,ATP10B
ARNT2,ARNT2,ARNT2,ARNT2
GABRG3,GABRG3,GABRG3,GABRG3
DGKH,DGKH,DGKH,DGKH
RBM24,RBM24,RBM24,RBM24
PLEKHA1,PLEKHA1,PLEKHA1,PLEKHA1
NETO2,NETO2,NETO2,NETO2
KCTD8,KCTD8,KCTD8,KCTD8
MAPK4,MAPK4,MAPK4,MAPK4
HDAC2,HDAC2,HDAC2,HDAC2
SLC12A5,SLC12A5,SLC12A5,SLC12A5
THSD7B,THSD7B,THSD7B,THSD7B
CRISPLD1,CRISPLD1,CRISPLD1,CRISPLD1
SNAP25-AS1,SNAP25-AS1,SNAP25-AS1,SNAP25-AS1
ZNF891,ZNF891,ZNF891,ZNF891
GRIN2A,GRIN2A,GRIN2A,GRIN2A
ZC4H2,ZC4H2,ZC4H2,ZC4H2
FRAS1,FRAS1,FRAS1,FRAS1
CDH7,CDH7,CDH7,CDH7
GRM1,GRM1,GRM1,GRM1
PPP4R4,PPP4R4,PPP4R4,PPP4R4
SERTAD2,SERTAD2,SERTAD2,SERTAD2
FLRT2,FLRT2,FLRT2,FLRT2
DCX,DCX,DCX,DCX
THOC2,THOC2,THOC2,THOC2
EXTL3,EXTL3,EXTL3,EXTL3
TCF4,TCF4,TCF4,TCF4
ZBTB25,ZBTB25,ZBTB25,ZBTB25
CDC14B,CDC14B,CDC14B,CDC14B
CTNND2,CTNND2,CTNND2,CTNND2
SOX5,SOX5,SOX5,SOX5
ZFX,ZFX,ZFX,ZFX
ADARB1,ADARB1,ADARB1,ADARB1
LINC01301,LINC01301,LINC01301,LINC01301
RGS7,RGS7,RGS7,RGS7
ATRNL1,ATRNL1,ATRNL1,ATRNL1
BRINP2,BRINP2,BRINP2,BRINP2
ARHGAP19,ARHGAP19,ARHGAP19,ARHGAP19
NR6A1,NR6A1,NR6A1,NR6A1
BCL11B,BCL11B,BCL11B,BCL11B
GALNT14,GALNT14,GALNT14,GALNT14
NFYC,NFYC,NFYC,NFYC
GRM3,GRM3,GRM3,GRM3
ZEB1,ZEB1,ZEB1,ZEB1
SAMD5,SAMD5,SAMD5,SAMD5
COCH,COCH,COCH,COCH
AP1S2,AP1S2,AP1S2,AP1S2
TRHDE-AS1,TRHDE-AS1,TRHDE-AS1,TRHDE-AS1
CSMD2,CSMD2,CSMD2,CSMD2
FOXO3,FOXO3,FOXO3,FOXO3
ZNF189,ZNF189,ZNF189,ZNF189
GTF2A1,GTF2A1,GTF2A1,GTF2A1
ZBTB21,ZBTB21,ZBTB21,ZBTB21
PXT1,PXT1,PXT1,PXT1
SLC16A7,SLC16A7,SLC16A7,SLC16A7
TTC39C,TTC39C,TTC39C,TTC39C
PLS1,PLS1,PLS1,PLS1
FOXJ2,FOXJ2,FOXJ2,FOXJ2
RMDN2,RMDN2,RMDN2,RMDN2
PPARG,PPARG,PPARG,PPARG
KDM7A,KDM7A,KDM7A,KDM7A
CNTN4,CNTN4,CNTN4,CNTN4
NOS1AP,NOS1AP,NOS1AP,NOS1AP
LRP12,LRP12,LRP12,LRP12
USP53,USP53,USP53,USP53
EFNA5,EFNA5,EFNA5,EFNA5
FBXO34,FBXO34,FBXO34,FBXO34
GALNT11,GALNT11,GALNT11,GALNT11
RAPGEF5,RAPGEF5,RAPGEF5,RAPGEF5
ZNF250,ZNF250,ZNF250,ZNF250
GRIN3A,GRIN3A,GRIN3A,GRIN3A
MYEF2,MYEF2,MYEF2,MYEF2
LRFN5,LRFN5,LRFN5,LRFN5
BACH1,BACH1,BACH1,BACH1
HECA,HECA,HECA,HECA
SLC13A3,SLC13A3,SLC13A3,SLC13A3
SEMA6A,SEMA6A,SEMA6A,SEMA6A
NLGN4Y,NLGN4Y,NLGN4Y,NLGN4Y
SLC12A8,SLC12A8,SLC12A8,SLC12A8
EPHA6,EPHA6,EPHA6,EPHA6
BBS9,BBS9,BBS9,BBS9
HMGCS1,HMGCS1,HMGCS1,HMGCS1
ARSB,ARSB,ARSB,ARSB
LRRC8B,LRRC8B,LRRC8B,LRRC8B
KAZN,KAZN,KAZN,KAZN
CADPS2,CADPS2,CADPS2,CADPS2
MLLT10,MLLT10,MLLT10,MLLT10
ELOVL6,ELOVL6,ELOVL6,ELOVL6
PIP5K1B,PIP5K1B,PIP5K1B,PIP5K1B
PPFIA2,PPFIA2,PPFIA2,PPFIA2
CHSY3,CHSY3,CHSY3,CHSY3
NRG1,NRG1,NRG1,NRG1
PTPRO,PTPRO,PTPRO,PTPRO
FOXN3,FOXN3,FOXN3,FOXN3
GRM8,GRM8,GRM8,GRM8
FAM107B,FAM107B,FAM107B,FAM107B
FBXL7,FBXL7,FBXL7,FBXL7
CELF4,CELF4,CELF4,CELF4
TENM4,TENM4,TENM4,TENM4
MGA,MGA,MGA,MGA
FANCL,FANCL,FANCL,FANCL
MXD1,MXD1,MXD1,MXD1
SETBP1,SETBP1,SETBP1,SETBP1
ZNF107,ZNF107,ZNF107,ZNF107
SPOPL,SPOPL,SPOPL,SPOPL
HIVEP1,HIVEP1,HIVEP1,HIVEP1
UNC5D,UNC5D,UNC5D,UNC5D
ZNF311,ZNF311,ZNF311,ZNF311
PPARGC1A,PPARGC1A,PPARGC1A,PPARGC1A
CALN1,CALN1,CALN1,CALN1
ZNF398,ZNF398,ZNF398,ZNF398
PEX5L,PEX5L,PEX5L,PEX5L
PCDH10,PCDH10,PCDH10,PCDH10
ARPP21,,ARPP21,ARPP21
HAPLN1,,HAPLN1,HAPLN1
VCAN,,VCAN,VCAN
ANKRD6,,ANKRD6,ANKRD6
EML6,,EML6,EML6
PTPRK,,PTPRK,PTPRK
RMND5A,,RMND5A,RMND5A
ARNTL,,ARNTL,ARNTL
MYO1B,,MYO1B,MYO1B
KCNT2,,KCNT2,KCNT2
CENPP,,CENPP,CENPP
STAT3,,STAT3,STAT3
GPRIN2,,GPRIN2,GPRIN2
GATAD2A,,GATAD2A,GATAD2A
ZNF652,,ZNF652,ZNF652
GLIS3,,GLIS3,GLIS3
TMEM266,,TMEM266,TMEM266
CREG2,,CREG2,CREG2
KCNJ2,,KCNJ2,KCNJ2
TBC1D4,,TBC1D4,TBC1D4
TMEM200A,,TMEM200A,TMEM200A
LINC00507,,LINC00507,LINC00507
CDH8,,CDH8,CDH8
ZNF827,,ZNF827,ZNF827
ZDHHC2,,ZDHHC2,ZDHHC2
ZNF385B,,ZNF385B,ZNF385B
C8orf34,,C8orf34,C8orf34
PRMT8,,PRMT8,PRMT8
PTPRU,,PTPRU,PTPRU
SLC4A4,,SLC4A4,SLC4A4
PRRG1,,PRRG1,PRRG1
BMP6,,BMP6,BMP6
LZTS1,,LZTS1,LZTS1
ATP2B4,,ATP2B4,ATP2B4
RCAN3,,RCAN3,RCAN3
TCF24,,TCF24,TCF24
LPAR1,,LPAR1,LPAR1
MARCH3,,MARCH3,MARCH3
SRGAP1,,SRGAP1,SRGAP1
CRIM1,,CRIM1,CRIM1
ZNF804A,,ZNF804A,ZNF804A
C8orf88,,C8orf88,C8orf88
ZFHX3,,ZFHX3,ZFHX3
KCNIP4,,KCNIP4,KCNIP4
ELAVL4,,ELAVL4,ELAVL4
SLC35F1,,SLC35F1,SLC35F1
GRIK3,,GRIK3,GRIK3
DSE,,DSE,DSE
LINC00508,,LINC00508,LINC00508
MARCH11,,MARCH11,MARCH11
NTN4,,NTN4,NTN4
ROBO2,,ROBO2,ROBO2
CACNA2D1,,CACNA2D1,CACNA2D1
VWC2,,VWC2,VWC2
SLAIN2,,SLAIN2,SLAIN2
LONRF1,,LONRF1,LONRF1
GAS2,,GAS2,GAS2
ENOSF1,,ENOSF1,ENOSF1
RGMA,,RGMA,RGMA
ONECUT2,,ONECUT2,ONECUT2
RSPO2,,RSPO2,RSPO2
DPYSL5,,DPYSL5,DPYSL5
KLF13,,KLF13,KLF13
STAMBPL1,,STAMBPL1,STAMBPL1
EPN2,,EPN2,EPN2
PKNOX2,,PKNOX2,PKNOX2
MYRIP,,MYRIP,MYRIP
LIN7C,,LIN7C,LIN7C
HDAC9,,HDAC9,HDAC9
GRM5,,GRM5,GRM5
GRM7,,GRM7,GRM7
SYT10,,SYT10,SYT10
GPR176,,GPR176,GPR176
SCML2,,SCML2,SCML2
LHFPL3,,LHFPL3,LHFPL3
TRIQK,,TRIQK,TRIQK
SNCAIP,,SNCAIP,SNCAIP
KIAA1549,,KIAA1549,KIAA1549
GAP43,,GAP43,GAP43
PRR16,,PRR16,PRR16
TFDP2,,TFDP2,TFDP2
HLCS,,HLCS,HLCS
APBB2,,APBB2,APBB2
HMBOX1,,HMBOX1,HMBOX1
ZNF704,,ZNF704,ZNF704
TBC1D1,,TBC1D1,TBC1D1
LEPR,,LEPR,LEPR
KIAA1217,,KIAA1217,KIAA1217
CCDC25,,CCDC25,CCDC25
IL6ST,,IL6ST,IL6ST
DLEU2,,DLEU2,DLEU2
DCDC2C,,DCDC2C,DCDC2C
GSAP,,GSAP,GSAP
KCNB2,,KCNB2,KCNB2
ATP2C1,,ATP2C1,ATP2C1
ZMAT4,,ZMAT4,ZMAT4
HERC4,,HERC4,HERC4
ATG10,,ATG10,ATG10
STXBP5-AS1,,STXBP5-AS1,STXBP5-AS1
DLX1,,DLX1,DLX1
SATB1,,SATB1,SATB1
CSMD1,,CSMD1,CSMD1
OPN3,,OPN3,OPN3
SIK2,,SIK2,SIK2
PTPRN2,,PTPRN2,PTPRN2
KCNQ5,,KCNQ5,KCNQ5
SLC24A4,,SLC24A4,SLC24A4
RTN3,,RTN3,RTN3
KIAA0319,,KIAA0319,KIAA0319
ZNF510,,ZNF510,ZNF510
XKR6,,XKR6,XKR6
COL23A1,,COL23A1,COL23A1
B4GALT6,,B4GALT6,B4GALT6
ADNP2,,ADNP2,ADNP2
GALNT7,,GALNT7,GALNT7
FAM155A,,FAM155A,FAM155A
SLC38A1,,SLC38A1,SLC38A1
MEF2C,,MEF2C,MEF2C
SMAD9,,SMAD9,SMAD9
CDH11,,CDH11,CDH11
SOX6,,SOX6,SOX6
NCALD,,,NCALD
SDK2,,,SDK2
SLC35F4,,,SLC35F4
POLR3A,,,POLR3A
PCDH17,,,PCDH17
RALGPS2,,,RALGPS2
PKIA,,,PKIA
LINC00710,,,LINC00710
ADGRL3,,,ADGRL3
DPY19L3,,,DPY19L3
GABRA2,,,GABRA2
KLF3,,,KLF3
PPP5C,,,PPP5C
SFMBT2,,,SFMBT2
EFCAB2,,,EFCAB2
ZNF224,,,ZNF224
THRB,,,THRB
ZNF462,,,ZNF462
SEMA6D,,,SEMA6D
GKAP1,,,GKAP1
ZNF280D,,,ZNF280D
UGP2,,,UGP2
PACRG,,,PACRG
ACVR1,,,ACVR1
PPM1L,,,PPM1L
TMTC2,,,TMTC2
TMTC4,,,TMTC4
CEP112,,,CEP112
GRIK1,,,GRIK1
PAMR1,,,PAMR1
PPP2R5A,,,PPP2R5A
TBL1X,,,TBL1X
STEAP2-AS1,,,STEAP2-AS1
ELK3,,,ELK3
PTBP3,,,PTBP3
ZSWIM6,,,ZSWIM6
ZNF706,,,ZNF706
STAT5B,,,STAT5B
SNTG2,,,SNTG2
SHISA6,,,SHISA6
FAT4,,,FAT4
ADAMTS19,,,ADAMTS19
LTBP1,,,LTBP1
TMEFF2,,,TMEFF2
MAN2A1,,,MAN2A1
CTNNB1,,,CTNNB1
NT5DC1,,,NT5DC1
SMURF1,,,SMURF1
CTNNA2,,,CTNNA2
NPAS2,,,NPAS2
PDE8B,,,PDE8B
BCLAF1,,,BCLAF1
NETO1,,,NETO1
SPRED2,,,SPRED2
PTTG1,,,PTTG1
PIK3CA,,,PIK3CA
IL15,,,IL15
RAB39A,,,RAB39A
LMO2,,,LMO2
RAB14,,,RAB14
KCNJ6,,,KCNJ6
TRIM67,,,TRIM67
RANBP17,,,RANBP17
SVIL,,,SVIL
LOR,,,LOR
TWIST1,,,TWIST1
KMT2A,,,KMT2A
GTF2I,,,GTF2I
RARB,,,RARB
SLC16A9,,,SLC16A9
FANCC,,,FANCC
ARHGAP26,,,ARHGAP26
EML5,,,EML5
KATNAL1,,,KATNAL1
SPTSSB,,,SPTSSB
FAR2,,,FAR2
MARCH1,,,MARCH1
SCRN1,,,SCRN1
GNAO1,,,GNAO1
NCOA2,,,NCOA2
TENM2,,,TENM2
GRID2,,,GRID2
EFNB2,,,EFNB2
SLC10A7,,,SLC10A7
FAM133A,,,FAM133A
SREBF1,,,SREBF1
ZDHHC5,,,ZDHHC5
RFX3,,,RFX3
KDM4C,,,KDM4C
PLPPR1,,,PLPPR1
ESR2,,,ESR2
