gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,-1,0.0005888851121237145,0.00085470317711528,0.00024104175,3.028395e-05,6.185722e-13,0.00062092126,0.0020521786,False,False,False,False,False
A2M,0,0.057239000799999995,0.039609316197924176,0.048937567,0.12705253,0.030029012,0.041510675,0.03866522,False,False,False,True,False
A4GALT,-1,0.014498741413912001,0.010672817479794927,0.030053386,0.015539491,7.0606956e-07,0.013123322,0.013776802,False,False,False,False,False
AACS,-1,0.25234086320000004,0.23798720661074033,0.004286317,0.013248049,0.40064535,0.54103875,0.30248585,False,False,False,False,False
ABCA1,-1,0.13583494540000002,0.102188643709894,0.29101825,0.18305144,0.052163623,0.10301976,0.049921654,False,False,False,False,False
ABCB1,-1,0.0016125478064871732,0.00218472576400192,0.0008099481,0.0001713095,3.2435866e-11,0.0017610488,0.0053204326,False,False,False,False,False
ABCC4,0,0.3470688746,0.34397956934038953,0.3592566,0.9061482,0.017768253,0.11918204,0.33298928,False,True,False,False,False
ABCF2,-1,0.33128812299960003,0.29863041802274337,0.817418,0.24291678,8.104998e-06,0.3158338,0.28026393,False,False,False,False,False
ABCG2,0,0.00033196428433574865,0.00036904958666581064,0.00020007754,1.5865411e-05,6.787431e-13,0.000640956,0.00080292247,False,False,False,True,False
ABHD17C,-1,0.5457190279999999,0.22100066755499112,0.41444516,0.33553514,0.9090048,0.5053067,0.56430334,False,False,False,False,False
ABTB2,-1,0.054075696400000005,0.0384926582899818,0.033231672,0.1070791,0.03701805,0.08027324,0.01277642,False,False,False,False,False
ACO1,-1,0.513465596,0.2990224507951222,0.9406484,0.6098113,0.40486208,0.49041292,0.12159328,False,False,False,False,False
ACSL3,-1,0.809055348,0.11653812869719836,0.92550135,0.6846967,0.94063485,0.7341857,0.76025814,False,False,False,False,False
ACSL5,-1,0.08105987652,0.1082435805804282,0.0070869974,0.0685994,0.2668338,0.061333004,0.0014461812,False,False,False,False,False
ACTA2,-1,0.12343243994,0.10623987796308106,0.2018137,0.2515564,0.0075641647,0.12838966,0.027838275,False,False,False,False,False
ACTB,1,0.944332052,0.09020977685245055,0.99927837,0.98962057,0.96843743,0.98006433,0.78425956,False,False,False,False,True
ACTG1,-1,0.22966207700000002,0.1700393137109739,0.38206473,0.038224105,0.41235834,0.23555306,0.08011015,False,False,False,False,False
ACTR3C,-1,0.1813460302,0.13682576058541113,0.3841551,0.13293295,0.2430038,0.11951718,0.027121121,False,False,False,False,False
ACVR1,-1,0.8542873739999999,0.1171720424453815,0.9003136,0.96641254,0.9112356,0.663522,0.82995313,False,False,False,False,False
ACVR1C,-1,0.41050912616,0.34986869563390754,0.9627647,0.4311011,0.0025597408,0.37390634,0.28221375,False,False,False,False,False
ADAM12,-1,0.3391806898,0.35650664404770127,0.107642755,0.589103,0.028587144,0.12950759,0.84106296,False,False,False,False,False
ADAM28,0,0.0029293023920894,0.003137979883899391,0.0029990445,0.0002220013,1.1260447e-08,0.0077099344,0.0037155205,False,False,True,False,False
ADAMTS12,-1,0.063326649672,0.0605772253907219,0.029878978,0.10531915,0.1468358,0.03441016,0.00018916036,False,False,False,False,False
ADAMTS17,-1,0.06352371068000001,0.06611290881336483,0.13167132,0.025590878,0.019989785,0.13880095,0.0015656204,False,False,False,False,False
ADAMTS18,-1,0.050781261179999995,0.06754008110242847,0.16184205,0.014263527,0.0011096399,0.06836256,0.008328529,False,False,False,False,False
ADAMTS19,-1,0.58097034,0.18280200735945012,0.8737002,0.39092633,0.6207787,0.5019196,0.51752687,False,False,False,False,False
ADAMTS5,-1,0.361552199,0.2548702751378768,0.6836238,0.007633485,0.39959416,0.47965807,0.23725148,False,False,False,False,False
ADAMTS9-AS2,-1,0.2657412024,0.3497608421224518,0.14376584,0.079762064,0.876071,0.21858837,0.010518738,False,False,False,False,False
ADAMTSL3,-1,0.355809746,0.06585558397994494,0.4303139,0.2908335,0.4046088,0.36843553,0.284857,False,False,False,False,False
ADARB1,-1,0.922858218,0.065643457613182,0.9642026,0.9195994,0.97526985,0.94346714,0.8117521,False,False,False,False,False
ADARB2,-1,0.31372852919999994,0.3516388400634942,0.91087484,0.084641166,0.34417307,0.16549332,0.06346025,False,False,False,False,False
ADARB2-AS1,-1,0.20423517920000003,0.12442954398136094,0.32850444,0.1416123,0.31116584,0.21193333,0.027959986,False,False,False,False,False
ADCY8,-1,0.294229843,0.29021016468335753,0.7260446,0.45098665,0.110710256,0.16290107,0.020506639,False,False,False,False,False
ADD3-AS1,-1,0.29503219379999995,0.36808545415626653,0.1820958,0.94873834,0.118637875,0.066145614,0.15954334,False,False,False,False,False
ADGRA2,-1,0.17951581012,0.33463268389513584,0.7759225,0.032656513,0.009971221,0.07626619,0.0027626266,False,False,False,False,False
ADGRG6,-1,0.0019514549177015075,0.002621834284340106,0.00091561896,0.00033170878,4.8507538e-11,0.0020894532,0.0064204936,False,False,False,False,False
ADGRL2,-1,0.63961336,0.10227074713414779,0.58542776,0.784979,0.70858824,0.5498498,0.569222,False,False,False,False,False
ADGRL3,-1,0.959446268,0.01694505646801212,0.9650571,0.9709416,0.9779188,0.9393375,0.94397634,False,False,False,False,False
ADIPOR2,-1,0.18656056908000002,0.11216912059958005,0.22067824,0.16689816,0.0061754654,0.23436956,0.30468142,False,False,False,False,False
ADNP,1,0.784115088,0.24445913339898362,0.9044614,0.987146,0.81259495,0.36260206,0.85377103,False,True,False,False,False
ADNP2,-1,0.961335088,0.05806869348215329,0.9826263,0.9981969,0.98209697,0.85811657,0.9856387,False,False,False,False,False
ADRA1B,-1,0.13857085619110002,0.23983498790831326,0.5629815,0.017733458,3.3229555e-06,0.09172477,0.02041123,False,False,False,False,False
AFAP1,-1,0.27581321222,0.31930502827294627,0.40206242,0.76944333,0.0013912361,0.1844339,0.021735175,False,False,False,False,False
AFF1,-1,0.0033835335050987196,0.003362571712427764,0.0019987072,0.0015394659,1.4254936e-09,0.004873315,0.008506178,False,False,False,False,False
AFF2,1,0.5721396860000001,0.19424666808089905,0.8952802,0.57093084,0.5381429,0.47231287,0.38403162,False,False,False,True,False
AFF4,-1,0.9782520080000001,0.03849238038507842,0.99301094,0.99996245,0.9915045,0.9096548,0.99712735,False,False,False,False,False
AHCTF1,-1,0.40461712200000005,0.12447158351790891,0.34658405,0.48989227,0.28880575,0.31852064,0.5792829,False,False,False,False,False
AHDC1,1,0.550653908,0.24105560050479677,0.8528416,0.2451925,0.69247156,0.38625655,0.57650733,False,True,False,False,False
AHR,-1,0.194889803,0.09895061092244982,0.092939235,0.13884835,0.17442846,0.21596642,0.35226655,False,False,False,False,False
AHRR,-1,0.20491672782800002,0.34480778489473507,0.0050265794,0.15675394,0.050435405,0.81140757,0.00096014474,False,False,False,False,False
AIF1,-1,0.006478935490819999,0.008191048838073667,0.00085600093,0.00093561754,3.6059841e-06,0.01735943,0.013240023,False,False,False,False,False
AKAIN1,-1,0.459219744,0.2411788490653417,0.27859962,0.26310438,0.8607622,0.4423415,0.45129102,False,False,False,False,False
AKAP13,-1,0.0036059419733511,0.0032643001476274133,0.0034388849,0.00090125867,5.4967555e-09,0.0060396483,0.0076499125,False,False,False,False,False
ALCAM,-1,0.22361139400000002,0.3956370777531881,0.047529295,0.009581103,0.92506534,0.13425991,0.001621322,False,False,False,False,False
ALDH1A2,-1,0.02615392786,0.019850549308774123,0.011175387,0.03324008,0.0001204293,0.038198486,0.048035257,False,False,False,False,False
ALK,-1,0.572127252,0.26941334907047493,0.9182616,0.7293625,0.60655373,0.30167848,0.30477995,False,False,False,False,False
ALPK1,-1,0.0034486516335365397,0.003658862636831696,0.0026198032,0.0011515251,9.676827e-10,0.0040827324,0.0093891965,False,False,False,False,False
ALX3,-1,0.08714504412588,0.08198851284115583,0.12984449,0.20619814,3.4606294e-06,0.06587904,0.03380009,False,False,False,False,False
ALX4,-1,0.2024324854,0.1315361672220141,0.014773667,0.34365663,0.25321648,0.12456605,0.2759496,False,False,False,False,False
AMBN,-1,0.011019147076,0.013314257757565626,0.034080103,0.009420276,0.00012222308,0.0060189646,0.0054541687,False,False,False,False,False
AMD1,-1,0.08147634040000001,0.0637753980172531,0.16401029,0.11442251,0.024094692,0.09360679,0.01124742,False,False,False,False,False
AMER2,-1,0.1852156184,0.11851240686210042,0.36697042,0.16442114,0.037504822,0.15849994,0.19868177,False,False,False,False,False
AMOTL1,-1,0.561085402434946,0.35865378261589226,0.9146836,0.59942526,4.5217473e-07,0.81727886,0.47403884,False,False,False,False,False
ANAPC11,-1,0.21391073959999996,0.2405077209448381,0.63222843,0.16609855,0.053654008,0.16498096,0.05259175,False,False,False,False,False
ANGPT2,-1,0.0878193536,0.13799831525025133,0.013535415,0.031343576,0.33262488,0.053529177,0.00806372,False,False,False,False,False
ANGPTL5,-1,0.190036712,0.24194262661779678,0.57271945,0.28945217,0.016449207,0.042614445,0.028948288,False,False,False,False,False
ANGPTL7,-1,0.045818427749072,0.05683731239585811,0.0048854523,0.14070041,4.144536e-08,0.04921781,0.034288425,False,False,False,False,False
ANK1,-1,0.51011141214,0.3091300178820929,0.70658225,0.0013143007,0.77979857,0.45683214,0.6060298,False,False,False,False,False
ANKRD30B,-1,0.96067058,0.07297080281216589,0.9900804,0.9993243,0.9906998,0.8303006,0.9929478,False,False,False,False,False
ANKRD42,-1,0.361858504,0.18095323296738824,0.16799194,0.42249432,0.3447594,0.6346638,0.23938306,False,False,False,False,False
ANKRD46,-1,0.2709252672,0.19699957276990307,0.047307786,0.3353688,0.45393425,0.4424488,0.0755667,False,False,False,False,False
ANKRD50,-1,0.9759900399999999,0.025353073325397844,0.983166,0.9972318,0.9879474,0.9322403,0.9793647,False,False,False,False,False
ANKRD55,-1,0.1592061452,0.1343066763767507,0.06547869,0.29487023,0.03517814,0.31473133,0.085772336,False,False,False,False,False
ANKRD6,-1,0.799857746,0.12475272137218421,0.9005035,0.89421695,0.7763793,0.59586203,0.83232695,False,False,False,False,False
ANKUB1,-1,0.058546561799999994,0.04231937518204343,0.012553441,0.047782473,0.10103417,0.104575306,0.026787419,False,False,False,False,False
ANO1,-1,0.0826063075772,0.11549006876706112,0.27684787,0.018012868,3.1046886e-05,0.101040855,0.017098898,False,False,False,False,False
ANO6,-1,0.26807100679999996,0.4016510337270409,0.08176401,0.9841287,0.07010057,0.14468929,0.059672464,False,False,False,False,False
ANTXR1,-1,0.258649674,0.22625414634312005,0.27322912,0.03246005,0.49114448,0.47082534,0.02558938,False,False,False,False,False
ANXA1,-1,0.06352555546,0.0577414219200571,0.12144569,0.128215,0.0002534293,0.03791838,0.029795278,False,False,False,False,False
ANXA3,-1,0.0029548703467513196,0.003210975615774645,0.002050178,0.0007665287,9.337566e-10,0.0039034511,0.008054193,False,False,False,False,False
AOAH,0,0.017675662547139,0.012718181377626803,0.014891317,0.02952372,1.17735695e-07,0.01333945,0.030623708,False,False,True,False,False
AP1S2,1,0.8693048080000001,0.11779255770868259,0.9430664,0.9813783,0.7647774,0.72079074,0.9365112,False,True,False,False,False
APBB1IP,0,0.0013811182843613365,0.0014026100554914147,0.001430459,0.00017590131,1.1806682e-11,0.0018469266,0.0034523045,False,False,False,True,False
APBB2,-1,0.966974188,0.06143775795391398,0.9926045,0.9999819,0.98709154,0.8574322,0.9977608,False,False,False,False,False
APEX2,0,0.0916881384,0.1000442767047504,0.24736574,0.07634596,0.12234699,0.0077792294,0.0046027726,False,False,True,False,False
