gene,score,validation,label
A2M,0.062379304,True,0
ABCA1,0.3321027,False,-1
ABCA8,0.008694292,False,0
ABCG2,0.33226463,False,0
ABHD3,0.13371506,False,-1
ABL1,0.8883541,False,-1
ABR,0.70297605,False,-1
ACAN,0.01354832,False,-1
ACO1,0.9637242,False,-1
ACSBG1,0.47644803,False,-1
ACTB,0.1400875,True,1
ACTG1,0.0940222,False,-1
ACTN2,0.011869188,False,-1
ACVR1,0.54952085,False,-1
ACVRL1,0.3716846,False,-1
ADAM12,0.6660914,False,-1
ADAM28,0.038727924,False,0
ADAM7,0.03022915,False,-1
ADAMTS12,0.24280378,False,-1
ADAMTS16,0.9832864,False,-1
ADAMTS20,0.56734616,False,-1
ADAMTS3,0.30892703,False,-1
ADAMTS9-AS1,0.034954067,False,-1
ADAMTSL3,0.7549007,False,-1
ADCY1,0.22986186,False,-1
ADCY4,0.04692496,False,-1
ADD3-AS1,0.64888555,False,-1
ADGRF5,0.11650359,False,-1
ADGRL2,0.83258575,False,-1
ADGRL3,0.935142,False,-1
ADNP,0.7171559,True,1
ADNP2,0.6735635,False,-1
ADRA1A,0.72940445,False,-1
ADTRP,0.03000972,False,-1
AFAP1L2,0.14994378,False,-1
AFF1,0.74698144,False,-1
AFF4,0.7727235,False,-1
AGAP2,0.26674303,False,-1
AHCTF1,0.73992383,False,-1
AHDC1,0.5915021,False,1
AHR,0.6799184,False,-1
AHRR,0.83645606,False,-1
AK5,0.6825756,False,-1
AKAP13,0.6906127,False,-1
ALCAM,0.482147,False,-1
ALDH1A2,0.29201946,False,-1
ALDOA,0.1376632,False,-1
ALK,0.81396526,False,-1
ALPK1,0.001377909,False,-1
ALX1,0.65446067,False,-1
AMIGO2,0.098010994,False,-1
AMMECR1,0.713935,False,-1
AMOTL1,0.72906584,False,-1
ANAPC16,0.5276538,False,-1
ANGPT1,0.92051953,False,-1
ANKK1,0.05899128,False,-1
ANKRD20A1,0.6091139,False,-1
ANKRD30B,0.5983356,False,-1
ANKRD44,0.6661244,True,0
ANKRD50,0.6745639,False,-1
ANO6,0.7754906,False,-1
ANOS1,0.07952871,False,-1
ANXA1,0.058065083,False,-1
ANXA11,0.20491675,False,-1
ANXA4,0.53361714,False,-1
AOAH,0.025608037,False,0
AP1S2,0.5410141,False,1
AP2M1,0.40486154,False,-1
APBB1IP,0.004175858,True,0
APBB2,0.5906363,False,-1
APEX2,0.23818707,True,0
APLNR,0.11574191,False,-1
APOE,0.055462006,False,-1
APOLD1,0.16241835,False,0
APP,0.5776168,False,-1
AQP4,0.08885876,False,-1
ARAP2,0.46551335,False,-1
ARHGAP15,0.27623636,False,-1
ARHGAP20,0.717617,False,-1
ARHGAP22,0.35669407,False,-1
ARHGAP26,0.2695128,False,-1
ARHGAP29,0.16044797,False,-1
ARHGAP31,0.087933674,False,-1
ARHGAP42,0.8851738,False,-1
ARHGAP6,0.113449655,False,-1
ARHGDIG,0.14618434,True,0
ARHGEF10,0.6861047,False,-1
ARHGEF10L,0.11606221,False,-1
ARHGEF26,0.74426466,False,-1
ARHGEF28,0.8211977,False,-1
ARID3A,0.117795825,False,-1
ARID3B,0.868956,False,-1
ARID5B,0.9073612,False,-1
ARL4A,0.57843703,False,-1
ARMC9,0.5216071,False,-1
ARNT2,0.79237044,False,-1
ARNTL,0.91767776,False,-1
ARNTL2,0.92928064,False,-1
ARPP21,0.9902636,False,-1
ASAP1,0.86542964,False,-1
ASB18,0.3107026,False,-1
ASXL3,0.8536595,False,1
ATF1,0.94249576,False,-1
ATF2,0.84268713,False,-1
ATF3,0.102627724,False,-1
ATF4,0.05805371,False,-1
ATF5,0.03974022,False,-1
ATF6,0.42953497,False,-1
ATF7,0.8730634,False,-1
ATG10,0.45727578,False,-1
ATOH7,0.56950027,False,-1
ATP1A2,0.16669472,False,-1
ATP2B4,0.6334091,False,-1
ATP2C1,0.33051884,False,-1
ATP6V1G2,0.26702496,False,-1
ATP8B1,0.9973067,False,-1
ATP8B4,0.7687423,False,-1
ATRNL1,0.73197234,False,-1
ATXN7L3B,0.37672007,False,-1
B2M,0.066348284,False,-1
B3GAT2,0.4896716,False,-1
B3GNTL1,0.6280468,False,-1
BAALC,0.57772774,False,-1
BACH1,0.84748447,False,-1
BACH2,0.5503023,False,-1
BAMBI,0.472374,False,-1
BANK1,0.0038578806,False,-1
BANP,0.27077207,False,-1
BARD1,0.6990814,False,-1
BAZ1A,0.50265193,False,-1
BBS9,0.26119953,False,-1
BBX,0.7479724,False,-1
BCAR3,0.27225098,False,-1
BCL11A,0.9252305,False,1
BCL11B,0.9475746,False,-1
BCL3,0.24488457,False,-1
BCL6,0.51023537,False,-1
BCL6B,0.3626703,False,0
BCLAF1,0.81178814,False,-1
BCOR,0.48251337,False,-1
BDNF,0.99635255,False,-1
BEX1,0.14849344,False,0
BEX2,0.05957185,False,-1
BEX3,0.14799549,False,-1
BEX5,0.10664667,False,-1
BHLHE41,0.13237543,False,-1
BICDL1,0.7592638,False,-1
BLNK,7.556547e-05,False,0
BMP2,0.74124223,False,-1
BMPER,0.61127424,False,-1
BMPR1B,0.99876285,False,-1
BNC2,2.1008005e-05,True,0
BOC,0.7048899,False,-1
BOLL,0.044670872,False,-1
BPTF,0.77637196,False,-1
BRCA1,0.089643404,False,-1
BRF1,0.920893,False,-1
BRINP1,0.71036166,False,-1
BRINP3,0.59861416,False,-1
BTN2A2,0.05941122,False,-1
BVES,0.80578333,False,-1
C10orf90,0.0075039905,False,-1
C12orf42,0.9009816,False,-1
C12orf75,0.3725056,False,-1
C14orf39,0.35617614,False,-1
C1QB,0.13500218,False,-1
C1QTNF1,0.13218787,False,-1
C1QTNF4,0.026717154,False,-1
C1QTNF9,0.13823636,False,-1
C1orf115,0.23413667,False,0
C1orf61,0.50503796,False,-1
C2orf83,0.0037488043,False,-1
C2orf88,0.6152439,False,-1
C3,0.30590898,True,0
C3orf67,0.66187197,False,-1
C3orf80,0.0957596,False,-1
C4orf48,0.051639054,False,-1
C5orf64,0.4323056,False,-1
C5orf66,0.17968887,False,-1
C6,0.3432365,False,-1
CA3,0.603011,False,-1
CA8,0.7016457,False,-1
CAB39L,0.48909065,False,-1
CACHD1,0.53010696,False,-1
CACNA2D1,0.9986449,False,-1
CACNA2D3,0.7308123,False,1
CACYBP,0.031113641,False,-1
CADM1,0.68095654,False,-1
CADPS2,0.9398231,False,-1
CALCR,0.0545798,False,0
CALCRL,0.2741636,False,-1
CALM1,0.14819515,False,-1
CALM3,0.25262085,False,-1
CAMK2D,0.80579656,False,-1
CAMK2N1,0.28218487,False,-1
CAMKK2,0.760285,False,-1
CANX,0.65224785,False,-1
CARMN,0.0958553,False,-1
CASC15,0.987839,False,-1
CASC2,0.998131,False,-1
CASC8,0.013300169,False,-1
CBLB,0.14130716,False,-1
CBLN1,0.4693122,False,-1
CBLN2,0.9927861,False,-1
CCDC178,0.56727076,False,-1
CCDC26,0.5378806,False,-1
CCDC85A,0.20098065,False,-1
CCDC88C,0.11134916,False,-1
CCNG2,0.7171663,False,-1
CCNYL1,0.32958075,False,-1
CD163,0.07056275,False,-1
CD2,0.0011194284,False,-1
CD226,0.016043006,False,-1
CD300A,0.022085939,False,-1
CD300LB,0.6753396,False,-1
CD47,0.70003575,False,-1
CD59,0.09689995,False,-1
CD63,0.08163959,False,-1
CD69,0.0750152,False,-1
CD83,0.12350588,False,-1
CD86,0.13353339,False,0
CDC14A,0.1080319,False,-1
CDC42EP5,0.0031458565,False,-1
CDCA7,0.028413635,False,-1
CDH11,0.30721107,False,-1
CDH18,0.63247687,False,-1
CDH2,0.6033425,False,-1
CDH20,0.7622106,False,-1
CDH7,0.6283712,False,-1
CDH8,0.9655857,False,-1
CDHR3,0.004827023,False,-1
CDK17,0.8816932,False,-1
CDK19,0.6508978,False,1
CDK2AP1,0.14499208,True,0
CDK6,0.61310315,False,-1
CDKN2B,0.027978996,False,-1
CDKN2B-AS1,0.79856074,False,-1
CDYL,0.6602382,False,-1
CDYL2,0.5183561,False,-1
CEBPB,0.4490946,False,-1
CECR2,0.6642553,False,-1
CELF2,0.99963737,False,1
CELF5,0.67936426,False,-1
CEMIP,0.12242824,False,-1
CEP112,0.86165076,False,-1
CERS3,0.373132,False,-1
CERS6,0.6454733,False,-1
CFL1,0.30290186,False,-1
CFL2,0.4836207,False,-1
CHAMP1,0.8448796,False,1
CHD1,0.8705158,False,1
CHL1,0.8448085,False,-1
CHN1,0.9968285,False,-1
CHODL,0.8914054,False,-1
CHRDL1,0.38950247,False,-1
CHRM2,0.8095347,False,-1
CHST11,0.033481624,False,-1
CHST8,0.01836956,False,-1
CHST9,0.24999636,False,-1
CHSY3,0.877843,False,-1
CKB,0.08938382,False,0
CLDN11,0.008185022,False,-1
CLIC4,0.44844493,False,-1
CLMP,0.028452083,False,-1
CLOCK,0.8755229,False,-1
CLU,0.06125533,False,-1
CMYA5,0.058462664,False,-1
CNDP1,0.38361412,False,-1
CNKSR2,0.6912144,False,1
CNKSR3,0.4352907,False,-1
CNOT4,0.78182715,False,-1
CNR1,0.8634226,False,-1
CNTN5,0.6141987,False,-1
CNTNAP5,0.7481553,False,-1
COBLL1,0.024566608,False,-1
COL15A1,0.1894622,False,-1
COL18A1,0.8568272,False,-1
COL19A1,0.3335741,False,-1
COL1A2,0.09069244,False,-1
COL23A1,0.56773925,False,-1
COL4A2,0.14916427,False,-1
COL4A5,0.051180437,False,-1
COL6A2,0.29015726,False,0
COLEC12,0.029141244,False,-1
CORIN,0.2170255,False,-1
CPEB1,0.3841066,False,-1
CPEB2,0.17520176,False,-1
CPED1,0.0019145777,False,0
CPM,0.4210627,False,-1
CPNE5,0.50236183,False,-1
CRABP1,0.0477209,False,-1
CREB1,0.8503812,False,-1
CREM,0.94194555,False,-1
CRIM1,0.7330299,False,-1
CRISPLD1,0.84827155,False,-1
CRTC2,0.08495405,False,-1
CRYBB1,0.6000098,False,-1
CRYBG3,0.31371912,False,0
CRYGN,0.1475579,False,-1
CSF1R,0.0022805668,False,0
CSMD2,0.033809237,False,-1
CSRP2,0.3695768,False,-1
CTBP2,0.7841853,False,-1
CTCF,0.9121806,False,1
CTCFL,0.311636,False,-1
CTDSPL,0.053938244,False,-1
CTNNA2,0.87007976,True,1
CTNNAL1,0.038542468,False,-1
CTNNB1,0.8522131,False,1
CTNND2,0.5953402,False,-1
CTXN1,0.11568175,False,-1
CUX1,0.79193157,False,-1
CUX2,0.44345614,False,1
CX3CR1,0.0085358275,False,0
CXCL12,0.036253743,False,-1
CXXC4,0.53972715,False,-1
CXXC5,0.8203492,False,-1
CYP27C1,0.021517145,False,-1
DAAM2,0.12773374,False,-1
DACH1,0.8072777,False,-1
DAPK1,0.8382254,False,-1
DAPK2,0.5433969,False,-1
DBP,0.025873609,False,-1
DBX2,0.1196213,False,-1
DCDC2C,0.63139766,False,-1
DCHS2,0.93129975,False,-1
DDIT4,0.04442123,False,-1
DDR2,0.03485542,False,-1
DDX43,0.08653504,False,-1
DEFB135,0.022004077,False,-1
DENND1B,0.62928206,False,-1
DENND2C,0.11284958,False,-1
DGCR8,0.46227005,False,-1
DGKH,0.28809008,False,-1
DGKI,0.9926509,False,-1
DHH,0.022583421,False,-1
DHRS9,0.02137684,False,0
DIAPH2,0.67493904,False,-1
DIAPH3,0.037465442,False,-1
DIO2,0.38164905,False,-1
DIRAS3,0.23564078,False,-1
DISC1,0.14278904,False,0
DISP1,0.4516784,False,-1
DKK2,0.28295264,False,-1
DLC1,0.08870647,False,-1
DLEU1,0.00053274294,False,-1
DLEU2,0.810696,False,-1
DLG1,0.99798125,False,-1
DLG5,0.0627095,False,-1
DLGAP2,0.50806737,False,-1
DLX2,0.12578645,False,-1
DLX4,0.13347785,False,-1
DLX5,0.019220464,False,-1
DLX6,0.0352921,False,-1
DMRT1,0.2777375,False,-1
DMRT3,0.05012286,False,-1
DMRTA1,0.4846357,False,0
DNAH11,0.04807382,False,-1
DNAH8,0.020741414,False,-1
DNAJA1,0.053608578,False,-1
DNAJB1,0.078769885,False,-1
DNAJB4,0.032329503,False,-1
DNAJC21,0.67954004,False,0
DNTT,0.028385121,False,-1
DOCK1,0.12009172,False,-1
DOCK2,0.0056503685,True,0
DOCK4,0.42882445,False,-1
DOCK5,0.48321956,False,-1
DOCK8,7.181006e-05,False,0
DOK5,0.893776,False,-1
DOK6,0.4827043,False,-1
DPEP2,0.008506391,False,-1
DPP10,0.9944746,False,-1
DPP10-AS1,0.8054659,False,-1
DPP6,0.3665191,False,-1
DPY19L1,0.9999337,False,-1
DPY19L3,0.72434366,False,-1
DPYD,0.52440226,False,-1
DRD2,0.4176344,False,-1
DRGX,0.030967653,False,-1
DSCAS,0.26355165,False,-1
DSE,0.57778734,False,-1
DSEL,0.73008424,False,-1
DTNA,0.5341529,False,-1
DUSP1,0.014978592,False,-1
DUSP10,0.2275602,False,-1
DUSP16,0.11451171,False,-1
DUSP4,0.027306255,False,-1
DUSP5,0.0032527186,False,-1
DUSP6,0.213157,False,0
DUXA,0.63285244,False,-1
E2F2,0.056600094,False,-1
E2F6,0.43264174,False,-1
EBF1,0.14254846,False,0
EBF3,0.48034427,False,1
EDA,0.19256763,False,-1
EDA2R,0.08621338,False,-1
EDIL3,0.5302443,False,-1
EDN1,0.5965604,False,-1
EDNRA,0.035149563,False,-1
EDNRB,0.63003516,False,-1
EEF1A2,0.3710628,False,1
EFCAB2,0.6695451,False,-1
EFNA5,0.9703773,False,-1
EFNB2,0.23561968,False,-1
EGFR,0.76225376,False,-1
EGR1,0.0009820065,False,-1
EGR3,0.018326499,False,0
EGR4,0.033053305,False,-1
EHF,0.13739875,False,-1
EIF4G2,0.22117557,False,0
EIF5,0.025112886,False,-1
EIF5A2,0.70067626,False,-1
ELAVL2,0.49425524,False,-1
ELAVL4,0.58015305,False,-1
ELF2,0.7713467,False,-1
ELK3,0.030267194,False,-1
ELK4,0.5773306,False,-1
ELMO1,0.013142783,False,-1
ELMO1-AS1,0.8510086,False,-1
ELMOD1,0.9935149,False,-1
ELOVL2,0.4129883,False,-1
ELOVL5,0.00422087,False,-1
ELOVL7,0.63560694,False,-1
EML1,0.99636924,False,-1
EML6,0.5806602,False,-1
EMP2,0.00423459,False,0
EMX2,0.0773728,False,0
ENAH,0.58331156,False,-1
ENC1,0.87969595,False,-1
ENG,0.0024299303,False,-1
ENO1,0.44315872,False,0
ENOX1,0.97050583,False,-1
ENPP3,0.50060433,False,-1
EOMES,0.0187614,False,-1
EPAS1,0.109701425,False,-1
EPB41L2,0.48412022,False,-1
EPB41L3,0.8051134,False,-1
EPB41L4A,0.21799026,False,-1
EPB41L4B,0.5558299,False,-1
EPHA4,0.9961832,False,-1
EPHA5,0.6524594,False,-1
EPHA6,0.92346984,False,-1
EPHB6,0.96093965,False,-1
EPS8,0.6798846,False,-1
EQTN,0.014951108,False,-1
ERBB3,0.5224557,False,-1
ERC2,0.858327,False,-1
EREG,0.4046943,False,-1
ERF,0.03942251,False,-1
ERG,0.012068797,False,-1
ESCO2,0.19334687,False,-1
ESR1,0.6326881,False,-1
ESR2,0.86705965,False,-1
ESRP1,0.42550287,False,-1
ESRRA,0.017673977,False,-1
ESRRG,0.9500555,False,-1
ETS1,0.23066618,False,-1
ETS2,0.20395476,False,-1
ETV1,0.24820219,False,-1
ETV3,0.65389794,False,0
ETV6,0.049856506,False,-1
EVC,0.10872634,False,-1
EWSR1,0.038033083,False,-1
EXO5,0.6318575,False,-1
EXTL3,0.508258,False,-1
EYA4,0.403226,False,-1
EZH2,0.6686311,False,-1
EZR,0.10233186,False,-1
F10,0.371306,False,-1
F8,0.02518659,False,-1
FABP7,0.27802935,False,-1
FAM102B,0.63910055,False,-1
FAM107B,0.43524298,False,0
FAM110B,0.78622866,False,-1
FAM126A,0.35304007,False,-1
FAM153A,0.39950705,False,-1
FAM153B,0.9924454,False,-1
FAM155A,0.7981493,False,-1
FAM160A1,0.99976534,False,-1
FAM162B,0.67459524,False,-1
FAM184B,0.5414856,False,-1
FAM189A2,0.4999259,False,-1
FAM78B,0.8268318,False,-1
FAM89A,0.63722944,False,-1
FANCC,0.7158777,False,-1
FANCL,0.06712039,False,-1
FANK1,0.7586432,False,-1
FAP,0.03431276,False,-1
FAT1,0.36945724,False,-1
FAT4,0.8722374,False,-1
FBXL19,0.45896262,False,-1
FBXL7,0.70254064,False,-1
FBXO32,0.44379863,False,-1
FBXO34,0.8759258,False,-1
FBXW7,0.9552207,False,-1
FENDRR,0.035885476,False,-1
FEZ1,0.084432214,False,-1
FEZF2,0.036326755,False,-1
FGD3,0.022951089,False,-1
FGF10-AS1,0.9514452,False,-1
FGF13,0.9248009,False,1
FGF7,0.06291215,False,-1
FGFR1,0.15694802,False,-1
FGFR2,0.5357319,False,-1
FHL2,0.9764431,False,-1
FIGN,0.78656775,False,-1
FIP1L1,0.19248985,False,-1
FIZ1,0.04364024,False,-1
FLI1,0.0017297477,False,0
FLRT2,0.8988542,False,-1
FLT3,0.5588668,False,-1
FLVCR2,0.10889506,False,0
FMNL3,0.01013976,False,-1
FNDC3B,0.5866092,False,-1
FOS,0.014818528,False,-1
FOSB,0.010190904,False,-1
FOSL1,0.036057968,False,0
FOSL2,0.015347569,False,-1
FOXC1,0.08387694,False,-1
FOXC2,0.17363904,False,-1
FOXF2,0.11302473,False,-1
FOXG1-AS1,0.38842776,False,-1
FOXJ2,0.5748567,False,-1
FOXJ3,0.79556125,False,-1
FOXK1,0.9392695,False,-1
FOXL1,0.13403843,False,0
FOXM1,0.16413999,False,-1
FOXN2,0.67707044,False,-1
FOXN3,0.90732116,False,-1
FOXO1,0.04978246,True,0
FOXO3,0.7899294,False,-1
FOXP1,0.9927418,False,1
FOXP2,0.9928635,False,1
