gene,score,validation,label
AADACL4,0.001004269,False,-1
ABCA1,0.0035771925,False,-1
ABCA4,0.061900344,False,-1
ABHD17C,0.005171441,False,-1
ABHD3,0.30820578,False,-1
ABI3,0.0006169298,False,-1
ABL1,0.012903066,False,-1
ABLIM3,0.20309573,False,-1
ACSL4,0.010152791,False,-1
ACTA2-AS1,0.08909148,False,-1
ACTB,0.19614589,False,-1
ACTG1,0.02266339,False,-1
ACTL6A,0.004378128,False,-1
ACTR3,0.007618859,False,-1
ACVR1,0.024255337,False,-1
ADAM23,0.014239624,False,-1
ADAMTS1,0.07109631,False,-1
ADAMTS17,0.002126199,False,0
ADAMTS20,0.012499355,False,0
ADAMTS9-AS2,0.017218458,False,-1
ADAMTSL1,0.35871038,False,-1
ADAMTSL3,0.03257007,False,-1
ADARB1,0.02042158,False,-1
ADARB2,0.033240486,False,0
ADARB2-AS1,0.07907833,False,-1
ADCY2,0.15546295,False,1
ADCYAP1R1,0.1494884,False,-1
ADD3-AS1,0.011804268,False,-1
ADGRA3,0.01036126,False,-1
ADGRD1,0.17993182,False,-1
ADGRG7,0.021325694,False,-1
ADGRL3,0.013145565,False,-1
ADNP,0.008414398,False,-1
ADNP2,0.025286,False,-1
ADPRH,0.058619205,False,-1
ADSS,0.01693982,False,-1
AFF1,0.0037857145,False,-1
AFF4,0.01886589,False,0
AGAP1,0.0113316635,False,-1
AGAP2,0.16843258,False,-1
AGBL3,0.075828485,False,-1
AGBL4,0.25034124,False,-1
AGPAT1,0.05388116,False,-1
AHCTF1,0.010472673,False,-1
AHCYL2,0.076481156,False,-1
AHDC1,0.011381339,False,-1
AHR,0.011421531,True,0
AKAP11,0.007452333,False,-1
ALDH1A2,0.076906316,False,-1
ALG13,0.118610874,False,-1
ALK,0.023380259,False,-1
ALOX5,0.001470737,False,-1
AMOTL1,0.015025739,False,-1
ANK1,0.071374215,False,-1
ANKRD30A,0.018507736,False,-1
ANKRD34B,0.013748312,False,-1
ANKRD44,0.004801907,False,-1
ANKRD50,0.10449152,False,-1
ANKRD55,0.04133496,False,-1
ANKRD7,0.2949157,False,-1
ANO1,0.1398228,False,-1
ANO2,0.08795555,False,-1
ANXA4,0.36033443,False,-1
AP1S2,0.010044737,False,-1
APAF1,0.025116758,False,-1
APBB1IP,0.020367118,True,0
APBB2,0.010112692,False,-1
ARAP2,0.014939625,False,-1
ARF3,0.023485644,False,-1
ARG1,0.088127874,False,-1
ARHGAP10,0.43058065,False,-1
ARHGAP20,0.009198183,False,-1
ARHGAP24,0.17333046,False,0
ARHGAP4,0.04285285,False,-1
ARHGAP6,0.0067586987,False,-1
ARHGEF10,0.1074948,False,-1
ARHGEF18,0.0027959822,False,-1
ARHGEF26,0.0048308126,False,-1
ARHGEF28,0.21075267,False,-1
ARID3A,0.0013362124,False,-1
ARID5A,0.26861373,False,-1
ARID5B,0.012169058,False,-1
ARL4C,0.34436387,False,-1
ARMC2,0.02590317,False,-1
ARMC4,0.41776267,False,-1
ARMCX4,0.0044207717,False,-1
ARNT2,0.022309076,False,-1
ARNTL,0.010201916,False,-1
ARPP21,0.27334967,False,-1
ARRDC3-AS1,0.043056536,False,-1
ARSB,0.012292418,False,-1
ARSG,0.009748202,False,-1
ARSJ,0.0032000795,False,0
ARX,0.003178198,False,0
ASAH2B,0.013802036,False,-1
ASB1,0.001844099,False,-1
ASCC1,0.684179,False,-1
ASCL1,0.08398939,False,-1
ASCL2,0.022134546,False,-1
ATF2,0.01495516,False,-1
ATF5,0.011520794,False,-1
ATF6,0.67793643,False,-1
ATF7,0.0022353502,False,-1
ATG10,0.02698395,False,-1
ATG5,0.01923357,False,-1
ATP10A,0.033966288,False,0
ATP11C,0.14831148,False,-1
ATP1B1,0.3859873,False,-1
ATP2B4,0.42146373,False,-1
