gene,score,validation,label
A2M,0.038452964,True,0
AAAS,0.04254209,False,0
AACS,0.034652628,False,0
AADACL4,0.010741424,True,0
AAK1,0.04463276,False,0
AAR2,0.0308742,True,0
AARS,0.04595797,False,0
AASDHPPT,0.04152031,False,0
AATF,0.035204034,False,0
AATK,0.03940053,False,0
ABCA1,0.05121241,False,0
ABCA10,0.037590787,False,0
ABCA4,0.044506155,False,0
ABCA5,0.015663376,False,0
ABCA6,0.053902272,True,0
ABCB9,0.03592541,False,0
ABCC3,0.057647027,False,0
ABCC4,0.04844817,False,0
ABCC5,0.029102592,False,0
ABCC9,0.04056457,False,0
ABCD4,0.02470479,False,0
ABCE1,0.035958048,False,0
ABCF2,0.042648308,True,0
ABCF3,0.03263484,False,0
ABHD12,0.04948653,False,0
ABHD13,0.037603613,False,0
ABHD14A,0.021566486,False,0
ABHD16A,0.03863424,False,0
ABHD17A,0.035855144,False,0
ABHD17C,0.055829626,True,0
ABHD2,0.018857928,False,0
ABHD3,0.04895377,True,0
ABHD6,0.052607737,False,0
ABHD8,0.05006286,False,0
ABI1,0.037412524,False,0
ABI3,0.05839297,False,0
ABL1,0.054943506,False,0
ABLIM1,0.03864632,False,1
ABLIM2,0.048823465,False,0
ABLIM3,0.08054164,True,0
ABR,0.064193815,False,0
ABTB1,0.02630811,False,0
ABTB2,0.040737625,False,0
ACAP2,0.04192492,True,0
ACAP3,0.045395326,False,0
ACBD5,0.033758268,False,0
ACER2,0.036864884,True,0
ACHE,0.043871142,False,0
ACIN1,0.031806584,False,0
ACO1,0.02391438,False,0
ACSBG1,0.045482915,False,0
ACSL3,0.025643092,False,0
ACSL4,0.05914207,False,0
ACTA2-AS1,0.06045621,False,0
ACTB,0.031343624,False,0
ACTG1,0.037554473,False,0
ACTL6A,0.06211784,False,0
ACTL6B,0.039589677,False,0
ACTN1,0.04988345,False,0
ACTN2,0.035392623,True,0
ACTR1A,0.01909402,False,0
ACTR1B,0.040663213,False,0
ACTR2,0.03347082,False,0
ACTR3,0.03626042,False,0
ACTR3C,0.038586766,False,0
ACTR6,0.026141413,False,0
ACVR1,0.074240364,False,0
ACVR1B,0.044206668,False,0
ACVR2A,0.036149506,False,0
ACYP1,0.008190471,False,0
ACYP2,0.030443175,True,0
ADA,0.01700925,False,0
ADAM10,0.04159056,True,0
ADAM11,0.04336552,False,0
ADAM17,0.018875744,True,0
ADAM22,0.030290106,False,0
ADAM23,0.05143232,False,0
ADAM28,0.03339236,True,0
ADAM32,0.048629206,False,0
