gene,score,validation,label
ABCA1,0.035928052,False,0
ABCB1,0.04591723,False,0
ABCB11,0.0048598475,False,0
ABCC3,0.009133056,False,0
ABCC4,0.001282736,False,0
ABCF2,0.004529139,True,0
ABCG2,0.028732764,False,0
ABI3BP,0.0040057683,False,0
ABL1,0.058887515,False,0
ABRA,0.0055786027,False,0
ACSBG1,0.0002816839,False,0
ACTB,0.010236769,False,0
ACTG1,0.002521278,False,0
ACVR1,0.010629876,False,0
ACVR1C,0.11405876,False,0
ADAD2,0.0034664038,False,0
ADAM28,0.02586799,False,0
ADAM29,0.058917608,False,0
ADAM32,0.14123464,True,0
ADAMTS16,0.005263328,False,0
ADAMTS17,0.01195955,False,0
ADAMTS2,0.049715888,False,1
ADAMTS3,0.009550217,False,0
ADAMTS9-AS1,0.17235641,False,0
ADAMTSL1,0.022564072,True,0
ADARB1,0.10991697,False,0
ADARB2,0.0048156404,False,0
ADCY2,0.09245562,False,1
ADCYAP1,0.08575597,False,0
ADD3-AS1,0.010247354,False,0
ADGRF5,0.08517718,False,0
ADGRL2,0.07258922,False,0
ADM,0.012076026,False,0
ADNP,0.01433166,False,0
ADNP2,0.043040022,False,0
ADORA3,0.046153776,False,0
ADRA1A,0.0033529,False,0
ADTRP,0.040026475,False,1
AEBP1,1.044773e-05,False,0
AEBP2,0.09048575,False,0
AFAP1,0.008598438,False,0
AFF1,0.014384816,False,0
AFF4,0.024714213,False,0
AGAP2,0.0013208417,False,0
AGBL1,0.031741932,False,1
AHCTF1,0.060011692,True,0
AHDC1,0.03215855,False,0
AHNAK,5.497835e-06,True,0
AHNAK2,0.033369284,False,0
AHR,0.0094766505,False,0
AKAP13,0.095919706,False,0
AKR1C3,0.040343575,False,0
ALCAM,0.09532783,False,0
ALDH1A2,0.01760857,True,0
ALDH1A3,0.0065779267,True,0
ALDOC,0.0057908692,True,0
ALOX15B,0.0008707211,False,0
ALOX5,0.005712269,False,0
ALOX5AP,0.0158857,True,0
ALPK1,0.021298442,False,0
ANGPT1,0.033178974,False,0
ANHX,0.10475832,False,0
ANK1,0.009457244,False,0
ANKRD22,0.02115125,True,0
ANKRD24,0.013285585,False,0
ANKRD30A,0.038518503,False,0
ANKRD30B,0.028568491,False,0
ANKRD30BL,0.016025532,True,0
ANKRD33B,0.08976043,False,0
ANKRD34C-AS1,0.015792772,False,0
ANKRD62,0.05406433,False,0
ANKRD7,0.049717978,False,0
ANLN,0.029928612,False,0
ANO10,0.06505135,False,0
ANO2,0.043140907,False,0
ANO3,0.24133715,False,1
ANO4,0.13079011,True,0
ANXA11,0.0023144588,False,0
AOAH,0.0005845179,True,0
AP1S1,0.0069451663,True,0
AP2M1,0.0007815758,False,0
APBA2,0.04468828,True,0
APBB1IP,0.014920605,False,0
APBB2,0.046316113,False,0
APCDD1,0.03894656,False,0
APEX2,0.004685081,False,0
APLP1,0.0026188365,False,0
APOC2,0.0040584453,False,0
APOD,0.01307919,False,0
AQP4,0.0146494005,False,0
AQP4-AS1,0.051156033,False,0
AQP9,0.0054000346,False,0
ARC,0.0025839205,True,0
AREG,0.0048678354,True,0
ARF1,0.001178223,False,0
ARFGAP1,0.001101884,False,0
ARG1,0.009296537,False,0
ARHGAP10,0.004373958,False,0
ARHGAP12,0.06341758,False,0
ARHGAP15,0.03770511,False,0
ARHGAP20,0.09983685,False,0
ARHGAP22,0.03454424,False,0
ARHGAP24,0.0276956,False,0
ARHGAP25,0.032944396,False,0
ARHGAP26,0.07457958,False,0
ARHGAP29,0.020131074,False,0
ARHGAP31,0.03703083,False,0
ARHGAP42,0.031472422,False,0
ARHGDIA,0.0015383741,False,0
ARHGDIB,0.0063146753,False,0
ARHGDIG,0.0029199226,False,0
ARHGEF28,0.15530178,False,0
ARHGEF40,0.009890099,False,0
ARHGEF6,0.006896101,False,0
ARID3A,0.002106434,False,0
ARID3B,0.03461815,False,0
ARID5A,0.014528381,False,0
ARID5B,0.07757714,False,0
ARLNC1,0.002360614,True,0
ARMC3,0.016116131,False,0
ARNT2,0.05849992,False,0
ARNTL,0.018862398,False,0
ARNTL2,0.02782908,False,0
ARPC5L,0.009887807,False,0
ARPP19,0.0067014922,False,0
ART3,0.03343833,False,0
ARX,0.042939793,False,0
ASAP1,0.028025765,False,0
ASAP2,0.01230879,False,1
ASB18,0.03671503,False,1
ASB2,0.092778526,False,0
ASCL1,0.018686265,False,0
ASCL4,0.0011584946,True,0
ASH2L,0.014604289,False,0
ASIC2,0.012873525,False,0
ASPA,0.0395639,False,0
ASPSCR1,0.0052895667,False,0
ASXL3,0.01919577,False,0
ATF2,0.006632989,False,0
ATF3,0.003274786,True,0
ATF4,0.011535466,False,0
ATF5,0.043961275,False,0
ATF6B,0.0044059176,False,0
ATF7IP2,0.06054941,False,0
ATG10,0.008430247,False,0
ATOH7,0.03592166,False,0
ATOH8,0.0013664945,True,0
ATP10A,0.020428546,False,0
ATP1A1,0.005656142,False,0
ATP1A3,0.0030504863,True,0
ATP1B2,0.0020990367,True,0
ATP1B3,0.0231176,False,0
ATP6AP1,0.012300699,False,0
ATP6AP2,0.010040702,False,0
ATP6V0C,0.007131908,False,0
ATP6V0E2,0.017494436,True,0
ATP6V1C2,0.02089567,False,0
ATP8B1,0.040061083,False,0
ATP8B4,0.11910958,False,0
ATRNL1,0.06409974,True,0
ATXN1,0.07787069,False,1
ATXN7L1,0.03299105,False,0
ATXN7L3B,0.050771013,False,0
ATXN8OS,0.025776314,False,0
AUTS2,0.040591646,True,1
AXL,0.0019025411,False,0
B3GLCT,0.07153885,False,1
B4GAT1,0.046005704,False,0
BACE2,0.015371041,False,0
BACH1,0.05028973,False,0
BACH2,0.016132923,True,0
BANP,0.015869478,True,0
BATF,0.050090224,False,0
BATF3,0.078471996,False,0
BAZ1A,0.010988353,False,0
BBOX1-AS1,0.0014033299,True,0
BBX,0.0043325676,False,0
BCAS1,0.032992307,False,0
BCAS2,0.010858958,False,0
BCAT1,0.017722158,False,0
BCL11A,0.10556056,False,0
BCL11B,0.050765853,False,0
BCL3,0.007489405,False,0
BCL6,0.028741775,False,0
BCL6B,0.05618917,False,0
BCLAF1,0.005090203,False,0
BCR,0.015159291,False,0
BDKRB1,0.0145076085,False,0
BDNF,0.00074621243,True,0
BDP1,0.07905504,True,0
BEND4,0.03961287,False,0
BEND6,0.011540104,False,0
BEX1,0.007290617,True,0
BEX2,0.007372334,False,0
BEX3,0.024329469,False,0
BEX5,0.00068723323,False,0
BFSP2-AS1,0.019413542,False,0
BHLHE22,0.012493176,False,0
BHLHE40,0.023578608,False,0
BHLHE40-AS1,0.095026664,False,0
BICC1,0.09662451,False,0
BMPER,0.12721917,False,0
BNC2,0.029784039,False,1
BPTF,0.0076953154,False,0
BRCA1,0.027315933,False,0
BRF2,0.0026172155,False,0
BRINP1,0.014672545,False,0
BRINP2,0.048397034,True,0
BRINP3,0.071869776,False,0
BRIP1,0.0069774142,False,0
BTBD11,0.03165463,False,0
BTC,0.08727872,False,0
BTG4,0.027988236,False,0
BVES,0.006676937,False,0
C10orf67,0.04527125,False,0
C11orf44,0.0041649686,True,0
C11orf96,0.020185068,False,0
C12orf42,0.02713784,False,0
C14orf132,0.123189576,False,0
C14orf39,0.029527524,False,0
C16orf95,0.031953406,False,0
C17orf100,0.0024951454,True,0
C19orf25,0.004416409,False,0
C1QC,0.015949067,False,0
C1QL2,0.010276219,False,0
C1QTNF4,0.008083473,True,0
C1orf115,0.024085212,False,0
C22orf34,0.022960696,False,0
C2orf27A,0.051178534,False,0
C3,0.004643391,True,0
C3orf67,0.08625662,False,0
C3orf67-AS1,0.037008606,False,0
C4orf45,0.06147529,False,0
C4orf48,0.006058441,False,0
C5orf30,0.113391005,False,0
C5orf47,0.025321554,True,0
C5orf66,0.0057975603,True,0
C7,0.012945516,True,0
C8orf86,0.010366078,False,0
C9orf16,0.034630205,False,0
CA10,0.07599873,False,1
CA3,0.07431786,False,0
CABCOCO1,0.0039721318,False,0
CACHD1,0.013150768,False,0
CACNA1E,0.04428888,False,0
CACNA1G,0.15256548,False,0
CACNA1H,0.0064096157,True,0
CACNA2D3,0.026639441,False,1
CACNG2,0.017212631,False,0
CACNG3,0.055227544,False,0
CACNG5,0.060680013,True,0
CADM1,0.042991772,False,0
CADPS,0.03491379,False,0
CADPS2,0.045317527,False,0
CALB1,0.004059702,False,0
CALM1,0.0019360201,False,0
CALM2,0.012390062,False,0
CALN1,0.009715025,True,0
CALY,0.0032755022,False,0
CAMK2D,0.027727064,True,0
CAMK2G,0.0012818152,True,0
CAMK2N1,0.0051062335,False,0
CAMK2N2,0.0072884774,False,0
CAPN14,0.0018226937,True,0
CAPNS1,0.006818615,False,0
CARD11,0.044079207,False,0
CARF,0.072574645,False,0
CARTPT,0.014699151,False,0
CASC15,0.059079513,False,0
CASC18,0.006764175,True,0
CASP4,0.0079755355,True,0
CATSPERB,0.03620516,False,0
CBLN2,0.0083122095,False,0
CBLN4,0.024190893,False,0
CBX6,0.0052319206,False,0
CBX7,0.03439592,False,0
CCBE1,0.021278838,True,0
CCDC144NL,0.020094398,False,0
CCDC144NL-AS1,0.028384069,False,0
CCDC158,0.0829654,False,0
CCDC160,0.009967244,False,0
CCDC169,0.008905705,True,0
CCDC175,0.09803866,False,0
CCDC178,0.14954849,False,0
CCDC192,0.028733464,True,0
CCDC196,0.008916426,False,0
CCDC25,0.07844376,False,0
CCDC26,0.0063981162,False,0
CCDC3,0.061039276,False,0
CCDC39,0.027645014,False,0
CCDC60,0.0071395063,False,0
CCDC85A,0.12474074,True,0
CCDC88C,0.017657444,False,0
CCDC91,0.027839247,False,0
CCK,0.008203809,False,0
CCL3,0.048563614,False,0
CCL3L1,0.04124798,False,0
CCL4,0.021925667,False,0
CCND1,0.012421362,True,0
CCNI,0.023155656,False,0
CCNT2-AS1,0.053322032,True,0
CCR1,0.005409134,False,0
CCSER1,0.018062253,False,0
CD14,0.0120546995,False,0
CD163,0.05581249,False,0
CD163L1,0.042973578,False,0
CD2,0.027816288,False,0
CD200R1,0.0055140024,False,0
CD22,0.030462166,False,0
CD44,9.337464e-06,False,0
CD58,0.011105269,False,0
CD59,0.029990545,False,0
CD63,0.007040199,False,0
CD74,0.044542797,True,0
CD81,0.0070097637,False,0
CD84,0.030901061,False,0
CD86,0.007833358,False,0
CDC14A,0.018481813,False,0
CDC14B,0.010593658,True,0
CDC42EP1,0.0023021705,False,0
CDCA7L,0.022098653,False,0
CDH10,0.2502529,False,0
CDH11,0.075559705,False,0
CDH12,0.05985853,False,0
CDH13,0.004297392,False,0
CDH18,0.03159944,False,1
CDH19,0.039812673,False,0
CDH20,0.040316585,False,0
CDH22,0.054602575,False,0
CDH4,0.002467686,True,0
CDH7,0.034201477,False,0
CDH8,0.021936767,False,0
CDH9,0.08299117,False,0
CDK14,0.0066356664,False,0
CDK2AP1,0.0021287217,False,0
CDK5R1,0.0002298032,True,0
CDKL5,0.029957183,False,0
CDKN2A,0.032863952,False,0
CDKN2B,0.0053870375,True,0
CDKN2B-AS1,0.04765342,False,0
CDKN2D,0.0030891309,False,0
CDS1,0.019700399,False,0
CDYL2,0.06132757,True,0
CEBPA,0.003857122,False,0
CEBPB,0.0010507777,False,0
CEBPG,0.08626513,False,0
CELF4,0.025612332,False,0
CELF6,0.042259198,False,0
CEMIP,0.066779345,True,0
