gene,score,validation,label
ABCA1,0.04369348,False,-1
ABCB1,0.00028385952,False,-1
ABCB11,0.0067656967,False,-1
ABCC4,0.054067153,False,-1
ABCF2,0.19088538,False,-1
ABCG2,0.006577917,True,0
ABI3BP,0.1698254,False,-1
ABL1,0.033141706,False,-1
ABRA,8.7090426e-05,False,-1
ACSBG1,0.12548462,False,-1
ACTB,0.14914326,False,-1
ACTG1,0.30889174,False,-1
ACVR1,0.0039189947,False,-1
ACVR1C,0.0037432986,False,-1
ADAD2,0.3612721,False,-1
ADAM28,4.8294633e-06,False,0
ADAMTS17,0.1358386,False,-1
ADAMTS3,0.0014755551,False,-1
ADARB2,0.32639048,False,-1
ADCY2,0.019910961,True,1
ADCYAP1,0.0020697825,False,-1
ADD3-AS1,0.0046768263,False,-1
ADGRF5,0.00089663087,False,-1
ADM,0.05616286,False,-1
ADNP,0.096775346,False,-1
ADNP2,0.37859914,False,-1
ADORA3,5.0181125e-06,False,-1
ADRA1A,0.010428283,False,-1
ADTRP,0.009322018,False,-1
AEBP1,0.021298263,False,-1
AFF1,0.10640499,False,0
AFF4,0.13396248,False,-1
AGAP2,0.2921105,False,-1
AHCTF1,0.037319433,False,0
AHNAK,0.016305996,False,-1
AHR,0.11065354,False,-1
AKAP13,0.038922273,False,-1
AKR1C3,0.18656975,False,-1
ALCAM,0.011979038,False,-1
ALDH1A2,0.052396506,False,-1
ALDH1A3,0.19952193,False,-1
ALDOC,0.044612285,False,-1
ALOX15B,0.013245782,False,-1
ALOX5,4.3264123e-08,False,-1
ALOX5AP,0.0006045599,False,-1
ALPK1,0.21643496,False,-1
ANGPT1,0.056133658,False,-1
ANHX,0.06858589,False,-1
ANK1,0.20840052,False,-1
ANKRD22,3.8724127e-05,False,-1
ANKRD30A,4.789688e-06,False,0
ANKRD30B,0.0073259994,False,-1
ANKRD30BL,0.0007496179,False,-1
ANLN,0.03744858,False,-1
ANO10,0.0064673917,False,-1
ANO2,0.010377335,False,0
ANO3,0.10429735,False,-1
ANO4,0.0028927536,False,-1
ANXA11,0.35868517,False,-1
AOAH,0.007915787,False,-1
AP1S1,0.37574947,False,-1
AP2M1,0.27290022,False,-1
APBB1IP,2.0889777e-06,False,0
APBB2,0.0016824276,False,-1
APCDD1,0.029930454,False,-1
APEX2,0.221364,False,-1
APLP1,0.17249104,False,-1
APOC2,7.746106e-06,False,-1
APOD,0.0761729,False,-1
AQP4,0.29176036,False,-1
ARC,3.6892823e-05,False,-1
AREG,0.0001055845,False,-1
ARF1,0.23965336,False,-1
ARFGAP1,0.123411484,False,-1
ARHGAP10,0.24546711,False,-1
ARHGAP12,0.3254532,False,-1
ARHGAP15,7.829112e-05,False,-1
ARHGAP20,0.009519351,False,-1
ARHGAP22,0.29886946,False,-1
ARHGAP24,3.4953428e-07,False,0
ARHGAP25,0.012378206,False,-1
ARHGAP26,0.0014310863,False,-1
ARHGAP29,0.022093398,False,-1
ARHGAP31,0.0003893349,False,-1
ARHGAP42,0.051564805,False,-1
ARHGDIA,0.22642086,False,-1
ARHGDIB,0.00017913793,False,-1
ARHGDIG,0.29900876,False,-1
ARHGEF28,0.07911484,False,-1
ARHGEF40,1.7127815e-05,False,-1
ARHGEF6,0.0019415525,False,-1
ARID3A,0.34843785,False,-1
ARID3B,0.014192313,False,-1
ARID5A,0.08169863,False,-1
ARID5B,0.18786694,False,-1
ARMC3,0.006500219,False,-1
ARNT2,0.012624082,False,-1
ARNTL,0.35681286,False,-1
ARPC5L,0.11729385,False,-1
ARPP19,0.1906878,False,-1
ART3,0.022317315,False,-1
ARX,0.082068145,False,-1
ASAP1,0.010264688,False,-1
ASAP2,0.004346474,False,-1
ASCL4,0.004723724,False,-1
ASH2L,0.29187733,False,-1
ASIC2,3.9719384e-07,False,-1
ASPA,0.042633817,False,-1
ASPSCR1,0.12116428,False,-1
ASXL3,0.0096126115,False,-1
ATF2,0.082387626,False,-1
ATF3,1.2694414e-05,False,-1
ATF4,0.12432755,False,-1
ATF5,0.27180246,False,-1
ATF6B,0.34414053,True,0
ATG10,0.0025136613,False,-1
ATOH7,0.2933811,False,-1
ATOH8,0.34600735,False,-1
ATP10A,0.0006599149,False,-1
ATP1A1,0.18327129,False,-1
ATP1A3,0.3396974,False,-1
ATP1B2,0.17748202,False,-1
ATP1B3,0.008137007,False,-1
ATP6AP1,0.14547177,False,-1
ATP6AP2,0.19943537,False,-1
ATP6V0C,0.18697694,False,-1
ATP6V0E2,0.08426396,False,-1
ATP8B4,0.03649178,False,-1
ATRNL1,0.41490558,False,-1
ATXN1,0.47602642,False,-1
ATXN7L3B,0.306071,False,-1
ATXN8OS,0.0042364625,False,-1
AUTS2,0.33502808,False,0
AXL,2.9368788e-05,False,-1
B4GAT1,0.14634886,False,-1
BACH1,0.004268905,False,-1
BACH2,0.3459927,False,-1
BANP,0.009879449,False,-1
BATF,1.8843373e-06,False,-1
BATF3,0.047432788,False,-1
BAZ1A,0.006247289,False,-1
BBX,0.17800839,False,-1
BCAS1,0.032343604,False,-1
BCAS2,4.0718023e-05,False,-1
BCAT1,0.29128158,False,-1
