gene,score,validation,label
ACTB,0.90855575,False,-1
ACTG1,0.9875645,False,-1
ACTN2,0.002481591,False,-1
ACVR1,3.7381614e-07,False,-1
ADAM23,4.3489267e-06,False,-1
ADAMTS5,0.07216238,False,-1
ADAMTSL3,7.4306325e-07,False,-1
ADARB2,0.7468652,False,-1
ADCY1,0.49645436,False,-1
ADCY5,0.90890306,False,-1
ADD3-AS1,0.07626126,False,-1
ADGRA3,0.36967742,False,-1
ADGRL2,0.1642175,False,-1
ADGRL3,0.11657229,False,-1
ADGRV1,0.68592674,False,-1
ADNP,0.3215261,False,-1
ADNP2,0.13487537,False,-1
ADRA1A,0.044609625,False,-1
AFF1,0.0584323,False,0
AFF2,0.0003475828,False,-1
AFF3,2.9243898e-07,False,-1
AFF4,0.1850852,False,-1
AGAP1,0.21829487,False,-1
AGAP2,0.300803,False,-1
AHCTF1,0.12243649,False,0
AHR,0.31546512,False,-1
AK5,0.95327693,False,-1
AKAP13,6.533592e-06,False,-1
ALDH1A1,0.0001334793,False,-1
ALDH1A2,0.012642996,False,-1
AMOT,0.51306087,False,-1
ANGPT2,0.63763165,False,-1
ANKRD28,0.26720783,False,-1
ANKRD30B,0.035074625,False,-1
ANKRD31,0.99981135,False,-1
ANKRD44,0.80967563,False,-1
ANKRD55,0.29780778,False,-1
ANO10,0.6366915,False,-1
ANO6,0.059360642,False,-1
ANPEP,0.028842727,False,-1
ANXA11,1.4239636e-09,False,-1
ANXA4,0.070368536,False,-1
AP1S2,0.98432887,False,-1
AP2M1,0.9898963,False,-1
APCDD1,5.8636642e-06,False,-1
ARC,5.8207057e-05,False,-1
ARF1,0.99964046,False,-1
ARHGAP12,0.2630101,False,-1
ARHGAP15,0.12543114,False,-1
ARHGAP20,0.6540569,False,-1
ARHGAP24,0.01857197,False,0
ARHGAP25,0.090181686,False,-1
ARHGAP26,0.062315773,False,-1
ARHGDIG,0.9659629,False,-1
ARHGEF28,0.03113802,False,-1
ARHGEF7,0.017275501,False,-1
ARID5A,0.8003971,False,-1
ARID5B,0.019682799,False,-1
ARL2BP,0.9876416,False,-1
ARL4C,0.8239327,False,-1
ARL6IP5,0.99097705,False,-1
ARNTL2,0.008439097,False,-1
ARSG,0.0048883604,False,-1
ARX,5.0986546e-05,False,-1
ASPA,0.66773397,False,-1
ASXL3,0.1471547,False,-1
ATF1,0.03695501,False,-1
ATF2,0.0375465,False,-1
ATG10,0.009517369,False,-1
ATP10A,0.009857751,False,-1
ATP13A4,0.5933148,False,-1
ATP1B2,0.99951816,False,-1
ATP1B3,0.009091861,False,-1
ATP6V0C,0.57084376,False,-1
ATP6V1A,0.008367696,False,-1
ATP8A1,0.17609859,False,-1
ATP8B1,1.5351539e-08,False,-1
ATRNL1,0.0011402349,False,-1
ATXN1,0.057775572,False,-1
ATXN7L3B,0.9983699,False,-1
AVEN,0.00073428557,False,-1
AVP,0.8896724,False,-1
B2M,0.9872131,False,-1
B3GALT2,0.99600595,False,-1
B3GNTL1,0.026632048,False,-1
BAALC,3.927251e-06,False,-1
BAALC-AS2,0.89975846,False,-1
BACH1,0.06303222,False,-1
BACH2,0.14465004,False,-1
BANP,0.0006293545,False,-1
BARD1,0.008900062,False,-1
BAZ1A,0.14098188,False,-1
BBOX1,0.57535696,False,-1
BBX,0.2249977,False,-1
BCAR3,0.79045373,False,-1
BCL11A,0.1276975,False,-1
BCL11B,0.0046215444,False,-1
BCLAF1,0.045679703,False,-1
BEND6,4.890981e-05,False,-1
BEX3,0.8979248,False,-1
BEX4,0.9775693,False,-1
BHLHE22,2.975004e-05,False,-1
BHLHE41,0.8782091,False,-1
BMF,0.90228397,False,-1
BMP2K,0.0023414188,False,-1
BMPR1B,0.0020210652,False,-1
BPTF,0.0015483364,False,-1
BRF1,0.36109918,False,-1
BRF2,8.869046e-08,False,0
BRINP3,1.5799005e-05,False,-1
BTBD9,0.042017672,False,-1
BZW2,0.038712326,False,-1
C14orf39,0.8065857,False,-1
C16orf95,3.5593705e-05,False,-1
C18orf54,0.69542575,False,-1
C1GALT1,0.06920063,False,-1
C1QL3,0.60244477,False,-1
C1orf21,0.03829586,False,-1
C3orf67,5.9186746e-11,False,-1
C5orf67,0.0057237516,False,-1
CA3,0.46993935,False,-1
CABLES1,0.015476356,False,-1
CACHD1,0.62126654,False,-1
CACNA1D,0.7820637,False,1
CACNA2D1,0.05432272,False,-1
CACNA2D3,0.0004750329,False,-1
CACNB2,3.154279e-11,False,-1
CADM2,0.33090967,False,-1
CADPS2,0.058705796,False,-1
CALM1,0.9905509,False,-1
CALN1,0.0074766846,False,-1
CALY,0.9891537,False,-1
CAMK2N1,0.3347608,False,-1
CARF,0.02561364,False,-1
CASC15,0.12168372,False,-1
CASC19,0.088408545,False,-1
CASC2,0.4964199,False,-1
CAV2,0.3943507,False,-1
CBL,0.06794627,False,-1
