_BACKGROUND,5p,10p,15p
TRPC3,TRPC3,TRPC3,TRPC3
GAD1,GAD1,GAD1,GAD1
NPSR1,NPSR1,NPSR1,NPSR1
ZNF707,ZNF707,ZNF707,ZNF707
ZNF320,ZNF320,ZNF320,ZNF320
TENM4,TENM4,TENM4,TENM4
E2F3,E2F3,E2F3,E2F3
HIC1,HIC1,HIC1,HIC1
NTNG2,NTNG2,NTNG2,NTNG2
MYBPC1,MYBPC1,MYBPC1,MYBPC1
STXBP5-AS1,STXBP5-AS1,STXBP5-AS1,STXBP5-AS1
FSTL5,FSTL5,FSTL5,FSTL5
CPLX1,CPLX1,CPLX1,CPLX1
TSC22D4,TSC22D4,TSC22D4,TSC22D4
SSBP2,SSBP2,SSBP2,SSBP2
GRPR,GRPR,GRPR,GRPR
MEX3C,MEX3C,MEX3C,MEX3C
AP2M1,AP2M1,AP2M1,AP2M1
GAD2,GAD2,GAD2,GAD2
SCN1B,SCN1B,SCN1B,SCN1B
AP1S2,AP1S2,AP1S2,AP1S2
DIRAS1,DIRAS1,DIRAS1,DIRAS1
NDST3,NDST3,NDST3,NDST3
PFN2,PFN2,PFN2,PFN2
SCRT1,SCRT1,SCRT1,SCRT1
WNT7B,WNT7B,WNT7B,WNT7B
RND2,RND2,RND2,RND2
ACTB,ACTB,ACTB,ACTB
LYNX1,LYNX1,LYNX1,LYNX1
NR2F6,NR2F6,NR2F6,NR2F6
COL23A1,COL23A1,COL23A1,COL23A1
GNA15,GNA15,GNA15,GNA15
RARA-AS1,RARA-AS1,RARA-AS1,RARA-AS1
CCDC85B,CCDC85B,CCDC85B,CCDC85B
NANOS1,NANOS1,NANOS1,NANOS1
TMEM100,TMEM100,TMEM100,TMEM100
TBL1X,TBL1X,TBL1X,TBL1X
GZF1,GZF1,GZF1,GZF1
PCBP1,PCBP1,PCBP1,PCBP1
GEN1,GEN1,GEN1,GEN1
EIF4G2,EIF4G2,EIF4G2,EIF4G2
XBP1,XBP1,XBP1,XBP1
MOB3B,MOB3B,MOB3B,MOB3B
KLHL2,KLHL2,KLHL2,KLHL2
SFRP1,SFRP1,SFRP1,SFRP1
VAMP2,VAMP2,VAMP2,VAMP2
ARID5A,ARID5A,ARID5A,ARID5A
NTNG1,NTNG1,NTNG1,NTNG1
FGD6,FGD6,FGD6,FGD6
NKX6-2,NKX6-2,NKX6-2,NKX6-2
SULT4A1,SULT4A1,SULT4A1,SULT4A1
SNRPB2,SNRPB2,SNRPB2,SNRPB2
NFE2L1,NFE2L1,NFE2L1,NFE2L1
ZNF592,ZNF592,ZNF592,ZNF592
PTMA,PTMA,PTMA,PTMA
ZNF132,ZNF132,ZNF132,ZNF132
YIF1A,YIF1A,YIF1A,YIF1A
EYA4,EYA4,EYA4,EYA4
NAP1L1,NAP1L1,NAP1L1,NAP1L1
HMGB3,HMGB3,HMGB3,HMGB3
YOD1,YOD1,YOD1,YOD1
TMEM141,TMEM141,TMEM141,TMEM141
RAC1,RAC1,RAC1,RAC1
MED12L,MED12L,MED12L,MED12L
MTPN,MTPN,MTPN,MTPN
FOXE3,,FOXE3,FOXE3
PGRMC1,,PGRMC1,PGRMC1
CACNA1D,,CACNA1D,CACNA1D
SCOC,,SCOC,SCOC
SERP2,,SERP2,SERP2
GNG4,,GNG4,GNG4
TM2D2,,TM2D2,TM2D2
YWHAB,,YWHAB,YWHAB
FAM160A1,,FAM160A1,FAM160A1
GRINA,,GRINA,GRINA
ZBTB33,,ZBTB33,ZBTB33
KMT2A,,KMT2A,KMT2A
STON1-GTF2A1L,,STON1-GTF2A1L,STON1-GTF2A1L
CUTA,,CUTA,CUTA
CCDC69,,CCDC69,CCDC69
ZBTB22,,ZBTB22,ZBTB22
GNAS,,GNAS,GNAS
ZNF148,,ZNF148,ZNF148
SOX2,,SOX2,SOX2
LDHA,,LDHA,LDHA
EDF1,,EDF1,EDF1
SERF2,,SERF2,SERF2
ATP8A1,,ATP8A1,ATP8A1
STMN1,,STMN1,STMN1
NR3C1,,NR3C1,NR3C1
SNAP25,,SNAP25,SNAP25
ENO1,,ENO1,ENO1
HSPH1,,HSPH1,HSPH1
ATXN7L3B,,ATXN7L3B,ATXN7L3B
RHBDL3,,RHBDL3,RHBDL3
H1FX,,H1FX,H1FX
METRNL,,METRNL,METRNL
FBN1,,FBN1,FBN1
PEX5L,,PEX5L,PEX5L
ACTG1,,ACTG1,ACTG1
NFYB,,NFYB,NFYB
CRISPLD1,,CRISPLD1,CRISPLD1
MARCKS,,MARCKS,MARCKS
EPHA4,,EPHA4,EPHA4
SLC7A14,,SLC7A14,SLC7A14
BMF,,BMF,BMF
ANKRD31,,ANKRD31,ANKRD31
SLIT3,,SLIT3,SLIT3
ZNF598,,ZNF598,ZNF598
MAK,,MAK,MAK
NEFH,,NEFH,NEFH
FOXB1,,FOXB1,FOXB1
RNF138,,RNF138,RNF138
IGFBP2,,IGFBP2,IGFBP2
LONRF1,,LONRF1,LONRF1
PITPNC1,,PITPNC1,PITPNC1
WWC2,,WWC2,WWC2
PDE4B,,PDE4B,PDE4B
PTPN21,,PTPN21,PTPN21
MAL,,MAL,MAL
PDE4D,,PDE4D,PDE4D
AVP,,AVP,AVP
GLUL,,GLUL,GLUL
LMO3,,LMO3,LMO3
LRIG3,,LRIG3,LRIG3
ZSCAN18,,ZSCAN18,ZSCAN18
ADGRV1,,ADGRV1,ADGRV1
NLGN4X,,NLGN4X,NLGN4X
TUBB,,TUBB,TUBB
CPD,,CPD,CPD
MYOM1,,MYOM1,MYOM1
PURA,,,PURA
LAMC1,,,LAMC1
UBL5,,,UBL5
CXXC5,,,CXXC5
ARHGDIG,,,ARHGDIG
TUBB2A,,,TUBB2A
TOB2,,,TOB2
ZNF511,,,ZNF511
TUBB4A,,,TUBB4A
JUND,,,JUND
DYNLL2,,,DYNLL2
HMGA1,,,HMGA1
LHX9,,,LHX9
NR0B1,,,NR0B1
YWHAH,,,YWHAH
HECA,,,HECA
NRGN,,,NRGN
FNDC9,,,FNDC9
TPRG1L,,,TPRG1L
SLIT2,,,SLIT2
PKM,,,PKM
C14orf39,,,C14orf39
SET,,,SET
S100B,,,S100B
NCBP2,,,NCBP2
PRNP,,,PRNP
PCDH17,,,PCDH17
KCNG2,,,KCNG2
NCDN,,,NCDN
MOXD1,,,MOXD1
FBXO32,,,FBXO32
MAZ,,,MAZ
NORAD,,,NORAD
UBE2M,,,UBE2M
TRIM28,,,TRIM28
ARHGAP15,,,ARHGAP15
DCUN1D2,,,DCUN1D2
PNMA1,,,PNMA1
RTN4,,,RTN4
GPC6,,,GPC6
ELF1,,,ELF1
TUBA1A,,,TUBA1A
CXorf40B,,,CXorf40B
PEG3,,,PEG3
GABARAP,,,GABARAP
COL12A1,,,COL12A1
LUC7L2,,,LUC7L2
ZBTB26,,,ZBTB26
NFAT5,,,NFAT5
RPS14,,,RPS14
SATB1,,,SATB1
SLITRK4,,,SLITRK4
ARHGAP12,,,ARHGAP12
SPRED2,,,SPRED2
NPAS3,,,NPAS3
SLCO1C1,,,SLCO1C1
ETNPPL,,,ETNPPL
KCNF1,,,KCNF1
EEF2,,,EEF2
ZNF664,,,ZNF664
ZNF608,,,ZNF608
ARHGAP25,,,ARHGAP25
RASSF8,,,RASSF8
MYCN,,,MYCN
PARD3B,,,PARD3B
HP1BP3,,,HP1BP3
ARF1,,,
C1QL3,,,
SCN9A,,,
USP40,,,
CLU,,,
WIF1,,,
ELK1,,,
TGFBR3,,,
ATP1B2,,,
P2RY1,,,
SPATS2,,,
MYO7B,,,
HGF,,,
NAPB,,,
DLGAP1,,,
RBM17,,,
SCART1,,,
SLC4A4,,,
RGS20,,,
NHSL1,,,
TMTC2,,,
NEUROD2,,,
CALM1,,,
ATP13A4,,,
NDRG2,,,
CALY,,,
TRPC7,,,
PON2,,,
IRF2,,,
TSPYL1,,,
ENO2,,,
SLC1A2,,,
NRIP1,,,
KCND2,,,
EIF4A2,,,
RPL3,,,
DAAM2,,,
NPTX1,,,
UPB1,,,
ZFX,,,
NAP1L2,,,
ARL6IP5,,,
TMEM51,,,
NR1D1,,,
PEG10,,,
RASL10A,,,
NSG1,,,
PHLDB2,,,
SERTM1,,,
MRVI1,,,
DHRS3,,,
BBOX1,,,
ARL2BP,,,
TEAD3,,,
JPH1,,,
TUBB3,,,
NR2F1,,,
UBQLN2,,,
LHX4,,,
SPRYD3,,,
PHF21B,,,
HPSE2,,,
CACHD1,,,
B3GALT2,,,
MLC1,,,
FAM189A2,,,
ST8SIA4,,,
SERTAD2,,,
NOC2L,,,
RFTN2,,,
NFKB1,,,
FBLN1,,,
VGLL3,,,
SOX21-AS1,,,
KLF9,,,
CHSY1,,,
TSPAN9,,,
EGFLAM,,,
TRHDE-AS1,,,
IQGAP2,,,
TMEM164,,,
GADD45A,,,
MXD1,,,
GRM1,,,
FKBP5,,,
MEF2C,,,
RASA3,,,
CDK19,,,
ITPR2,,,
FOXA3,,,
DLX1,,,
AK5,,,
PIEZO2,,,
HOMER1,,,
NXPH4,,,
MBNL2,,,
CLOCK,,,
PLCXD3,,,
OPN3,,,
TLX2,,,
RBP7,,,
ARL4C,,,
SMARCA2,,,
POU6F2,,,
AMOT,,,
SMAD4,,,
TRPC4,,,
PPM1H,,,
LRRK2,,,
DGKI,,,
OIP5-AS1,,,
GAREM1,,,
FAM110B,,,
SIK2,,,
PTPRN2,,,
LINC01608,,,
MID1IP1,,,
SESTD1,,,
POLR3A,,,
YY1,,,
ZNF32,,,
MIOS,,,
NIN,,,
OTUD4,,,
SLC16A9,,,
RPS6KA3,,,
UGT8,,,
PPARG,,,
TRDMT1,,,
TMPRSS7,,,
SEMA6D,,,
GRID2,,,
FOXO1,,,
QKI,,,
MBP,,,
CDH20,,,
PCED1B,,,
LINC00954,,,
ENO3,,,
CNR1,,,
ARID5B,,,
TAF4B,,,
BEX4,,,
KANK1,,,
TES,,,
CRTC2,,,
EFNB2,,,
CHST8,,,
RFX3,,,
STT3B,,,
CNTNAP3B,,,
LIN7A,,,
CTNND2,,,
FAR2,,,
NR3C2,,,
THRB,,,
RNF217,,,
PALMD,,,
ZFHX4,,,
CNN3,,,
EIF1,,,
RPN1,,,
CD22,,,
GATAD1,,,
NPAS2,,,
EFHD2,,,
KCNB2,,,
PTPRM,,,
UGP2,,,
NR1D2,,,
YWHAZ,,,
EPB41L2,,,
VCAN,,,
GRIP2,,,
DMXL2,,,
CDH11,,,
LINC01117,,,
ZFP30,,,
MIR137HG,,,
ADARB2,,,
ERBB4,,,
IQCH-AS1,,,
ADGRA3,,,
GNAI1,,,
CASC2,,,
SOX1,,,
RUNX1T1,,,
PCDH7,,,
IRF1,,,
B2M,,,
ST18,,,
ZNF704,,,
ZCCHC24,,,
SLCO1A2,,,
TMEM117,,,
TF,,,
FAM214A,,,
GPCPD1,,,
HDAC2,,,
CDHR1,,,
MYO1E,,,
ALDH1A2,,,
SCMH1,,,
LRRIQ3,,,
PKIA,,,
TMEM30A,,,
GPBP1L1,,,
PPARA,,,
CHST9,,,
BAALC-AS2,,,
CAMK2N1,,,
TRIM59,,,
CADM2,,,
BCLAF1,,,
PLAGL1,,,
ZNF692,,,
PHF21A,,,
ZNF706,,,
ZNF207,,,
NCOA2,,,
SP3,,,
DSE,,,
CTNNB1,,,
ZNF516,,,
INTS6,,,
ZNF709,,,
DENND2C,,,
TMTC4,,,
HIRIP3,,,
ZNF790,,,
PCBD1,,,
GHR,,,
ZNF24,,,
GABRA2,,,
ASXL3,,,
MTF2,,,
PLCXD2,,,
THOC2,,,
TGM2,,,
CLDN11,,,
SMAP2,,,
DHX8,,,
H2AFZ,,,
MAPK1,,,
CCDC178,,,
PLD1,,,
STK40,,,
FOXJ3,,,
TAPT1,,,
TRHDE,,,
ZNRF3,,,
ZBTB7A,,,
FBXL19,,,
CDK6,,,
FEZ1,,,
ARHGEF28,,,
SATB2,,,
MSH4,,,
BANP,,,
TMEM135,,,
SEMA3C,,,
MEF2C-AS1,,,
RND3,,,
HTR4,,,
NF1,,,
THRB-AS1,,,
ITGA2,,,
TJP2,,,
KAT7,,,
RAB14,,,
SEMA5B,,,
SEMA6A,,,
ZBTB44,,,
ATP6V1A,,,
TRPC6,,,
PPP3CA,,,
SALL1,,,
MIR4500HG,,,
PHACTR2,,,
STPG2,,,
LRRC4C,,,
FOXP2,,,
ZNF302,,,
ZBTB16,,,
PRKG1,,,
FAM153A,,,
BCAR3,,,
CTBP2,,,
TANC1,,,
NRN1,,,
SHROOM3,,,
ETV5,,,
ZIM2,,,
FOXK1,,,
LRFN5,,,
VPS4B,,,
NFE2L2,,,
YWHAE,,,
CLIC4,,,
EYA1,,,
MYO3A,,,
PTPDC1,,,
SLC16A10,,,
ZBTB37,,,
PREX2,,,
RHOBTB1,,,
WRNIP1,,,
ZBTB18,,,
SNAI3,,,
PRDM16,,,
TCF4,,,
PCDH11Y,,,
XYLT1,,,
UBTF,,,
CST3,,,
CDH22,,,
LIN28A,,,
PRKCA,,,
E4F1,,,
CFL2,,,
PPP2R2A,,,
ESR2,,,
SNAP25-AS1,,,
FHOD3,,,
ADAMTSL3,,,
TSPAN12,,,
RASGEF1B,,,
SSTR2,,,
TSPAN33,,,
NELL1,,,
EZH2,,,
C1orf21,,,
ZNF367,,,
SLC6A1,,,
C1GALT1,,,
ADNP2,,,
JDP2,,,
LRP4,,,
HHEX,,,
SNED1,,,
ZNF711,,,
MBNL3,,,
AHR,,,
SMARCA1,,,
