gene,score,validation,label
A1CF,0.35888022,False,-1
AAMDC,0.4763889,False,-1
ABCB1,0.003841876,False,-1
ABCF2,0.0066898526,False,-1
ABCG2,0.010789961,False,0
ABHD3,0.20385669,False,-1
ACSBG1,0.43739194,False,-1
ACTB,0.001798007,False,-1
ACTG1,0.3426359,False,-1
ACTN2,0.0858442,False,-1
ACVR1,0.0029377968,False,-1
ADAMTS2,0.17771173,False,-1
ADAP1,0.38362607,False,-1
ADCY2,0.26367375,False,1
ADD3,0.44080874,False,1
ADGRG6,0.000725194,False,-1
ADGRL2,0.3082095,False,-1
ADGRV1,0.26779193,False,-1
ADK,0.33876702,False,-1
ADNP,0.16470312,False,-1
ADNP2,0.018229228,False,-1
ADRA1A,0.07939119,False,-1
ADRM1,0.32323325,False,-1
ADTRP,0.057131164,False,-1
AFF1,0.008366438,True,0
AFF4,0.159341,False,-1
AGAP2,0.033642143,False,-1
AGGF1,0.00709043,False,-1
AGO2,0.36830726,False,-1
AHCTF1,0.13578886,False,0
AHR,0.11138507,False,-1
AIMP2,0.31432,False,-1
AK5,0.36567962,False,-1
AKAP13,0.3817776,False,-1
AKR1E2,0.3630939,False,-1
ALCAM,0.08349236,False,-1
ALK,0.47581312,False,-1
ALX1,0.4181937,False,-1
ALX4,0.42033887,False,-1
AMOTL1,0.249003,False,-1
ANKRD30A,0.2792537,True,0
ANKRD30BL,0.18204816,False,-1
ANKRD34B,0.4554975,False,-1
ANKRD50,0.07673909,False,-1
ANO10,0.20505057,False,-1
ANO2,0.08753038,False,0
ANO6,0.25686112,False,-1
ANOS1,0.03275366,False,-1
ANXA11,0.19024105,False,-1
ANXA3,0.0010629608,False,-1
ANXA4,0.22269669,False,-1
AP1S1,0.4231904,False,-1
AP2M1,0.36082926,False,-1
APEX2,0.41634816,False,-1
AR,0.09912631,False,-1
ARAP2,0.2747293,False,-1
ARC,0.32041773,False,-1
ARF3,0.30200544,False,-1
ARFGAP1,0.19433327,False,-1
ARHGAP10,0.11908192,False,-1
ARHGAP12,0.22119538,False,-1
ARHGAP20,0.22509168,False,-1
ARHGAP24,5.914868e-06,False,0
ARHGAP26,0.43615422,False,-1
ARHGAP42,0.00013856753,False,-1
ARHGDIA,0.16718544,False,-1
ARHGDIG,0.13053305,False,-1
ARHGEF10,0.279029,False,-1
ARHGEF28,0.231331,False,-1
ARHGEF6,0.10331866,False,-1
ARID2,0.30817917,False,-1
ARID3A,0.18299623,False,-1
ARID3C,0.37290385,False,-1
ARID5A,0.021843946,False,-1
ARID5B,0.23259869,False,-1
ARL4A,0.07211624,False,-1
ARL4D,0.42540145,False,-1
ARL6IP1,0.36678708,False,-1
ARL6IP5,0.14887072,False,-1
ARMC3,0.0001846919,False,-1
ARMC4,0.2937132,False,-1
ARMCX4,3.491369e-06,False,-1
ARNT2,0.13812661,False,-1
ARNTL,0.29858682,False,-1
ARPC5L,0.02028395,False,-1
ARPP21,0.1818336,False,-1
ASAP1,0.2387042,False,-1
ASAP2,0.00020487032,False,-1
ASIC2,0.07634379,False,-1
ASXL2,0.2515378,False,-1
ATF2,0.00898497,False,-1
ATF3,0.41528422,False,-1
ATF4,0.008614652,False,-1
ATF5,0.012567291,False,-1
ATG10,0.00063278124,False,-1
ATP10A,0.00015448089,False,-1
ATP12A,0.07689587,False,-1
ATP1A1,0.12328254,False,-1
ATP1A2,2.4982235e-05,False,-1
ATP1A3,0.13979256,False,-1
ATP1B1,0.012313295,False,-1
ATP2C2,0.19682743,False,-1
ATP6V0C,0.40965623,False,-1
ATP8B1,0.25921923,False,-1
ATR,0.0024931512,False,-1
ATRNL1,0.17030683,False,-1
ATXN1,0.36014366,False,-1
AVEN,0.229182,False,-1
AVPR1A,0.3892266,False,-1
B3GNT5,0.117367275,False,-1
B4GAT1,0.03190294,False,-1
BAALC,0.0026711558,False,-1
BACH1,0.45827353,False,-1
BACH2,0.38841474,False,-1
BAIAP3,0.03242418,False,-1
BANP,0.11791868,False,-1
BATF,0.22473614,False,-1
BAZ2B,8.723947e-05,False,-1
BBX,0.0022329725,False,-1
BCAR3,0.1238863,False,-1
BCL11A,0.0022892156,False,-1
BCL11B,0.1825332,False,-1
BCL6,0.007316466,False,-1
BCLAF1,0.17671995,False,-1
BEND6,0.41014954,False,-1
BEND7,0.04923678,False,-1
BEST3,0.08150021,False,-1
BEX1,0.4068933,False,-1
BEX3,0.19196154,False,-1
BHLHE22,0.02243686,False,-1
BHLHE40,0.1923709,False,1
BHLHE41,5.1407903e-07,False,-1
BICC1,0.09363639,False,-1
BIRC3,0.071937196,False,-1
BMP2K,0.45250827,False,-1
BMP5,0.0030086536,False,-1
BMPER,0.25972286,False,-1
BMT2,0.14548922,False,-1
BOLL,0.006264661,False,-1
BRF1,0.14803363,False,-1
BRINP1,0.13968372,False,-1
BRINP3,0.16389243,False,-1
BSX,0.13129961,False,-1
BTBD11,0.18987258,False,-1
BTC,0.31919125,False,-1
BUB1,0.0075992174,False,-1
BVES,0.32520258,False,-1
C10orf90,0.26704666,False,-1
C16orf87,0.2598066,False,-1
C17orf53,0.402796,False,-1
C18orf25,0.24303502,False,-1
C19orf71,0.017473377,False,-1
C1GALT1,0.005631648,False,-1
C1QL3,0.4660516,False,-1
C1QTNF4,0.42358014,False,-1
C21orf91,0.2889597,False,-1
C2orf88,0.11835805,False,-1
C3orf67,0.009954509,False,-1
C3orf80,0.25213927,False,-1
C4orf3,0.028378768,False,-1
C4orf36,0.296703,False,-1
C4orf48,0.0019987253,False,-1
C5orf66,0.026529869,False,-1
C8orf88,0.42174876,False,-1
CA8,0.0057647107,False,-1
CACHD1,0.22237277,False,-1
CACNA1D,0.17855918,False,1
CACNA1E,0.065574884,False,0
CACNB2,0.28108624,False,-1
CACNG5,0.24101554,False,-1
CALM1,0.40077963,False,-1
CALM2,0.04880978,False,-1
CALM3,0.42771882,False,-1
CALN1,0.25525364,False,-1
CALY,0.0045964764,False,-1
CAMK2D,0.3376236,True,1
CAMK2N1,0.07600435,False,-1
CAPNS1,0.20810384,False,-1
CARD18,0.015482823,False,-1
CARF,0.24637681,False,-1
CASC15,5.942347e-07,False,-1
CASC2,0.43086812,False,-1
CAV2,0.002716114,False,-1
CBARP,0.38815573,False,-1
CBFA2T2,0.22280976,False,-1
CBLN2,0.2847003,False,0
CBWD5,0.16952698,False,-1
CCDC115,0.11910688,False,-1
CCDC18,0.0033525128,False,-1
CCDC3,0.18330033,False,-1
CCK,0.43848553,False,-1
CCNB3,0.107421815,False,-1
CCND1,0.009745137,False,-1
CCND2-AS1,0.092497185,False,-1
CCNJL,0.0003436307,False,-1
CD160,0.0022699458,False,-1
CD22,0.013754502,False,-1
CD226,0.13179184,False,-1
CD44,0.005900604,False,-1
CD59,0.0148524055,False,-1
CDC14B,0.40782344,False,-1
CDH11,0.3549522,False,0
CDH2,0.38077724,False,-1
CDH20,0.25723526,False,-1
CDH7,1.8978816e-06,False,-1
CDH8,0.32511297,False,0
CDK1,0.38725168,False,-1
CDK14,0.21573621,False,-1
CDK19,0.3079897,False,-1
CDK2AP1,2.4833114e-05,False,-1
CDK5R1,0.10642001,False,-1
CDK5R2,0.29193068,False,-1
CDK5RAP2,0.008995158,False,-1
CDS1,0.2855215,False,-1
CDYL,0.24363738,False,-1
CDYL2,0.00010589022,False,-1
CEBPA,0.011334682,False,-1
CEBPB,0.04205812,False,-1
CEBPD,0.091911286,False,-1
CEBPG,0.10102001,False,-1
CELSR2,0.25341922,False,-1
CEND1,0.1808966,False,-1
CENPU,0.07475227,False,-1
CEP85L,0.33887005,False,-1
CERS3,0.33549312,False,-1
CFAP161,0.047443755,False,-1
CFAP206,2.4205136e-05,False,-1
CFAP54,1.731291e-05,False,-1
CFL1,0.3697494,False,-1
CFL2,0.28863052,False,-1
CGNL1,0.0071747415,False,-1
CHAMP1,0.11742973,False,-1
CHD1,0.1878423,False,-1
CHD2,0.14007252,False,-1
CHGA,0.35650074,False,-1
CHST9,0.007527406,False,-1
CHSY3,0.19578813,False,-1
CIC,0.065320246,False,-1
CKB,0.077937186,False,-1
CLCN5,0.02977804,False,-1
CLEC2L,0.2419442,False,-1
CLIC4,0.041248333,False,-1
CLMP,0.1252437,False,-1
CLOCK,0.15008897,False,-1
CMSS1,0.38262618,False,-1
CMTM8,0.2731145,False,-1
CMYA5,0.005941782,False,-1
CNIH2,0.41401112,False,-1
CNKSR3,0.3887616,False,-1
CNN3,0.13127124,False,-1
CNOT4,0.0012649434,False,-1
CNOT6,0.0062976563,False,-1
CNP,0.3950495,False,-1
CNR1,0.00018122548,False,-1
CNTN4,0.3353997,False,-1
CNTN5,0.09863901,False,-1
CNTNAP5,0.19717765,False,-1
COBLL1,1.2782488e-05,False,-1
COCH,0.17797458,False,-1
COL12A1,0.25861436,False,-1
COL19A1,0.2572813,False,-1
