_BACKGROUND,5p,10p,15p
MEF2C,MEF2C,MEF2C,MEF2C
CNTNAP5,CNTNAP5,CNTNAP5,CNTNAP5
PDS5A,PDS5A,PDS5A,PDS5A
SOBP,SOBP,SOBP,SOBP
RASGRF2,RASGRF2,RASGRF2,RASGRF2
MAD1L1,MAD1L1,MAD1L1,MAD1L1
ASAP1,ASAP1,ASAP1,ASAP1
FRMD5,FRMD5,FRMD5,FRMD5
MYEF2,MYEF2,MYEF2,MYEF2
ZNF804A,ZNF804A,ZNF804A,ZNF804A
USP10,USP10,USP10,USP10
MDGA2,MDGA2,MDGA2,MDGA2
ZNF385B,ZNF385B,ZNF385B,ZNF385B
CSGALNACT1,CSGALNACT1,CSGALNACT1,CSGALNACT1
KCNMA1,KCNMA1,KCNMA1,KCNMA1
ARHGAP12,ARHGAP12,ARHGAP12,ARHGAP12
LINC00511,LINC00511,LINC00511,LINC00511
ZEB1,ZEB1,ZEB1,ZEB1
ANO10,ANO10,ANO10,ANO10
TRIM24,TRIM24,TRIM24,TRIM24
UBE2Q2,UBE2Q2,UBE2Q2,UBE2Q2
YY1,YY1,YY1,YY1
DPYD,DPYD,DPYD,DPYD
GRIK4,GRIK4,GRIK4,GRIK4
HHAT,HHAT,HHAT,HHAT
PLCL1,PLCL1,PLCL1,PLCL1
ANO6,ANO6,ANO6,ANO6
CMTM8,CMTM8,CMTM8,CMTM8
TLN2,TLN2,TLN2,TLN2
RUNX1T1,RUNX1T1,RUNX1T1,RUNX1T1
NECTIN3,NECTIN3,NECTIN3,NECTIN3
PDE7A,PDE7A,PDE7A,PDE7A
GALNT7,GALNT7,GALNT7,GALNT7
MED12L,MED12L,MED12L,MED12L
CRISPLD1,CRISPLD1,CRISPLD1,CRISPLD1
TCF4,TCF4,TCF4,TCF4
LINC00390,LINC00390,LINC00390,LINC00390
CCDC178,CCDC178,CCDC178,CCDC178
PDZRN3,PDZRN3,PDZRN3,PDZRN3
PTK2,PTK2,PTK2,PTK2
FNDC3B,FNDC3B,FNDC3B,FNDC3B
EPC2,EPC2,EPC2,EPC2
IGSF11,IGSF11,IGSF11,IGSF11
FOXO3,FOXO3,FOXO3,FOXO3
RAB3IP,RAB3IP,RAB3IP,RAB3IP
SPATA7,SPATA7,SPATA7,SPATA7
PPM1H,PPM1H,PPM1H,PPM1H
AKAP13,AKAP13,AKAP13,AKAP13
MTF2,MTF2,MTF2,MTF2
KHDRBS2,KHDRBS2,KHDRBS2,KHDRBS2
STK24,STK24,STK24,STK24
DAB1,DAB1,DAB1,DAB1
GLRA3,GLRA3,GLRA3,GLRA3
PRKAG2,PRKAG2,PRKAG2,PRKAG2
PDIA6,PDIA6,PDIA6,PDIA6
ZFHX2,ZFHX2,ZFHX2,ZFHX2
PIK3C3,PIK3C3,PIK3C3,PIK3C3
RNF130,RNF130,RNF130,RNF130
AVEN,AVEN,AVEN,AVEN
CTNND2,CTNND2,CTNND2,CTNND2
NPAS3,NPAS3,NPAS3,NPAS3
HDAC9,HDAC9,HDAC9,HDAC9
PAK5,PAK5,PAK5,PAK5
NF1,NF1,NF1,NF1
CACNB2,CACNB2,CACNB2,CACNB2
ZXDC,ZXDC,ZXDC,ZXDC
